,,Week 3 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Colston Loveland,Michigan,ArkSt,ArkSt,-,-,1,8.48,1,12.33,57.94,3.85,15.0,0.45,0.00,0.00,0.0,0.00
Luke Lachey,Iowa,Troy,Troy,-,-,2,8.18,2,12.30,49.45,4.13,12.0,0.54,0.00,0.00,0.0,0.00
Caden Prieskorn,Mississippi,Wake,Miss,-,-,3,7.81,6,11.01,49.28,3.20,15.4,0.48,0.00,0.00,0.0,0.00
Luke Hasz,Arkansas,UAB,UAB,-,-,4,7.70,5,11.06,44.27,3.36,13.2,0.55,0.00,0.00,0.0,0.00
Justin Joly,North Carolina State,LaTech,LaTech,-,-,5,7.54,4,11.54,48.09,4.00,12.0,0.45,0.00,0.00,0.0,0.00
Brant Kuithe,Utah,UtahSt,Utah,-,-,6,7.54,3,11.54,46.64,4.00,11.7,0.48,0.00,0.00,0.0,0.00
Oscar Delp,Georgia,Kty,UGa,-,-,7,6.87,7,10.60,45.20,3.73,12.1,0.39,0.00,0.00,0.0,0.00
Jack Velling,Michigan State,PVA&M,PVA&M,-,-,8,6.79,12,9.56,40.09,2.78,14.4,0.46,0.00,0.00,0.0,0.00
Holden Willis,Middle Tenn. St,WestKy,WestKy,-,-,9,6.71,8,10.12,43.25,3.41,12.7,0.40,0.00,0.00,0.0,0.00
River Helms,Western Kentucky,MiddTn,WestKy,-,-,10,6.61,10,9.79,38.82,3.18,12.2,0.45,0.00,0.00,0.0,0.00
Bryson Nesbit,North Carolina,NCCent,NCCent,-,-,11,6.34,13,9.53,42.67,3.19,13.4,0.34,0.00,0.00,0.0,0.00
Drake Dabney,TCU,UCF,UCF,-,-,12,6.33,11,9.58,43.33,3.25,13.3,0.33,0.00,0.00,0.0,0.00
Terrance Ferguson,Oregon,OreSt,Oregon,-,-,13,6.32,14,9.39,32.60,3.06,10.7,0.51,0.00,0.00,0.0,0.00
Mason Taylor,LSU,SCar,LSU,-,-,14,6.17,9,9.92,40.27,3.75,10.7,0.36,0.00,0.00,0.0,0.00
Rivaldo Fairweather,Auburn,NM,NM,-,-,15,5.99,18,8.93,30.53,2.94,10.4,0.49,0.00,0.00,0.0,0.00
John Michael Gyllenborg,Wyoming,BYU,BYU,-,-,16,5.84,15,9.03,37.67,3.19,11.8,0.34,0.00,0.00,0.0,0.00
