,,Week 2 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Harold Fannin,Bowling Green,PSU,BGSU,-,-,1,9.18,1,13.37,60.00,4.19,14.3,0.49,2.22,0.90,2.5,0.00
Colston Loveland,Michigan,Tex,Tex,-,-,2,8.48,3,12.33,57.94,3.85,15.0,0.45,0.00,0.00,0.0,0.00
Oronde Gadsden,Syracuse,GaTech,GaTech,-,-,3,8.47,2,13.09,55.09,4.61,12.0,0.49,0.00,0.00,0.0,0.00
Luke Lachey,Iowa,IaSt,IaSt,-,-,4,8.18,4,12.30,49.45,4.13,12.0,0.54,0.00,0.00,0.0,0.00
Caden Prieskorn,Mississippi,MiddTn,MiddTn,-,-,5,7.81,9,11.01,49.28,3.20,15.4,0.48,0.00,0.00,0.0,0.00
Luke Hasz,Arkansas,OkSt,Ark,-,-,6,7.70,8,11.06,44.27,3.36,13.2,0.55,0.00,0.00,0.0,0.00
Justin Joly,North Carolina State,Tenn,Tenn,-,-,7,7.54,6,11.54,48.09,4.00,12.0,0.45,0.00,0.00,0.0,0.00
Brant Kuithe,Utah,Baylor,Baylor,-,-,8,7.54,5,11.54,46.64,4.00,11.7,0.48,0.00,0.00,0.0,0.00
Jake Briningstool,Clemson,App,App,-,-,9,7.27,7,11.24,42.25,3.97,10.6,0.51,0.00,0.00,0.0,0.00
RJ Maryland,SMU,BYU,BYU,-,-,10,7.24,11,10.20,41.86,2.97,14.1,0.51,0.00,0.00,0.0,0.00
Grayson Barnes,Northern Illinois,ND,NIU,-,-,11,7.00,21,9.32,42.05,2.33,18.0,0.47,0.00,0.00,0.0,0.00
Oscar Delp,Georgia,TnTech,TnTech,-,-,12,6.87,10,10.60,45.20,3.73,12.1,0.39,0.00,0.00,0.0,0.00
Jack Velling,Michigan State,MD,MSU,-,-,13,6.79,17,9.56,40.09,2.78,14.4,0.46,0.00,0.00,0.0,0.00
Tyler Warren,Penn State,BGSU,BGSU,-,-,14,6.71,19,9.46,37.08,2.75,13.5,0.50,0.00,0.00,0.0,0.00
Holden Willis,Middle Tenn. St,Miss,MiddTn,-,-,15,6.71,12,10.12,43.25,3.41,12.7,0.40,0.00,0.00,0.0,0.00
River Helms,Western Kentucky,EastKy,EastKy,-,-,16,6.61,14,9.79,38.82,3.18,12.2,0.45,0.00,0.00,0.0,0.00
Bryson Nesbit,North Carolina,Char,Char,-,-,17,6.34,18,9.53,42.67,3.19,13.4,0.34,0.00,0.00,0.0,0.00
Drake Dabney,TCU,LIU,LIU,-,-,18,6.33,16,9.58,43.33,3.25,13.3,0.33,0.00,0.00,0.0,0.00
Terrance Ferguson,Oregon,Boise,Boise,-,-,19,6.32,20,9.39,32.60,3.06,10.7,0.51,0.00,0.00,0.0,0.00
Mason Taylor,LSU,Nich,Nich,-,-,20,6.17,13,9.92,40.27,3.75,10.7,0.36,0.00,0.00,0.0,0.00
Rivaldo Fairweather,Auburn,Cal,Cal,-,-,21,5.99,24,8.93,30.53,2.94,10.4,0.49,0.00,0.00,0.0,0.00
John Michael Gyllenborg,Wyoming,Idaho,Idaho,-,-,22,5.84,22,9.03,37.67,3.19,11.8,0.34,0.00,0.00,0.0,0.00
Benjamin Yurosek,Georgia,TnTech,TnTech,-,-,23,5.73,28,8.50,34.48,2.76,12.5,0.38,0.00,0.00,0.0,0.00
Michael Harrison,San Diego State,OreSt,OreSt,-,-,24,5.70,23,8.94,34.81,3.24,10.7,0.37,0.00,0.00,0.0,0.00
Garrett Oakley,Kansas State,Tulane,KanSt,-,-,25,5.70,26,8.65,37.30,2.95,12.6,0.33,0.00,0.00,0.0,0.00
Sam Roush,Stanford,CalPly,CalPly,-,-,26,5.70,15,9.64,41.40,3.94,10.5,0.26,0.17,0.09,1.9,0.00
Benjamin Brahmer,Iowa State,Iowa,IaSt,-,-,27,5.59,25,8.86,39.55,3.27,12.1,0.27,0.00,0.00,0.0,0.00
Amari Niblack,Texas,Mich,Tex,-,-,28,5.38,32,8.04,38.75,2.67,14.5,0.25,0.00,0.00,0.0,0.00
Mitchell Evans,Notre Dame,NIU,NIU,-,-,29,5.36,30,8.10,34.75,2.75,12.6,0.31,0.00,0.00,0.0,0.00
Seydou Traore,Mississippi State,AriSt,MissSt,-,-,30,5.36,33,8.03,30.76,2.67,11.5,0.38,0.00,0.00,0.0,0.00
Arlis Boardingham,Florida,Sam,Sam,-,-,31,5.28,34,8.01,31.00,2.73,11.4,0.36,0.00,0.00,0.0,0.00
DJ Thomas-Jones,South Alabama,Ohio,USA,-,-,32,5.22,35,7.98,23.62,2.76,8.6,0.48,0.00,0.00,0.0,0.00
Tanner Koziol,Ball State,MoStU,MoStU,-,-,33,5.18,27,8.61,31.20,3.43,9.1,0.34,0.00,0.00,0.0,0.00
Brett Norfleet,Missouri,Buff,Buff,-,-,34,5.15,38,7.53,26.69,2.38,11.2,0.41,0.00,0.00,0.0,0.00
Anthony Torres,Toledo,UMass,UMass,-,-,35,5.13,46,7.18,37.11,2.05,18.1,0.24,0.00,0.00,0.0,0.00
Kole Taylor,West Virginia,Albany,Albany,-,-,36,4.98,37,7.54,35.36,2.56,13.8,0.24,0.00,0.00,0.0,0.00
Corey Dyches,California,Auburn,Cal,-,-,37,4.97,29,8.46,39.02,3.48,11.2,0.18,0.00,0.00,0.0,0.00
Kendall Karr,Coastal Carolina,W&M,W&M,-,-,38,4.94,45,7.19,21.28,2.25,9.5,0.47,0.00,0.00,0.0,0.00
Keanu Hill,BYU,SMU,BYU,-,-,39,4.91,31,8.06,37.96,3.15,12.1,0.19,0.00,0.00,0.0,0.00
Ethan Conner,Troy,Mem,Troy,-,-,40,4.85,40,7.47,30.08,2.62,11.5,0.31,0.00,0.00,0.0,0.00
Eli Wilson,Appalachian State,Clem,App,-,-,41,4.83,42,7.36,27.48,2.52,10.9,0.35,0.00,0.00,0.0,0.00
Dan Villari,Syracuse,GaTech,GaTech,-,-,42,4.82,54,6.79,21.51,1.97,10.9,0.26,6.09,1.29,4.7,0.09
Thomas Fidone,Nebraska,Colo,Colo,-,-,43,4.70,43,7.28,27.00,2.58,10.5,0.33,0.00,0.00,0.0,0.00
Terrance Carter,Louisiana-Lafayette,KennSt,UL-Laf,-,-,44,4.66,36,7.64,27.76,2.98,9.3,0.31,0.00,0.00,0.0,0.00
Elijah Arroyo,Miami,FlaA&M,FlaA&M,-,-,45,4.64,41,7.43,24.09,2.79,8.6,0.37,0.00,0.00,0.0,0.00
Jalin Conyers,Texas Tech,WashSt,TxTch,-,-,46,4.54,53,6.86,26.16,2.32,11.3,0.32,0.00,0.00,0.0,0.00
Boden Groen,Rice,TxSo,TxSo,-,-,47,4.54,39,7.50,31.04,2.96,10.5,0.24,0.00,0.00,0.0,0.00
Mark Redman,Louisville,JacSt,JacSt,-,-,48,4.48,44,7.19,29.35,2.71,10.8,0.26,0.00,0.00,0.0,0.00
Kamari Morales,Boston College,Duq,Duq,-,-,49,4.47,47,7.08,34.26,2.61,13.1,0.17,0.00,0.00,0.0,0.00
Michael Trigg,Baylor,Utah,Baylor,-,-,50,4.46,49,6.96,29.58,2.50,11.8,0.25,0.00,0.00,0.0,0.00
Bentley Hanshaw,Liberty,NMSt,Lib,-,-,51,4.45,74,5.93,18.43,1.48,12.5,0.43,0.00,0.00,0.0,0.00
Alex Bauman,Tulane,KanSt,KanSt,-,-,52,4.31,62,6.41,20.63,2.10,9.8,0.38,0.00,0.00,0.0,0.00
John Copenhaver,North Carolina,Char,Char,-,-,53,4.25,67,6.16,26.18,1.91,13.7,0.27,0.00,0.00,0.0,0.00
Mason Williams,Ohio,USA,USA,-,-,54,4.22,56,6.71,26.22,2.49,10.5,0.27,0.00,0.00,0.0,0.00
Jake Newell,Akron,Rut,Akron,-,-,55,4.18,48,7.02,25.78,2.84,9.1,0.27,0.00,0.00,0.0,0.00
Randy Pittman,Central Florida,SamHou,SamHou,-,-,56,4.17,52,6.87,31.30,2.70,11.6,0.17,0.00,0.00,0.0,0.00
Tyler Fromm,Georgia Southern,Nevada,GaSo,-,-,57,4.15,63,6.38,24.74,2.23,11.1,0.28,0.00,0.00,0.0,0.00
Sean Brown,Jacksonville State,Lou,JacSt,-,-,58,4.10,83,5.21,20.40,1.11,18.4,0.34,0.00,0.00,0.0,0.00
Joey Beljan,Cincinnati,Pitt,Pitt,-,-,59,4.07,70,6.02,22.73,1.95,11.7,0.30,0.00,0.00,0.0,0.00
Nicky Dalmolin,Duke,NW,Duke,-,-,60,4.07,58,6.67,29.49,2.60,11.3,0.19,0.00,0.00,0.0,0.00
Markeston Douglas,Arizona State,MissSt,MissSt,-,-,61,4.07,61,6.45,29.24,2.38,12.3,0.19,0.00,0.00,0.0,0.00
Jaxxon Warren,Colorado State,NorCol,NorCol,-,-,62,4.07,55,6.73,29.24,2.67,11.0,0.19,0.00,0.00,0.0,0.00
Bryce Damous,UAB,UL-Mon,UAB,-,-,63,4.03,68,6.06,22.84,2.03,11.3,0.29,0.00,0.00,0.0,0.00
Dominick Mazotti,Massachusetts,Toledo,UMass,-,-,64,4.02,57,6.69,28.76,2.67,10.8,0.19,0.00,0.00,0.0,0.00
Brady Hunt,South Carolina,Kty,SCar,-,-,65,4.01,51,6.90,29.87,2.89,10.3,0.17,0.00,0.00,0.0,0.00
Donovan Green,Texas A&M,McNe,McNe,-,-,66,3.98,72,5.95,24.34,1.97,12.4,0.26,0.00,0.00,0.0,0.00
Colin Weber,UNC Charlotte,UNC,Char,-,-,67,3.98,50,6.90,34.83,2.92,11.9,0.08,0.00,0.00,0.0,0.00
Jack Endries,California,Auburn,Cal,-,-,68,3.97,60,6.46,29.07,2.49,11.7,0.18,0.00,0.00,0.0,0.00
Preston Howard,Maryland,MSU,MSU,-,-,69,3.95,65,6.22,28.55,2.27,12.6,0.18,0.00,0.00,0.0,0.00
Gavin Bartholomew,Pittsburgh,Cin,Pitt,-,-,70,3.94,73,5.94,21.40,2.00,10.7,0.30,0.00,0.00,0.0,0.00
Blake Bosma,Western Michigan,OhioSt,WestMI,-,-,71,3.94,69,6.03,28.45,2.09,13.6,0.18,0.00,0.00,0.0,0.00
Cameron Hite,Wake Forest,UVa,UVa,-,-,72,3.86,76,5.81,22.76,1.94,11.7,0.26,0.00,0.00,0.0,0.00
Anthony Landphere,Memphis,Troy,Troy,-,-,73,3.84,66,6.18,20.85,2.34,8.9,0.29,0.00,0.00,0.0,0.00
Manny Stevenson,Arkansas State,Tulsa,Tulsa,-,-,74,3.81,59,6.48,20.95,2.67,7.8,0.29,0.00,0.00,0.0,0.00
Eli Stowers,Vanderbilt,Alc,Alc,-,-,75,3.79,77,5.75,21.00,1.95,10.8,0.15,3.45,0.98,3.5,0.08
Luke McGary,Tulsa,ArkSt,Tulsa,-,-,76,3.69,87,5.06,18.00,1.37,13.1,0.32,0.00,0.00,0.0,0.00
Jake Boust,Fresno State,Sac,Sac,-,-,77,3.62,81,5.52,17.29,1.89,9.1,0.32,0.00,0.00,0.0,0.00
Jared Casey,Kansas,Ill,Kansas,-,-,78,3.59,79,5.59,20.92,2.00,10.5,0.25,0.00,0.00,0.0,0.00
Broc Lane,Utah State,USC,UtahSt,-,-,79,3.54,71,6.02,25.76,2.48,10.4,0.16,0.00,0.00,0.0,0.00
Roberto Miranda,Arizona,NoAri,NoAri,-,-,80,3.54,80,5.59,21.16,2.05,10.3,0.24,0.00,0.00,0.0,0.00
