,,Week 7 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Tetairoa McMillan,Arizona,BYU,Ari,-,-,1,16.33,1,23.28,110.35,6.95,15.9,0.88,0.18,0.09,2.0,0.00
Evan Stewart,Oregon,OhioSt,OhioSt,-,-,2,14.73,4,20.59,94.89,5.85,16.2,0.87,0.00,0.00,0.0,0.00
Ricky White,UNLV,UtahSt,UNLV,-,-,3,14.09,5,20.34,105.83,6.25,16.9,0.58,0.08,0.08,1.0,0.00
Tory Horton,Colorado State,SJSU,SJSU,-,-,4,14.05,2,22.07,99.89,8.03,12.4,0.68,0.00,0.00,0.0,0.00
Tez Johnson,Oregon,OhioSt,OhioSt,-,-,5,13.96,3,20.73,93.34,6.77,13.8,0.77,0.00,0.00,0.0,0.00
Jalen Royals,Utah State,UNLV,UNLV,-,-,6,13.83,6,19.96,94.09,6.14,15.3,0.74,0.00,0.00,0.0,0.00
Luther Burden III,Missouri,UMass,Missou,-,-,7,13.79,7,19.92,94.84,6.13,15.5,0.68,2.27,0.53,4.3,0.00
Joey Hobert,Texas State,ArkSt,ArkSt,-,-,8,12.34,8,19.24,81.35,6.90,11.8,0.70,0.09,0.09,1.0,0.00
Kevin Concepcion,North Carolina State,Syr,Syr,-,-,9,12.21,11,18.26,72.08,6.05,11.9,0.65,10.72,1.55,6.9,0.00
Germie Bernard,Alabama,SCar,SCar,-,-,10,12.13,14,17.87,80.29,5.74,14.0,0.53,3.97,1.15,3.5,0.09
Roc Taylor,Memphis,USF,Mem,-,-,11,12.00,13,17.91,93.26,5.91,15.8,0.44,0.26,0.18,1.4,0.00
Kyren Lacy,LSU,Miss,Miss,-,-,12,11.79,22,16.98,76.85,5.19,14.8,0.68,0.17,0.09,1.9,0.00
Sean Atkins,South Florida,Mem,Mem,-,-,13,11.72,9,18.72,80.12,7.01,11.4,0.56,3.58,0.48,7.5,0.00
Kaedin Robinson,Appalachian State,UL-Laf,App,-,-,14,11.67,19,17.12,74.29,5.45,13.6,0.70,0.18,0.09,2.0,0.00
Will Pauling,Wisconsin,Rut,Wisc,-,-,15,11.63,10,18.70,79.01,7.07,11.2,0.61,0.61,0.09,6.8,0.00
Tre Harris,Mississippi,LSU,Miss,-,-,16,11.60,24,16.36,82.77,4.75,17.4,0.55,0.00,0.00,0.0,0.00
Pofele Ashlock,Hawaii,Boise,Boise,-,-,17,11.58,12,18.19,66.20,6.61,10.0,0.83,0.00,0.00,0.0,0.00
Emeka Egbuka,Ohio State,Oregon,OhioSt,-,-,18,11.46,17,17.38,73.62,5.92,12.4,0.65,2.11,0.41,5.1,0.00
Eugene Wilson,Florida,Tenn,Fla,-,-,19,11.39,18,17.14,65.25,5.75,11.3,0.75,3.67,0.50,7.3,0.00
Deion Burks,Oklahoma,Tex,Tex,-,-,20,11.36,16,17.42,77.02,6.06,12.7,0.61,0.26,0.09,2.9,0.00
Malachi Fields,Virginia,Lou,Lou,-,-,21,11.24,21,17.01,79.91,5.77,13.8,0.54,0.09,0.09,1.0,0.00
Jayden Higgins,Iowa State,WVU,IaSt,-,-,22,11.11,31,15.51,81.80,4.40,18.6,0.49,0.00,0.00,0.0,0.00
Kyle Williams,Washington State,Fres,WashSt,-,-,23,11.06,23,16.40,74.24,5.33,13.9,0.60,0.26,0.26,1.0,0.00
Jeremiah Hunter,Washington,Iowa,Wash,-,-,24,10.92,25,16.32,73.00,5.40,13.5,0.60,0.20,0.10,2.0,0.00
Derwin Burgess,Georgia Southern,Marsh,Marsh,-,-,25,10.82,15,17.73,75.45,6.91,10.9,0.55,0.00,0.00,0.0,0.00
Elic Ayomanor,Stanford,ND,Stan,-,-,26,10.81,29,15.91,79.41,5.10,15.6,0.48,0.00,0.00,0.0,0.00
Kobe Hudson,Central Florida,Cin,Cin,-,-,27,10.80,35,14.77,72.61,3.96,18.3,0.59,0.00,0.00,0.0,0.00
Eric Singleton,Georgia Tech,UNC,GaTech,-,-,28,10.74,30,15.87,76.54,5.13,14.9,0.50,0.59,0.08,7.4,0.00
Lajohntay Wester,Colorado,KanSt,KanSt,-,-,29,10.73,20,17.06,66.86,6.34,10.5,0.64,1.84,0.28,6.6,0.00
Squirrel White,Tennessee,Fla,Fla,-,-,30,10.68,27,16.21,76.12,5.53,13.8,0.49,0.99,0.16,6.2,0.00
Nic Anderson,Oklahoma,Tex,Tex,-,-,31,10.57,48,14.02,71.18,3.45,20.6,0.58,0.00,0.00,0.0,0.00
Travis Hunter,Colorado,KanSt,KanSt,-,-,32,10.33,28,16.12,73.88,5.80,12.7,0.49,0.00,0.00,0.0,0.00
Caullin Lacy,Louisville,UVa,Lou,-,-,33,10.31,26,16.21,69.33,5.91,11.7,0.56,0.00,0.00,0.0,0.00
Demeer Blankumsee,Memphis,USF,Mem,-,-,34,10.12,38,14.64,73.54,4.52,16.3,0.44,1.06,0.18,5.9,0.00
Isaiah Bond,Texas,Okla,Tex,-,-,35,10.02,32,15.19,75.39,5.17,14.6,0.40,0.57,0.16,3.6,0.00
Kole Wilson,Texas State,ArkSt,ArkSt,-,-,36,9.81,33,14.98,59.23,5.17,11.5,0.65,0.08,0.16,0.5,0.00
Kelly Akharaiyi,Mississippi State,UGa,MissSt,-,-,37,9.80,50,13.97,68.53,4.18,16.4,0.44,2.76,0.53,5.2,0.00
Jalen Moss,Fresno State,WashSt,WashSt,-,-,38,9.71,34,14.77,65.07,5.07,12.8,0.53,0.00,0.00,0.0,0.00
Denzel Boston,Washington,Iowa,Wash,-,-,39,9.62,39,14.57,66.56,4.95,13.4,0.49,0.00,0.00,0.0,0.00
Chrishon McCray,Kent,BallSt,BallSt,-,-,40,9.59,42,14.21,69.86,4.62,15.1,0.41,1.32,0.33,4.0,0.00
Daniel Jackson,Minnesota,UCLA,Minn,-,-,41,9.55,44,14.14,64.70,4.58,14.1,0.51,0.25,0.08,3.1,0.00
Damon Ward,North Texas,FlaAtl,NorTx,-,-,42,9.54,43,14.15,58.22,4.61,12.6,0.62,0.00,0.00,0.0,0.00
Will Sheppard,Colorado,KanSt,KanSt,-,-,43,9.49,47,14.08,62.56,4.58,13.7,0.54,0.00,0.00,0.0,0.00
Devin McCuin,UTSA,Rice,Tx-SA,-,-,44,9.44,37,14.68,68.04,5.25,13.0,0.43,0.52,0.09,5.8,0.00
Chris Bell,Louisville,UVa,Lou,-,-,45,9.40,41,14.37,68.72,4.97,13.8,0.42,0.00,0.00,0.0,0.00
Chris Tyree,Virginia,Lou,Lou,-,-,46,9.29,45,14.14,60.48,4.85,12.5,0.47,4.39,1.49,2.9,0.00
Antwane Wells Jr.,Mississippi,LSU,Miss,-,-,47,9.26,55,13.51,65.92,4.25,15.5,0.44,0.09,0.09,1.0,0.00
Dalvin Smith,Western Kentucky,UTEP,UTEP,-,-,48,9.25,36,14.70,57.57,5.44,10.6,0.58,0.33,0.08,4.1,0.00
Elijhah Badger,Florida,Tenn,Fla,-,-,49,9.08,52,13.72,73.88,4.64,15.9,0.25,1.77,0.34,5.2,0.00
Jaylin Noel,Iowa State,WVU,IaSt,-,-,50,9.05,49,13.99,60.78,4.94,12.3,0.49,0.08,0.08,1.0,0.00
Johntay Cook II,Texas,Okla,Tex,-,-,51,9.03,59,12.85,53.22,3.83,13.9,0.61,0.52,0.17,3.1,0.00
Dorian Singer,Utah,AriSt,Utah,-,-,52,8.98,63,12.47,54.45,3.49,15.6,0.54,3.13,0.54,5.8,0.00
Zachariah Branch,USC,PSU,PSU,-,-,53,8.87,58,12.99,61.61,4.12,15.0,0.36,5.55,0.81,6.9,0.00
Trayvon Rudolph,Northern Illinois,BGSU,NIU,-,-,54,8.77,53,13.66,52.00,4.89,10.6,0.27,14.40,1.87,7.7,0.09
Xzavier Henderson,Cincinnati,UCF,Cin,-,-,55,8.55,54,13.54,65.86,4.99,13.2,0.33,0.00,0.00,0.0,0.00
Jeremiah Smith,Ohio State,Oregon,OhioSt,-,-,56,8.55,64,12.36,56.35,3.81,14.8,0.49,0.00,0.00,0.0,0.00
Treon Sibley,Liberty,FIU,FIU,-,-,57,8.53,71,11.80,58.00,3.27,17.7,0.45,0.00,0.00,0.0,0.00
Josh Meredith,Washington State,Fres,WashSt,-,-,58,8.41,40,14.43,63.00,6.03,10.4,0.34,0.68,0.17,4.0,0.00
Ty Robinson,Ball State,KentSt,BallSt,-,-,59,8.36,69,11.82,57.06,3.46,16.5,0.44,0.00,0.00,0.0,0.00
Jameson Tucker,Coastal Carolina,JMU,CoastC,-,-,60,8.35,70,11.80,56.18,3.45,16.3,0.45,0.00,0.00,0.0,0.00
Tailique Williams,Georgia State,ODU,ODU,-,-,61,8.14,56,13.12,60.09,4.98,12.1,0.36,0.00,0.00,0.0,0.00
Nick Nash,San Jose State,ColoSt,SJSU,-,-,62,8.13,61,12.76,54.36,4.64,11.7,0.45,0.00,0.00,0.0,0.00
Dalen Cobb,Georgia Southern,Marsh,Marsh,-,-,63,8.10,51,13.81,61.79,5.71,10.8,0.26,3.63,0.61,6.0,0.00
