,,Week 11 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Harold Fannin,Bowling Green,CentMi,BGSU,-,-,1,9.18,1,13.37,60.00,4.19,14.3,0.49,2.22,0.90,2.5,0.00
Colston Loveland,Michigan,Ind,Mich,-,-,2,8.48,3,12.33,57.94,3.85,15.0,0.45,0.00,0.00,0.0,0.00
Oronde Gadsden,Syracuse,BC,Syr,-,-,3,8.47,2,13.09,55.09,4.61,12.0,0.49,0.00,0.00,0.0,0.00
Luke Lachey,Iowa,UCLA,Iowa,-,-,4,8.18,4,12.30,49.45,4.13,12.0,0.54,0.00,0.00,0.0,0.00
Caden Prieskorn,Mississippi,UGa,UGa,-,-,5,7.81,8,11.01,49.28,3.20,15.4,0.48,0.00,0.00,0.0,0.00
Justin Joly,North Carolina State,Duke,Duke,-,-,6,7.54,6,11.54,48.09,4.00,12.0,0.45,0.00,0.00,0.0,0.00
Brant Kuithe,Utah,BYU,BYU,-,-,7,7.54,5,11.54,46.64,4.00,11.7,0.48,0.00,0.00,0.0,0.00
Jake Briningstool,Clemson,VaTech,Clem,-,-,8,7.27,7,11.24,42.25,3.97,10.6,0.51,0.00,0.00,0.0,0.00
Grayson Barnes,Northern Illinois,WestMI,NIU,-,-,9,7.00,16,9.32,42.05,2.33,18.0,0.47,0.00,0.00,0.0,0.00
Oscar Delp,Georgia,Miss,UGa,-,-,10,6.87,9,10.60,45.20,3.73,12.1,0.39,0.00,0.00,0.0,0.00
Tyler Warren,Penn State,Wash,Wash,-,-,11,6.71,14,9.46,37.08,2.75,13.5,0.50,0.00,0.00,0.0,0.00
Holden Willis,Middle Tenn. St,Lib,Lib,-,-,12,6.71,10,10.12,43.25,3.41,12.7,0.40,0.00,0.00,0.0,0.00
River Helms,Western Kentucky,NMSt,WestKy,-,-,13,6.61,12,9.79,38.82,3.18,12.2,0.45,0.00,0.00,0.0,0.00
Drake Dabney,TCU,OkSt,OkSt,-,-,14,6.33,13,9.58,43.33,3.25,13.3,0.33,0.00,0.00,0.0,0.00
Terrance Ferguson,Oregon,MD,MD,-,-,15,6.32,15,9.39,32.60,3.06,10.7,0.51,0.00,0.00,0.0,0.00
Mason Taylor,LSU,Ala,Ala,-,-,16,6.17,11,9.92,40.27,3.75,10.7,0.36,0.00,0.00,0.0,0.00
Benjamin Yurosek,Georgia,Miss,UGa,-,-,17,5.73,21,8.50,34.48,2.76,12.5,0.38,0.00,0.00,0.0,0.00
Michael Harrison,San Diego State,NM,NM,-,-,18,5.70,18,8.94,34.81,3.24,10.7,0.37,0.00,0.00,0.0,0.00
Benjamin Brahmer,Iowa State,Kansas,IaSt,-,-,19,5.59,19,8.86,39.55,3.27,12.1,0.27,0.00,0.00,0.0,0.00
Max Klare,Purdue,OhioSt,Purdue,-,-,20,5.54,17,8.96,33.15,3.43,9.7,0.37,0.00,0.00,0.0,0.00
