,,Week 2 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Kyle Konrardy,Iowa State,Iowa,IaSt,-,-,34,0.00,55,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Lantz,USC,UtahSt,UtahSt,-,-,35,0.00,2,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Loop,Arizona,NoAri,NoAri,-,-,36,0.00,17,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Love,Virginia Tech,Marsh,Marsh,-,-,37,0.00,36,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jack Martin,Houston,Okla,Hou,-,-,38,0.00,5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alejandro Mata,Colorado,Neb,Colo,-,-,39,0.00,45,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nate McCashland,TCU,LIU,LIU,-,-,40,0.00,56,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Graham Nicholson,Alabama,USF,USF,-,-,41,0.00,25,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jai Patel,Rutgers,Akron,Akron,-,-,42,0.00,51,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Todd Pelino,Duke,NW,Duke,-,-,43,0.00,47,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Owen Piepergerdes,Kansas,Ill,Kansas,-,-,44,0.00,32,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Damian Ramos,LSU,Nich,Nich,-,-,45,0.00,39,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alex Raynor,Kentucky,SCar,SCar,-,-,46,0.00,6,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Collin Rogers,SMU,BYU,BYU,-,-,47,0.00,50,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Atticus Sappington,Oregon,Boise,Boise,-,-,48,0.00,31,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Matthew Shipley,Arkansas,OkSt,Ark,-,-,49,0.00,13,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Trey Smack,Florida,Sam,Sam,-,-,50,0.00,40,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Chris Tennant,Kansas State,Tulane,KanSt,-,-,51,0.00,22,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brock Travelstead,Louisville,JacSt,JacSt,-,-,52,0.00,12,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Josh Turbyville,Tennessee,NCSU,Tenn,-,-,53,0.00,46,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nathanial Vakos,Wisconsin,SouDak,SouDak,-,-,54,0.00,41,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kanoah Vinesett,North Carolina State,Tenn,Tenn,-,-,55,0.00,42,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Logan Ward,Oklahoma State,Ark,Ark,-,-,56,0.00,29,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Peyton Woodring,Georgia,TnTech,TnTech,-,-,57,0.00,58,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dominic Zvada,Michigan,Tex,Tex,-,-,58,0.00,37,0.00,0.00,0.00,0.0,0.00,0.00,0.0
