,,Week 2 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,FGM,FGA,FG%,XPM,XPA,XP%
Chase Allen,UTSA,TxSt,Tx-SA,-,-,1,0.00,16,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Bert Auburn,Texas,Mich,Tex,-,-,2,0.00,30,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Cole Becker,Utah,Baylor,Baylor,-,-,3,0.00,26,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Aidan Birr,Georgia Tech,Syr,GaTech,-,-,4,0.00,34,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Randy Bond,Texas A&M,McNe,McNe,-,-,5,0.00,19,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Colton Boomer,Central Florida,SamHou,SamHou,-,-,6,0.00,35,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Andres Borregales,Miami,FlaA&M,FlaA&M,-,-,7,0.00,20,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nick Brown,Liberty,NMSt,Lib,-,-,8,0.00,24,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Carter Brown,Cincinnati,Pitt,Pitt,-,-,9,0.00,44,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Noah Burnette,North Carolina,Char,Char,-,-,10,0.00,14,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Cannon,South Florida,Ala,USF,-,-,11,0.00,23,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Lucas Carneiro,Western Kentucky,EastKy,EastKy,-,-,12,0.00,53,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Coe,California,Auburn,Cal,-,-,13,0.00,11,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Liam Connor,Boston College,Duq,Duq,-,-,14,0.00,52,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Costa,Memphis,Troy,Troy,-,-,15,0.00,21,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Craig,Missouri,Buff,Buff,-,-,16,0.00,54,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonah Dalmas,Boise State,Oregon,Boise,-,-,17,0.00,18,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Davis,Mississippi,MiddTn,MiddTn,-,-,18,0.00,1,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brady Denaburg,Syracuse,GaTech,GaTech,-,-,19,0.00,49,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Ferrie,Mississippi State,AriSt,MissSt,-,-,20,0.00,57,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Will Ferrin,BYU,SMU,BYU,-,-,21,0.00,27,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jayden Fielding,Ohio State,WestMI,WestMI,-,-,22,0.00,38,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Ford,North Texas,SFA,SFA,-,-,23,0.00,43,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Gino Garcia,Texas Tech,WashSt,TxTch,-,-,24,0.00,3,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Grady Gross,Washington,EastMi,EastMi,-,-,25,0.00,48,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Robert Gunn,Clemson,App,App,-,-,26,0.00,33,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Isaiah Hankins,Baylor,Utah,Baylor,-,-,27,0.00,28,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Hayes,West Virginia,Albany,Albany,-,-,28,0.00,4,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Everett Hayes,Oregon State,SDSU,OreSt,-,-,29,0.00,10,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dean Janikowski,Washington State,TxTch,TxTch,-,-,30,0.00,8,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mitch Jeter,Notre Dame,NIU,NIU,-,-,31,0.00,15,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Keltner,Oklahoma,Hou,Hou,-,-,32,0.00,9,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonathan Kim,Michigan State,MD,MSU,-,-,33,0.00,7,0.00,0.00,0.00,0.0,0.00,0.00,0.0
