,,Week 3 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Ollie Gordon,Oklahoma State,Tulsa,OkSt,-,-,1,26.24,1,29.27,136.38,22.00,6.2,1.60,24.87,3.03,8.2,0.08
Omarion Hampton,North Carolina,NCCent,NCCent,-,-,2,19.83,2,21.93,111.47,21.00,5.3,1.09,16.30,2.10,7.8,0.08
Devin Neal,Kansas,UNLV,UNLV,-,-,3,18.38,4,19.99,103.86,17.00,6.1,1.01,13.96,1.61,8.7,0.08
DJ Giddens,Kansas State,Ari,Ari,-,-,4,18.00,5,19.93,99.79,19.00,5.3,0.84,19.67,1.93,10.2,0.17
Darius Taylor,Minnesota,Nevada,Nevada,-,-,5,17.66,9,18.97,111.46,21.00,5.3,0.90,11.19,1.31,8.5,0.00
Quinton Cooley,Liberty,UTEP,UTEP,-,-,6,17.50,15,17.92,102.22,16.00,6.4,1.16,3.15,0.41,7.7,0.00
Jordan James,Oregon,OreSt,Oregon,-,-,7,17.08,6,19.53,88.21,13.00,6.8,0.93,21.78,2.45,8.9,0.08
Makhi Hughes,Tulane,Okla,Tulane,-,-,8,17.03,13,18.21,111.36,21.00,5.3,0.75,8.78,1.17,7.5,0.08
Tahj Brooks,Texas Tech,NorTx,NorTx,-,-,9,16.91,7,19.26,112.82,23.00,4.9,0.76,10.91,2.35,4.6,0.00
Jaydn Ott,California,SDSU,SDSU,-,-,10,16.88,10,18.87,95.56,18.00,5.3,0.83,13.52,1.99,6.8,0.17
Donovan Edwards,Michigan,ArkSt,ArkSt,-,-,11,16.83,12,18.28,87.30,19.00,4.6,0.94,19.34,1.45,13.3,0.09
Ismail Mahdi,Texas State,AriSt,AriSt,-,-,12,16.83,11,18.39,107.67,18.00,6.0,0.82,11.34,1.56,7.3,0.00
Malik Sherrod,Fresno State,NMSt,NMSt,-,-,13,16.59,3,20.19,87.49,17.00,5.1,0.86,21.72,3.61,6.0,0.09
Gavin Sawchuk,Oklahoma,Tulane,Tulane,-,-,14,16.58,16,17.90,92.87,16.00,5.8,0.99,8.58,1.32,6.5,0.08
RJ Harvey,Central Florida,TCU,UCF,-,-,15,16.57,14,17.98,86.99,14.00,6.2,0.97,15.32,1.41,10.9,0.09
Mario Anderson,Memphis,FlaSt,Mem,-,-,16,16.44,8,19.11,81.08,14.00,5.8,0.92,23.33,2.67,8.7,0.08
Damien Martinez,Miami,BallSt,BallSt,-,-,17,16.43,17,17.52,99.00,16.00,6.2,0.92,10.33,1.08,9.6,0.00
Jahiem White,West Virginia,Pitt,WVU,-,-,18,16.37,18,17.13,106.35,17.00,6.3,0.67,12.14,0.75,16.2,0.08
Jalen Buckley,Western Michigan,B-C,B-C,-,-,19,15.37,21,16.91,86.34,16.00,5.4,0.81,13.73,1.54,8.9,0.08
