,,Week 7 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,FGM,FGA,FG%,XPM,XPA,XP%
Chase Allen,UTSA,Rice,Tx-SA,-,-,1,0.00,12,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Bert Auburn,Texas,Okla,Tex,-,-,2,0.00,22,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Cole Becker,Utah,AriSt,Utah,-,-,3,0.00,20,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mateen Bhaghani,UCLA,Minn,Minn,-,-,4,0.00,43,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Aidan Birr,Georgia Tech,UNC,GaTech,-,-,5,0.00,25,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Colton Boomer,Central Florida,Cin,Cin,-,-,6,0.00,26,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Carter Brown,Cincinnati,UCF,Cin,-,-,7,0.00,33,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nick Brown,Liberty,FIU,FIU,-,-,8,0.00,18,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Noah Burnette,North Carolina,GaTech,GaTech,-,-,9,0.00,10,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Cannon,South Florida,Mem,Mem,-,-,10,0.00,17,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Lucas Carneiro,Western Kentucky,UTEP,UTEP,-,-,11,0.00,39,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Coe,California,Pitt,Cal,-,-,12,0.00,8,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Costa,Memphis,USF,Mem,-,-,13,0.00,15,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Craig,Missouri,UMass,Missou,-,-,14,0.00,40,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonah Dalmas,Boise State,Hawaii,Boise,-,-,15,0.00,14,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Davis,Mississippi,LSU,Miss,-,-,16,0.00,1,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brady Denaburg,Syracuse,NCSU,Syr,-,-,17,0.00,37,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Ferrie,Mississippi State,UGa,MissSt,-,-,18,0.00,42,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Will Ferrin,BYU,Ari,Ari,-,-,19,0.00,21,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jayden Fielding,Ohio State,Oregon,OhioSt,-,-,20,0.00,27,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Ford,North Texas,FlaAtl,NorTx,-,-,21,0.00,32,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Grady Gross,Washington,Iowa,Wash,-,-,22,0.00,36,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Robert Gunn,Clemson,Wake,Clem,-,-,23,0.00,24,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Hayes,West Virginia,IaSt,IaSt,-,-,24,0.00,3,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Everett Hayes,Oregon State,Nevada,OreSt,-,-,25,0.00,7,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dean Janikowski,Washington State,Fres,WashSt,-,-,26,0.00,5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mitch Jeter,Notre Dame,Stan,Stan,-,-,27,0.00,11,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Keltner,Oklahoma,Tex,Tex,-,-,28,0.00,6,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Konrardy,Iowa State,WVU,IaSt,-,-,29,0.00,41,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Lantz,USC,PSU,PSU,-,-,30,0.00,2,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Loop,Arizona,BYU,Ari,-,-,31,0.00,13,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alejandro Mata,Colorado,KanSt,KanSt,-,-,32,0.00,34,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Graham Nicholson,Alabama,SCar,SCar,-,-,33,0.00,19,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jai Patel,Rutgers,Wisc,Wisc,-,-,34,0.00,38,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Damian Ramos,LSU,Miss,Miss,-,-,35,0.00,28,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alex Raynor,Kentucky,Vandy,Vandy,-,-,36,0.00,4,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Atticus Sappington,Oregon,OhioSt,OhioSt,-,-,37,0.00,23,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Trey Smack,Florida,Tenn,Fla,-,-,38,0.00,29,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Chris Tennant,Kansas State,Colo,KanSt,-,-,39,0.00,16,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brock Travelstead,Louisville,UVa,Lou,-,-,40,0.00,9,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Josh Turbyville,Tennessee,Fla,Fla,-,-,41,0.00,35,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nathanial Vakos,Wisconsin,Rut,Wisc,-,-,42,0.00,30,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kanoah Vinesett,North Carolina State,Syr,Syr,-,-,43,0.00,31,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Peyton Woodring,Georgia,MissSt,MissSt,-,-,44,0.00,44,0.00,0.00,0.00,0.0,0.00,0.00,0.0
