,,Week 13 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
Kaidon Salter,Liberty,WestKy,WestKy,-,-,1,31.69,1,31.69,215.22,2.30,0.43,16.2,82.46,12.36,6.7,0.94
Byrum Brown,South Florida,Tulsa,Tulsa,-,-,2,29.09,2,29.09,253.69,1.98,0.91,11.9,60.72,15.59,3.9,0.83
Jordan McCloud,Texas State,GaSt,GaSt,-,-,3,27.22,3,27.22,287.29,2.11,0.76,13.0,32.41,9.28,3.5,0.68
Avery Johnson,Kansas State,Cin,Cin,-,-,4,27.10,4,27.10,216.17,1.83,0.83,12.2,51.17,10.25,5.0,1.00
Haynes King,Georgia Tech,NCSU,NCSU,-,-,5,26.79,5,26.79,231.29,2.14,1.32,12.9,50.47,8.88,5.7,0.66
Garrett Greene,West Virginia,UCF,UCF,-,-,6,26.74,6,26.74,215.10,1.43,0.34,15.4,73.99,11.74,6.3,0.84
Jaxson Dart,Mississippi,Fla,Miss,-,-,7,26.52,7,26.52,301.05,2.02,0.51,14.5,33.60,9.35,3.6,0.51
KJ Jefferson,Central Florida,WVU,UCF,-,-,8,26.15,8,26.15,239.92,1.90,0.74,12.7,50.11,12.53,4.0,0.66
Jalen Milroe,Alabama,Okla,Ala,-,-,9,26.14,9,26.14,294.12,2.09,0.75,12.9,25.14,6.60,3.8,0.58
Nico Iamaleava,Tennessee,UTEP,UTEP,-,-,10,25.57,10,25.57,260.70,2.06,0.41,12.9,39.24,9.15,4.3,0.49
Kyron Drones,Virginia Tech,Duke,VaTech,-,-,11,25.43,11,25.43,202.42,1.78,0.34,12.7,76.58,15.20,5.0,0.42
Chandler Morris,North Texas,ECU,ECU,-,-,12,25.23,12,25.23,288.65,2.26,0.67,12.1,26.56,9.44,2.8,0.33
Jackson Arnold,Oklahoma,Ala,Ala,-,-,13,24.91,13,24.91,299.48,2.00,1.00,13.8,29.07,7.27,4.0,0.33
Thomas Castellanos,Boston College,UNC,UNC,-,-,14,24.18,14,24.18,218.81,1.53,1.19,12.4,52.54,9.75,5.4,0.68
Shedeur Sanders,Colorado,Kansas,Colo,-,-,15,23.79,15,23.79,300.27,2.41,0.45,11.1,-5.45,10.89,-0.5,0.45
Brady Cook,Missouri,MissSt,Missou,-,-,16,22.68,16,22.68,257.39,1.71,0.41,13.6,25.88,8.90,2.9,0.49
Cam Ward,Miami,Wake,Wake,-,-,17,22.50,17,22.50,278.63,1.74,0.66,12.4,9.04,9.04,1.0,0.58
Joey Aguilar,Appalachian State,JMU,JMU,-,-,18,22.44,18,22.44,267.17,2.33,0.83,12.8,14.17,5.25,2.7,0.17
Garrett Nussmeier,LSU,Vandy,Vandy,-,-,19,22.13,19,22.13,266.88,2.31,0.91,13.3,7.34,5.61,1.3,0.25
Noah Fifita,Arizona,TCU,Ari,-,-,20,21.97,20,21.97,280.65,2.48,0.86,12.3,3.16,3.16,1.0,0.09
Will Howard,Ohio State,Ind,Ind,-,-,21,21.91,21,21.91,254.84,1.97,0.58,13.4,18.57,4.44,4.2,0.33
Grayson McCall,North Carolina State,GaTech,NCSU,-,-,22,21.85,22,21.85,235.63,1.78,0.85,12.1,22.61,8.13,2.8,0.51
Preston Stone,SMU,UVa,SMU,-,-,23,21.47,23,21.47,261.65,2.02,0.84,13.6,14.14,5.22,2.7,0.25
Conner Weigman,Texas A&M,Auburn,TexA&M,-,-,24,21.42,24,21.42,247.83,1.86,0.68,12.5,20.16,5.76,3.5,0.34
Riley Leonard,Notre Dame,Army,ND,-,-,25,21.34,25,21.34,215.75,2.06,0.41,13.8,24.82,5.03,4.9,0.33
Taylen Green,Arkansas,LaTech,LaTech,-,-,26,21.32,26,21.32,212.94,1.43,1.18,12.1,40.67,9.66,4.2,0.50
Gio Lopez,South Alabama,SouMis,USA,-,-,27,21.32,27,21.32,238.64,1.71,0.90,11.7,24.98,6.75,3.7,0.41
Quinn Ewers,Texas,Kty,Kty,-,-,28,21.22,28,21.22,286.78,1.91,0.58,12.9,6.07,4.99,1.2,0.25
Jaylen Raynor,Arkansas State,UL-Mon,UL-Mon,-,-,29,21.21,29,21.21,238.08,1.51,0.75,14.6,31.35,10.81,2.9,0.42
Carson Beck,Georgia,UMass,UMass,-,-,30,21.20,30,21.20,291.08,1.83,0.58,12.7,7.48,4.41,1.7,0.25
Miller Moss,USC,UCLA,USC,-,-,31,21.16,31,21.16,277.17,2.05,0.77,13.0,8.38,3.68,2.3,0.17
DJ Uiagalelei,Florida State,ChSou,ChSou,-,-,32,21.06,32,21.06,238.60,1.78,0.68,13.5,18.63,7.20,2.6,0.42
Donovan Smith,Houston,Baylor,Baylor,-,-,33,20.96,33,20.96,214.82,1.76,0.92,11.9,28.08,9.39,3.0,0.42
Jacob Zeno,UAB,Rice,Rice,-,-,34,20.81,34,20.81,273.20,1.82,0.83,10.7,10.86,8.38,1.3,0.25
Maddux Madsen,Boise State,Wyo,Boise,-,-,35,20.49,35,20.49,232.23,1.83,0.83,13.4,18.94,5.23,3.6,0.33
LaNorris Sellers,South Carolina,Wof,Wof,-,-,36,20.43,36,20.43,238.41,1.32,0.74,12.5,31.25,8.93,3.5,0.41
Tyler Shough,Louisville,Pitt,Pitt,-,-,37,20.40,37,20.40,247.63,1.84,1.00,11.5,16.37,5.26,3.1,0.25
Jalon Daniels,Kansas,Colo,Colo,-,-,38,19.98,38,19.98,204.04,1.60,0.34,12.8,28.97,9.01,3.2,0.42
JC French,Georgia Southern,CoastC,GaSo,-,-,39,19.95,39,19.95,267.83,1.83,1.08,10.7,9.00,6.00,1.5,0.17
Cameron Rising,Utah,IaSt,IaSt,-,-,40,19.80,40,19.80,210.63,1.65,0.58,12.1,27.91,5.61,5.0,0.33
Dequan Finn,Baylor,Hou,Baylor,-,-,41,19.78,41,19.78,227.31,1.54,1.00,12.1,26.92,6.92,3.9,0.31
Nicholas Vattiato,Middle Tenn. St,NMSt,NMSt,-,-,42,19.73,42,19.73,232.58,1.66,0.99,12.2,23.04,7.96,2.9,0.25
Tucker Gleason,Toledo,Ohio,Ohio,-,-,43,19.72,43,19.72,202.58,1.52,0.68,12.6,35.18,8.78,4.0,0.34
Josh Hoover,TCU,Ari,Ari,-,-,44,19.59,44,19.59,281.45,1.77,1.18,12.3,2.28,3.80,0.6,0.17
John Mateer,Washington State,OreSt,WashSt,-,-,45,19.58,45,19.58,232.36,1.52,0.76,11.5,21.56,8.27,2.6,0.34
TJ Finley,Western Kentucky,Lib,WestKy,-,-,46,19.57,46,19.57,251.77,2.00,0.91,11.0,5.16,3.99,1.3,0.17
E.J. Warner,Rice,UAB,Rice,-,-,47,19.51,47,19.51,244.28,2.28,0.93,12.0,0.93,3.22,0.3,0.08
Rocco Becht,Iowa State,Utah,IaSt,-,-,48,19.40,48,19.40,246.25,1.85,0.67,13.3,6.15,6.07,1.0,0.25
Kurtis Rourke,Indiana,OhioSt,Ind,-,-,49,19.35,49,19.35,241.47,1.57,0.66,11.2,19.31,6.44,3.0,0.25
Danny O'Neil,San Diego State,UtahSt,SDSU,-,-,50,19.34,51,19.34,237.84,1.65,1.07,11.0,12.60,7.00,1.8,0.33
Matthew Sluka,UNLV,SJSU,UNLV,-,-,51,19.34,50,19.34,242.53,1.24,0.82,13.8,27.18,7.00,3.9,0.33
Brayden Fowler-Nicolosi,Colorado State,Fres,ColoSt,-,-,52,19.17,52,19.17,289.81,1.81,1.32,11.6,-1.73,2.89,-0.6,0.08
Logan Smothers,Jacksonville State,SamHou,SamHou,-,-,53,18.97,53,18.97,130.40,0.91,0.66,10.9,51.21,14.19,3.6,0.83
Ashton Daniels,Stanford,Cal,Stan,-,-,54,18.90,54,18.90,243.25,1.26,0.93,11.5,26.07,9.34,2.8,0.25
Cade Klubnik,Clemson,Cit,Cit,-,-,55,18.85,55,18.85,233.88,1.65,0.74,10.1,14.17,9.47,1.5,0.25
Ethan Vasko,Coastal Carolina,GaSo,GaSo,-,-,56,18.70,56,18.70,209.84,1.65,0.58,11.4,27.20,6.51,4.2,0.16
Aidan Chiles,Michigan State,Purdue,Purdue,-,-,57,18.69,57,18.69,226.52,1.43,1.01,13.7,23.77,6.07,3.9,0.25
Jase Bauer,Sam Houston,JacSt,SamHou,-,-,58,18.62,58,18.62,223.18,1.34,1.00,10.2,23.47,8.35,2.8,0.33
Jack Turner,Louisiana Tech,Ark,LaTech,-,-,59,18.56,59,18.56,234.20,1.27,1.10,11.4,16.02,7.25,2.2,0.42
Luke Altmyer,Illinois,Rut,Ill,-,-,60,18.53,60,18.53,224.40,1.50,1.25,11.4,20.38,9.27,2.2,0.25
Blake Shapen,Mississippi State,Missou,Missou,-,-,61,18.44,61,18.44,228.07,1.51,0.76,12.6,12.52,6.55,1.9,0.34
Mikey Keene,Fresno State,ColoSt,ColoSt,-,-,62,18.13,62,18.13,274.68,2.10,1.01,10.5,-17.65,4.45,-4.0,0.08
Anthony Colandrea,Virginia,SMU,SMU,-,-,63,18.01,63,18.01,226.52,1.40,1.05,11.8,28.38,9.78,2.9,0.09
Drew Allar,Penn State,Minn,PSU,-,-,64,18.00,64,18.00,179.45,1.82,0.25,12.5,20.52,6.21,3.3,0.25
Graham Mertz,Florida,Miss,Miss,-,-,65,17.96,65,17.96,252.82,1.76,0.59,11.6,-6.95,5.78,-1.2,0.25
Brendan Sorsby,Cincinnati,KanSt,Cin,-,-,66,17.93,66,17.93,192.98,1.43,0.59,11.7,24.98,8.63,2.9,0.34
Alan Bowman,Oklahoma State,TxTch,TxTch,-,-,67,17.88,67,17.88,280.00,1.51,1.09,11.3,1.51,2.09,0.7,0.08
Behren Morton,Texas Tech,OkSt,TxTch,-,-,68,17.87,68,17.87,233.83,1.73,0.99,10.4,0.91,3.63,0.3,0.25
Hudson Card,Purdue,MSU,Purdue,-,-,69,17.84,69,17.84,207.96,1.25,0.66,11.4,20.36,7.81,2.6,0.42
Parker Navarro,Ohio,Toledo,Ohio,-,-,70,17.42,70,17.42,195.85,1.15,1.07,11.3,30.15,8.13,3.7,0.33
Brett Gabbert,Miami (OH),NIU,NIU,-,-,71,17.35,71,17.35,190.76,1.61,0.85,14.0,17.76,6.43,2.8,0.25
Diego Pavia,Vanderbilt,LSU,Vandy,-,-,72,17.25,72,17.25,177.42,1.23,0.82,13.0,32.68,8.19,4.0,0.33
Spencer Petras,Utah State,SDSU,SDSU,-,-,73,17.19,73,17.19,242.88,1.59,2.17,12.2,1.25,6.10,0.2,0.17
Payton Thorne,Auburn,TexA&M,TexA&M,-,-,74,17.10,74,17.10,176.92,1.52,1.02,10.9,29.05,9.65,3.0,0.17
Tyler Van Dyke,Wisconsin,Neb,Wisc,-,-,75,17.08,75,17.08,241.20,1.69,1.10,11.0,1.77,2.61,0.7,0.08
Max Brown,UNC Charlotte,FlaAtl,Char,-,-,76,16.95,76,16.95,185.67,1.25,1.08,9.9,30.25,10.42,2.9,0.25
Keyone Jenkins,Florida International,KennSt,FIU,-,-,77,16.54,77,16.54,224.38,1.18,1.01,11.7,2.88,9.56,0.3,0.42
Grant Wilson,Old Dominion,Marsh,Marsh,-,-,78,16.51,78,16.51,182.10,1.41,0.75,12.1,20.85,10.47,2.0,0.25
