,,Week 8 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Harold Fannin,Bowling Green,KentSt,KentSt,-,-,1,9.18,1,13.37,60.00,4.19,14.3,0.49,2.22,0.90,2.5,0.00
Colston Loveland,Michigan,Ill,Mich,-,-,2,8.48,2,12.33,57.94,3.85,15.0,0.45,0.00,0.00,0.0,0.00
Luke Lachey,Iowa,MSU,Iowa,-,-,3,8.18,3,12.30,49.45,4.13,12.0,0.54,0.00,0.00,0.0,0.00
Luke Hasz,Arkansas,LSU,LSU,-,-,4,7.70,7,11.06,44.27,3.36,13.2,0.55,0.00,0.00,0.0,0.00
Justin Joly,North Carolina State,Cal,NCSU,-,-,5,7.54,5,11.54,48.09,4.00,12.0,0.45,0.00,0.00,0.0,0.00
Brant Kuithe,Utah,TCU,TCU,-,-,6,7.54,4,11.54,46.64,4.00,11.7,0.48,0.00,0.00,0.0,0.00
Jake Briningstool,Clemson,UVa,UVa,-,-,7,7.27,6,11.24,42.25,3.97,10.6,0.51,0.00,0.00,0.0,0.00
RJ Maryland,SMU,Stan,SMU,-,-,8,7.24,9,10.20,41.86,2.97,14.1,0.51,0.00,0.00,0.0,0.00
Grayson Barnes,Northern Illinois,Toledo,Toledo,-,-,9,7.00,17,9.32,42.05,2.33,18.0,0.47,0.00,0.00,0.0,0.00
Oscar Delp,Georgia,Tex,UGa,-,-,10,6.87,8,10.60,45.20,3.73,12.1,0.39,0.00,0.00,0.0,0.00
Jack Velling,Michigan State,Iowa,Iowa,-,-,11,6.79,15,9.56,40.09,2.78,14.4,0.46,0.00,0.00,0.0,0.00
Holden Willis,Middle Tenn. St,KennSt,KennSt,-,-,12,6.71,10,10.12,43.25,3.41,12.7,0.40,0.00,0.00,0.0,0.00
River Helms,Western Kentucky,SamHou,WestKy,-,-,13,6.61,12,9.79,38.82,3.18,12.2,0.45,0.00,0.00,0.0,0.00
Drake Dabney,TCU,Utah,TCU,-,-,14,6.33,14,9.58,43.33,3.25,13.3,0.33,0.00,0.00,0.0,0.00
Terrance Ferguson,Oregon,Purdue,Oregon,-,-,15,6.32,16,9.39,32.60,3.06,10.7,0.51,0.00,0.00,0.0,0.00
