,,Week 10 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
Kaidon Salter,Liberty,JacSt,JacSt,-,-,1,31.69,1,31.69,215.22,2.30,0.43,16.2,82.46,12.36,6.7,0.94
Byrum Brown,South Florida,FlaAtl,USF,-,-,2,29.09,2,29.09,253.69,1.98,0.91,11.9,60.72,15.59,3.9,0.83
Dillon Gabriel,Oregon,Mich,Oregon,-,-,3,29.02,3,29.02,329.35,2.90,0.66,13.1,17.42,4.23,4.1,0.41
Jordan McCloud,Texas State,UL-Laf,UL-Laf,-,-,4,27.22,4,27.22,287.29,2.11,0.76,13.0,32.41,9.28,3.5,0.68
Avery Johnson,Kansas State,Hou,KanSt,-,-,5,27.10,5,27.10,216.17,1.83,0.83,12.2,51.17,10.25,5.0,1.00
Jaxson Dart,Mississippi,Ark,Miss,-,-,6,26.52,6,26.52,301.05,2.02,0.51,14.5,33.60,9.35,3.6,0.51
KJ Jefferson,Central Florida,Ari,Ari,-,-,7,26.15,7,26.15,239.92,1.90,0.74,12.7,50.11,12.53,4.0,0.66
Nico Iamaleava,Tennessee,Kty,Kty,-,-,8,25.57,8,25.57,260.70,2.06,0.41,12.9,39.24,9.15,4.3,0.49
Seth Henigan,Memphis,Tx-SA,Mem,-,-,9,25.56,9,25.56,295.28,2.40,0.66,12.3,21.60,7.70,2.8,0.33
Kyron Drones,Virginia Tech,Syr,VaTech,-,-,10,25.43,10,25.43,202.42,1.78,0.34,12.7,76.58,15.20,5.0,0.42
Jackson Arnold,Oklahoma,Maine,Maine,-,-,11,24.91,11,24.91,299.48,2.00,1.00,13.8,29.07,7.27,4.0,0.33
Cam Ward,Miami,Duke,Duke,-,-,12,22.50,12,22.50,278.63,1.74,0.66,12.4,9.04,9.04,1.0,0.58
Joey Aguilar,Appalachian State,ODU,ODU,-,-,13,22.44,13,22.44,267.17,2.33,0.83,12.8,14.17,5.25,2.7,0.17
Noah Fifita,Arizona,UCF,Ari,-,-,14,21.97,14,21.97,280.65,2.48,0.86,12.3,3.16,3.16,1.0,0.09
Will Howard,Ohio State,PSU,OhioSt,-,-,15,21.91,15,21.91,254.84,1.97,0.58,13.4,18.57,4.44,4.2,0.33
Grayson McCall,North Carolina State,Stan,Stan,-,-,16,21.85,16,21.85,235.63,1.78,0.85,12.1,22.61,8.13,2.8,0.51
Preston Stone,SMU,Pitt,Pitt,-,-,17,21.47,17,21.47,261.65,2.02,0.84,13.6,14.14,5.22,2.7,0.25
Conner Weigman,Texas A&M,SCar,TexA&M,-,-,18,21.42,18,21.42,247.83,1.86,0.68,12.5,20.16,5.76,3.5,0.34
Taylen Green,Arkansas,Miss,Miss,-,-,19,21.32,19,21.32,212.94,1.43,1.18,12.1,40.67,9.66,4.2,0.50
Gio Lopez,South Alabama,GaSo,GaSo,-,-,20,21.32,20,21.32,238.64,1.71,0.90,11.7,24.98,6.75,3.7,0.41
Carson Beck,Georgia,Fla,Fla,-,-,21,21.20,21,21.20,291.08,1.83,0.58,12.7,7.48,4.41,1.7,0.25
Miller Moss,USC,Wash,USC,-,-,22,21.16,22,21.16,277.17,2.05,0.77,13.0,8.38,3.68,2.3,0.17
DJ Uiagalelei,Florida State,UNC,UNC,-,-,23,21.06,23,21.06,238.60,1.78,0.68,13.5,18.63,7.20,2.6,0.42
Donovan Smith,Houston,KanSt,KanSt,-,-,24,20.96,24,20.96,214.82,1.76,0.92,11.9,28.08,9.39,3.0,0.42
Jacob Zeno,UAB,Tulsa,Tulsa,-,-,25,20.81,25,20.81,273.20,1.82,0.83,10.7,10.86,8.38,1.3,0.25
Maddux Madsen,Boise State,SDSU,SDSU,-,-,26,20.49,26,20.49,232.23,1.83,0.83,13.4,18.94,5.23,3.6,0.33
LaNorris Sellers,South Carolina,TexA&M,TexA&M,-,-,27,20.43,27,20.43,238.41,1.32,0.74,12.5,31.25,8.93,3.5,0.41
Tyler Shough,Louisville,Clem,Lou,-,-,28,20.40,28,20.40,247.63,1.84,1.00,11.5,16.37,5.26,3.1,0.25
Brayden Schager,Hawaii,Fres,Hawaii,-,-,29,20.31,29,20.31,276.90,2.02,1.09,10.6,6.48,8.17,0.8,0.08
JC French,Georgia Southern,USA,GaSo,-,-,30,19.95,30,19.95,267.83,1.83,1.08,10.7,9.00,6.00,1.5,0.17
Dequan Finn,Baylor,TCU,TCU,-,-,31,19.78,31,19.78,227.31,1.54,1.00,12.1,26.92,6.92,3.9,0.31
Nicholas Vattiato,Middle Tenn. St,UTEP,MiddTn,-,-,32,19.73,32,19.73,232.58,1.66,0.99,12.2,23.04,7.96,2.9,0.25
Tucker Gleason,Toledo,EastMi,Toledo,-,-,33,19.72,33,19.72,202.58,1.52,0.68,12.6,35.18,8.78,4.0,0.34
Josh Hoover,TCU,Baylor,TCU,-,-,34,19.59,34,19.59,281.45,1.77,1.18,12.3,2.28,3.80,0.6,0.17
TJ Finley,Western Kentucky,KennSt,KennSt,-,-,35,19.57,35,19.57,251.77,2.00,0.91,11.0,5.16,3.99,1.3,0.17
E.J. Warner,Rice,Navy,Navy,-,-,36,19.51,36,19.51,244.28,2.28,0.93,12.0,0.93,3.22,0.3,0.08
Rocco Becht,Iowa State,TxTch,TxTch,-,-,37,19.40,37,19.40,246.25,1.85,0.67,13.3,6.15,6.07,1.0,0.25
Kurtis Rourke,Indiana,MSU,Ind,-,-,38,19.35,38,19.35,241.47,1.57,0.66,11.2,19.31,6.44,3.0,0.25
Danny O'Neil,San Diego State,Boise,SDSU,-,-,39,19.34,39,19.34,237.84,1.65,1.07,11.0,12.60,7.00,1.8,0.33
Brayden Fowler-Nicolosi,Colorado State,Nevada,ColoSt,-,-,40,19.17,40,19.17,289.81,1.81,1.32,11.6,-1.73,2.89,-0.6,0.08
Logan Smothers,Jacksonville State,Lib,JacSt,-,-,41,18.97,41,18.97,130.40,0.91,0.66,10.9,51.21,14.19,3.6,0.83
Ashton Daniels,Stanford,NCSU,Stan,-,-,42,18.90,42,18.90,243.25,1.26,0.93,11.5,26.07,9.34,2.8,0.25
Cade Klubnik,Clemson,Lou,Lou,-,-,43,18.85,43,18.85,233.88,1.65,0.74,10.1,14.17,9.47,1.5,0.25
Ethan Vasko,Coastal Carolina,Troy,CoastC,-,-,44,18.70,44,18.70,209.84,1.65,0.58,11.4,27.20,6.51,4.2,0.16
Aidan Chiles,Michigan State,Ind,Ind,-,-,45,18.69,45,18.69,226.52,1.43,1.01,13.7,23.77,6.07,3.9,0.25
Jase Bauer,Sam Houston,LaTech,LaTech,-,-,46,18.62,46,18.62,223.18,1.34,1.00,10.2,23.47,8.35,2.8,0.33
Jack Turner,Louisiana Tech,SamHou,LaTech,-,-,47,18.56,47,18.56,234.20,1.27,1.10,11.4,16.02,7.25,2.2,0.42
Luke Altmyer,Illinois,Minn,Minn,-,-,48,18.53,48,18.53,224.40,1.50,1.25,11.4,20.38,9.27,2.2,0.25
Devon Dampier,New Mexico,Wyo,Wyo,-,-,49,18.50,49,18.50,217.63,1.41,0.99,12.2,16.87,6.20,2.7,0.41
Blake Shapen,Mississippi State,UMass,UMass,-,-,50,18.44,50,18.44,228.07,1.51,0.76,12.6,12.52,6.55,1.9,0.34
Mikey Keene,Fresno State,Hawaii,Hawaii,-,-,51,18.13,51,18.13,274.68,2.10,1.01,10.5,-17.65,4.45,-4.0,0.08
Drew Allar,Penn State,OhioSt,OhioSt,-,-,52,18.00,52,18.00,179.45,1.82,0.25,12.5,20.52,6.21,3.3,0.25
