,,Week 4 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
Kaidon Salter,Liberty,ECU,ECU,-,-,1,31.69,1,31.69,215.22,2.30,0.43,16.2,82.46,12.36,6.7,0.94
Byrum Brown,South Florida,Mia-Fl,Mia-Fl,-,-,2,29.09,2,29.09,253.69,1.98,0.91,11.9,60.72,15.59,3.9,0.83
Avery Johnson,Kansas State,BYU,KanSt,-,-,3,27.10,3,27.10,216.17,1.83,0.83,12.2,51.17,10.25,5.0,1.00
Haynes King,Georgia Tech,Lou,GaTech,-,-,4,26.79,4,26.79,231.29,2.14,1.32,12.9,50.47,8.88,5.7,0.66
Garrett Greene,West Virginia,Kansas,Kansas,-,-,5,26.74,5,26.74,215.10,1.43,0.34,15.4,73.99,11.74,6.3,0.84
Jaxson Dart,Mississippi,GaSo,GaSo,-,-,6,26.52,6,26.52,301.05,2.02,0.51,14.5,33.60,9.35,3.6,0.51
Nico Iamaleava,Tennessee,Okla,Tenn,-,-,7,25.57,7,25.57,260.70,2.06,0.41,12.9,39.24,9.15,4.3,0.49
Seth Henigan,Memphis,Navy,Mem,-,-,8,25.56,8,25.56,295.28,2.40,0.66,12.3,21.60,7.70,2.8,0.33
Kyron Drones,Virginia Tech,Rut,Rut,-,-,9,25.43,9,25.43,202.42,1.78,0.34,12.7,76.58,15.20,5.0,0.42
Chandler Morris,North Texas,Wyo,Wyo,-,-,10,25.23,10,25.23,288.65,2.26,0.67,12.1,26.56,9.44,2.8,0.33
Jackson Arnold,Oklahoma,Tenn,Tenn,-,-,11,24.91,11,24.91,299.48,2.00,1.00,13.8,29.07,7.27,4.0,0.33
Thomas Castellanos,Boston College,MSU,MSU,-,-,12,24.18,12,24.18,218.81,1.53,1.19,12.4,52.54,9.75,5.4,0.68
Shedeur Sanders,Colorado,Baylor,Baylor,-,-,13,23.79,13,23.79,300.27,2.41,0.45,11.1,-5.45,10.89,-0.5,0.45
Brady Cook,Missouri,Vandy,Vandy,-,-,14,22.68,14,22.68,257.39,1.71,0.41,13.6,25.88,8.90,2.9,0.49
Cam Ward,Miami,USF,Mia-Fl,-,-,15,22.50,15,22.50,278.63,1.74,0.66,12.4,9.04,9.04,1.0,0.58
Joey Aguilar,Appalachian State,USA,USA,-,-,16,22.44,16,22.44,267.17,2.33,0.83,12.8,14.17,5.25,2.7,0.17
Garrett Nussmeier,LSU,UCLA,UCLA,-,-,17,22.13,17,22.13,266.88,2.31,0.91,13.3,7.34,5.61,1.3,0.25
Will Howard,Ohio State,Marsh,Marsh,-,-,18,21.91,18,21.91,254.84,1.97,0.58,13.4,18.57,4.44,4.2,0.33
