,,Week 6 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,FGM,FGA,FG%,XPM,XPA,XP%
Mateen Bhaghani,UCLA,PSU,UCLA,-,-,1,0.00,41,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Aidan Birr,Georgia Tech,Duke,Duke,-,-,2,0.00,23,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Randy Bond,Texas A&M,Missou,Missou,-,-,3,0.00,15,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Colton Boomer,Central Florida,Fla,UCF,-,-,4,0.00,24,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Andres Borregales,Miami,Cal,Mia-Fl,-,-,5,0.00,16,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Noah Burnette,North Carolina,Pitt,Pitt,-,-,6,0.00,12,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Coe,California,Mia-Fl,Mia-Fl,-,-,7,0.00,9,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Liam Connor,Boston College,UVa,BC,-,-,8,0.00,37,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Craig,Missouri,TexA&M,Missou,-,-,9,0.00,38,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonah Dalmas,Boise State,UtahSt,UtahSt,-,-,10,0.00,14,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Davis,Mississippi,SCar,Miss,-,-,11,0.00,1,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brady Denaburg,Syracuse,UNLV,Syr,-,-,12,0.00,34,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jayden Fielding,Ohio State,Iowa,Iowa,-,-,13,0.00,27,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Fitzgerald,Florida State,Clem,Clem,-,-,14,0.00,7,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Gino Garcia,Texas Tech,Ari,TxTch,-,-,15,0.00,3,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Grady Gross,Washington,Mich,Mich,-,-,16,0.00,33,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Robert Gunn,Clemson,FlaSt,Clem,-,-,17,0.00,22,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Isaiah Hankins,Baylor,IaSt,Baylor,-,-,18,0.00,18,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Hayes,West Virginia,OkSt,WVU,-,-,19,0.00,4,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Everett Hayes,Oregon State,ColoSt,ColoSt,-,-,20,0.00,8,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonathan Kim,Michigan State,Oregon,MSU,-,-,21,0.00,6,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Konrardy,Iowa State,Baylor,Baylor,-,-,22,0.00,39,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Lantz,USC,Minn,USC,-,-,23,0.00,2,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Loop,Arizona,TxTch,TxTch,-,-,24,0.00,13,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Love,Virginia Tech,Stan,VaTech,-,-,25,0.00,25,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jack Martin,Houston,TCU,Hou,-,-,26,0.00,5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nate McCashland,TCU,Hou,Hou,-,-,27,0.00,40,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Graham Nicholson,Alabama,Vandy,Ala,-,-,28,0.00,17,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jai Patel,Rutgers,Neb,Rut,-,-,29,0.00,36,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Todd Pelino,Duke,GaTech,Duke,-,-,30,0.00,32,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Owen Piepergerdes,Kansas,AriSt,Kansas,-,-,31,0.00,21,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Collin Rogers,SMU,Lou,SMU,-,-,32,0.00,35,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Atticus Sappington,Oregon,MSU,MSU,-,-,33,0.00,20,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Matthew Shipley,Arkansas,Tenn,Tenn,-,-,34,0.00,11,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Trey Smack,Florida,UCF,UCF,-,-,35,0.00,28,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brock Travelstead,Louisville,SMU,SMU,-,-,36,0.00,10,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Josh Turbyville,Tennessee,Ark,Tenn,-,-,37,0.00,31,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nathanial Vakos,Wisconsin,Purdue,Purdue,-,-,38,0.00,29,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kanoah Vinesett,North Carolina State,Wake,Wake,-,-,39,0.00,30,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Logan Ward,Oklahoma State,WVU,WVU,-,-,40,0.00,19,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Peyton Woodring,Georgia,Auburn,Auburn,-,-,41,0.00,42,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dominic Zvada,Michigan,Wash,Mich,-,-,42,0.00,26,0.00,0.00,0.00,0.0,0.00,0.00,0.0
