,,Week 4 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Boden Groen,Rice,Army,Rice,-,-,44,4.54,36,7.50,31.04,2.96,10.5,0.24,0.00,0.00,0.0,0.00
Mark Redman,Louisville,GaTech,GaTech,-,-,45,4.48,41,7.19,29.35,2.71,10.8,0.26,0.00,0.00,0.0,0.00
Kamari Morales,Boston College,MSU,MSU,-,-,46,4.47,44,7.08,34.26,2.61,13.1,0.17,0.00,0.00,0.0,0.00
Michael Trigg,Baylor,Colo,Baylor,-,-,47,4.46,46,6.96,29.58,2.50,11.8,0.25,0.00,0.00,0.0,0.00
Bentley Hanshaw,Liberty,ECU,ECU,-,-,48,4.45,69,5.93,18.43,1.48,12.5,0.43,0.00,0.00,0.0,0.00
Alex Bauman,Tulane,UL-Laf,Tulane,-,-,49,4.31,59,6.41,20.63,2.10,9.8,0.38,0.00,0.00,0.0,0.00
John Copenhaver,North Carolina,JMU,JMU,-,-,50,4.25,64,6.16,26.18,1.91,13.7,0.27,0.00,0.00,0.0,0.00
Moliki Matavao,UCLA,LSU,UCLA,-,-,51,4.23,55,6.58,26.70,2.35,11.4,0.26,0.00,0.00,0.0,0.00
Mason Williams,Ohio,Kty,Ohio,-,-,52,4.22,52,6.71,26.22,2.49,10.5,0.27,0.00,0.00,0.0,0.00
Jake Newell,Akron,SCar,Akron,-,-,53,4.18,45,7.02,25.78,2.84,9.1,0.27,0.00,0.00,0.0,0.00
Tyler Fromm,Georgia Southern,Miss,GaSo,-,-,54,4.15,60,6.38,24.74,2.23,11.1,0.28,0.00,0.00,0.0,0.00
Sean Brown,Jacksonville State,SouMis,SouMis,-,-,55,4.10,76,5.21,20.40,1.11,18.4,0.34,0.00,0.00,0.0,0.00
Joey Beljan,Cincinnati,Hou,Hou,-,-,56,4.07,65,6.02,22.73,1.95,11.7,0.30,0.00,0.00,0.0,0.00
Nicky Dalmolin,Duke,MiddTn,Duke,-,-,57,4.07,54,6.67,29.49,2.60,11.3,0.19,0.00,0.00,0.0,0.00
Markeston Douglas,Arizona State,TxTch,AriSt,-,-,58,4.07,58,6.45,29.24,2.38,12.3,0.19,0.00,0.00,0.0,0.00
Jaxxon Warren,Colorado State,UTEP,UTEP,-,-,59,4.07,51,6.73,29.24,2.67,11.0,0.19,0.00,0.00,0.0,0.00
Dominick Mazotti,Massachusetts,CentCt,CentCt,-,-,60,4.02,53,6.69,28.76,2.67,10.8,0.19,0.00,0.00,0.0,0.00
Brady Hunt,South Carolina,Akron,Akron,-,-,61,4.01,48,6.90,29.87,2.89,10.3,0.17,0.00,0.00,0.0,0.00
