,,Week 10 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Tetairoa McMillan,Arizona,UCF,Ari,-,-,1,16.33,1,23.28,110.35,6.95,15.9,0.88,0.18,0.09,2.0,0.00
Evan Stewart,Oregon,Mich,Oregon,-,-,2,14.73,4,20.59,94.89,5.85,16.2,0.87,0.00,0.00,0.0,0.00
Tory Horton,Colorado State,Nevada,ColoSt,-,-,3,14.05,2,22.07,99.89,8.03,12.4,0.68,0.00,0.00,0.0,0.00
Tez Johnson,Oregon,Mich,Oregon,-,-,4,13.96,3,20.73,93.34,6.77,13.8,0.77,0.00,0.00,0.0,0.00
Joey Hobert,Texas State,UL-Laf,UL-Laf,-,-,5,12.34,5,19.24,81.35,6.90,11.8,0.70,0.09,0.09,1.0,0.00
Xavier Restrepo,Miami,Duke,Duke,-,-,6,12.33,6,19.20,92.00,6.87,13.4,0.52,0.00,0.00,0.0,0.00
Kevin Concepcion,North Carolina State,Stan,Stan,-,-,7,12.21,10,18.26,72.08,6.05,11.9,0.65,10.72,1.55,6.9,0.00
Roc Taylor,Memphis,Tx-SA,Mem,-,-,8,12.00,13,17.91,93.26,5.91,15.8,0.44,0.26,0.18,1.4,0.00
Sean Atkins,South Florida,FlaAtl,USF,-,-,9,11.72,7,18.72,80.12,7.01,11.4,0.56,3.58,0.48,7.5,0.00
Kaedin Robinson,Appalachian State,ODU,ODU,-,-,10,11.67,19,17.12,74.29,5.45,13.6,0.70,0.18,0.09,2.0,0.00
Jamaal Pritchett,South Alabama,GaSo,GaSo,-,-,11,11.66,12,17.97,80.22,6.32,12.7,0.61,0.00,0.00,0.0,0.00
Will Pauling,Wisconsin,Iowa,Wisc,-,-,12,11.63,8,18.70,79.01,7.07,11.2,0.61,0.61,0.09,6.8,0.00
Tre Harris,Mississippi,Ark,Miss,-,-,13,11.60,20,16.36,82.77,4.75,17.4,0.55,0.00,0.00,0.0,0.00
Pofele Ashlock,Hawaii,Fres,Hawaii,-,-,14,11.58,11,18.19,66.20,6.61,10.0,0.83,0.00,0.00,0.0,0.00
Emeka Egbuka,Ohio State,PSU,OhioSt,-,-,15,11.46,17,17.38,73.62,5.92,12.4,0.65,2.11,0.41,5.1,0.00
Eugene Wilson,Florida,UGa,Fla,-,-,16,11.39,18,17.14,65.25,5.75,11.3,0.75,3.67,0.50,7.3,0.00
Deion Burks,Oklahoma,Maine,Maine,-,-,17,11.36,16,17.42,77.02,6.06,12.7,0.61,0.26,0.09,2.9,0.00
Noah Smith,Sam Houston,LaTech,LaTech,-,-,18,11.19,15,17.44,62.83,6.25,10.1,0.50,9.08,2.33,3.9,0.17
Brennan Presley,Oklahoma State,AriSt,AriSt,-,-,19,11.17,9,18.67,76.91,7.51,10.2,0.44,3.32,0.87,3.8,0.09
Jayden Higgins,Iowa State,TxTch,TxTch,-,-,20,11.11,27,15.51,81.80,4.40,18.6,0.49,0.00,0.00,0.0,0.00
Jeremiah Hunter,Washington,USC,USC,-,-,21,10.92,21,16.32,73.00,5.40,13.5,0.60,0.20,0.10,2.0,0.00
Derwin Burgess,Georgia Southern,USA,GaSo,-,-,22,10.82,14,17.73,75.45,6.91,10.9,0.55,0.00,0.00,0.0,0.00
Elic Ayomanor,Stanford,NCSU,Stan,-,-,23,10.81,26,15.91,79.41,5.10,15.6,0.48,0.00,0.00,0.0,0.00
Josh Kelly,Texas Tech,IaSt,TxTch,-,-,24,10.81,25,15.91,71.91,5.11,14.1,0.60,0.43,0.09,4.8,0.00
Kobe Hudson,Central Florida,Ari,Ari,-,-,25,10.80,30,14.77,72.61,3.96,18.3,0.59,0.00,0.00,0.0,0.00
