,,Week 2 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Tetairoa McMillan,Arizona,NoAri,NoAri,-,-,1,16.33,1,23.28,110.35,6.95,15.9,0.88,0.18,0.09,2.0,0.00
Evan Stewart,Oregon,Boise,Boise,-,-,2,14.73,4,20.59,94.89,5.85,16.2,0.87,0.00,0.00,0.0,0.00
Ricky White,UNLV,UtahTe,UtahTe,-,-,3,14.09,5,20.34,105.83,6.25,16.9,0.58,0.08,0.08,1.0,0.00
Tory Horton,Colorado State,NorCol,NorCol,-,-,4,14.05,2,22.07,99.89,8.03,12.4,0.68,0.00,0.00,0.0,0.00
Tez Johnson,Oregon,Boise,Boise,-,-,5,13.96,3,20.73,93.34,6.77,13.8,0.77,0.00,0.00,0.0,0.00
Jalen Royals,Utah State,USC,UtahSt,-,-,6,13.83,6,19.96,94.09,6.14,15.3,0.74,0.00,0.00,0.0,0.00
Luther Burden III,Missouri,Buff,Buff,-,-,7,13.79,7,19.92,94.84,6.13,15.5,0.68,2.27,0.53,4.3,0.00
Joey Hobert,Texas State,Tx-SA,Tx-SA,-,-,8,12.34,8,19.24,81.35,6.90,11.8,0.70,0.09,0.09,1.0,0.00
Xavier Restrepo,Miami,FlaA&M,FlaA&M,-,-,9,12.33,9,19.20,92.00,6.87,13.4,0.52,0.00,0.00,0.0,0.00
Kevin Concepcion,North Carolina State,Tenn,Tenn,-,-,10,12.21,13,18.26,72.08,6.05,11.9,0.65,10.72,1.55,6.9,0.00
Germie Bernard,Alabama,USF,USF,-,-,11,12.13,16,17.87,80.29,5.74,14.0,0.53,3.97,1.15,3.5,0.09
Roc Taylor,Memphis,Troy,Troy,-,-,12,12.00,15,17.91,93.26,5.91,15.8,0.44,0.26,0.18,1.4,0.00
Kyren Lacy,LSU,Nich,Nich,-,-,13,11.79,25,16.98,76.85,5.19,14.8,0.68,0.17,0.09,1.9,0.00
Sean Atkins,South Florida,Ala,USF,-,-,14,11.72,10,18.72,80.12,7.01,11.4,0.56,3.58,0.48,7.5,0.00
Kaedin Robinson,Appalachian State,Clem,App,-,-,15,11.67,22,17.12,74.29,5.45,13.6,0.70,0.18,0.09,2.0,0.00
Jamaal Pritchett,South Alabama,Ohio,USA,-,-,16,11.66,14,17.97,80.22,6.32,12.7,0.61,0.00,0.00,0.0,0.00
Will Pauling,Wisconsin,SouDak,SouDak,-,-,17,11.63,11,18.70,79.01,7.07,11.2,0.61,0.61,0.09,6.8,0.00
Tre Harris,Mississippi,MiddTn,MiddTn,-,-,18,11.60,27,16.36,82.77,4.75,17.4,0.55,0.00,0.00,0.0,0.00
Emeka Egbuka,Ohio State,WestMI,WestMI,-,-,19,11.46,20,17.38,73.62,5.92,12.4,0.65,2.11,0.41,5.1,0.00
Eugene Wilson,Florida,Sam,Sam,-,-,20,11.39,21,17.14,65.25,5.75,11.3,0.75,3.67,0.50,7.3,0.00
Deion Burks,Oklahoma,Hou,Hou,-,-,21,11.36,19,17.42,77.02,6.06,12.7,0.61,0.26,0.09,2.9,0.00
Malachi Fields,Virginia,Wake,UVa,-,-,22,11.24,24,17.01,79.91,5.77,13.8,0.54,0.09,0.09,1.0,0.00
Noah Smith,Sam Houston,UCF,SamHou,-,-,23,11.19,18,17.44,62.83,6.25,10.1,0.50,9.08,2.33,3.9,0.17
Brennan Presley,Oklahoma State,Ark,Ark,-,-,24,11.17,12,18.67,76.91,7.51,10.2,0.44,3.32,0.87,3.8,0.09
Jayden Higgins,Iowa State,Iowa,IaSt,-,-,25,11.11,36,15.51,81.80,4.40,18.6,0.49,0.00,0.00,0.0,0.00
Kyle Williams,Washington State,TxTch,TxTch,-,-,26,11.06,26,16.40,74.24,5.33,13.9,0.60,0.26,0.26,1.0,0.00
Jeremiah Hunter,Washington,EastMi,EastMi,-,-,27,10.92,28,16.32,73.00,5.40,13.5,0.60,0.20,0.10,2.0,0.00
Derwin Burgess,Georgia Southern,Nevada,GaSo,-,-,28,10.82,17,17.73,75.45,6.91,10.9,0.55,0.00,0.00,0.0,0.00
Elic Ayomanor,Stanford,CalPly,CalPly,-,-,29,10.81,33,15.91,79.41,5.10,15.6,0.48,0.00,0.00,0.0,0.00
Josh Kelly,Texas Tech,WashSt,TxTch,-,-,30,10.81,34,15.91,71.91,5.11,14.1,0.60,0.43,0.09,4.8,0.00
Kobe Hudson,Central Florida,SamHou,SamHou,-,-,31,10.80,40,14.77,72.61,3.96,18.3,0.59,0.00,0.00,0.0,0.00
Eric Singleton,Georgia Tech,Syr,GaTech,-,-,32,10.74,35,15.87,76.54,5.13,14.9,0.50,0.59,0.08,7.4,0.00
Lajohntay Wester,Colorado,Neb,Colo,-,-,33,10.73,23,17.06,66.86,6.34,10.5,0.64,1.84,0.28,6.6,0.00
Squirrel White,Tennessee,NCSU,Tenn,-,-,34,10.68,31,16.21,76.12,5.53,13.8,0.49,0.99,0.16,6.2,0.00
Rashod Owens,Oklahoma State,Ark,Ark,-,-,35,10.59,30,16.21,81.17,5.61,14.5,0.41,0.00,0.00,0.0,0.00
Nic Anderson,Oklahoma,Hou,Hou,-,-,36,10.57,54,14.02,71.18,3.45,20.6,0.58,0.00,0.00,0.0,0.00
Travis Hunter,Colorado,Neb,Colo,-,-,37,10.33,32,16.12,73.88,5.80,12.7,0.49,0.00,0.00,0.0,0.00
Caullin Lacy,Louisville,JacSt,JacSt,-,-,38,10.31,29,16.21,69.33,5.91,11.7,0.56,0.00,0.00,0.0,0.00
Demeer Blankumsee,Memphis,Troy,Troy,-,-,39,10.12,43,14.64,73.54,4.52,16.3,0.44,1.06,0.18,5.9,0.00
Isaiah Bond,Texas,Mich,Tex,-,-,40,10.02,37,15.19,75.39,5.17,14.6,0.40,0.57,0.16,3.6,0.00
Kole Wilson,Texas State,Tx-SA,Tx-SA,-,-,41,9.81,38,14.98,59.23,5.17,11.5,0.65,0.08,0.16,0.5,0.00
Kelly Akharaiyi,Mississippi State,AriSt,MissSt,-,-,42,9.80,56,13.97,68.53,4.18,16.4,0.44,2.76,0.53,5.2,0.00
Jalen Moss,Fresno State,Sac,Sac,-,-,43,9.71,39,14.77,65.07,5.07,12.8,0.53,0.00,0.00,0.0,0.00
