,,Week 2 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Kamdyn Benjamin,Tulsa,ArkSt,Tulsa,-,-,44,9.68,52,14.09,65.07,4.41,14.8,0.52,0.60,0.09,6.7,0.00
Denzel Boston,Washington,EastMi,EastMi,-,-,45,9.62,44,14.57,66.56,4.95,13.4,0.49,0.00,0.00,0.0,0.00
Jordan Moore,Duke,NW,Duke,-,-,46,9.62,57,13.90,60.53,4.28,14.1,0.57,1.70,0.48,3.5,0.00
Chrishon McCray,Kent,StF-Pa,StF-Pa,-,-,47,9.59,47,14.21,69.86,4.62,15.1,0.41,1.32,0.33,4.0,0.00
Daniel Jackson,Minnesota,URI,URI,-,-,48,9.55,49,14.14,64.70,4.58,14.1,0.51,0.25,0.08,3.1,0.00
Damon Ward,North Texas,SFA,SFA,-,-,49,9.54,48,14.15,58.22,4.61,12.6,0.62,0.00,0.00,0.0,0.00
Will Sheppard,Colorado,Neb,Colo,-,-,50,9.49,53,14.08,62.56,4.58,13.7,0.54,0.00,0.00,0.0,0.00
Devin McCuin,UTSA,TxSt,Tx-SA,-,-,51,9.44,42,14.68,68.04,5.25,13.0,0.43,0.52,0.09,5.8,0.00
Chris Bell,Louisville,JacSt,JacSt,-,-,52,9.40,46,14.37,68.72,4.97,13.8,0.42,0.00,0.00,0.0,0.00
Chris Tyree,Virginia,Wake,UVa,-,-,53,9.29,50,14.14,60.48,4.85,12.5,0.47,4.39,1.49,2.9,0.00
Antwane Wells Jr.,Mississippi,MiddTn,MiddTn,-,-,54,9.26,62,13.51,65.92,4.25,15.5,0.44,0.09,0.09,1.0,0.00
Dalvin Smith,Western Kentucky,EastKy,EastKy,-,-,55,9.25,41,14.70,57.57,5.44,10.6,0.58,0.33,0.08,4.1,0.00
Elijhah Badger,Florida,Sam,Sam,-,-,56,9.08,59,13.72,73.88,4.64,15.9,0.25,1.77,0.34,5.2,0.00
Jaylin Noel,Iowa State,Iowa,IaSt,-,-,57,9.05,55,13.99,60.78,4.94,12.3,0.49,0.08,0.08,1.0,0.00
Johntay Cook II,Texas,Mich,Tex,-,-,58,9.03,68,12.85,53.22,3.83,13.9,0.61,0.52,0.17,3.1,0.00
Dorian Singer,Utah,Baylor,Baylor,-,-,59,8.98,73,12.47,54.45,3.49,15.6,0.54,3.13,0.54,5.8,0.00
Zachariah Branch,USC,UtahSt,UtahSt,-,-,60,8.87,66,12.99,61.61,4.12,15.0,0.36,5.55,0.81,6.9,0.00
Trayvon Rudolph,Northern Illinois,ND,NIU,-,-,61,8.77,60,13.66,52.00,4.89,10.6,0.27,14.40,1.87,7.7,0.09
Eric McAlister,TCU,LIU,LIU,-,-,62,8.73,63,13.17,64.53,4.44,14.5,0.36,1.42,0.36,3.9,0.00
Xzavier Henderson,Cincinnati,Pitt,Pitt,-,-,63,8.55,61,13.54,65.86,4.99,13.2,0.33,0.00,0.00,0.0,0.00
Jeremiah Smith,Ohio State,WestMI,WestMI,-,-,64,8.55,75,12.36,56.35,3.81,14.8,0.49,0.00,0.00,0.0,0.00
Treon Sibley,Liberty,NMSt,Lib,-,-,65,8.53,86,11.80,58.00,3.27,17.7,0.45,0.00,0.00,0.0,0.00
Jacolby George,Miami,FlaA&M,FlaA&M,-,-,66,8.51,77,12.27,56.32,3.76,15.0,0.48,0.00,0.00,0.0,0.00
Elijah Sarratt,Indiana,WestIl,WestIl,-,-,67,8.51,67,12.95,59.24,4.44,13.3,0.43,0.26,0.09,2.9,0.00
Josh Meredith,Washington State,TxTch,TxTch,-,-,68,8.41,45,14.43,63.00,6.03,10.4,0.34,0.68,0.17,4.0,0.00
Lawrence Arnold,Kansas,Ill,Kansas,-,-,69,8.40,89,11.76,56.00,3.36,16.7,0.45,0.73,0.09,8.1,0.00
Ty Robinson,Ball State,MoStU,MoStU,-,-,70,8.36,84,11.82,57.06,3.46,16.5,0.44,0.00,0.00,0.0,0.00
Jameson Tucker,Coastal Carolina,W&M,W&M,-,-,71,8.35,87,11.80,56.18,3.45,16.3,0.45,0.00,0.00,0.0,0.00
Marquis Shoulders,Houston,Okla,Hou,-,-,72,8.33,74,12.44,57.05,4.11,13.9,0.44,0.00,0.00,0.0,0.00
Joseph Manjack,Houston,Okla,Hou,-,-,73,8.32,78,12.20,50.91,3.88,13.1,0.53,0.53,0.26,2.0,0.00
Ketron Jackson,Baylor,Utah,Baylor,-,-,74,8.30,82,11.93,56.78,3.63,15.6,0.43,0.35,0.09,3.9,0.00
Noah Thomas,Texas A&M,McNe,McNe,-,-,75,8.23,71,12.66,55.38,4.43,12.5,0.44,0.35,0.35,1.0,0.00
Tailique Williams,Georgia State,Chat,Chat,-,-,76,8.14,64,13.12,60.09,4.98,12.1,0.36,0.00,0.00,0.0,0.00
Nick Nash,San Jose State,AF,SJSU,-,-,77,8.13,70,12.76,54.36,4.64,11.7,0.45,0.00,0.00,0.0,0.00
Dalen Cobb,Georgia Southern,Nevada,GaSo,-,-,78,8.10,58,13.81,61.79,5.71,10.8,0.26,3.63,0.61,6.0,0.00
Kris Hutson,Washington State,TxTch,TxTch,-,-,79,8.10,69,12.83,59.50,4.73,12.6,0.35,0.53,0.18,2.9,0.00
Anthony Simpson,Massachusetts,Toledo,UMass,-,-,80,8.05,72,12.65,62.98,4.60,13.7,0.26,2.21,0.51,4.3,0.00
Shazz Preston,Tulane,KanSt,KanSt,-,-,81,8.03,120,10.95,52.62,2.92,18.0,0.46,0.00,0.00,0.0,0.00
Courtney Jackson,Arkansas State,Tulsa,Tulsa,-,-,82,8.02,116,11.10,54.83,3.08,17.8,0.42,0.33,0.08,4.1,0.00
Dante Wright,Temple,Navy,Temple,-,-,83,7.95,83,11.90,53.10,3.96,13.4,0.44,0.00,0.00,0.0,0.00
Carnell Tate,Ohio State,WestMI,WestMI,-,-,84,7.94,90,11.72,54.74,3.78,14.5,0.41,0.00,0.00,0.0,0.00
Amare Thomas,UAB,UL-Mon,UAB,-,-,85,7.90,51,14.13,55.92,6.23,9.0,0.34,2.86,0.34,8.4,0.00
Nyck Harbor,South Carolina,Kty,SCar,-,-,86,7.89,104,11.38,58.95,3.49,16.9,0.32,0.49,0.16,3.1,0.00
Yulkeith Brown,Tulane,KanSt,KanSt,-,-,87,7.85,108,11.30,45.73,3.45,13.3,0.27,10.91,1.09,10.0,0.09
Savion Williams,TCU,LIU,LIU,-,-,88,7.85,95,11.61,51.31,3.76,13.6,0.36,5.73,1.07,5.4,0.00
Omari Kelly,Middle Tenn. St,Miss,MiddTn,-,-,89,7.84,76,12.34,59.06,4.51,13.1,0.32,0.00,0.00,0.0,0.00
Kris Mitchell,Notre Dame,NIU,NIU,-,-,90,7.84,162,10.20,43.67,2.37,18.4,0.57,0.41,0.08,5.1,0.00
Theo Wease Jr.,Missouri,Buff,Buff,-,-,91,7.75,101,11.50,52.50,3.75,14.0,0.42,0.00,0.00,0.0,0.00
Chris Brazzell II,Tennessee,NCSU,Tenn,-,-,92,7.74,139,10.63,49.30,2.89,17.1,0.47,0.00,0.00,0.0,0.00
Mario Williams,Tulane,KanSt,KanSt,-,-,93,7.72,79,12.09,55.13,4.38,12.6,0.35,1.05,0.26,4.0,0.00
Tyrin Smith,Cincinnati,Pitt,Pitt,-,-,94,7.68,98,11.56,50.38,3.88,13.0,0.35,5.21,0.71,7.3,0.00
Ali Jennings,Virginia Tech,Marsh,Marsh,-,-,95,7.67,111,11.22,52.97,3.55,14.9,0.39,0.00,0.00,0.0,0.00
Donavon Greene,Wake Forest,UVa,UVa,-,-,96,7.66,100,11.55,55.29,3.90,14.2,0.35,0.00,0.00,0.0,0.00
Jordan Hudson,SMU,BYU,BYU,-,-,97,7.65,144,10.54,43.67,2.89,15.1,0.55,0.00,0.00,0.0,0.00
Trond Grizzell,California,Auburn,Cal,-,-,98,7.62,123,10.92,50.87,3.30,15.4,0.42,0.00,0.00,0.0,0.00
Louis Brown,San Diego State,OreSt,OreSt,-,-,99,7.61,81,12.03,48.45,4.42,11.0,0.46,0.00,0.00,0.0,0.00
Chase Sowell,East Carolina,ODU,ECU,-,-,100,7.61,88,11.77,56.08,4.17,13.4,0.33,0.00,0.00,0.0,0.00
De'Corian Clark,UTSA,TxSt,Tx-SA,-,-,101,7.60,105,11.33,51.65,3.73,13.8,0.41,0.00,0.00,0.0,0.00
Makai Lemon,USC,UtahSt,UtahSt,-,-,102,7.59,85,11.80,48.00,4.21,11.4,0.45,1.07,0.18,5.9,0.00
Pat Bryant,Illinois,Kansas,Kansas,-,-,103,7.58,114,11.17,47.77,3.58,13.3,0.47,0.00,0.00,0.0,0.00
Tyler Brown,Clemson,App,App,-,-,104,7.54,80,12.08,49.05,4.54,10.8,0.41,2.03,0.16,12.7,0.00
Landon Ransom-Goelz,Rice,TxSo,TxSo,-,-,105,7.53,112,11.21,49.54,3.69,13.4,0.43,0.00,0.00,0.0,0.00
Corey Rucker,Arkansas State,Tulsa,Tulsa,-,-,106,7.52,129,10.75,58.60,3.23,18.1,0.27,0.45,0.09,5.0,0.00
Devin Voisin,South Alabama,Ohio,USA,-,-,107,7.47,117,11.07,55.52,3.60,15.4,0.32,0.00,0.00,0.0,0.00
Jahdae Walker,Texas A&M,McNe,McNe,-,-,108,7.47,126,10.88,51.92,3.42,15.2,0.33,2.75,0.67,4.1,0.00
Montorie Foster,Michigan State,MD,MSU,-,-,109,7.46,106,11.31,53.02,3.85,13.8,0.35,0.61,0.18,3.4,0.00
Ja'Corey Brooks,Louisville,JacSt,JacSt,-,-,110,7.44,136,10.70,43.26,3.26,13.3,0.52,0.00,0.00,0.0,0.00
Tobias Merriweather,California,Auburn,Cal,-,-,111,7.44,145,10.52,50.76,3.08,16.5,0.39,0.00,0.00,0.0,0.00
Cam Camper,Boise State,Oregon,Boise,-,-,112,7.40,153,10.32,50.92,2.92,17.4,0.38,0.00,0.00,0.0,0.00
Lewis Bond,Boston College,Duq,Duq,-,-,113,7.39,134,10.72,47.92,3.33,14.4,0.42,1.00,0.17,5.9,0.00
Jordan Watkins,Mississippi,MiddTn,MiddTn,-,-,114,7.36,97,11.56,58.11,4.20,13.8,0.26,0.09,0.09,1.0,0.00
Kaden Prather,Maryland,MSU,MSU,-,-,115,7.31,138,10.67,48.64,3.36,14.5,0.40,0.48,0.08,6.0,0.00
Dane Key,Kentucky,SCar,SCar,-,-,116,7.29,143,10.54,47.92,3.25,14.7,0.42,0.00,0.00,0.0,0.00
Jack Hestera,Utah State,USC,UtahSt,-,-,117,7.28,124,10.90,48.16,3.62,13.3,0.41,0.00,0.00,0.0,0.00
Kobe Paysour,North Carolina,Char,Char,-,-,118,7.27,109,11.27,50.91,4.00,12.7,0.36,0.00,0.00,0.0,0.00
Andrew Armstrong,Arkansas,OkSt,Ark,-,-,119,7.26,115,11.12,53.02,3.86,13.7,0.32,0.24,0.08,3.0,0.00
Trey Goodman,UTEP,SoUt,SoUt,-,-,120,7.26,140,10.63,45.36,3.36,13.5,0.45,0.00,0.00,0.0,0.00
Elijah Metcalf,Marshall,VaTech,Marsh,-,-,121,7.23,94,11.62,47.86,4.40,10.9,0.41,0.00,0.00,0.0,0.00
Xavier Townsend,Central Florida,SamHou,SamHou,-,-,122,7.23,118,11.07,42.83,3.83,11.2,0.42,4.50,0.58,7.8,0.00
Winston Wright,East Carolina,ODU,ECU,-,-,123,7.23,91,11.70,57.10,4.47,12.8,0.25,0.00,0.00,0.0,0.00
Junior Vandeross,Toledo,UMass,UMass,-,-,124,7.21,132,10.74,49.15,3.53,13.9,0.35,1.76,0.26,6.8,0.00
Omari Hayes,Florida Atlantic,Army,Army,-,-,125,7.20,92,11.69,51.25,4.49,11.4,0.35,0.00,0.00,0.0,0.00
Samuel Brown,Miami,FlaA&M,FlaA&M,-,-,126,7.19,93,11.66,56.76,4.47,12.7,0.25,0.00,0.00,0.0,0.00
Dominic Lovett,Georgia,TnTech,TnTech,-,-,127,7.18,99,11.56,52.38,4.38,12.0,0.32,0.00,0.00,0.0,0.00
Jaylin Lane,Virginia Tech,Marsh,Marsh,-,-,128,7.17,160,10.22,39.26,3.06,12.8,0.46,4.63,1.20,3.9,0.00
Jerjuan Newton,Toledo,UMass,UMass,-,-,129,7.16,128,10.82,48.08,3.66,13.1,0.39,0.16,0.08,2.0,0.00
Barion Brown,Kentucky,SCar,SCar,-,-,130,7.15,96,11.60,48.75,4.45,11.0,0.33,2.96,0.49,6.0,0.00
Cam Coleman,Auburn,Cal,Cal,-,-,131,7.14,156,10.27,43.28,3.13,13.8,0.47,0.00,0.00,0.0,0.00
Darrius Clemons,Oregon State,SDSU,OreSt,-,-,132,7.13,121,10.94,50.70,3.80,13.3,0.34,0.34,0.08,4.3,0.00
Ja'Kobi Lane,USC,UtahSt,UtahSt,-,-,133,7.11,154,10.29,45.95,3.17,14.5,0.40,1.35,0.24,5.6,0.00
Da'Quan Felton,Virginia Tech,Marsh,Marsh,-,-,134,7.10,177,9.91,42.89,2.81,15.3,0.47,0.00,0.00,0.0,0.00
Darius Lassiter,BYU,SMU,BYU,-,-,135,7.10,148,10.46,43.18,3.36,12.9,0.45,0.55,0.09,6.1,0.00
Julian Fleming,Penn State,BGSU,BGSU,-,-,136,7.09,157,10.26,45.17,3.17,14.2,0.42,0.75,0.17,4.4,0.00
Jayce Brown,Kansas State,Tulane,KanSt,-,-,137,7.07,130,10.75,46.40,3.68,12.6,0.40,0.32,0.32,1.0,0.00
Easton Messer,Western Kentucky,EastKy,EastKy,-,-,138,7.06,107,11.30,45.76,4.24,10.8,0.40,0.80,0.16,5.0,0.00
Jimmy Valsin,Oregon State,SDSU,OreSt,-,-,139,7.06,131,10.75,49.63,3.69,13.4,0.34,0.43,0.09,4.8,0.00
Alex Adams,Akron,Rut,Akron,-,-,140,7.05,102,11.42,48.73,4.36,11.2,0.36,0.00,0.00,0.0,0.00
Chris Hilton,LSU,Nich,Nich,-,-,141,7.05,178,9.89,47.23,2.85,16.6,0.38,0.15,0.08,1.9,0.00
Donaven McCulley,Indiana,WestIl,WestIl,-,-,142,7.03,137,10.70,48.54,3.67,13.2,0.36,0.27,0.09,3.0,0.00
Luke Grimm,Kansas,Ill,Kansas,-,-,143,6.99,165,10.14,41.85,3.15,13.3,0.46,0.28,0.09,3.1,0.00
Bryce Kirtz,Northwestern,Duke,Duke,-,-,144,6.99,122,10.94,50.15,3.95,12.7,0.33,0.00,0.00,0.0,0.00
Taylor Morin,Wake Forest,UVa,UVa,-,-,145,6.98,133,10.74,50.40,3.76,13.4,0.32,0.24,0.08,3.0,0.00
Dylan Goffney,Colorado State,NorCol,NorCol,-,-,146,6.96,135,10.71,48.74,3.76,13.0,0.34,0.34,0.17,2.0,0.00
Taji Hudson,James Madison,G-Webb,G-Webb,-,-,147,6.96,180,9.81,42.77,2.86,15.0,0.45,0.00,0.00,0.0,0.00
Christan Horn,Appalachian State,Clem,App,-,-,148,6.91,185,9.74,44.08,2.83,15.6,0.42,0.00,0.00,0.0,0.00
Nik McMillan,Buffalo,Missou,Buff,-,-,149,6.91,142,10.57,49.40,3.66,13.5,0.31,1.01,0.16,6.3,0.00
Jerand Bradley,Boston College,Duq,Duq,-,-,150,6.88,182,9.79,47.65,2.91,16.4,0.35,0.00,0.00,0.0,0.00
Tai Felton,Maryland,MSU,MSU,-,-,151,6.88,164,10.18,47.22,3.30,14.3,0.35,0.70,0.09,7.8,0.00
A.J. Henning,Northwestern,Duke,Duke,-,-,152,6.88,125,10.90,39.11,4.02,9.7,0.26,8.66,2.27,3.8,0.09
Justin Olson,UNC Charlotte,UNC,Char,-,-,153,6.88,113,11.19,47.29,4.31,11.0,0.36,0.00,0.00,0.0,0.00
J.J. Jones,North Carolina,Char,Char,-,-,154,6.86,161,10.22,52.76,3.35,15.7,0.26,0.00,0.00,0.0,0.00
Ryan Williams,Alabama,USF,USF,-,-,155,6.86,173,9.95,52.27,3.09,16.9,0.27,0.00,0.00,0.0,0.00
Ja'Mori Maclin,Kentucky,SCar,SCar,-,-,156,6.84,200,9.42,49.03,2.58,19.0,0.32,0.00,0.00,0.0,0.00
Justus Ross-Simmons,Syracuse,GaTech,GaTech,-,-,157,6.84,155,10.28,52.50,3.44,15.3,0.26,0.00,0.00,0.0,0.00
Antonio Williams,Clemson,App,App,-,-,158,6.84,103,11.40,49.20,4.56,10.8,0.32,0.00,0.00,0.0,0.00
Kenneth Womack,Western Michigan,OhioSt,WestMI,-,-,159,6.84,65,13.01,58.42,6.17,9.5,0.17,0.00,0.00,0.0,0.00
Zakhari Franklin,Illinois,Kansas,Kansas,-,-,160,6.83,167,10.11,44.96,3.27,13.7,0.39,0.00,0.00,0.0,0.00
Jaden Greathouse,Notre Dame,NIU,NIU,-,-,161,6.82,197,9.46,37.28,2.64,14.1,0.51,0.26,0.09,2.9,0.00
Harrison Wallace,Penn State,BGSU,BGSU,-,-,162,6.81,168,10.06,43.81,3.25,13.5,0.40,0.48,0.08,6.0,0.00
Semaj Morgan,Michigan,Tex,Tex,-,-,163,6.80,170,9.96,38.42,3.16,12.2,0.35,3.25,0.61,5.3,0.09
Chase Roberts,BYU,SMU,BYU,-,-,164,6.75,163,10.20,46.77,3.45,13.6,0.33,0.99,0.16,6.2,0.00
Justin Lockhart,San Jose State,AF,SJSU,-,-,165,6.73,151,10.43,52.46,3.71,14.1,0.25,0.00,0.00,0.0,0.00
Tiaquelin Mims,Southern Miss,SELa,SELa,-,-,166,6.73,127,10.82,46.42,4.08,11.4,0.33,0.92,0.17,5.4,0.00
J.J. Sparkman,UTSA,TxSt,Tx-SA,-,-,167,6.70,147,10.49,48.08,3.79,12.7,0.32,0.00,0.00,0.0,0.00
Jaylen Lloyd,Nebraska,Colo,Colo,-,-,168,6.69,218,8.82,41.39,2.12,19.5,0.41,1.06,0.33,3.2,0.00
Junior Sherrill,Vanderbilt,Alc,Alc,-,-,169,6.68,171,9.96,42.67,3.28,13.0,0.34,3.45,0.60,5.8,0.00
Malik Rutherford,Georgia Tech,Syr,GaTech,-,-,170,6.67,141,10.58,44.96,3.91,11.5,0.35,0.87,0.17,5.1,0.00
Micah Davis,Mississippi,MiddTn,MiddTn,-,-,171,6.65,186,9.65,36.50,3.00,12.2,0.50,0.00,0.00,0.0,0.00
Kellen Stewart,Middle Tenn. St,Miss,MiddTn,-,-,172,6.65,152,10.41,44.87,3.76,11.9,0.36,0.18,0.09,2.0,0.00
De'zhaun Stribling,Oklahoma State,Ark,Ark,-,-,173,6.65,150,10.43,51.98,3.78,13.8,0.24,0.00,0.00,0.0,0.00
Coy Eakin,Texas Tech,WashSt,TxTch,-,-,174,6.64,110,11.24,50.33,4.61,10.9,0.27,0.09,0.09,1.0,0.00
Jaden Williams,Texas State,Tx-SA,Tx-SA,-,-,175,6.64,195,9.48,50.86,2.84,17.9,0.26,0.00,0.00,0.0,0.00
Quincy Skinner Jr.,Vanderbilt,Alc,Alc,-,-,176,6.61,201,9.36,40.92,2.75,14.9,0.42,0.17,0.08,2.1,0.00
Bryson Green,Wisconsin,SouDak,SouDak,-,-,177,6.59,184,9.76,45.92,3.17,14.5,0.33,0.00,0.00,0.0,0.00
Cameron Ross,James Madison,G-Webb,G-Webb,-,-,178,6.56,179,9.86,47.10,3.30,14.3,0.30,0.52,0.22,2.4,0.00
Colbie Young,Georgia,TnTech,TnTech,-,-,179,6.47,176,9.94,44.07,3.47,12.7,0.34,0.25,0.08,3.1,0.00
Gabriel Benyard,Kennesaw State,UL-Laf,UL-Laf,-,-,180,6.45,203,9.25,42.29,2.80,15.1,0.34,1.86,0.59,3.2,0.00
Konata Mumpfield,Pittsburgh,Cin,Pitt,-,-,181,6.42,188,9.64,38.73,3.22,12.0,0.42,0.00,0.00,0.0,0.00
Dillon Bell,Georgia,TnTech,TnTech,-,-,182,6.41,205,9.23,34.67,2.82,12.3,0.16,10.59,1.73,6.1,0.16
Jacob De Jesus,UNLV,UtahTe,UtahTe,-,-,183,6.41,119,10.97,45.55,4.56,10.0,0.17,3.30,0.76,4.3,0.08
Landon Sides,North Texas,SFA,SFA,-,-,184,6.40,172,9.95,37.98,3.55,10.7,0.40,1.85,0.32,5.8,0.00
Dean Patterson,Florida International,CentMi,CentMi,-,-,185,6.37,174,9.95,53.97,3.58,15.1,0.16,0.00,0.00,0.0,0.00
Jaron Glover,Michigan State,MD,MSU,-,-,186,6.32,213,8.91,45.83,2.58,17.8,0.17,2.42,0.50,4.8,0.08
Coleman Owen,Ohio,USA,USA,-,-,187,6.32,146,10.51,48.44,4.18,11.6,0.24,0.32,0.08,4.0,0.00
Tiger Bachmeier,Stanford,CalPly,CalPly,-,-,188,6.31,159,10.24,46.01,3.93,11.7,0.26,1.71,0.17,10.1,0.00
Kobe Prentice,Alabama,USF,USF,-,-,189,6.29,192,9.57,44.14,3.28,13.5,0.31,0.00,0.00,0.0,0.00
Tyler Morris,Michigan,Tex,Tex,-,-,190,6.28,204,9.24,45.74,2.96,15.5,0.28,0.37,0.09,4.1,0.00
DT Sheffield,North Texas,SFA,SFA,-,-,191,6.28,189,9.62,37.33,3.33,11.2,0.42,0.50,0.17,2.9,0.00
Mac Dalena,Fresno State,Sac,Sac,-,-,192,6.23,169,10.00,43.23,3.77,11.5,0.31,0.62,0.08,7.8,0.00
Jacoby Jones,Central Florida,SamHou,SamHou,-,-,193,6.23,224,8.71,38.32,2.48,15.5,0.40,0.00,0.00,0.0,0.00
