,,Week 6 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Ollie Gordon,Oklahoma State,WVU,WVU,-,-,1,26.24,1,29.27,136.38,22.00,6.2,1.60,24.87,3.03,8.2,0.08
Ashton Jeanty,Boise State,UtahSt,UtahSt,-,-,2,23.73,2,26.98,107.29,17.00,6.3,1.14,37.25,3.25,11.5,0.41
Omarion Hampton,North Carolina,Pitt,Pitt,-,-,3,19.83,3,21.93,111.47,21.00,5.3,1.09,16.30,2.10,7.8,0.08
Devin Neal,Kansas,AriSt,Kansas,-,-,4,18.38,4,19.99,103.86,17.00,6.1,1.01,13.96,1.61,8.7,0.08
Darius Taylor,Minnesota,USC,USC,-,-,5,17.66,8,18.97,111.46,21.00,5.3,0.90,11.19,1.31,8.5,0.00
Phil Mafah,Clemson,FlaSt,Clem,-,-,6,17.24,6,19.27,92.81,17.00,5.5,1.14,11.22,2.03,5.5,0.00
Jordan James,Oregon,MSU,MSU,-,-,7,17.08,5,19.53,88.21,13.00,6.8,0.93,21.78,2.45,8.9,0.08
Makhi Hughes,Tulane,UAB,Tulane,-,-,8,17.03,12,18.21,111.36,21.00,5.3,0.75,8.78,1.17,7.5,0.08
Tahj Brooks,Texas Tech,Ari,TxTch,-,-,9,16.91,7,19.26,112.82,23.00,4.9,0.76,10.91,2.35,4.6,0.00
Jaydn Ott,California,Mia-Fl,Mia-Fl,-,-,10,16.88,9,18.87,95.56,18.00,5.3,0.83,13.52,1.99,6.8,0.17
Donovan Edwards,Michigan,Wash,Mich,-,-,11,16.83,11,18.28,87.30,19.00,4.6,0.94,19.34,1.45,13.3,0.09
Ismail Mahdi,Texas State,Troy,TxSt,-,-,12,16.83,10,18.39,107.67,18.00,6.0,0.82,11.34,1.56,7.3,0.00
TreVeyon Henderson,Ohio State,Iowa,Iowa,-,-,13,16.68,14,18.04,84.76,14.00,6.1,1.02,15.87,1.36,11.7,0.08
RJ Harvey,Central Florida,Fla,UCF,-,-,14,16.57,15,17.98,86.99,14.00,6.2,0.97,15.32,1.41,10.9,0.09
Kyle Monangai,Rutgers,Neb,Rut,-,-,15,16.52,18,17.29,101.42,19.00,5.3,0.94,7.27,0.77,9.4,0.00
Damien Martinez,Miami,Cal,Mia-Fl,-,-,16,16.43,17,17.52,99.00,16.00,6.2,0.92,10.33,1.08,9.6,0.00
Jahiem White,West Virginia,OkSt,WVU,-,-,17,16.37,19,17.13,106.35,17.00,6.3,0.67,12.14,0.75,16.2,0.08
Quinshon Judkins,Ohio State,Iowa,Iowa,-,-,18,16.28,16,17.60,85.33,14.00,6.1,0.99,12.84,1.33,9.7,0.08
Antario Brown,Northern Illinois,UMass,UMass,-,-,19,15.81,23,16.71,104.87,17.00,6.2,0.82,3.94,0.90,4.4,0.00
Abu Sama III,Iowa State,Baylor,Baylor,-,-,20,15.72,24,16.63,90.92,14.00,6.5,0.99,7.00,0.91,7.7,0.00
Jalen Buckley,Western Michigan,BallSt,WestMI,-,-,21,15.37,21,16.91,86.34,16.00,5.4,0.81,13.73,1.54,8.9,0.08
Woody Marks,USC,Minn,USC,-,-,22,15.29,20,17.08,90.84,14.00,6.5,0.57,18.07,1.79,10.1,0.16
LeQuint Allen,Syracuse,UNLV,Syr,-,-,23,15.24,13,18.17,86.42,18.00,4.8,0.73,17.10,2.93,5.8,0.08
Marcus Carroll,Missouri,TexA&M,Missou,-,-,24,14.88,26,16.37,83.48,16.00,5.2,0.80,11.63,1.49,7.8,0.10
TJ Harden,UCLA,PSU,UCLA,-,-,25,14.83,27,16.36,79.83,16.00,5.0,0.85,12.26,1.53,8.0,0.09
Cameron Skattebo,Arizona State,Kansas,Kansas,-,-,26,14.74,22,16.78,77.53,16.00,4.8,0.68,23.91,2.04,11.7,0.09
Jamal Haynes,Georgia Tech,Duke,Duke,-,-,27,14.55,28,16.30,87.83,15.00,5.9,0.67,12.67,1.75,7.2,0.08
Bhayshul Tuten,Virginia Tech,Stan,VaTech,-,-,28,14.51,25,16.49,70.10,13.00,5.4,0.91,15.80,1.97,8.0,0.08
Trevor Etienne,Georgia,Auburn,Auburn,-,-,29,14.20,29,15.83,68.49,12.00,5.7,0.90,14.69,1.63,9.0,0.08
Dylan Sampson,Tennessee,Ark,Tenn,-,-,30,13.89,30,15.61,84.18,15.00,5.6,0.57,15.41,1.72,9.0,0.08
Nicholas Singleton,Penn State,UCLA,UCLA,-,-,31,13.74,31,15.54,69.84,14.00,5.0,0.65,18.42,1.80,10.2,0.16
Justice Haynes,Alabama,Vandy,Ala,-,-,32,13.61,33,15.17,66.99,12.00,5.6,0.86,12.17,1.55,7.9,0.09
Kanye Roberts,Appalachian State,Marsh,App,-,-,33,13.48,35,15.04,77.09,14.00,5.5,0.78,11.06,1.56,7.1,0.00
Jacquez Stuart,Toledo,Mia-O,Mia-O,-,-,34,13.34,37,14.41,71.56,14.00,5.1,0.74,12.44,1.07,11.6,0.08
Terion Stewart,Bowling Green,Akron,BGSU,-,-,35,13.22,43,13.64,76.92,14.00,5.5,0.84,4.64,0.42,11.0,0.00
Jonah Coleman,Washington,Mich,Mich,-,-,36,13.15,32,15.26,69.49,12.00,5.8,0.49,23.11,2.11,11.0,0.16
Chez Mellusi,Wisconsin,Purdue,Purdue,-,-,37,12.89,36,14.61,74.12,14.00,5.3,0.77,8.42,1.72,4.9,0.00
