,,Week 4 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Chip Trayanum,Kentucky,Ohio,Ohio,-,-,23,15.36,24,16.98,79.73,17.00,4.7,0.75,15.82,1.61,9.8,0.22
Woody Marks,USC,Mich,USC,-,-,24,15.29,23,17.08,90.84,14.00,6.5,0.57,18.07,1.79,10.1,0.16
LeQuint Allen,Syracuse,Stan,Stan,-,-,25,15.24,14,18.17,86.42,18.00,4.8,0.73,17.10,2.93,5.8,0.08
Marcus Carroll,Missouri,Vandy,Vandy,-,-,26,14.88,29,16.37,83.48,16.00,5.2,0.80,11.63,1.49,7.8,0.10
TJ Harden,UCLA,LSU,UCLA,-,-,27,14.83,30,16.36,79.83,16.00,5.0,0.85,12.26,1.53,8.0,0.09
Cameron Skattebo,Arizona State,TxTch,AriSt,-,-,28,14.74,25,16.78,77.53,16.00,4.8,0.68,23.91,2.04,11.7,0.09
Jamal Haynes,Georgia Tech,Lou,GaTech,-,-,29,14.55,31,16.30,87.83,15.00,5.9,0.67,12.67,1.75,7.2,0.08
Bhayshul Tuten,Virginia Tech,Rut,Rut,-,-,30,14.51,28,16.49,70.10,13.00,5.4,0.91,15.80,1.97,8.0,0.08
Jalen White,Georgia Southern,Miss,GaSo,-,-,31,14.43,32,15.75,82.25,15.00,5.5,0.82,7.66,1.32,5.8,0.08
Dylan Sampson,Tennessee,Okla,Tenn,-,-,32,13.89,33,15.61,84.18,15.00,5.6,0.57,15.41,1.72,9.0,0.08
Dean Connors,Rice,Army,Rice,-,-,33,13.88,22,17.11,68.10,11.00,6.2,0.57,27.01,3.24,8.3,0.16
Nicholas Singleton,Penn State,KentSt,KentSt,-,-,34,13.74,34,15.54,69.84,14.00,5.0,0.65,18.42,1.80,10.2,0.16
Kanye Roberts,Appalachian State,USA,USA,-,-,35,13.48,37,15.04,77.09,14.00,5.5,0.78,11.06,1.56,7.1,0.00
Jadarian Price,Notre Dame,Mia-O,Mia-O,-,-,36,13.45,43,14.38,74.29,13.00,5.7,0.76,9.54,0.93,10.3,0.08
Harrison Waylee,Wyoming,NorTx,Wyo,-,-,37,13.43,40,14.59,93.38,16.00,5.8,0.58,5.96,1.16,5.1,0.00
Jacquez Stuart,Toledo,WestKy,Toledo,-,-,38,13.34,42,14.41,71.56,14.00,5.1,0.74,12.44,1.07,11.6,0.08
Rickey Hunt,Ohio,Kty,Ohio,-,-,39,13.29,41,14.54,72.17,15.00,4.8,0.75,10.75,1.25,8.6,0.08
Terion Stewart,Bowling Green,TexA&M,BGSU,-,-,40,13.22,52,13.64,76.92,14.00,5.5,0.84,4.64,0.42,11.0,0.00
Jonah Coleman,Washington,NW,NW,-,-,41,13.15,35,15.26,69.49,12.00,5.8,0.49,23.11,2.11,11.0,0.16
Jordan Waters,North Carolina State,Clem,NCSU,-,-,42,12.89,48,13.88,70.18,13.00,5.4,0.82,9.38,0.99,9.5,0.00
Marion Lukes,Central Michigan,BallSt,BallSt,-,-,43,12.84,38,14.86,78.08,15.00,5.2,0.49,21.08,2.03,10.4,0.00
Jaydon Blue,Texas,UL-Mon,UL-Mon,-,-,44,12.77,39,14.60,75.29,13.00,5.8,0.54,15.84,1.83,8.7,0.07
Kaden Feagin,Illinois,Neb,Ill,-,-,45,12.74,49,13.88,72.04,16.00,4.5,0.57,11.53,1.14,10.1,0.16
Jarquez Hunter,Auburn,Ark,Ark,-,-,46,12.63,45,14.14,80.88,14.00,5.8,0.59,9.95,1.52,6.5,0.00
Corey Kiner,Cincinnati,Hou,Hou,-,-,47,12.56,51,13.78,86.25,16.00,5.4,0.57,5.28,1.22,4.3,0.00
Ja'Quinden Jackson,Arkansas,Auburn,Ark,-,-,48,12.55,46,14.08,67.37,15.00,4.5,0.68,12.37,1.53,8.1,0.08
Montrell Johnson,Florida,MissSt,Fla,-,-,49,12.47,36,15.09,70.00,14.00,5.0,0.51,19.31,2.61,7.4,0.08
Cam Cook,TCU,SMU,TCU,-,-,50,12.12,59,12.83,78.10,15.00,5.2,0.63,5.00,0.71,7.0,0.00
Roman Hemby,Maryland,Vill,Vill,-,-,51,11.79,44,14.27,58.33,13.00,4.5,0.43,23.61,2.48,9.5,0.17
Raheim Sanders,South Carolina,Akron,Akron,-,-,52,11.77,50,13.87,69.83,14.00,5.0,0.50,12.66,2.10,6.0,0.08
Devin Mockobee,Purdue,OreSt,Purdue,-,-,53,11.73,55,13.31,65.77,14.00,4.7,0.53,14.53,1.58,9.2,0.09
Jaquez Moore,Duke,MiddTn,Duke,-,-,54,11.66,61,12.69,70.08,13.00,5.4,0.60,10.33,1.03,10.0,0.00
Ja'Quez Cross,Arkansas State,IaSt,ArkSt,-,-,55,11.65,53,13.46,67.08,12.00,5.6,0.60,13.12,1.81,7.2,0.00
Kaleb Jackson,LSU,UCLA,UCLA,-,-,56,11.64,62,12.63,60.42,11.00,5.5,0.82,6.73,0.99,6.8,0.00
Parker Jenkins,Houston,Cin,Hou,-,-,57,11.60,63,12.60,79.61,15.00,5.3,0.50,6.20,1.01,6.1,0.00
Rodrigues Clark,Southern Miss,JacSt,SouMis,-,-,58,11.46,57,13.04,70.50,15.00,4.7,0.50,9.08,1.58,5.7,0.08
Braylon McReynolds,South Alabama,App,USA,-,-,59,11.44,54,13.34,64.92,13.00,5.0,0.49,14.97,1.89,7.9,0.08
Anthony Hankerson,Oregon State,Purdue,Purdue,-,-,60,11.30,56,13.30,59.67,13.00,4.6,0.50,13.33,2.00,6.7,0.17
Kaytron Allen,Penn State,KentSt,KentSt,-,-,61,11.23,76,11.90,72.83,14.00,5.2,0.50,4.50,0.67,6.7,0.08
Anthony Watkins,Tulsa,LaTech,Tulsa,-,-,62,11.11,74,11.96,85.03,19.00,4.5,0.34,5.62,0.85,6.6,0.00
Jordan Houston,Marshall,OhioSt,Marsh,-,-,63,11.06,58,12.85,56.43,12.00,4.7,0.68,13.36,1.79,7.5,0.00
Jaylan Knighton,SMU,TCU,TCU,-,-,64,11.04,68,12.16,66.29,13.00,5.1,0.52,7.92,1.12,7.1,0.09
Jeremiyah Love,Notre Dame,Mia-O,Mia-O,-,-,65,11.00,70,12.08,60.38,11.00,5.5,0.58,9.92,1.08,9.2,0.08
LJ Martin,BYU,KanSt,KanSt,-,-,66,10.93,64,12.33,62.20,13.00,4.8,0.49,7.57,1.40,5.4,0.16
Jevon Jackson,UTEP,ColoSt,UTEP,-,-,67,10.91,86,11.59,78.46,16.00,4.9,0.43,4.96,0.68,7.3,0.00
Justin Marshall,Colorado State,UTEP,UTEP,-,-,68,10.91,71,11.98,71.42,13.00,5.5,0.49,8.06,1.07,7.5,0.00
Andrew Paul,Jacksonville State,SouMis,SouMis,-,-,69,10.88,67,12.18,61.30,12.00,5.1,0.61,10.96,1.30,8.4,0.00
Ayo Adeyi,James Madison,UNC,JMU,-,-,70,10.84,82,11.68,65.74,14.00,4.7,0.61,6.16,0.84,7.3,0.00
Nathan Carter,Michigan State,BC,MSU,-,-,71,10.81,75,11.94,67.38,15.00,4.5,0.57,6.65,1.14,5.8,0.00
Rahsul Faison,Utah State,Temple,UtahSt,-,-,72,10.81,80,11.72,74.05,13.00,5.7,0.49,4.44,0.91,4.9,0.00
Braedon Sloan,Ball State,CentMi,BallSt,-,-,73,10.78,72,11.98,65.82,14.00,4.7,0.51,11.27,1.20,9.4,0.00
Donald Chaney,Louisville,GaTech,GaTech,-,-,74,10.74,60,12.73,62.35,13.00,4.8,0.50,15.24,1.99,7.7,0.00
Ta'ron Keith,South Florida,Mia-Fl,Mia-Fl,-,-,75,10.68,47,13.93,40.62,8.00,5.1,0.44,29.27,3.25,9.0,0.18
Jambres Dubar,Boise State,PorSt,PorSt,-,-,76,10.58,77,11.83,58.17,10.00,5.8,0.58,12.67,1.25,10.1,0.00
Micah Bernard,Utah,OkSt,Utah,-,-,77,10.57,69,12.13,52.29,11.00,4.8,0.57,14.04,1.56,9.0,0.08
Josh Williams,LSU,UCLA,UCLA,-,-,78,10.52,85,11.64,57.15,11.00,5.2,0.69,6.79,1.12,6.1,0.00
Damien Taylor,Troy,FlaA&M,FlaA&M,-,-,79,10.42,79,11.75,56.00,11.00,5.1,0.58,8.17,1.33,6.1,0.08
Eli Sanders,New Mexico,Fres,Fres,-,-,80,10.35,78,11.82,57.50,12.00,4.8,0.52,9.76,1.47,6.6,0.09
Monte Watkins,New Mexico State,SamHou,NMSt,-,-,81,10.34,89,11.50,65.88,12.00,5.5,0.41,7.78,1.16,6.7,0.08
Kye Robichaux,Boston College,MSU,MSU,-,-,82,10.33,73,11.98,56.19,12.00,4.7,0.58,12.33,1.66,7.4,0.00
Le'Veon Moss,Texas A&M,BGSU,BGSU,-,-,83,10.22,95,11.25,56.16,11.00,5.1,0.55,9.16,1.02,9.0,0.07
Roydell Williams,Florida State,Cal,Cal,-,-,84,10.18,93,11.36,59.40,11.00,5.4,0.51,6.85,1.18,5.8,0.08
Marquis Crosby,Louisiana Tech,Tulsa,Tulsa,-,-,85,10.16,91,11.38,60.38,11.00,5.5,0.57,7.01,1.22,5.7,0.00
Ulysses Bentley IV,Mississippi,GaSo,GaSo,-,-,86,10.03,100,10.99,56.05,10.00,5.6,0.53,7.37,0.96,7.7,0.09
Keegan Jones,UCLA,LSU,UCLA,-,-,87,10.03,65,12.31,52.92,11.00,4.8,0.40,17.64,2.28,7.7,0.10
Hunter Smith,Louisiana-Monroe,Tex,UL-Mon,-,-,88,10.03,111,10.52,60.66,11.00,5.5,0.49,5.17,0.49,10.6,0.08
Zach Evans,North Texas,Wyo,Wyo,-,-,89,10.02,88,11.50,58.76,13.00,4.5,0.53,9.72,1.48,6.6,0.00
Elijah Young,Western Kentucky,Toledo,Toledo,-,-,90,9.97,84,11.64,45.92,10.00,4.6,0.33,18.83,1.67,11.3,0.25
Cartevious Norton,UNC Charlotte,Ind,Char,-,-,91,9.87,94,11.36,55.97,13.00,4.3,0.41,7.95,1.49,5.3,0.17
Nay'Quan Wright,South Florida,Mia-Fl,Mia-Fl,-,-,92,9.87,109,10.71,61.75,14.00,4.4,0.58,2.00,0.83,2.4,0.00
Reggie Love,Purdue,OreSt,Purdue,-,-,93,9.81,96,11.13,57.52,12.00,4.8,0.41,10.76,1.32,8.2,0.08
Alton McCaskill,Arizona State,TxTch,AriSt,-,-,94,9.77,106,10.81,56.43,12.00,4.7,0.52,9.91,1.04,9.5,0.00
Jacqez Barksdale,Buffalo,NIU,Buff,-,-,95,9.76,92,11.38,51.67,11.00,4.7,0.43,15.18,1.62,9.4,0.09
Ikaika Ragsdale,North Texas,Wyo,Wyo,-,-,96,9.76,102,10.97,52.66,11.00,4.8,0.43,8.57,1.21,7.1,0.17
Trey Sanders,TCU,SMU,TCU,-,-,97,9.75,97,11.09,36.86,10.00,3.7,0.76,9.24,1.33,6.9,0.10
Kevorian Barnes,UTSA,HouChr,HouChr,-,-,98,9.74,101,10.98,56.15,11.00,5.1,0.57,6.81,1.23,5.5,0.00
Dominic Richardson,Baylor,Colo,Baylor,-,-,99,9.69,81,11.68,52.22,12.00,4.4,0.33,14.90,1.99,7.5,0.17
Rodney Hammond,Pittsburgh,YSU,YSU,-,-,100,9.65,87,11.52,52.80,11.00,4.8,0.41,14.34,1.87,7.7,0.08
Floyd Chalk,San Jose State,WashSt,SJSU,-,-,101,9.63,99,11.02,57.58,12.00,4.8,0.43,12.86,1.38,9.3,0.00
Cam Porter,Northwestern,Wash,NW,-,-,102,9.61,103,10.91,57.67,15.00,3.8,0.43,7.41,1.29,5.7,0.09
Kentrel Bullock,South Alabama,App,USA,-,-,103,9.60,104,10.88,53.20,10.00,5.3,0.48,9.20,1.28,7.2,0.08
Ky Thomas,Kent,PSU,KentSt,-,-,104,9.60,110,10.62,58.46,13.00,4.5,0.42,6.97,1.02,6.8,0.08
CJ Donaldson,West Virginia,Kansas,Kansas,-,-,105,9.53,121,10.11,51.77,11.00,4.7,0.66,3.80,0.58,6.6,0.00
Justice Ellison,Indiana,Char,Char,-,-,106,9.51,83,11.67,53.96,12.00,4.5,0.35,15.28,2.16,7.1,0.09
Braydon Bennett,Coastal Carolina,UVa,UVa,-,-,107,9.44,90,11.41,47.01,10.00,4.7,0.51,16.67,1.97,8.5,0.00
Dylan Downing,Miami (OH),ND,Mia-O,-,-,108,9.43,117,10.30,49.91,10.00,5.0,0.52,7.83,0.87,9.0,0.09
Leshon Williams,Iowa,Minn,Iowa,-,-,109,9.42,114,10.40,67.22,14.00,4.8,0.25,7.29,0.98,7.4,0.08
Camryn Edwards,UConn,FlaAtl,FlaAtl,-,-,110,9.41,107,10.73,57.77,12.00,4.8,0.33,11.50,1.32,8.7,0.08
Star Thomas,Duke,MiddTn,Duke,-,-,111,9.40,108,10.72,52.98,10.00,5.3,0.41,11.24,1.32,8.5,0.08
Delbert Mimms,Eastern Michigan,StF-Pa,StF-Pa,-,-,112,9.28,113,10.50,39.49,9.00,4.4,0.65,9.57,1.22,7.8,0.08
Treshaun Ward,Boston College,MSU,MSU,-,-,113,9.24,105,10.84,50.17,10.00,5.0,0.34,12.02,1.60,7.5,0.17
Gabe Ervin,Nebraska,Ill,Ill,-,-,114,9.19,115,10.40,58.63,12.00,4.9,0.40,9.10,1.21,7.5,0.00
Henry Parrish,Mississippi,GaSo,GaSo,-,-,115,9.13,123,9.93,56.57,9.00,6.3,0.40,5.79,0.80,7.2,0.08
Robert Henry,UTSA,HouChr,HouChr,-,-,116,9.09,118,10.27,47.98,10.00,4.8,0.59,7.65,1.18,6.5,0.00
Lawrance Toafili,Florida State,Cal,Cal,-,-,117,9.06,98,11.08,41.07,7.00,5.9,0.42,19.14,2.02,9.5,0.08
Billy Lucas,Liberty,ECU,ECU,-,-,118,9.04,133,9.37,53.14,10.00,5.3,0.50,2.56,0.33,7.8,0.08
Dre'lyn Washington,Louisiana-Lafayette,Tulane,Tulane,-,-,119,9.04,126,9.79,56.78,10.00,5.7,0.41,3.88,0.74,5.2,0.08
Davon Booth,Mississippi State,Fla,Fla,-,-,120,9.03,122,9.99,54.96,10.00,5.5,0.48,6.56,0.96,6.8,0.00
Zuberi Mobley,Florida Atlantic,UConn,FlaAtl,-,-,121,8.97,125,9.92,55.96,13.00,4.3,0.34,7.92,0.95,8.3,0.09
Seth McGowan,New Mexico State,SamHou,NMSt,-,-,122,8.84,130,9.52,51.86,10.00,5.2,0.42,6.02,0.68,8.9,0.08
John Gentry,Sam Houston,NMSt,NMSt,-,-,123,8.79,66,12.26,28.89,8.00,3.6,0.36,27.02,3.47,7.8,0.18
Kobe Pace,Virginia,CoastC,UVa,-,-,124,8.76,116,10.32,49.38,13.00,3.8,0.25,13.74,1.55,8.9,0.16
Jamious Griffin,Oregon State,Purdue,Purdue,-,-,125,8.74,119,10.15,47.93,10.00,4.8,0.41,9.75,1.40,7.0,0.08
Sean Dollars,Nevada,EastWa,EastWa,-,-,126,8.67,127,9.70,45.51,12.00,3.8,0.51,5.23,1.03,5.1,0.09
DJ Jones,Wyoming,NorTx,Wyo,-,-,127,8.63,132,9.39,56.97,10.00,5.7,0.42,4.12,0.76,5.4,0.00
LJ Johnson Jr.,SMU,TCU,TCU,-,-,128,8.61,135,9.12,56.45,11.00,5.1,0.43,4.09,0.51,8.0,0.00
Dontae McMillan,Eastern Michigan,StF-Pa,StF-Pa,-,-,129,8.30,128,9.57,38.55,9.00,4.3,0.51,8.75,1.27,6.9,0.08
Jordon Simmons,Akron,SCar,Akron,-,-,130,8.28,124,9.93,42.93,10.00,4.3,0.38,12.78,1.65,7.7,0.08
Anthony Tyus,Ohio,Kty,Ohio,-,-,131,8.24,137,8.94,52.82,11.00,4.8,0.44,3.40,0.70,4.9,0.00
Anderson Castle,Appalachian State,USA,USA,-,-,132,8.18,139,8.85,52.58,10.00,5.3,0.42,4.25,0.67,6.3,0.00
Vaughn Pemberton,Ball State,CentMi,BallSt,-,-,133,8.17,148,8.60,45.79,8.00,5.7,0.43,5.28,0.43,12.3,0.09
Daniel Hishaw,Kansas,WVU,Kansas,-,-,134,8.15,147,8.63,44.20,9.00,4.9,0.56,3.82,0.48,8.0,0.00
Zak Wallace,Arkansas State,IaSt,ArkSt,-,-,135,8.08,150,8.50,48.35,11.00,4.4,0.51,1.71,0.43,4.0,0.00
Dylan Edwards,Kansas State,BYU,KanSt,-,-,136,7.98,131,9.47,36.78,8.00,4.6,0.33,13.36,1.48,9.0,0.16
Dallan Hayden,Colorado,Baylor,Baylor,-,-,137,7.98,120,10.14,46.19,10.00,4.6,0.41,2.68,2.16,1.2,0.10
Robert Briggs,Utah State,Temple,UtahSt,-,-,138,7.95,145,8.65,56.05,11.00,5.1,0.35,2.53,0.70,3.6,0.00
Gerald Green,Troy,FlaA&M,FlaA&M,-,-,139,7.89,136,9.12,40.41,9.00,4.5,0.44,6.71,1.24,5.4,0.09
Desmond Reid,Pittsburgh,YSU,YSU,-,-,140,7.83,129,9.57,44.17,10.00,4.4,0.26,13.30,1.74,7.6,0.09
Nate Noel,Missouri,Vandy,Vandy,-,-,141,7.79,141,8.73,49.88,10.00,5.0,0.38,5.50,0.94,5.9,0.00
Cameron Seldon,Tennessee,Okla,Tenn,-,-,142,7.79,138,8.89,45.00,9.00,5.0,0.42,7.39,1.10,6.7,0.00
Jeffery Pittman,Mississippi State,Fla,Fla,-,-,143,7.70,143,8.71,45.00,9.00,5.0,0.34,6.81,1.01,6.7,0.08
Sedrick Irvin,Stanford,Syr,Stan,-,-,144,7.69,112,10.51,36.57,8.00,4.6,0.35,19.25,2.81,6.9,0.00
Anwar Lewis,Jacksonville State,SouMis,SouMis,-,-,145,7.66,149,8.50,48.99,10.00,4.9,0.34,7.39,0.84,8.8,0.00
Rashad Amos,Mississippi,GaSo,GaSo,-,-,146,7.54,163,8.06,40.69,8.00,5.1,0.52,3.78,0.52,7.3,0.00
Mark Fletcher,Miami,USF,Mia-Fl,-,-,147,7.48,151,8.50,39.91,8.00,5.0,0.43,9.36,1.02,9.2,0.00
Elijah Davis,Louisiana-Lafayette,Tulane,Tulane,-,-,148,7.45,174,7.71,47.63,9.00,5.3,0.42,1.44,0.25,5.8,0.00
Bennett Galloway,Louisiana-Monroe,Tex,UL-Mon,-,-,149,7.45,168,7.85,51.53,9.00,5.7,0.32,3.82,0.40,9.6,0.00
Ethan Payne,Marshall,OhioSt,Marsh,-,-,150,7.42,153,8.42,42.92,10.00,4.3,0.42,6.33,1.00,6.3,0.00
Al-Jay Henderson,Buffalo,NIU,Buff,-,-,151,7.40,144,8.69,40.50,9.00,4.5,0.32,9.40,1.29,7.3,0.08
Benjamin Hall,Michigan,USC,USC,-,-,152,7.37,164,8.06,42.26,9.00,4.7,0.43,5.74,0.69,8.3,0.00
Sedrick Alexander,Vanderbilt,Missou,Vandy,-,-,153,7.35,140,8.74,38.00,10.00,3.8,0.35,9.39,1.39,6.8,0.09
Kay'Ron Lynch-Adams,Michigan State,BC,MSU,-,-,154,7.34,154,8.34,42.86,10.00,4.3,0.34,5.29,1.01,5.2,0.08
AJ Newberry,Vanderbilt,Missou,Vandy,-,-,155,7.28,162,8.07,40.59,9.00,4.5,0.35,5.74,0.79,7.3,0.09
Maurice Turner,Louisville,GaTech,GaTech,-,-,156,7.22,134,9.16,37.66,8.00,4.7,0.24,15.19,1.94,7.8,0.08
Jalen John,Massachusetts,CentCt,CentCt,-,-,157,7.20,157,8.24,38.00,10.00,3.8,0.43,7.91,1.04,7.6,0.00
Keith Adams Jr.,Clemson,NCSU,NCSU,-,-,158,7.19,171,7.79,43.18,8.00,5.4,0.43,2.92,0.60,4.9,0.00
Frank Peasant,Middle Tenn. St,Duke,Duke,-,-,159,7.15,173,7.72,37.97,10.00,3.8,0.49,4.23,0.57,7.4,0.00
Kenyon Clay,Southern Miss,JacSt,SouMis,-,-,160,7.13,160,8.10,45.21,11.00,4.1,0.24,6.71,0.97,6.9,0.08
Jaylon Glover,Utah,OkSt,Utah,-,-,161,7.09,175,7.68,49.71,11.00,4.5,0.26,5.80,0.60,9.7,0.00
Treyaun Webb,Florida,MissSt,Fla,-,-,162,7.09,159,8.13,39.91,8.00,5.0,0.35,4.87,1.04,4.7,0.09
Byron Cardwell,California,FlaSt,Cal,-,-,163,7.08,156,8.30,34.87,6.00,5.8,0.35,9.83,1.22,8.1,0.09
Gavin Williams,Northern Illinois,Buff,Buff,-,-,164,7.05,146,8.64,45.00,9.00,5.0,0.26,9.62,1.59,6.1,0.00
Ja'Vin Simpkins,Coastal Carolina,UVa,UVa,-,-,165,6.92,179,7.56,41.52,8.00,5.2,0.40,3.68,0.64,5.8,0.00
Lexington Joseph,Florida International,Monm,Monm,-,-,166,6.90,142,8.72,38.35,8.00,4.8,0.25,10.89,1.81,6.0,0.08
Leo Pulalasi,Washington State,SJSU,SJSU,-,-,167,6.86,155,8.34,39.36,7.00,5.6,0.25,9.47,1.48,6.4,0.08
Brandon Thomas,Memphis,Navy,Mem,-,-,168,6.85,178,7.57,26.47,7.00,3.8,0.63,4.31,0.72,6.0,0.00
Jalen Hampton,Western Kentucky,Toledo,Toledo,-,-,169,6.84,161,8.07,36.08,8.00,4.5,0.24,12.73,1.22,10.4,0.08
Kenny Tracy,Miami (OH),ND,Mia-O,-,-,170,6.84,176,7.65,36.30,7.00,5.2,0.33,7.65,0.81,9.4,0.08
Cameron Davis,Washington,NW,NW,-,-,171,6.83,158,8.20,34.49,7.00,4.9,0.26,13.32,1.37,9.7,0.09
Rahjai Harris,East Carolina,Lib,ECU,-,-,172,6.78,172,7.76,35.84,9.00,4.0,0.33,7.45,0.98,7.6,0.08
Jay Ducker,Sam Houston,NMSt,NMSt,-,-,173,6.76,181,7.37,38.00,10.00,3.8,0.43,3.48,0.61,5.7,0.00
Andrew Henry,New Mexico,Fres,Fres,-,-,174,6.74,167,7.86,40.00,8.00,5.0,0.34,6.80,1.12,6.1,0.00
Eli Heidenreich,Navy,Mem,Mem,-,-,175,6.72,152,8.47,22.33,3.00,7.4,0.08,29.83,1.75,17.0,0.17
Kanye Udoh,Army,Rice,Rice,-,-,176,6.65,198,6.65,50.95,10.00,5.1,0.26,0.00,0.00,0.0,0.00
Myles Bailey,Central Michigan,BallSt,BallSt,-,-,177,6.57,177,7.63,42.30,9.00,4.7,0.25,8.67,1.06,8.2,0.00
Demie Sumo-Karngbaye,Kentucky,Ohio,Ohio,-,-,178,6.56,165,7.96,36.89,7.00,5.3,0.25,8.89,1.40,6.4,0.08
CJ Campbell,Florida Atlantic,UConn,FlaAtl,-,-,179,6.50,197,6.83,39.08,6.00,6.5,0.41,1.62,0.32,5.1,0.00
Kaelon Black,Indiana,Char,Char,-,-,180,6.49,166,7.89,40.13,9.00,4.5,0.17,9.91,1.40,7.1,0.08
CJ Hester,Massachusetts,CentCt,CentCt,-,-,181,6.38,170,7.83,26.55,7.00,3.8,0.34,11.61,1.45,8.0,0.09
Shomari Lawrence,Florida International,Monm,Monm,-,-,182,6.38,189,7.03,39.92,10.00,4.0,0.33,4.18,0.66,6.3,0.00
Victor Rosa,UConn,FlaAtl,FlaAtl,-,-,183,6.36,183,7.34,43.30,9.00,4.8,0.24,5.76,0.97,5.9,0.00
Pat Garwo,Nevada,EastWa,EastWa,-,-,184,6.34,191,6.98,40.00,10.00,4.0,0.32,4.03,0.65,6.2,0.00
Quinten Joyner,USC,Mich,USC,-,-,185,6.34,195,6.85,43.96,7.00,6.3,0.26,4.10,0.51,8.0,0.00
OJ Arnold,Georgia Southern,Miss,GaSo,-,-,186,6.33,185,7.26,36.37,7.00,5.2,0.34,6.40,0.94,6.8,0.00
Bill Jackson,Tulsa,LaTech,Tulsa,-,-,187,6.30,187,7.16,47.35,11.00,4.3,0.17,5.33,0.86,6.2,0.00
Dawson Pendergrass,Baylor,Colo,Baylor,-,-,188,6.22,186,7.25,30.31,7.00,4.3,0.32,8.03,1.03,7.8,0.08
Charlie Offerdahl,Colorado,Baylor,Baylor,-,-,189,6.20,180,7.51,32.99,7.00,4.7,0.26,7.96,1.31,6.1,0.09
George Pettaway,James Madison,UNC,JMU,-,-,190,6.18,193,6.96,35.96,8.00,4.5,0.34,5.25,0.77,6.8,0.00
Evan Pryor,Cincinnati,Hou,Hou,-,-,191,6.17,188,7.04,36.87,9.00,4.1,0.26,3.84,0.87,4.4,0.09
Marquese Williams,Akron,SCar,Akron,-,-,192,6.11,182,7.37,32.01,7.00,4.6,0.31,10.22,1.26,8.1,0.00
