,,Week 11 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Evan Stewart,Oregon,MD,MD,-,-,1,14.73,2,20.59,94.89,5.85,16.2,0.87,0.00,0.00,0.0,0.00
Ricky White,UNLV,Hawaii,UNLV,-,-,2,14.09,3,20.34,105.83,6.25,16.9,0.58,0.08,0.08,1.0,0.00
Tez Johnson,Oregon,MD,MD,-,-,3,13.96,1,20.73,93.34,6.77,13.8,0.77,0.00,0.00,0.0,0.00
Jalen Royals,Utah State,WashSt,UtahSt,-,-,4,13.83,4,19.96,94.09,6.14,15.3,0.74,0.00,0.00,0.0,0.00
Luther Burden III,Missouri,Okla,Okla,-,-,5,13.79,5,19.92,94.84,6.13,15.5,0.68,2.27,0.53,4.3,0.00
Joey Hobert,Texas State,UL-Mon,TxSt,-,-,6,12.34,6,19.24,81.35,6.90,11.8,0.70,0.09,0.09,1.0,0.00
Xavier Restrepo,Miami,GaTech,Mia-Fl,-,-,7,12.33,7,19.20,92.00,6.87,13.4,0.52,0.00,0.00,0.0,0.00
Kevin Concepcion,North Carolina State,Duke,Duke,-,-,8,12.21,10,18.26,72.08,6.05,11.9,0.65,10.72,1.55,6.9,0.00
Germie Bernard,Alabama,LSU,Ala,-,-,9,12.13,13,17.87,80.29,5.74,14.0,0.53,3.97,1.15,3.5,0.09
Roc Taylor,Memphis,Rice,Rice,-,-,10,12.00,12,17.91,93.26,5.91,15.8,0.44,0.26,0.18,1.4,0.00
Kyren Lacy,LSU,Ala,Ala,-,-,11,11.79,20,16.98,76.85,5.19,14.8,0.68,0.17,0.09,1.9,0.00
Sean Atkins,South Florida,Navy,Navy,-,-,12,11.72,8,18.72,80.12,7.01,11.4,0.56,3.58,0.48,7.5,0.00
Kaedin Robinson,Appalachian State,CoastC,App,-,-,13,11.67,17,17.12,74.29,5.45,13.6,0.70,0.18,0.09,2.0,0.00
Tre Harris,Mississippi,UGa,UGa,-,-,14,11.60,22,16.36,82.77,4.75,17.4,0.55,0.00,0.00,0.0,0.00
Pofele Ashlock,Hawaii,UNLV,UNLV,-,-,15,11.58,11,18.19,66.20,6.61,10.0,0.83,0.00,0.00,0.0,0.00
Emeka Egbuka,Ohio State,Purdue,Purdue,-,-,16,11.46,15,17.38,73.62,5.92,12.4,0.65,2.11,0.41,5.1,0.00
Eugene Wilson,Florida,Tex,Fla,-,-,17,11.39,16,17.14,65.25,5.75,11.3,0.75,3.67,0.50,7.3,0.00
Deion Burks,Oklahoma,Missou,Okla,-,-,18,11.36,14,17.42,77.02,6.06,12.7,0.61,0.26,0.09,2.9,0.00
Malachi Fields,Virginia,Pitt,UVa,-,-,19,11.24,19,17.01,79.91,5.77,13.8,0.54,0.09,0.09,1.0,0.00
Brennan Presley,Oklahoma State,TCU,OkSt,-,-,20,11.17,9,18.67,76.91,7.51,10.2,0.44,3.32,0.87,3.8,0.09
Jayden Higgins,Iowa State,Kansas,IaSt,-,-,21,11.11,29,15.51,81.80,4.40,18.6,0.49,0.00,0.00,0.0,0.00
Kyle Williams,Washington State,UtahSt,UtahSt,-,-,22,11.06,21,16.40,74.24,5.33,13.9,0.60,0.26,0.26,1.0,0.00
Jeremiah Hunter,Washington,PSU,Wash,-,-,23,10.92,23,16.32,73.00,5.40,13.5,0.60,0.20,0.10,2.0,0.00
Josh Kelly,Texas Tech,Colo,Colo,-,-,24,10.81,27,15.91,71.91,5.11,14.1,0.60,0.43,0.09,4.8,0.00
Kobe Hudson,Central Florida,AriSt,UCF,-,-,25,10.80,33,14.77,72.61,3.96,18.3,0.59,0.00,0.00,0.0,0.00
Eric Singleton,Georgia Tech,Mia-Fl,Mia-Fl,-,-,26,10.74,28,15.87,76.54,5.13,14.9,0.50,0.59,0.08,7.4,0.00
Lajohntay Wester,Colorado,TxTch,Colo,-,-,27,10.73,18,17.06,66.86,6.34,10.5,0.64,1.84,0.28,6.6,0.00
Squirrel White,Tennessee,MissSt,MissSt,-,-,28,10.68,25,16.21,76.12,5.53,13.8,0.49,0.99,0.16,6.2,0.00
Rashod Owens,Oklahoma State,TCU,OkSt,-,-,29,10.59,24,16.21,81.17,5.61,14.5,0.41,0.00,0.00,0.0,0.00
Nic Anderson,Oklahoma,Missou,Okla,-,-,30,10.57,44,14.02,71.18,3.45,20.6,0.58,0.00,0.00,0.0,0.00
Travis Hunter,Colorado,TxTch,Colo,-,-,31,10.33,26,16.12,73.88,5.80,12.7,0.49,0.00,0.00,0.0,0.00
Demeer Blankumsee,Memphis,Rice,Rice,-,-,32,10.12,35,14.64,73.54,4.52,16.3,0.44,1.06,0.18,5.9,0.00
Isaiah Bond,Texas,Fla,Fla,-,-,33,10.02,30,15.19,75.39,5.17,14.6,0.40,0.57,0.16,3.6,0.00
Kole Wilson,Texas State,UL-Mon,TxSt,-,-,34,9.81,31,14.98,59.23,5.17,11.5,0.65,0.08,0.16,0.5,0.00
Kelly Akharaiyi,Mississippi State,Tenn,MissSt,-,-,35,9.80,46,13.97,68.53,4.18,16.4,0.44,2.76,0.53,5.2,0.00
Jalen Moss,Fresno State,AF,Fres,-,-,36,9.71,32,14.77,65.07,5.07,12.8,0.53,0.00,0.00,0.0,0.00
Denzel Boston,Washington,PSU,Wash,-,-,37,9.62,36,14.57,66.56,4.95,13.4,0.49,0.00,0.00,0.0,0.00
Jordan Moore,Duke,NCSU,Duke,-,-,38,9.62,47,13.90,60.53,4.28,14.1,0.57,1.70,0.48,3.5,0.00
Chrishon McCray,Kent,Ohio,Ohio,-,-,39,9.59,38,14.21,69.86,4.62,15.1,0.41,1.32,0.33,4.0,0.00
Daniel Jackson,Minnesota,Rut,Minn,-,-,40,9.55,40,14.14,64.70,4.58,14.1,0.51,0.25,0.08,3.1,0.00
Damon Ward,North Texas,Army,Army,-,-,41,9.54,39,14.15,58.22,4.61,12.6,0.62,0.00,0.00,0.0,0.00
Will Sheppard,Colorado,TxTch,Colo,-,-,42,9.49,43,14.08,62.56,4.58,13.7,0.54,0.00,0.00,0.0,0.00
Chris Tyree,Virginia,Pitt,UVa,-,-,43,9.29,41,14.14,60.48,4.85,12.5,0.47,4.39,1.49,2.9,0.00
Antwane Wells Jr.,Mississippi,UGa,UGa,-,-,44,9.26,51,13.51,65.92,4.25,15.5,0.44,0.09,0.09,1.0,0.00
Dalvin Smith,Western Kentucky,NMSt,WestKy,-,-,45,9.25,34,14.70,57.57,5.44,10.6,0.58,0.33,0.08,4.1,0.00
Elijhah Badger,Florida,Tex,Fla,-,-,46,9.08,48,13.72,73.88,4.64,15.9,0.25,1.77,0.34,5.2,0.00
Jaylin Noel,Iowa State,Kansas,IaSt,-,-,47,9.05,45,13.99,60.78,4.94,12.3,0.49,0.08,0.08,1.0,0.00
Johntay Cook II,Texas,Fla,Fla,-,-,48,9.03,56,12.85,53.22,3.83,13.9,0.61,0.52,0.17,3.1,0.00
Dorian Singer,Utah,BYU,BYU,-,-,49,8.98,60,12.47,54.45,3.49,15.6,0.54,3.13,0.54,5.8,0.00
Trayvon Rudolph,Northern Illinois,WestMI,NIU,-,-,50,8.77,49,13.66,52.00,4.89,10.6,0.27,14.40,1.87,7.7,0.09
Eric McAlister,TCU,OkSt,OkSt,-,-,51,8.73,52,13.17,64.53,4.44,14.5,0.36,1.42,0.36,3.9,0.00
Malik Benson,Florida State,ND,FlaSt,-,-,52,8.55,59,12.58,55.84,4.04,13.8,0.49,0.00,0.00,0.0,0.00
Xzavier Henderson,Cincinnati,WVU,WVU,-,-,53,8.55,50,13.54,65.86,4.99,13.2,0.33,0.00,0.00,0.0,0.00
Jeremiah Smith,Ohio State,Purdue,Purdue,-,-,54,8.55,61,12.36,56.35,3.81,14.8,0.49,0.00,0.00,0.0,0.00
Treon Sibley,Liberty,MiddTn,Lib,-,-,55,8.53,71,11.80,58.00,3.27,17.7,0.45,0.00,0.00,0.0,0.00
Jacolby George,Miami,GaTech,Mia-Fl,-,-,56,8.51,63,12.27,56.32,3.76,15.0,0.48,0.00,0.00,0.0,0.00
Elijah Sarratt,Indiana,Mich,Mich,-,-,57,8.51,55,12.95,59.24,4.44,13.3,0.43,0.26,0.09,2.9,0.00
Josh Meredith,Washington State,UtahSt,UtahSt,-,-,58,8.41,37,14.43,63.00,6.03,10.4,0.34,0.68,0.17,4.0,0.00
