,,Week 8 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Ollie Gordon,Oklahoma State,BYU,OkSt,-,-,1,26.24,1,29.27,136.38,22.00,6.2,1.60,24.87,3.03,8.2,0.08
Devin Neal,Kansas,Hou,Hou,-,-,2,18.38,3,19.99,103.86,17.00,6.1,1.01,13.96,1.61,8.7,0.08
DJ Giddens,Kansas State,WVU,KanSt,-,-,3,18.00,4,19.93,99.79,19.00,5.3,0.84,19.67,1.93,10.2,0.17
Phil Mafah,Clemson,UVa,UVa,-,-,4,17.24,6,19.27,92.81,17.00,5.5,1.14,11.22,2.03,5.5,0.00
Jordan James,Oregon,Purdue,Oregon,-,-,5,17.08,5,19.53,88.21,13.00,6.8,0.93,21.78,2.45,8.9,0.08
Makhi Hughes,Tulane,Rice,Rice,-,-,6,17.03,12,18.21,111.36,21.00,5.3,0.75,8.78,1.17,7.5,0.08
Tahj Brooks,Texas Tech,Baylor,Baylor,-,-,7,16.91,7,19.26,112.82,23.00,4.9,0.76,10.91,2.35,4.6,0.00
Jaydn Ott,California,NCSU,NCSU,-,-,8,16.88,9,18.87,95.56,18.00,5.3,0.83,13.52,1.99,6.8,0.17
Donovan Edwards,Michigan,Ill,Mich,-,-,9,16.83,11,18.28,87.30,19.00,4.6,0.94,19.34,1.45,13.3,0.09
Ismail Mahdi,Texas State,ODU,TxSt,-,-,10,16.83,10,18.39,107.67,18.00,6.0,0.82,11.34,1.56,7.3,0.00
Malik Sherrod,Fresno State,Nevada,Fres,-,-,11,16.59,2,20.19,87.49,17.00,5.1,0.86,21.72,3.61,6.0,0.09
Gavin Sawchuk,Oklahoma,SCar,SCar,-,-,12,16.58,14,17.90,92.87,16.00,5.8,0.99,8.58,1.32,6.5,0.08
RJ Harvey,Central Florida,IaSt,UCF,-,-,13,16.57,13,17.98,86.99,14.00,6.2,0.97,15.32,1.41,10.9,0.09
Kyle Monangai,Rutgers,UCLA,UCLA,-,-,14,16.52,16,17.29,101.42,19.00,5.3,0.94,7.27,0.77,9.4,0.00
Mario Anderson,Memphis,NorTx,NorTx,-,-,15,16.44,8,19.11,81.08,14.00,5.8,0.92,23.33,2.67,8.7,0.08
Damien Martinez,Miami,Lou,Mia-Fl,-,-,16,16.43,15,17.52,99.00,16.00,6.2,0.92,10.33,1.08,9.6,0.00
Jahiem White,West Virginia,KanSt,KanSt,-,-,17,16.37,17,17.13,106.35,17.00,6.3,0.67,12.14,0.75,16.2,0.08
Antario Brown,Northern Illinois,Toledo,Toledo,-,-,18,15.81,23,16.71,104.87,17.00,6.2,0.82,3.94,0.90,4.4,0.00
Abu Sama III,Iowa State,UCF,UCF,-,-,19,15.72,24,16.63,90.92,14.00,6.5,0.99,7.00,0.91,7.7,0.00
