,,Week 10 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Ollie Gordon,Oklahoma State,AriSt,AriSt,-,-,1,26.24,1,29.27,136.38,22.00,6.2,1.60,24.87,3.03,8.2,0.08
Ashton Jeanty,Boise State,SDSU,SDSU,-,-,2,23.73,2,26.98,107.29,17.00,6.3,1.14,37.25,3.25,11.5,0.41
Omarion Hampton,North Carolina,FlaSt,UNC,-,-,3,19.83,3,21.93,111.47,21.00,5.3,1.09,16.30,2.10,7.8,0.08
DJ Giddens,Kansas State,Hou,KanSt,-,-,4,18.00,5,19.93,99.79,19.00,5.3,0.84,19.67,1.93,10.2,0.17
Darius Taylor,Minnesota,Ill,Minn,-,-,5,17.66,10,18.97,111.46,21.00,5.3,0.90,11.19,1.31,8.5,0.00
Quinton Cooley,Liberty,JacSt,JacSt,-,-,6,17.50,17,17.92,102.22,16.00,6.4,1.16,3.15,0.41,7.7,0.00
Phil Mafah,Clemson,Lou,Lou,-,-,7,17.24,7,19.27,92.81,17.00,5.5,1.14,11.22,2.03,5.5,0.00
Jordan James,Oregon,Mich,Oregon,-,-,8,17.08,6,19.53,88.21,13.00,6.8,0.93,21.78,2.45,8.9,0.08
Makhi Hughes,Tulane,Char,Tulane,-,-,9,17.03,13,18.21,111.36,21.00,5.3,0.75,8.78,1.17,7.5,0.08
Tahj Brooks,Texas Tech,IaSt,TxTch,-,-,10,16.91,8,19.26,112.82,23.00,4.9,0.76,10.91,2.35,4.6,0.00
Donovan Edwards,Michigan,Oregon,Oregon,-,-,11,16.83,12,18.28,87.30,19.00,4.6,0.94,19.34,1.45,13.3,0.09
Ismail Mahdi,Texas State,UL-Laf,UL-Laf,-,-,12,16.83,11,18.39,107.67,18.00,6.0,0.82,11.34,1.56,7.3,0.00
TreVeyon Henderson,Ohio State,PSU,OhioSt,-,-,13,16.68,15,18.04,84.76,14.00,6.1,1.02,15.87,1.36,11.7,0.08
Malik Sherrod,Fresno State,Hawaii,Hawaii,-,-,14,16.59,4,20.19,87.49,17.00,5.1,0.86,21.72,3.61,6.0,0.09
Gavin Sawchuk,Oklahoma,Maine,Maine,-,-,15,16.58,18,17.90,92.87,16.00,5.8,0.99,8.58,1.32,6.5,0.08
RJ Harvey,Central Florida,Ari,Ari,-,-,16,16.57,16,17.98,86.99,14.00,6.2,0.97,15.32,1.41,10.9,0.09
Mario Anderson,Memphis,Tx-SA,Mem,-,-,17,16.44,9,19.11,81.08,14.00,5.8,0.92,23.33,2.67,8.7,0.08
Damien Martinez,Miami,Duke,Duke,-,-,18,16.43,20,17.52,99.00,16.00,6.2,0.92,10.33,1.08,9.6,0.00
Quinshon Judkins,Ohio State,PSU,OhioSt,-,-,19,16.28,19,17.60,85.33,14.00,6.1,0.99,12.84,1.33,9.7,0.08
Abu Sama III,Iowa State,TxTch,TxTch,-,-,20,15.72,25,16.63,90.92,14.00,6.5,0.99,7.00,0.91,7.7,0.00
Chip Trayanum,Kentucky,Tenn,Kty,-,-,21,15.36,23,16.98,79.73,17.00,4.7,0.75,15.82,1.61,9.8,0.22
Woody Marks,USC,Wash,USC,-,-,22,15.29,22,17.08,90.84,14.00,6.5,0.57,18.07,1.79,10.1,0.16
LeQuint Allen,Syracuse,VaTech,VaTech,-,-,23,15.24,14,18.17,86.42,18.00,4.8,0.73,17.10,2.93,5.8,0.08
TJ Harden,UCLA,Neb,UCLA,-,-,24,14.83,27,16.36,79.83,16.00,5.0,0.85,12.26,1.53,8.0,0.09
Cameron Skattebo,Arizona State,OkSt,AriSt,-,-,25,14.74,24,16.78,77.53,16.00,4.8,0.68,23.91,2.04,11.7,0.09
Bhayshul Tuten,Virginia Tech,Syr,VaTech,-,-,26,14.51,26,16.49,70.10,13.00,5.4,0.91,15.80,1.97,8.0,0.08
Jalen White,Georgia Southern,USA,GaSo,-,-,27,14.43,29,15.75,82.25,15.00,5.5,0.82,7.66,1.32,5.8,0.08
Trevor Etienne,Georgia,Fla,Fla,-,-,28,14.20,28,15.83,68.49,12.00,5.7,0.90,14.69,1.63,9.0,0.08
Dylan Sampson,Tennessee,Kty,Kty,-,-,29,13.89,30,15.61,84.18,15.00,5.6,0.57,15.41,1.72,9.0,0.08
Dean Connors,Rice,Navy,Navy,-,-,30,13.88,21,17.11,68.10,11.00,6.2,0.57,27.01,3.24,8.3,0.16
Nicholas Singleton,Penn State,OhioSt,OhioSt,-,-,31,13.74,31,15.54,69.84,14.00,5.0,0.65,18.42,1.80,10.2,0.16
Kanye Roberts,Appalachian State,ODU,ODU,-,-,32,13.48,34,15.04,77.09,14.00,5.5,0.78,11.06,1.56,7.1,0.00
Harrison Waylee,Wyoming,NM,Wyo,-,-,33,13.43,36,14.59,93.38,16.00,5.8,0.58,5.96,1.16,5.1,0.00
Jacquez Stuart,Toledo,EastMi,Toledo,-,-,34,13.34,37,14.41,71.56,14.00,5.1,0.74,12.44,1.07,11.6,0.08
Jonah Coleman,Washington,USC,USC,-,-,35,13.15,32,15.26,69.49,12.00,5.8,0.49,23.11,2.11,11.0,0.16
Chez Mellusi,Wisconsin,Iowa,Wisc,-,-,36,12.89,35,14.61,74.12,14.00,5.3,0.77,8.42,1.72,4.9,0.00
Jordan Waters,North Carolina State,Stan,Stan,-,-,37,12.89,42,13.88,70.18,13.00,5.4,0.82,9.38,0.99,9.5,0.00
Kaden Feagin,Illinois,Minn,Minn,-,-,38,12.74,43,13.88,72.04,16.00,4.5,0.57,11.53,1.14,10.1,0.16
Jarquez Hunter,Auburn,Vandy,Vandy,-,-,39,12.63,38,14.14,80.88,14.00,5.8,0.59,9.95,1.52,6.5,0.00
Ja'Quinden Jackson,Arkansas,Miss,Miss,-,-,40,12.55,40,14.08,67.37,15.00,4.5,0.68,12.37,1.53,8.1,0.08
Montrell Johnson,Florida,UGa,Fla,-,-,41,12.47,33,15.09,70.00,14.00,5.0,0.51,19.31,2.61,7.4,0.08
Quali Conley,Arizona,UCF,Ari,-,-,42,12.25,39,14.10,55.38,12.00,4.6,0.74,17.26,1.85,9.3,0.09
Cam Cook,TCU,Baylor,TCU,-,-,43,12.12,51,12.83,78.10,15.00,5.2,0.63,5.00,0.71,7.0,0.00
Raheim Sanders,South Carolina,TexA&M,TexA&M,-,-,44,11.77,44,13.87,69.83,14.00,5.0,0.50,12.66,2.10,6.0,0.08
Devin Mockobee,Purdue,NW,NW,-,-,45,11.73,48,13.31,65.77,14.00,4.7,0.53,14.53,1.58,9.2,0.09
