,,Week 10 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Jaquez Moore,Duke,Mia-Fl,Duke,-,-,46,11.66,53,12.69,70.08,13.00,5.4,0.60,10.33,1.03,10.0,0.00
Parker Jenkins,Houston,KanSt,KanSt,-,-,47,11.60,54,12.60,79.61,15.00,5.3,0.50,6.20,1.01,6.1,0.00
Noah Whittington,Oregon,Mich,Oregon,-,-,48,11.48,47,13.32,63.00,9.00,7.0,0.52,15.12,1.83,8.3,0.09
Braylon McReynolds,South Alabama,GaSo,GaSo,-,-,49,11.44,46,13.34,64.92,13.00,5.0,0.49,14.97,1.89,7.9,0.08
Jacory Croskey-Merritt,Arizona,UCF,Ari,-,-,50,11.28,49,12.94,51.53,11.00,4.7,0.66,16.62,1.65,10.1,0.08
Kaytron Allen,Penn State,OhioSt,OhioSt,-,-,51,11.23,62,11.90,72.83,14.00,5.2,0.50,4.50,0.67,6.7,0.08
Anthony Watkins,Tulsa,UAB,Tulsa,-,-,52,11.11,60,11.96,85.03,19.00,4.5,0.34,5.62,0.85,6.6,0.00
Jordan Houston,Marshall,UL-Mon,UL-Mon,-,-,53,11.06,50,12.85,56.43,12.00,4.7,0.68,13.36,1.79,7.5,0.00
Jaylan Knighton,SMU,Pitt,Pitt,-,-,54,11.04,58,12.16,66.29,13.00,5.1,0.52,7.92,1.12,7.1,0.09
Marquez Cooper,San Diego State,Boise,SDSU,-,-,55,10.97,45,13.55,51.73,11.00,4.7,0.43,21.91,2.58,8.5,0.17
Jevon Jackson,UTEP,MiddTn,MiddTn,-,-,56,10.91,70,11.59,78.46,16.00,4.9,0.43,4.96,0.68,7.3,0.00
Justin Marshall,Colorado State,Nevada,ColoSt,-,-,57,10.91,59,11.98,71.42,13.00,5.5,0.49,8.06,1.07,7.5,0.00
Andrew Paul,Jacksonville State,Lib,JacSt,-,-,58,10.88,57,12.18,61.30,12.00,5.1,0.61,10.96,1.30,8.4,0.00
Nathan Carter,Michigan State,Ind,Ind,-,-,59,10.81,61,11.94,67.38,15.00,4.5,0.57,6.65,1.14,5.8,0.00
Donald Chaney,Louisville,Clem,Lou,-,-,60,10.74,52,12.73,62.35,13.00,4.8,0.50,15.24,1.99,7.7,0.00
Ta'ron Keith,South Florida,FlaAtl,USF,-,-,61,10.68,41,13.93,40.62,8.00,5.1,0.44,29.27,3.25,9.0,0.18
Dylan Carson,Air Force,Army,AF,-,-,62,10.66,92,10.66,76.58,16.00,4.8,0.50,0.00,0.00,0.0,0.00
Jambres Dubar,Boise State,SDSU,SDSU,-,-,63,10.58,63,11.83,58.17,10.00,5.8,0.58,12.67,1.25,10.1,0.00
Damien Taylor,Troy,CoastC,CoastC,-,-,64,10.42,65,11.75,56.00,11.00,5.1,0.58,8.17,1.33,6.1,0.08
Eli Sanders,New Mexico,Wyo,Wyo,-,-,65,10.35,64,11.82,57.50,12.00,4.8,0.52,9.76,1.47,6.6,0.09
Monte Watkins,New Mexico State,FIU,NMSt,-,-,66,10.34,73,11.50,65.88,12.00,5.5,0.41,7.78,1.16,6.7,0.08
Lee Beebe,UAB,Tulsa,Tulsa,-,-,67,10.26,66,11.73,53.23,7.00,7.6,0.57,10.34,1.47,7.0,0.08
Le'Veon Moss,Texas A&M,SCar,TexA&M,-,-,68,10.22,79,11.25,56.16,11.00,5.1,0.55,9.16,1.02,9.0,0.07
Roydell Williams,Florida State,UNC,UNC,-,-,69,10.18,77,11.36,59.40,11.00,5.4,0.51,6.85,1.18,5.8,0.08
Marquis Crosby,Louisiana Tech,SamHou,LaTech,-,-,70,10.16,75,11.38,60.38,11.00,5.5,0.57,7.01,1.22,5.7,0.00
Ulysses Bentley IV,Mississippi,Ark,Miss,-,-,71,10.03,83,10.99,56.05,10.00,5.6,0.53,7.37,0.96,7.7,0.09
Keegan Jones,UCLA,Neb,UCLA,-,-,72,10.03,55,12.31,52.92,11.00,4.8,0.40,17.64,2.28,7.7,0.10
Hunter Smith,Louisiana-Monroe,Marsh,UL-Mon,-,-,73,10.03,93,10.52,60.66,11.00,5.5,0.49,5.17,0.49,10.6,0.08
Elijah Young,Western Kentucky,KennSt,KennSt,-,-,74,9.97,69,11.64,45.92,10.00,4.6,0.33,18.83,1.67,11.3,0.25
Cartevious Norton,UNC Charlotte,Tulane,Tulane,-,-,75,9.87,78,11.36,55.97,13.00,4.3,0.41,7.95,1.49,5.3,0.17
Nay'Quan Wright,South Florida,FlaAtl,USF,-,-,76,9.87,91,10.71,61.75,14.00,4.4,0.58,2.00,0.83,2.4,0.00
Armoni Goodwin,UAB,Tulsa,Tulsa,-,-,77,9.81,88,10.74,48.40,9.00,5.4,0.76,3.82,0.93,4.1,0.00
Reggie Love,Purdue,NW,NW,-,-,78,9.81,80,11.13,57.52,12.00,4.8,0.41,10.76,1.32,8.2,0.08
Alton McCaskill,Arizona State,OkSt,AriSt,-,-,79,9.77,87,10.81,56.43,12.00,4.7,0.52,9.91,1.04,9.5,0.00
Jacqez Barksdale,Buffalo,Akron,Buff,-,-,80,9.76,76,11.38,51.67,11.00,4.7,0.43,15.18,1.62,9.4,0.09
Trey Sanders,TCU,Baylor,TCU,-,-,81,9.75,81,11.09,36.86,10.00,3.7,0.76,9.24,1.33,6.9,0.10
Kevorian Barnes,UTSA,Mem,Mem,-,-,82,9.74,84,10.98,56.15,11.00,5.1,0.57,6.81,1.23,5.5,0.00
Dominic Richardson,Baylor,TCU,TCU,-,-,83,9.69,67,11.68,52.22,12.00,4.4,0.33,14.90,1.99,7.5,0.17
Rodney Hammond,Pittsburgh,SMU,Pitt,-,-,84,9.65,72,11.52,52.80,11.00,4.8,0.41,14.34,1.87,7.7,0.08
Cam Porter,Northwestern,Purdue,NW,-,-,85,9.61,85,10.91,57.67,15.00,3.8,0.43,7.41,1.29,5.7,0.09
Kentrel Bullock,South Alabama,GaSo,GaSo,-,-,86,9.60,86,10.88,53.20,10.00,5.3,0.48,9.20,1.28,7.2,0.08
Michael Benefield,Kennesaw State,WestKy,KennSt,-,-,87,9.55,102,10.03,63.38,12.00,5.3,0.48,3.14,0.48,6.5,0.00
Justice Ellison,Indiana,MSU,Ind,-,-,88,9.51,68,11.67,53.96,12.00,4.5,0.35,15.28,2.16,7.1,0.09
Braydon Bennett,Coastal Carolina,Troy,CoastC,-,-,89,9.44,74,11.41,47.01,10.00,4.7,0.51,16.67,1.97,8.5,0.00
Leshon Williams,Iowa,Wisc,Wisc,-,-,90,9.42,96,10.40,67.22,14.00,4.8,0.25,7.29,0.98,7.4,0.08
Camryn Edwards,UConn,GaSt,GaSt,-,-,91,9.41,89,10.73,57.77,12.00,4.8,0.33,11.50,1.32,8.7,0.08
Peny Boone,Central Florida,Ari,Ari,-,-,92,9.40,101,10.19,52.12,8.00,6.5,0.55,8.63,0.79,10.9,0.00
Star Thomas,Duke,Mia-Fl,Duke,-,-,93,9.40,90,10.72,52.98,10.00,5.3,0.41,11.24,1.32,8.5,0.08
Delbert Mimms,Eastern Michigan,Toledo,Toledo,-,-,94,9.28,95,10.50,39.49,9.00,4.4,0.65,9.57,1.22,7.8,0.08
Gabe Ervin,Nebraska,UCLA,UCLA,-,-,95,9.19,97,10.40,58.63,12.00,4.9,0.40,9.10,1.21,7.5,0.00
Henry Parrish,Mississippi,Ark,Miss,-,-,96,9.13,104,9.93,56.57,9.00,6.3,0.40,5.79,0.80,7.2,0.08
Tawee Walker,Wisconsin,Iowa,Wisc,-,-,97,9.12,98,10.31,50.57,11.00,4.6,0.55,7.44,1.19,6.3,0.00
Robert Henry,UTSA,Mem,Mem,-,-,98,9.09,99,10.27,47.98,10.00,4.8,0.59,7.65,1.18,6.5,0.00
Lawrance Toafili,Florida State,UNC,UNC,-,-,99,9.06,82,11.08,41.07,7.00,5.9,0.42,19.14,2.02,9.5,0.08
Billy Lucas,Liberty,JacSt,JacSt,-,-,100,9.04,115,9.37,53.14,10.00,5.3,0.50,2.56,0.33,7.8,0.08
Dre'lyn Washington,Louisiana-Lafayette,TxSt,UL-Laf,-,-,101,9.04,107,9.79,56.78,10.00,5.7,0.41,3.88,0.74,5.2,0.08
Davon Booth,Mississippi State,UMass,UMass,-,-,102,9.03,103,9.99,54.96,10.00,5.5,0.48,6.56,0.96,6.8,0.00
CJ Beasley,Georgia State,UConn,GaSt,-,-,103,9.02,100,10.23,54.14,12.00,4.5,0.47,8.19,1.21,6.8,0.00
Zuberi Mobley,Florida Atlantic,USF,USF,-,-,104,8.97,106,9.92,55.96,13.00,4.3,0.34,7.92,0.95,8.3,0.09
Isaiah Jacobs,UAB,Tulsa,Tulsa,-,-,105,8.91,71,11.56,45.04,10.00,4.5,0.51,13.25,2.65,5.0,0.00
Seth McGowan,New Mexico State,FIU,NMSt,-,-,106,8.84,111,9.52,51.86,10.00,5.2,0.42,6.02,0.68,8.9,0.08
John Gentry,Sam Houston,LaTech,LaTech,-,-,107,8.79,56,12.26,28.89,8.00,3.6,0.36,27.02,3.47,7.8,0.18
Sean Dollars,Nevada,ColoSt,ColoSt,-,-,108,8.67,108,9.70,45.51,12.00,3.8,0.51,5.23,1.03,5.1,0.09
DJ Jones,Wyoming,NM,Wyo,-,-,109,8.63,114,9.39,56.97,10.00,5.7,0.42,4.12,0.76,5.4,0.00
LJ Johnson Jr.,SMU,Pitt,Pitt,-,-,110,8.61,117,9.12,56.45,11.00,5.1,0.43,4.09,0.51,8.0,0.00
Dontae McMillan,Eastern Michigan,Toledo,Toledo,-,-,111,8.30,109,9.57,38.55,9.00,4.3,0.51,8.75,1.27,6.9,0.08
Jordon Simmons,Akron,Buff,Buff,-,-,112,8.28,105,9.93,42.93,10.00,4.3,0.38,12.78,1.65,7.7,0.08
Roderick Robinson,Georgia,Fla,Fla,-,-,113,8.27,120,8.88,41.05,7.00,5.9,0.60,5.36,0.60,8.9,0.00
Anderson Castle,Appalachian State,ODU,ODU,-,-,114,8.18,121,8.85,52.58,10.00,5.3,0.42,4.25,0.67,6.3,0.00
Rayshon Luke,Arizona,UCF,Ari,-,-,115,8.05,113,9.44,38.08,9.00,4.2,0.46,14.77,1.38,10.7,0.00
Dylan Edwards,Kansas State,Hou,KanSt,-,-,116,7.98,112,9.47,36.78,8.00,4.6,0.33,13.36,1.48,9.0,0.16
Gerald Green,Troy,CoastC,CoastC,-,-,117,7.89,118,9.12,40.41,9.00,4.5,0.44,6.71,1.24,5.4,0.09
Desmond Reid,Pittsburgh,SMU,Pitt,-,-,118,7.83,110,9.57,44.17,10.00,4.4,0.26,13.30,1.74,7.6,0.09
Aaron Young,Old Dominion,App,ODU,-,-,119,7.81,129,8.47,44.01,9.00,4.9,0.41,4.38,0.66,6.6,0.08
Cameron Seldon,Tennessee,Kty,Kty,-,-,120,7.79,119,8.89,45.00,9.00,5.0,0.42,7.39,1.10,6.7,0.00
Freddie Brock,Georgia State,UConn,GaSt,-,-,121,7.70,130,8.43,47.82,10.00,4.8,0.40,5.00,0.73,6.8,0.00
Jeffery Pittman,Mississippi State,UMass,UMass,-,-,122,7.70,124,8.71,45.00,9.00,5.0,0.34,6.81,1.01,6.7,0.08
Sedrick Irvin,Stanford,NCSU,Stan,-,-,123,7.69,94,10.51,36.57,8.00,4.6,0.35,19.25,2.81,6.9,0.00
Anwar Lewis,Jacksonville State,Lib,JacSt,-,-,124,7.66,126,8.50,48.99,10.00,4.9,0.34,7.39,0.84,8.8,0.00
Rashad Amos,Mississippi,Ark,Miss,-,-,125,7.54,138,8.06,40.69,8.00,5.1,0.52,3.78,0.52,7.3,0.00
Mark Fletcher,Miami,Duke,Duke,-,-,126,7.48,127,8.50,39.91,8.00,5.0,0.43,9.36,1.02,9.2,0.00
Elijah Davis,Louisiana-Lafayette,TxSt,UL-Laf,-,-,127,7.45,148,7.71,47.63,9.00,5.3,0.42,1.44,0.25,5.8,0.00
Bennett Galloway,Louisiana-Monroe,Marsh,UL-Mon,-,-,128,7.45,143,7.85,51.53,9.00,5.7,0.32,3.82,0.40,9.6,0.00
Ethan Payne,Marshall,UL-Mon,UL-Mon,-,-,129,7.42,131,8.42,42.92,10.00,4.3,0.42,6.33,1.00,6.3,0.00
Al-Jay Henderson,Buffalo,Akron,Buff,-,-,130,7.40,125,8.69,40.50,9.00,4.5,0.32,9.40,1.29,7.3,0.08
Benjamin Hall,Michigan,Oregon,Oregon,-,-,131,7.37,139,8.06,42.26,9.00,4.7,0.43,5.74,0.69,8.3,0.00
Sedrick Alexander,Vanderbilt,Auburn,Vandy,-,-,132,7.35,122,8.74,38.00,10.00,3.8,0.35,9.39,1.39,6.8,0.09
Kay'Ron Lynch-Adams,Michigan State,Ind,Ind,-,-,133,7.34,132,8.34,42.86,10.00,4.3,0.34,5.29,1.01,5.2,0.08
AJ Newberry,Vanderbilt,Auburn,Vandy,-,-,134,7.28,136,8.07,40.59,9.00,4.5,0.35,5.74,0.79,7.3,0.09
Maurice Turner,Louisville,Clem,Lou,-,-,135,7.22,116,9.16,37.66,8.00,4.7,0.24,15.19,1.94,7.8,0.08
Jalen John,Massachusetts,MissSt,UMass,-,-,136,7.20,133,8.24,38.00,10.00,3.8,0.43,7.91,1.04,7.6,0.00
Keith Adams Jr.,Clemson,Lou,Lou,-,-,137,7.19,146,7.79,43.18,8.00,5.4,0.43,2.92,0.60,4.9,0.00
Frank Peasant,Middle Tenn. St,UTEP,MiddTn,-,-,138,7.15,147,7.72,37.97,10.00,3.8,0.49,4.23,0.57,7.4,0.00
Treyaun Webb,Florida,UGa,Fla,-,-,139,7.09,135,8.13,39.91,8.00,5.0,0.35,4.87,1.04,4.7,0.09
Ja'Vin Simpkins,Coastal Carolina,Troy,CoastC,-,-,140,6.92,150,7.56,41.52,8.00,5.2,0.40,3.68,0.64,5.8,0.00
Aiden Calvert,Air Force,Army,AF,-,-,141,6.91,156,7.22,43.11,6.00,7.2,0.39,2.29,0.32,7.2,0.00
Lexington Joseph,Florida International,NMSt,NMSt,-,-,142,6.90,123,8.72,38.35,8.00,4.8,0.25,10.89,1.81,6.0,0.08
Brandon Thomas,Memphis,Tx-SA,Mem,-,-,143,6.85,149,7.57,26.47,7.00,3.8,0.63,4.31,0.72,6.0,0.00
Jalen Hampton,Western Kentucky,KennSt,KennSt,-,-,144,6.84,137,8.07,36.08,8.00,4.5,0.24,12.73,1.22,10.4,0.08
Cameron Davis,Washington,USC,USC,-,-,145,6.83,134,8.20,34.49,7.00,4.9,0.26,13.32,1.37,9.7,0.09
Jay Ducker,Sam Houston,LaTech,LaTech,-,-,146,6.76,151,7.37,38.00,10.00,3.8,0.43,3.48,0.61,5.7,0.00
Andrew Henry,New Mexico,Wyo,Wyo,-,-,147,6.74,142,7.86,40.00,8.00,5.0,0.34,6.80,1.12,6.1,0.00
Eli Heidenreich,Navy,Rice,Navy,-,-,148,6.72,128,8.47,22.33,3.00,7.4,0.08,29.83,1.75,17.0,0.17
Kanye Udoh,Army,AF,AF,-,-,149,6.65,166,6.65,50.95,10.00,5.1,0.26,0.00,0.00,0.0,0.00
Demie Sumo-Karngbaye,Kentucky,Tenn,Kty,-,-,150,6.56,140,7.96,36.89,7.00,5.3,0.25,8.89,1.40,6.4,0.08
CJ Campbell,Florida Atlantic,USF,USF,-,-,151,6.50,165,6.83,39.08,6.00,6.5,0.41,1.62,0.32,5.1,0.00
Kaelon Black,Indiana,MSU,Ind,-,-,152,6.49,141,7.89,40.13,9.00,4.5,0.17,9.91,1.40,7.1,0.08
CJ Hester,Massachusetts,MissSt,UMass,-,-,153,6.38,145,7.83,26.55,7.00,3.8,0.34,11.61,1.45,8.0,0.09
Shomari Lawrence,Florida International,NMSt,NMSt,-,-,154,6.38,158,7.03,39.92,10.00,4.0,0.33,4.18,0.66,6.3,0.00
Victor Rosa,UConn,GaSt,GaSt,-,-,155,6.36,153,7.34,43.30,9.00,4.8,0.24,5.76,0.97,5.9,0.00
Pat Garwo,Nevada,ColoSt,ColoSt,-,-,156,6.34,159,6.98,40.00,10.00,4.0,0.32,4.03,0.65,6.2,0.00
Quinten Joyner,USC,Wash,USC,-,-,157,6.34,163,6.85,43.96,7.00,6.3,0.26,4.10,0.51,8.0,0.00
OJ Arnold,Georgia Southern,USA,GaSo,-,-,158,6.33,154,7.26,36.37,7.00,5.2,0.34,6.40,0.94,6.8,0.00
Bill Jackson,Tulsa,UAB,Tulsa,-,-,159,6.30,157,7.16,47.35,11.00,4.3,0.17,5.33,0.86,6.2,0.00
Bryce Duke,Old Dominion,App,ODU,-,-,160,6.24,162,6.89,32.91,7.00,4.7,0.32,5.39,0.64,8.4,0.08
Dawson Pendergrass,Baylor,TCU,TCU,-,-,161,6.22,155,7.25,30.31,7.00,4.3,0.32,8.03,1.03,7.8,0.08
Marquese Williams,Akron,Buff,Buff,-,-,162,6.11,152,7.37,32.01,7.00,4.6,0.31,10.22,1.26,8.1,0.00
Ron Wiggins,Jacksonville State,Lib,JacSt,-,-,163,6.10,164,6.84,35.81,7.00,5.1,0.33,5.70,0.73,7.8,0.00
Donerio Davenport,Louisiana Tech,SamHou,LaTech,-,-,164,6.05,161,6.94,35.64,7.00,5.1,0.24,5.55,0.89,6.2,0.08
Kendrick Raphael,North Carolina State,Stan,Stan,-,-,165,6.02,160,6.97,41.37,9.00,4.6,0.17,8.48,0.95,8.9,0.00
Emmett Johnson,Nebraska,UCLA,UCLA,-,-,166,5.93,171,6.35,41.75,9.00,4.6,0.25,2.58,0.42,6.1,0.00
Coleman Bennett,Rice,Navy,Navy,-,-,167,5.82,144,7.85,25.97,7.00,3.7,0.24,17.58,2.03,8.7,0.00
Elijah Gilliam,Fresno State,Hawaii,Hawaii,-,-,168,5.79,170,6.44,25.97,6.00,4.3,0.33,7.23,0.66,11.0,0.08
Alexander Diggs,Kennesaw State,WestKy,KennSt,-,-,169,5.77,173,6.12,38.51,8.00,4.8,0.26,3.34,0.35,9.5,0.00
Jadan Baugh,Florida,UGa,Fla,-,-,170,5.72,172,6.26,36.17,7.00,5.2,0.27,4.85,0.54,9.0,0.00
Zylan Perry,Louisiana-Lafayette,TxSt,UL-Laf,-,-,171,5.56,178,5.88,29.43,7.00,4.2,0.32,2.31,0.32,7.2,0.08
Branson Robinson,Georgia,Fla,Fla,-,-,172,5.52,176,5.93,26.80,5.00,5.4,0.41,3.77,0.41,9.2,0.00
Sy'veon Wilkerson,Georgia State,UConn,GaSt,-,-,173,5.49,185,5.73,33.70,8.00,4.2,0.32,1.78,0.24,7.4,0.00
Kaleb Johnson,Iowa,Wisc,Wisc,-,-,174,5.48,179,5.82,36.42,9.00,4.0,0.25,3.06,0.34,9.0,0.00
Daelen Alexander,Rice,Navy,Navy,-,-,175,5.41,190,5.41,6.10,3.00,2.0,0.80,0.00,0.00,0.0,0.00
Tyrell Robinson,Army,AF,AF,-,-,176,5.41,181,5.80,31.25,6.00,5.2,0.31,4.13,0.39,10.6,0.00
Rocko Griffin,UTSA,Mem,Mem,-,-,177,5.35,175,5.93,31.64,6.00,5.3,0.33,2.14,0.58,3.7,0.00
Dawaiian McNeely,Wyoming,NM,Wyo,-,-,178,5.31,174,5.95,32.91,6.00,5.5,0.27,3.82,0.64,6.0,0.00
Landon Sims,Hawaii,Fres,Hawaii,-,-,179,5.29,168,6.52,33.57,8.00,4.2,0.16,9.40,1.24,7.6,0.00
Jaiden Credle,Middle Tenn. St,UTEP,MiddTn,-,-,180,5.20,180,5.81,36.39,8.00,4.5,0.17,5.33,0.60,8.9,0.00
Stacy Sneed,Houston,KanSt,KanSt,-,-,181,5.19,177,5.90,36.42,7.00,5.2,0.18,4.87,0.71,6.9,0.00
Yasin Wllis,Syracuse,VaTech,VaTech,-,-,182,5.17,184,5.74,32.31,7.00,4.6,0.24,4.72,0.57,8.3,0.00
Mike Washington,New Mexico State,FIU,NMSt,-,-,183,5.14,183,5.74,25.86,5.00,5.2,0.26,4.83,0.60,8.1,0.09
Oscar Adaway III,South Carolina,TexA&M,TexA&M,-,-,184,5.09,186,5.66,32.23,7.00,4.6,0.24,3.99,0.57,7.0,0.00
Jovantae Barnes,Oklahoma,Maine,Maine,-,-,185,5.07,182,5.75,31.91,8.00,4.0,0.26,3.49,0.68,5.1,0.00
Terrence Gist,Air Force,Army,AF,-,-,186,5.03,201,5.03,34.19,7.00,4.9,0.27,0.00,0.00,0.0,0.00
Sutton Smith,Memphis,Tx-SA,Mem,-,-,187,5.02,167,6.64,19.14,4.00,4.8,0.19,13.90,1.62,8.6,0.10
Corey Wren,UTEP,MiddTn,MiddTn,-,-,188,4.96,193,5.20,33.55,8.00,4.2,0.24,1.31,0.24,5.5,0.00
Jeremiah Cobb,Auburn,Vandy,Vandy,-,-,189,4.93,187,5.62,26.00,5.00,5.2,0.23,4.85,0.69,7.0,0.08
Deion Hankins,Texas State,UL-Laf,UL-Laf,-,-,190,4.88,192,5.35,30.55,6.00,5.1,0.24,4.03,0.47,8.6,0.00
Brandon Chatman,Navy,Rice,Navy,-,-,191,4.85,169,6.46,17.97,5.00,3.6,0.08,20.34,1.61,12.6,0.08
Willie Shaw,Toledo,EastMi,Toledo,-,-,192,4.81,189,5.44,24.71,6.00,4.1,0.24,4.42,0.63,7.0,0.08
