,,Week 13 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,FGM,FGA,FG%,XPM,XPA,XP%
Chase Allen,UTSA,Temple,Temple,-,-,1,0.00,17,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Bert Auburn,Texas,Kty,Kty,-,-,2,0.00,30,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Cole Becker,Utah,IaSt,IaSt,-,-,3,0.00,26,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mateen Bhaghani,UCLA,USC,USC,-,-,4,0.00,56,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Aidan Birr,Georgia Tech,NCSU,NCSU,-,-,5,0.00,33,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Randy Bond,Texas A&M,Auburn,TexA&M,-,-,6,0.00,20,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Colton Boomer,Central Florida,WVU,UCF,-,-,7,0.00,34,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Andres Borregales,Miami,Wake,Wake,-,-,8,0.00,21,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nick Brown,Liberty,WestKy,WestKy,-,-,9,0.00,24,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Carter Brown,Cincinnati,KanSt,Cin,-,-,10,0.00,43,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Noah Burnette,North Carolina,BC,UNC,-,-,11,0.00,15,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Cannon,South Florida,Tulsa,Tulsa,-,-,12,0.00,23,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Lucas Carneiro,Western Kentucky,Lib,WestKy,-,-,13,0.00,51,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Coe,California,Stan,Stan,-,-,14,0.00,12,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Liam Connor,Boston College,UNC,UNC,-,-,15,0.00,50,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Craig,Missouri,MissSt,Missou,-,-,16,0.00,52,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonah Dalmas,Boise State,Wyo,Boise,-,-,17,0.00,19,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Davis,Mississippi,Fla,Miss,-,-,18,0.00,1,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brady Denaburg,Syracuse,UConn,UConn,-,-,19,0.00,47,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Ferrie,Mississippi State,Missou,Missou,-,-,20,0.00,55,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Will Ferrin,BYU,AriSt,BYU,-,-,21,0.00,27,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jayden Fielding,Ohio State,Ind,Ind,-,-,22,0.00,37,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Fitzgerald,Florida State,ChSou,ChSou,-,-,23,0.00,8,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Ford,North Texas,ECU,ECU,-,-,24,0.00,42,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Gino Garcia,Texas Tech,OkSt,TxTch,-,-,25,0.00,3,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Robert Gunn,Clemson,Cit,Cit,-,-,26,0.00,32,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Isaiah Hankins,Baylor,Hou,Baylor,-,-,27,0.00,28,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Hayes,West Virginia,UCF,UCF,-,-,28,0.00,4,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Everett Hayes,Oregon State,WashSt,WashSt,-,-,29,0.00,11,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dean Janikowski,Washington State,OreSt,WashSt,-,-,30,0.00,9,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mitch Jeter,Notre Dame,Army,ND,-,-,31,0.00,16,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Keltner,Oklahoma,Ala,Ala,-,-,32,0.00,10,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonathan Kim,Michigan State,Purdue,Purdue,-,-,33,0.00,7,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Konrardy,Iowa State,Utah,IaSt,-,-,34,0.00,53,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Lantz,USC,UCLA,USC,-,-,35,0.00,2,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Loop,Arizona,TCU,Ari,-,-,36,0.00,18,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Love,Virginia Tech,Duke,VaTech,-,-,37,0.00,35,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jack Martin,Houston,Baylor,Baylor,-,-,38,0.00,5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alejandro Mata,Colorado,Kansas,Colo,-,-,39,0.00,44,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nate McCashland,TCU,Ari,Ari,-,-,40,0.00,54,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Graham Nicholson,Alabama,Okla,Ala,-,-,41,0.00,25,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jai Patel,Rutgers,Ill,Ill,-,-,42,0.00,49,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Todd Pelino,Duke,VaTech,VaTech,-,-,43,0.00,46,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Owen Piepergerdes,Kansas,Colo,Colo,-,-,44,0.00,31,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Damian Ramos,LSU,Vandy,Vandy,-,-,45,0.00,38,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alex Raynor,Kentucky,Tex,Kty,-,-,46,0.00,6,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Collin Rogers,SMU,UVa,SMU,-,-,47,0.00,48,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Matthew Shipley,Arkansas,LaTech,LaTech,-,-,48,0.00,14,0.00,0.00,0.00,0.0,0.00,0.00,0.0
