,,Week 10 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,FGM,FGA,FG%,XPM,XPA,XP%
Chase Allen,UTSA,Mem,Mem,-,-,1,0.00,12,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mateen Bhaghani,UCLA,Neb,UCLA,-,-,2,0.00,41,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Randy Bond,Texas A&M,SCar,TexA&M,-,-,3,0.00,15,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Colton Boomer,Central Florida,Ari,Ari,-,-,4,0.00,25,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Andres Borregales,Miami,Duke,Duke,-,-,5,0.00,16,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nick Brown,Liberty,JacSt,JacSt,-,-,6,0.00,20,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Noah Burnette,North Carolina,FlaSt,UNC,-,-,7,0.00,11,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Cannon,South Florida,FlaAtl,USF,-,-,8,0.00,19,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Lucas Carneiro,Western Kentucky,KennSt,KennSt,-,-,9,0.00,37,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Costa,Memphis,Tx-SA,Mem,-,-,10,0.00,17,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonah Dalmas,Boise State,SDSU,SDSU,-,-,11,0.00,14,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Davis,Mississippi,Ark,Miss,-,-,12,0.00,1,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brady Denaburg,Syracuse,VaTech,VaTech,-,-,13,0.00,35,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Ferrie,Mississippi State,UMass,UMass,-,-,14,0.00,40,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jayden Fielding,Ohio State,PSU,OhioSt,-,-,15,0.00,28,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Fitzgerald,Florida State,UNC,UNC,-,-,16,0.00,7,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Gino Garcia,Texas Tech,IaSt,TxTch,-,-,17,0.00,3,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Grady Gross,Washington,USC,USC,-,-,18,0.00,34,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Robert Gunn,Clemson,Lou,Lou,-,-,19,0.00,24,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Isaiah Hankins,Baylor,TCU,TCU,-,-,20,0.00,21,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Keltner,Oklahoma,Maine,Maine,-,-,21,0.00,8,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonathan Kim,Michigan State,Ind,Ind,-,-,22,0.00,6,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Konrardy,Iowa State,TxTch,TxTch,-,-,23,0.00,38,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Lantz,USC,Wash,USC,-,-,24,0.00,2,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Loop,Arizona,UCF,Ari,-,-,25,0.00,13,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Love,Virginia Tech,Syr,VaTech,-,-,26,0.00,26,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jack Martin,Houston,KanSt,KanSt,-,-,27,0.00,4,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nate McCashland,TCU,Baylor,TCU,-,-,28,0.00,39,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Todd Pelino,Duke,Mia-Fl,Duke,-,-,29,0.00,33,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alex Raynor,Kentucky,Tenn,Kty,-,-,30,0.00,5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Collin Rogers,SMU,Pitt,Pitt,-,-,31,0.00,36,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Atticus Sappington,Oregon,Mich,Oregon,-,-,32,0.00,23,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Matthew Shipley,Arkansas,Miss,Miss,-,-,33,0.00,10,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Trey Smack,Florida,UGa,Fla,-,-,34,0.00,29,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Chris Tennant,Kansas State,Hou,KanSt,-,-,35,0.00,18,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brock Travelstead,Louisville,Clem,Lou,-,-,36,0.00,9,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Josh Turbyville,Tennessee,Kty,Kty,-,-,37,0.00,32,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nathanial Vakos,Wisconsin,Iowa,Wisc,-,-,38,0.00,30,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kanoah Vinesett,North Carolina State,Stan,Stan,-,-,39,0.00,31,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Logan Ward,Oklahoma State,AriSt,AriSt,-,-,40,0.00,22,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Peyton Woodring,Georgia,Fla,Fla,-,-,41,0.00,42,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dominic Zvada,Michigan,Oregon,Oregon,-,-,42,0.00,27,0.00,0.00,0.00,0.0,0.00,0.00,0.0
