,,Week 13 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Harold Fannin,Bowling Green,BallSt,BGSU,-,-,1,9.18,1,13.37,60.00,4.19,14.3,0.49,2.22,0.90,2.5,0.00
Colston Loveland,Michigan,NW,NW,-,-,2,8.48,3,12.33,57.94,3.85,15.0,0.45,0.00,0.00,0.0,0.00
Oronde Gadsden,Syracuse,UConn,UConn,-,-,3,8.47,2,13.09,55.09,4.61,12.0,0.49,0.00,0.00,0.0,0.00
Luke Lachey,Iowa,MD,Iowa,-,-,4,8.18,4,12.30,49.45,4.13,12.0,0.54,0.00,0.00,0.0,0.00
Caden Prieskorn,Mississippi,Fla,Miss,-,-,5,7.81,9,11.01,49.28,3.20,15.4,0.48,0.00,0.00,0.0,0.00
Luke Hasz,Arkansas,LaTech,LaTech,-,-,6,7.70,8,11.06,44.27,3.36,13.2,0.55,0.00,0.00,0.0,0.00
Justin Joly,North Carolina State,GaTech,NCSU,-,-,7,7.54,6,11.54,48.09,4.00,12.0,0.45,0.00,0.00,0.0,0.00
Brant Kuithe,Utah,IaSt,IaSt,-,-,8,7.54,5,11.54,46.64,4.00,11.7,0.48,0.00,0.00,0.0,0.00
Jake Briningstool,Clemson,Cit,Cit,-,-,9,7.27,7,11.24,42.25,3.97,10.6,0.51,0.00,0.00,0.0,0.00
RJ Maryland,SMU,UVa,SMU,-,-,10,7.24,11,10.20,41.86,2.97,14.1,0.51,0.00,0.00,0.0,0.00
Grayson Barnes,Northern Illinois,Mia-O,NIU,-,-,11,7.00,20,9.32,42.05,2.33,18.0,0.47,0.00,0.00,0.0,0.00
Oscar Delp,Georgia,UMass,UMass,-,-,12,6.87,10,10.60,45.20,3.73,12.1,0.39,0.00,0.00,0.0,0.00
Jack Velling,Michigan State,Purdue,Purdue,-,-,13,6.79,17,9.56,40.09,2.78,14.4,0.46,0.00,0.00,0.0,0.00
Tyler Warren,Penn State,Minn,PSU,-,-,14,6.71,19,9.46,37.08,2.75,13.5,0.50,0.00,0.00,0.0,0.00
Holden Willis,Middle Tenn. St,NMSt,NMSt,-,-,15,6.71,12,10.12,43.25,3.41,12.7,0.40,0.00,0.00,0.0,0.00
River Helms,Western Kentucky,Lib,WestKy,-,-,16,6.61,14,9.79,38.82,3.18,12.2,0.45,0.00,0.00,0.0,0.00
Bryson Nesbit,North Carolina,BC,UNC,-,-,17,6.34,18,9.53,42.67,3.19,13.4,0.34,0.00,0.00,0.0,0.00
Drake Dabney,TCU,Ari,Ari,-,-,18,6.33,16,9.58,43.33,3.25,13.3,0.33,0.00,0.00,0.0,0.00
Mason Taylor,LSU,Vandy,Vandy,-,-,19,6.17,13,9.92,40.27,3.75,10.7,0.36,0.00,0.00,0.0,0.00
Rivaldo Fairweather,Auburn,TexA&M,TexA&M,-,-,20,5.99,24,8.93,30.53,2.94,10.4,0.49,0.00,0.00,0.0,0.00
John Michael Gyllenborg,Wyoming,Boise,Boise,-,-,21,5.84,21,9.03,37.67,3.19,11.8,0.34,0.00,0.00,0.0,0.00
Benjamin Yurosek,Georgia,UMass,UMass,-,-,22,5.73,28,8.50,34.48,2.76,12.5,0.38,0.00,0.00,0.0,0.00
Michael Harrison,San Diego State,UtahSt,SDSU,-,-,23,5.70,23,8.94,34.81,3.24,10.7,0.37,0.00,0.00,0.0,0.00
Garrett Oakley,Kansas State,Cin,Cin,-,-,24,5.70,26,8.65,37.30,2.95,12.6,0.33,0.00,0.00,0.0,0.00
Sam Roush,Stanford,Cal,Stan,-,-,25,5.70,15,9.64,41.40,3.94,10.5,0.26,0.17,0.09,1.9,0.00
Benjamin Brahmer,Iowa State,Utah,IaSt,-,-,26,5.59,25,8.86,39.55,3.27,12.1,0.27,0.00,0.00,0.0,0.00
Max Klare,Purdue,MSU,Purdue,-,-,27,5.54,22,8.96,33.15,3.43,9.7,0.37,0.00,0.00,0.0,0.00
Amari Niblack,Texas,Kty,Kty,-,-,28,5.38,32,8.04,38.75,2.67,14.5,0.25,0.00,0.00,0.0,0.00
Mitchell Evans,Notre Dame,Army,ND,-,-,29,5.36,30,8.10,34.75,2.75,12.6,0.31,0.00,0.00,0.0,0.00
