,,Week 11 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,FGM,FGA,FG%,XPM,XPA,XP%
Bert Auburn,Texas,Fla,Fla,-,-,1,0.00,19,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Cole Becker,Utah,BYU,BYU,-,-,2,0.00,16,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mateen Bhaghani,UCLA,Iowa,Iowa,-,-,3,0.00,45,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Aidan Birr,Georgia Tech,Mia-Fl,Mia-Fl,-,-,4,0.00,23,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Colton Boomer,Central Florida,AriSt,UCF,-,-,5,0.00,24,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Andres Borregales,Miami,GaTech,Mia-Fl,-,-,6,0.00,11,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nick Brown,Liberty,MiddTn,Lib,-,-,7,0.00,14,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Carter Brown,Cincinnati,WVU,WVU,-,-,8,0.00,32,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Cannon,South Florida,Navy,Navy,-,-,9,0.00,13,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Lucas Carneiro,Western Kentucky,NMSt,WestKy,-,-,10,0.00,40,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Coe,California,Wake,Cal,-,-,11,0.00,8,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Liam Connor,Boston College,Syr,Syr,-,-,12,0.00,39,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Costa,Memphis,Rice,Rice,-,-,13,0.00,12,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Craig,Missouri,Okla,Okla,-,-,14,0.00,41,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonah Dalmas,Boise State,Nevada,Nevada,-,-,15,0.00,10,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Davis,Mississippi,UGa,UGa,-,-,16,0.00,1,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brady Denaburg,Syracuse,BC,Syr,-,-,17,0.00,37,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Ferrie,Mississippi State,Tenn,MissSt,-,-,18,0.00,44,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Will Ferrin,BYU,Utah,BYU,-,-,19,0.00,17,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jayden Fielding,Ohio State,Purdue,Purdue,-,-,20,0.00,27,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Fitzgerald,Florida State,ND,FlaSt,-,-,21,0.00,4,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Ford,North Texas,Army,Army,-,-,22,0.00,31,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Gino Garcia,Texas Tech,Colo,Colo,-,-,23,0.00,2,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Grady Gross,Washington,PSU,Wash,-,-,24,0.00,36,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Robert Gunn,Clemson,VaTech,Clem,-,-,25,0.00,22,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Hayes,West Virginia,Cin,WVU,-,-,26,0.00,3,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Everett Hayes,Oregon State,SJSU,SJSU,-,-,27,0.00,7,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dean Janikowski,Washington State,UtahSt,UtahSt,-,-,28,0.00,5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mitch Jeter,Notre Dame,FlaSt,FlaSt,-,-,29,0.00,9,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Keltner,Oklahoma,Missou,Okla,-,-,30,0.00,6,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Konrardy,Iowa State,Kansas,IaSt,-,-,31,0.00,42,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Love,Virginia Tech,Clem,Clem,-,-,32,0.00,25,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alejandro Mata,Colorado,TxTch,Colo,-,-,33,0.00,33,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nate McCashland,TCU,OkSt,OkSt,-,-,34,0.00,43,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Graham Nicholson,Alabama,LSU,Ala,-,-,35,0.00,15,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jai Patel,Rutgers,Minn,Minn,-,-,36,0.00,38,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Todd Pelino,Duke,NCSU,Duke,-,-,37,0.00,35,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Owen Piepergerdes,Kansas,IaSt,IaSt,-,-,38,0.00,21,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Damian Ramos,LSU,Ala,Ala,-,-,39,0.00,28,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Atticus Sappington,Oregon,MD,MD,-,-,40,0.00,20,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Trey Smack,Florida,Tex,Fla,-,-,41,0.00,29,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Josh Turbyville,Tennessee,MissSt,MissSt,-,-,42,0.00,34,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kanoah Vinesett,North Carolina State,Duke,Duke,-,-,43,0.00,30,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Logan Ward,Oklahoma State,TCU,OkSt,-,-,44,0.00,18,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Peyton Woodring,Georgia,Miss,UGa,-,-,45,0.00,46,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dominic Zvada,Michigan,Ind,Mich,-,-,46,0.00,26,0.00,0.00,0.00,0.0,0.00,0.00,0.0
