,,Week 3 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,FGM,FGA,FG%,XPM,XPA,XP%
Chase Allen,UTSA,Tex,Tx-SA,-,-,1,0.00,15,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Bert Auburn,Texas,Tx-SA,Tx-SA,-,-,2,0.00,28,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Cole Becker,Utah,UtahSt,Utah,-,-,3,0.00,24,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mateen Bhaghani,UCLA,Ind,Ind,-,-,4,0.00,50,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Aidan Birr,Georgia Tech,VMI,VMI,-,-,5,0.00,31,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Randy Bond,Texas A&M,Fla,TexA&M,-,-,6,0.00,17,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Colton Boomer,Central Florida,TCU,UCF,-,-,7,0.00,32,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Andres Borregales,Miami,BallSt,BallSt,-,-,8,0.00,18,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nick Brown,Liberty,UTEP,UTEP,-,-,9,0.00,22,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Carter Brown,Cincinnati,Mia-O,Cin,-,-,10,0.00,40,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Noah Burnette,North Carolina,NCCent,NCCent,-,-,11,0.00,13,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Cannon,South Florida,SouMis,USF,-,-,12,0.00,21,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Lucas Carneiro,Western Kentucky,MiddTn,WestKy,-,-,13,0.00,46,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Coe,California,SDSU,SDSU,-,-,14,0.00,11,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Liam Connor,Boston College,Missou,BC,-,-,15,0.00,45,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Costa,Memphis,FlaSt,Mem,-,-,16,0.00,19,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Craig,Missouri,BC,BC,-,-,17,0.00,47,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Davis,Mississippi,Wake,Miss,-,-,18,0.00,1,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Ferrie,Mississippi State,Toledo,Toledo,-,-,19,0.00,49,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Will Ferrin,BYU,Wyo,BYU,-,-,20,0.00,25,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Fitzgerald,Florida State,Mem,Mem,-,-,21,0.00,7,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Ford,North Texas,TxTch,NorTx,-,-,22,0.00,39,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Gino Garcia,Texas Tech,NorTx,NorTx,-,-,23,0.00,2,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Grady Gross,Washington,WashSt,WashSt,-,-,24,0.00,44,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Isaiah Hankins,Baylor,AF,AF,-,-,25,0.00,26,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Hayes,West Virginia,Pitt,WVU,-,-,26,0.00,3,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Everett Hayes,Oregon State,Oregon,Oregon,-,-,27,0.00,10,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dean Janikowski,Washington State,Wash,WashSt,-,-,28,0.00,8,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mitch Jeter,Notre Dame,Purdue,ND,-,-,29,0.00,14,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Keltner,Oklahoma,Tulane,Tulane,-,-,30,0.00,9,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonathan Kim,Michigan State,PVA&M,PVA&M,-,-,31,0.00,6,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Loop,Arizona,KanSt,Ari,-,-,32,0.00,16,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Love,Virginia Tech,ODU,VaTech,-,-,33,0.00,33,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jack Martin,Houston,Rice,Rice,-,-,34,0.00,4,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alejandro Mata,Colorado,ColoSt,Colo,-,-,35,0.00,41,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nate McCashland,TCU,UCF,UCF,-,-,36,0.00,48,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Graham Nicholson,Alabama,Wisc,Ala,-,-,37,0.00,23,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Todd Pelino,Duke,UConn,UConn,-,-,38,0.00,43,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Owen Piepergerdes,Kansas,UNLV,UNLV,-,-,39,0.00,30,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Damian Ramos,LSU,SCar,LSU,-,-,40,0.00,35,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alex Raynor,Kentucky,UGa,UGa,-,-,41,0.00,5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Atticus Sappington,Oregon,OreSt,Oregon,-,-,42,0.00,29,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Matthew Shipley,Arkansas,UAB,UAB,-,-,43,0.00,12,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Trey Smack,Florida,TexA&M,TexA&M,-,-,44,0.00,36,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Chris Tennant,Kansas State,Ari,Ari,-,-,45,0.00,20,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Josh Turbyville,Tennessee,KentSt,KentSt,-,-,46,0.00,42,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nathanial Vakos,Wisconsin,Ala,Ala,-,-,47,0.00,37,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kanoah Vinesett,North Carolina State,LaTech,LaTech,-,-,48,0.00,38,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Logan Ward,Oklahoma State,Tulsa,OkSt,-,-,49,0.00,27,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Peyton Woodring,Georgia,Kty,UGa,-,-,50,0.00,51,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dominic Zvada,Michigan,ArkSt,ArkSt,-,-,51,0.00,34,0.00,0.00,0.00,0.0,0.00,0.00,0.0
