,,Week 14 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
Gunner Stockton,Georgia,GaTech,GaTech,-,-,200,0.99,199,0.99,7.50,0.08,0.00,11.2,3.58,0.83,4.3,0.00
Braedyn Locke,Wisconsin,Minn,Minn,-,-,201,0.88,201,0.88,12.91,0.09,0.09,10.9,0.00,0.18,0.0,0.00
Arch Manning,Texas,TexA&M,Tex,-,-,202,0.82,202,0.82,8.60,0.10,0.00,12.3,0.80,0.40,2.0,0.00
Ta'Quan Roberson,Kansas State,IaSt,KanSt,-,-,203,0.78,203,0.78,7.29,0.00,0.00,12.8,4.86,1.43,3.4,0.00
Nicco Marchiol,West Virginia,TxTch,WVU,-,-,204,0.75,205,0.75,5.00,0.00,0.00,10.0,5.50,1.50,3.7,0.00
AJ Padgett,Rice,USF,USF,-,-,205,0.75,204,0.75,6.00,0.13,0.00,9.5,0.13,0.25,0.5,0.00
Hunter Herring,Louisiana-Monroe,UL-Laf,UL-Laf,-,-,206,0.74,207,0.74,6.53,0.06,0.06,12.3,2.41,0.53,4.5,0.00
Drew Pyne,Missouri,Ark,Ark,-,-,207,0.74,206,0.74,7.73,0.09,0.00,12.1,0.64,0.36,1.8,0.00
Ajani Sheppard,Rutgers,MSU,Rut,-,-,208,0.73,208,0.73,6.50,0.00,0.00,13.0,4.67,1.17,4.0,0.00
Cole Ballard,Kansas,Baylor,Kansas,-,-,209,0.70,209,0.70,7.50,0.00,0.00,15.0,4.00,1.17,3.4,0.00
Jaylen Henderson,Texas A&M,Tex,Tex,-,-,210,0.68,210,0.68,8.14,0.00,0.00,11.5,3.57,1.00,3.6,0.00
Zeon Chriss,Houston,BYU,Hou,-,-,211,0.65,211,0.65,7.43,0.00,0.00,13.0,3.57,0.71,5.0,0.00
Tahj Bullock,Akron,Toledo,Toledo,-,-,212,0.62,213,0.62,6.06,0.06,0.06,11.4,1.47,0.47,3.1,0.00
Ahmad Haston,Massachusetts,UConn,UConn,-,-,213,0.62,212,0.62,6.76,0.06,0.06,10.4,1.18,0.47,2.5,0.00
Robby Ashford,South Carolina,Clem,SCar,-,-,214,0.60,214,0.60,5.63,0.00,0.00,11.3,3.75,0.88,4.3,0.00
Kevin Jennings,SMU,Cal,Cal,-,-,215,0.57,215,0.57,6.13,0.00,0.00,9.7,3.25,1.13,2.9,0.00
Braden Bohannon,Kennesaw State,LaTech,KennSt,-,-,216,0.55,216,0.55,7.09,0.00,0.00,12.9,2.64,0.73,3.6,0.00
JJ Kohl,Iowa State,KanSt,KanSt,-,-,217,0.54,217,0.54,7.86,0.00,0.00,13.8,2.29,0.57,4.0,0.00
