,,Week 13 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Ollie Gordon,Oklahoma State,TxTch,TxTch,-,-,1,26.24,1,29.27,136.38,22.00,6.2,1.60,24.87,3.03,8.2,0.08
Ashton Jeanty,Boise State,Wyo,Boise,-,-,2,23.73,2,26.98,107.29,17.00,6.3,1.14,37.25,3.25,11.5,0.41
Omarion Hampton,North Carolina,BC,UNC,-,-,3,19.83,3,21.93,111.47,21.00,5.3,1.09,16.30,2.10,7.8,0.08
Devin Neal,Kansas,Colo,Colo,-,-,4,18.38,5,19.99,103.86,17.00,6.1,1.01,13.96,1.61,8.7,0.08
DJ Giddens,Kansas State,Cin,Cin,-,-,5,18.00,6,19.93,99.79,19.00,5.3,0.84,19.67,1.93,10.2,0.17
Darius Taylor,Minnesota,PSU,PSU,-,-,6,17.66,9,18.97,111.46,21.00,5.3,0.90,11.19,1.31,8.5,0.00
Quinton Cooley,Liberty,WestKy,WestKy,-,-,7,17.50,16,17.92,102.22,16.00,6.4,1.16,3.15,0.41,7.7,0.00
Phil Mafah,Clemson,Cit,Cit,-,-,8,17.24,7,19.27,92.81,17.00,5.5,1.14,11.22,2.03,5.5,0.00
Tahj Brooks,Texas Tech,OkSt,TxTch,-,-,9,16.91,8,19.26,112.82,23.00,4.9,0.76,10.91,2.35,4.6,0.00
Jaydn Ott,California,Stan,Stan,-,-,10,16.88,10,18.87,95.56,18.00,5.3,0.83,13.52,1.99,6.8,0.17
Donovan Edwards,Michigan,NW,NW,-,-,11,16.83,12,18.28,87.30,19.00,4.6,0.94,19.34,1.45,13.3,0.09
Ismail Mahdi,Texas State,GaSt,GaSt,-,-,12,16.83,11,18.39,107.67,18.00,6.0,0.82,11.34,1.56,7.3,0.00
TreVeyon Henderson,Ohio State,Ind,Ind,-,-,13,16.68,14,18.04,84.76,14.00,6.1,1.02,15.87,1.36,11.7,0.08
Malik Sherrod,Fresno State,ColoSt,ColoSt,-,-,14,16.59,4,20.19,87.49,17.00,5.1,0.86,21.72,3.61,6.0,0.09
Gavin Sawchuk,Oklahoma,Ala,Ala,-,-,15,16.58,17,17.90,92.87,16.00,5.8,0.99,8.58,1.32,6.5,0.08
RJ Harvey,Central Florida,WVU,UCF,-,-,16,16.57,15,17.98,86.99,14.00,6.2,0.97,15.32,1.41,10.9,0.09
Kyle Monangai,Rutgers,Ill,Ill,-,-,17,16.52,20,17.29,101.42,19.00,5.3,0.94,7.27,0.77,9.4,0.00
Damien Martinez,Miami,Wake,Wake,-,-,18,16.43,19,17.52,99.00,16.00,6.2,0.92,10.33,1.08,9.6,0.00
Jahiem White,West Virginia,UCF,UCF,-,-,19,16.37,21,17.13,106.35,17.00,6.3,0.67,12.14,0.75,16.2,0.08
Quinshon Judkins,Ohio State,Ind,Ind,-,-,20,16.28,18,17.60,85.33,14.00,6.1,0.99,12.84,1.33,9.7,0.08
Antario Brown,Northern Illinois,Mia-O,NIU,-,-,21,15.81,27,16.71,104.87,17.00,6.2,0.82,3.94,0.90,4.4,0.00
Abu Sama III,Iowa State,Utah,IaSt,-,-,22,15.72,28,16.63,90.92,14.00,6.5,0.99,7.00,0.91,7.7,0.00
Jalen Buckley,Western Michigan,CentMi,WestMI,-,-,23,15.37,25,16.91,86.34,16.00,5.4,0.81,13.73,1.54,8.9,0.08
Chip Trayanum,Kentucky,Tex,Kty,-,-,24,15.36,24,16.98,79.73,17.00,4.7,0.75,15.82,1.61,9.8,0.22
