,,Week 13 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Woody Marks,USC,UCLA,USC,-,-,25,15.29,23,17.08,90.84,14.00,6.5,0.57,18.07,1.79,10.1,0.16
LeQuint Allen,Syracuse,UConn,UConn,-,-,26,15.24,13,18.17,86.42,18.00,4.8,0.73,17.10,2.93,5.8,0.08
Marcus Carroll,Missouri,MissSt,Missou,-,-,27,14.88,30,16.37,83.48,16.00,5.2,0.80,11.63,1.49,7.8,0.10
TJ Harden,UCLA,USC,USC,-,-,28,14.83,31,16.36,79.83,16.00,5.0,0.85,12.26,1.53,8.0,0.09
Cameron Skattebo,Arizona State,BYU,BYU,-,-,29,14.74,26,16.78,77.53,16.00,4.8,0.68,23.91,2.04,11.7,0.09
Jamal Haynes,Georgia Tech,NCSU,NCSU,-,-,30,14.55,32,16.30,87.83,15.00,5.9,0.67,12.67,1.75,7.2,0.08
Bhayshul Tuten,Virginia Tech,Duke,VaTech,-,-,31,14.51,29,16.49,70.10,13.00,5.4,0.91,15.80,1.97,8.0,0.08
Jalen White,Georgia Southern,CoastC,GaSo,-,-,32,14.43,34,15.75,82.25,15.00,5.5,0.82,7.66,1.32,5.8,0.08
Trevor Etienne,Georgia,UMass,UMass,-,-,33,14.20,33,15.83,68.49,12.00,5.7,0.90,14.69,1.63,9.0,0.08
Dylan Sampson,Tennessee,UTEP,UTEP,-,-,34,13.89,35,15.61,84.18,15.00,5.6,0.57,15.41,1.72,9.0,0.08
Dean Connors,Rice,UAB,Rice,-,-,35,13.88,22,17.11,68.10,11.00,6.2,0.57,27.01,3.24,8.3,0.16
Nicholas Singleton,Penn State,Minn,PSU,-,-,36,13.74,36,15.54,69.84,14.00,5.0,0.65,18.42,1.80,10.2,0.16
Justice Haynes,Alabama,Okla,Ala,-,-,37,13.61,37,15.17,66.99,12.00,5.6,0.86,12.17,1.55,7.9,0.09
Kanye Roberts,Appalachian State,JMU,JMU,-,-,38,13.48,39,15.04,77.09,14.00,5.5,0.78,11.06,1.56,7.1,0.00
Jadarian Price,Notre Dame,Army,ND,-,-,39,13.45,46,14.38,74.29,13.00,5.7,0.76,9.54,0.93,10.3,0.08
Harrison Waylee,Wyoming,Boise,Boise,-,-,40,13.43,43,14.59,93.38,16.00,5.8,0.58,5.96,1.16,5.1,0.00
Jacquez Stuart,Toledo,Ohio,Ohio,-,-,41,13.34,45,14.41,71.56,14.00,5.1,0.74,12.44,1.07,11.6,0.08
Rickey Hunt,Ohio,Toledo,Ohio,-,-,42,13.29,44,14.54,72.17,15.00,4.8,0.75,10.75,1.25,8.6,0.08
Terion Stewart,Bowling Green,BallSt,BGSU,-,-,43,13.22,56,13.64,76.92,14.00,5.5,0.84,4.64,0.42,11.0,0.00
Chez Mellusi,Wisconsin,Neb,Wisc,-,-,44,12.89,41,14.61,74.12,14.00,5.3,0.77,8.42,1.72,4.9,0.00
Jordan Waters,North Carolina State,GaTech,NCSU,-,-,45,12.89,52,13.88,70.18,13.00,5.4,0.82,9.38,0.99,9.5,0.00
Marion Lukes,Central Michigan,WestMI,WestMI,-,-,46,12.84,40,14.86,78.08,15.00,5.2,0.49,21.08,2.03,10.4,0.00
Jaydon Blue,Texas,Kty,Kty,-,-,47,12.77,42,14.60,75.29,13.00,5.8,0.54,15.84,1.83,8.7,0.07
Kaden Feagin,Illinois,Rut,Ill,-,-,48,12.74,53,13.88,72.04,16.00,4.5,0.57,11.53,1.14,10.1,0.16
Jarquez Hunter,Auburn,TexA&M,TexA&M,-,-,49,12.63,48,14.14,80.88,14.00,5.8,0.59,9.95,1.52,6.5,0.00
Corey Kiner,Cincinnati,KanSt,Cin,-,-,50,12.56,55,13.78,86.25,16.00,5.4,0.57,5.28,1.22,4.3,0.00
Ja'Quinden Jackson,Arkansas,LaTech,LaTech,-,-,51,12.55,50,14.08,67.37,15.00,4.5,0.68,12.37,1.53,8.1,0.08
Montrell Johnson,Florida,Miss,Miss,-,-,52,12.47,38,15.09,70.00,14.00,5.0,0.51,19.31,2.61,7.4,0.08
Quali Conley,Arizona,TCU,Ari,-,-,53,12.25,49,14.10,55.38,12.00,4.6,0.74,17.26,1.85,9.3,0.09
Jai'Den Thomas,UNLV,SJSU,UNLV,-,-,54,12.14,62,13.17,65.62,14.00,4.7,0.69,9.36,1.03,9.1,0.09
Cam Cook,TCU,Ari,Ari,-,-,55,12.12,66,12.83,78.10,15.00,5.2,0.63,5.00,0.71,7.0,0.00
Roman Hemby,Maryland,Iowa,Iowa,-,-,56,11.79,47,14.27,58.33,13.00,4.5,0.43,23.61,2.48,9.5,0.17
Raheim Sanders,South Carolina,Wof,Wof,-,-,57,11.77,54,13.87,69.83,14.00,5.0,0.50,12.66,2.10,6.0,0.08
Devin Mockobee,Purdue,MSU,Purdue,-,-,58,11.73,60,13.31,65.77,14.00,4.7,0.53,14.53,1.58,9.2,0.09
Jaquez Moore,Duke,VaTech,VaTech,-,-,59,11.66,68,12.69,70.08,13.00,5.4,0.60,10.33,1.03,10.0,0.00
Ja'Quez Cross,Arkansas State,UL-Mon,UL-Mon,-,-,60,11.65,58,13.46,67.08,12.00,5.6,0.60,13.12,1.81,7.2,0.00
Kaleb Jackson,LSU,Vandy,Vandy,-,-,61,11.64,69,12.63,60.42,11.00,5.5,0.82,6.73,0.99,6.8,0.00
Parker Jenkins,Houston,Baylor,Baylor,-,-,62,11.60,70,12.60,79.61,15.00,5.3,0.50,6.20,1.01,6.1,0.00
Rodrigues Clark,Southern Miss,USA,USA,-,-,63,11.46,63,13.04,70.50,15.00,4.7,0.50,9.08,1.58,5.7,0.08
Braylon McReynolds,South Alabama,SouMis,USA,-,-,64,11.44,59,13.34,64.92,13.00,5.0,0.49,14.97,1.89,7.9,0.08
Anthony Hankerson,Oregon State,WashSt,WashSt,-,-,65,11.30,61,13.30,59.67,13.00,4.6,0.50,13.33,2.00,6.7,0.17
Jacory Croskey-Merritt,Arizona,TCU,Ari,-,-,66,11.28,64,12.94,51.53,11.00,4.7,0.66,16.62,1.65,10.1,0.08
Kaytron Allen,Penn State,Minn,PSU,-,-,67,11.23,84,11.90,72.83,14.00,5.2,0.50,4.50,0.67,6.7,0.08
Anthony Watkins,Tulsa,USF,Tulsa,-,-,68,11.11,82,11.96,85.03,19.00,4.5,0.34,5.62,0.85,6.6,0.00
Jordan Houston,Marshall,ODU,Marsh,-,-,69,11.06,65,12.85,56.43,12.00,4.7,0.68,13.36,1.79,7.5,0.00
Jaylan Knighton,SMU,UVa,SMU,-,-,70,11.04,76,12.16,66.29,13.00,5.1,0.52,7.92,1.12,7.1,0.09
Jeremiyah Love,Notre Dame,Army,ND,-,-,71,11.00,78,12.08,60.38,11.00,5.5,0.58,9.92,1.08,9.2,0.08
Marquez Cooper,San Diego State,UtahSt,SDSU,-,-,72,10.97,57,13.55,51.73,11.00,4.7,0.43,21.91,2.58,8.5,0.17
LJ Martin,BYU,AriSt,BYU,-,-,73,10.93,71,12.33,62.20,13.00,4.8,0.49,7.57,1.40,5.4,0.16
Jevon Jackson,UTEP,Tenn,UTEP,-,-,74,10.91,94,11.59,78.46,16.00,4.9,0.43,4.96,0.68,7.3,0.00
Justin Marshall,Colorado State,Fres,ColoSt,-,-,75,10.91,79,11.98,71.42,13.00,5.5,0.49,8.06,1.07,7.5,0.00
Andrew Paul,Jacksonville State,SamHou,SamHou,-,-,76,10.88,75,12.18,61.30,12.00,5.1,0.61,10.96,1.30,8.4,0.00
Jam Miller,Alabama,Okla,Ala,-,-,77,10.86,74,12.23,53.18,10.00,5.3,0.64,11.82,1.36,8.7,0.09
Ayo Adeyi,James Madison,App,JMU,-,-,78,10.84,89,11.68,65.74,14.00,4.7,0.61,6.16,0.84,7.3,0.00
Nathan Carter,Michigan State,Purdue,Purdue,-,-,79,10.81,83,11.94,67.38,15.00,4.5,0.57,6.65,1.14,5.8,0.00
Rahsul Faison,Utah State,SDSU,SDSU,-,-,80,10.81,88,11.72,74.05,13.00,5.7,0.49,4.44,0.91,4.9,0.00
Braedon Sloan,Ball State,BGSU,BGSU,-,-,81,10.78,80,11.98,65.82,14.00,4.7,0.51,11.27,1.20,9.4,0.00
Donald Chaney,Louisville,Pitt,Pitt,-,-,82,10.74,67,12.73,62.35,13.00,4.8,0.50,15.24,1.99,7.7,0.00
Ta'ron Keith,South Florida,Tulsa,Tulsa,-,-,83,10.68,51,13.93,40.62,8.00,5.1,0.44,29.27,3.25,9.0,0.18
Dylan Carson,Air Force,Nevada,AF,-,-,84,10.66,121,10.66,76.58,16.00,4.8,0.50,0.00,0.00,0.0,0.00
Jambres Dubar,Boise State,Wyo,Boise,-,-,85,10.58,85,11.83,58.17,10.00,5.8,0.58,12.67,1.25,10.1,0.00
Micah Bernard,Utah,IaSt,IaSt,-,-,86,10.57,77,12.13,52.29,11.00,4.8,0.57,14.04,1.56,9.0,0.08
Josh Williams,LSU,Vandy,Vandy,-,-,87,10.52,93,11.64,57.15,11.00,5.2,0.69,6.79,1.12,6.1,0.00
Damien Taylor,Troy,UL-Laf,Troy,-,-,88,10.42,86,11.75,56.00,11.00,5.1,0.58,8.17,1.33,6.1,0.08
Demond Claiborne,Wake Forest,Mia-Fl,Wake,-,-,89,10.41,107,11.09,67.13,16.00,4.2,0.51,6.52,0.68,9.6,0.00
Monte Watkins,New Mexico State,MiddTn,NMSt,-,-,90,10.34,98,11.50,65.88,12.00,5.5,0.41,7.78,1.16,6.7,0.08
Kye Robichaux,Boston College,UNC,UNC,-,-,91,10.33,81,11.98,56.19,12.00,4.7,0.58,12.33,1.66,7.4,0.00
Lee Beebe,UAB,Rice,Rice,-,-,92,10.26,87,11.73,53.23,7.00,7.6,0.57,10.34,1.47,7.0,0.08
Le'Veon Moss,Texas A&M,Auburn,TexA&M,-,-,93,10.22,104,11.25,56.16,11.00,5.1,0.55,9.16,1.02,9.0,0.07
Roydell Williams,Florida State,ChSou,ChSou,-,-,94,10.18,103,11.36,59.40,11.00,5.4,0.51,6.85,1.18,5.8,0.08
Marquis Crosby,Louisiana Tech,Ark,LaTech,-,-,95,10.16,100,11.38,60.38,11.00,5.5,0.57,7.01,1.22,5.7,0.00
Ulysses Bentley IV,Mississippi,Fla,Miss,-,-,96,10.03,110,10.99,56.05,10.00,5.6,0.53,7.37,0.96,7.7,0.09
Keegan Jones,UCLA,USC,USC,-,-,97,10.03,72,12.31,52.92,11.00,4.8,0.40,17.64,2.28,7.7,0.10
Hunter Smith,Louisiana-Monroe,ArkSt,UL-Mon,-,-,98,10.03,123,10.52,60.66,11.00,5.5,0.49,5.17,0.49,10.6,0.08
Zach Evans,North Texas,ECU,ECU,-,-,99,10.02,97,11.50,58.76,13.00,4.5,0.53,9.72,1.48,6.6,0.00
Elijah Young,Western Kentucky,Lib,WestKy,-,-,100,9.97,92,11.64,45.92,10.00,4.6,0.33,18.83,1.67,11.3,0.25
Cartevious Norton,UNC Charlotte,FlaAtl,Char,-,-,101,9.87,102,11.36,55.97,13.00,4.3,0.41,7.95,1.49,5.3,0.17
Nay'Quan Wright,South Florida,Tulsa,Tulsa,-,-,102,9.87,120,10.71,61.75,14.00,4.4,0.58,2.00,0.83,2.4,0.00
Armoni Goodwin,UAB,Rice,Rice,-,-,103,9.81,117,10.74,48.40,9.00,5.4,0.76,3.82,0.93,4.1,0.00
Reggie Love,Purdue,MSU,Purdue,-,-,104,9.81,105,11.13,57.52,12.00,4.8,0.41,10.76,1.32,8.2,0.08
Alton McCaskill,Arizona State,BYU,BYU,-,-,105,9.77,116,10.81,56.43,12.00,4.7,0.52,9.91,1.04,9.5,0.00
Jacqez Barksdale,Buffalo,EastMi,Buff,-,-,106,9.76,101,11.38,51.67,11.00,4.7,0.43,15.18,1.62,9.4,0.09
Ikaika Ragsdale,North Texas,ECU,ECU,-,-,107,9.76,112,10.97,52.66,11.00,4.8,0.43,8.57,1.21,7.1,0.17
Trey Sanders,TCU,Ari,Ari,-,-,108,9.75,106,11.09,36.86,10.00,3.7,0.76,9.24,1.33,6.9,0.10
Kevorian Barnes,UTSA,Temple,Temple,-,-,109,9.74,111,10.98,56.15,11.00,5.1,0.57,6.81,1.23,5.5,0.00
Dominic Richardson,Baylor,Hou,Baylor,-,-,110,9.69,90,11.68,52.22,12.00,4.4,0.33,14.90,1.99,7.5,0.17
Rodney Hammond,Pittsburgh,Lou,Pitt,-,-,111,9.65,96,11.52,52.80,11.00,4.8,0.41,14.34,1.87,7.7,0.08
Floyd Chalk,San Jose State,UNLV,UNLV,-,-,112,9.63,109,11.02,57.58,12.00,4.8,0.43,12.86,1.38,9.3,0.00
Cam Porter,Northwestern,Mich,NW,-,-,113,9.61,113,10.91,57.67,15.00,3.8,0.43,7.41,1.29,5.7,0.09
Kentrel Bullock,South Alabama,SouMis,USA,-,-,114,9.60,114,10.88,53.20,10.00,5.3,0.48,9.20,1.28,7.2,0.08
Ky Thomas,Kent,Akron,Akron,-,-,115,9.60,122,10.62,58.46,13.00,4.5,0.42,6.97,1.02,6.8,0.08
Michael Benefield,Kennesaw State,FIU,FIU,-,-,116,9.55,137,10.03,63.38,12.00,5.3,0.48,3.14,0.48,6.5,0.00
CJ Donaldson,West Virginia,UCF,UCF,-,-,117,9.53,136,10.11,51.77,11.00,4.7,0.66,3.80,0.58,6.6,0.00
Justice Ellison,Indiana,OhioSt,Ind,-,-,118,9.51,91,11.67,53.96,12.00,4.5,0.35,15.28,2.16,7.1,0.09
Braydon Bennett,Coastal Carolina,GaSo,GaSo,-,-,119,9.44,99,11.41,47.01,10.00,4.7,0.51,16.67,1.97,8.5,0.00
Dylan Downing,Miami (OH),NIU,NIU,-,-,120,9.43,130,10.30,49.91,10.00,5.0,0.52,7.83,0.87,9.0,0.09
Leshon Williams,Iowa,MD,Iowa,-,-,121,9.42,126,10.40,67.22,14.00,4.8,0.25,7.29,0.98,7.4,0.08
Camryn Edwards,UConn,Syr,UConn,-,-,122,9.41,118,10.73,57.77,12.00,4.8,0.33,11.50,1.32,8.7,0.08
Peny Boone,Central Florida,WVU,UCF,-,-,123,9.40,133,10.19,52.12,8.00,6.5,0.55,8.63,0.79,10.9,0.00
Star Thomas,Duke,VaTech,VaTech,-,-,124,9.40,119,10.72,52.98,10.00,5.3,0.41,11.24,1.32,8.5,0.08
Delbert Mimms,Eastern Michigan,Buff,Buff,-,-,125,9.28,125,10.50,39.49,9.00,4.4,0.65,9.57,1.22,7.8,0.08
Treshaun Ward,Boston College,UNC,UNC,-,-,126,9.24,115,10.84,50.17,10.00,5.0,0.34,12.02,1.60,7.5,0.17
Gabe Ervin,Nebraska,Wisc,Wisc,-,-,127,9.19,127,10.40,58.63,12.00,4.9,0.40,9.10,1.21,7.5,0.00
Henry Parrish,Mississippi,Fla,Miss,-,-,128,9.13,139,9.93,56.57,9.00,6.3,0.40,5.79,0.80,7.2,0.08
Tawee Walker,Wisconsin,Neb,Wisc,-,-,129,9.12,129,10.31,50.57,11.00,4.6,0.55,7.44,1.19,6.3,0.00
Robert Henry,UTSA,Temple,Temple,-,-,130,9.09,131,10.27,47.98,10.00,4.8,0.59,7.65,1.18,6.5,0.00
Lawrance Toafili,Florida State,ChSou,ChSou,-,-,131,9.06,108,11.08,41.07,7.00,5.9,0.42,19.14,2.02,9.5,0.08
Billy Lucas,Liberty,WestKy,WestKy,-,-,132,9.04,150,9.37,53.14,10.00,5.3,0.50,2.56,0.33,7.8,0.08
Dre'lyn Washington,Louisiana-Lafayette,Troy,Troy,-,-,133,9.04,142,9.79,56.78,10.00,5.7,0.41,3.88,0.74,5.2,0.08
Davon Booth,Mississippi State,Missou,Missou,-,-,134,9.03,138,9.99,54.96,10.00,5.5,0.48,6.56,0.96,6.8,0.00
CJ Beasley,Georgia State,TxSt,GaSt,-,-,135,9.02,132,10.23,54.14,12.00,4.5,0.47,8.19,1.21,6.8,0.00
Zuberi Mobley,Florida Atlantic,Char,Char,-,-,136,8.97,141,9.92,55.96,13.00,4.3,0.34,7.92,0.95,8.3,0.09
Isaiah Jacobs,UAB,Rice,Rice,-,-,137,8.91,95,11.56,45.04,10.00,4.5,0.51,13.25,2.65,5.0,0.00
Seth McGowan,New Mexico State,MiddTn,NMSt,-,-,138,8.84,146,9.52,51.86,10.00,5.2,0.42,6.02,0.68,8.9,0.08
John Gentry,Sam Houston,JacSt,SamHou,-,-,139,8.79,73,12.26,28.89,8.00,3.6,0.36,27.02,3.47,7.8,0.18
Kobe Pace,Virginia,SMU,SMU,-,-,140,8.76,128,10.32,49.38,13.00,3.8,0.25,13.74,1.55,8.9,0.16
Jamious Griffin,Oregon State,WashSt,WashSt,-,-,141,8.74,134,10.15,47.93,10.00,4.8,0.41,9.75,1.40,7.0,0.08
Sean Dollars,Nevada,AF,AF,-,-,142,8.67,143,9.70,45.51,12.00,3.8,0.51,5.23,1.03,5.1,0.09
DJ Jones,Wyoming,Boise,Boise,-,-,143,8.63,149,9.39,56.97,10.00,5.7,0.42,4.12,0.76,5.4,0.00
LJ Johnson Jr.,SMU,UVa,SMU,-,-,144,8.61,152,9.12,56.45,11.00,5.1,0.43,4.09,0.51,8.0,0.00
Dontae McMillan,Eastern Michigan,Buff,Buff,-,-,145,8.30,144,9.57,38.55,9.00,4.3,0.51,8.75,1.27,6.9,0.08
Jordon Simmons,Akron,KentSt,Akron,-,-,146,8.28,140,9.93,42.93,10.00,4.3,0.38,12.78,1.65,7.7,0.08
Roderick Robinson,Georgia,UMass,UMass,-,-,147,8.27,156,8.88,41.05,7.00,5.9,0.60,5.36,0.60,8.9,0.00
Anthony Tyus,Ohio,Toledo,Ohio,-,-,148,8.24,154,8.94,52.82,11.00,4.8,0.44,3.40,0.70,4.9,0.00
Anderson Castle,Appalachian State,JMU,JMU,-,-,149,8.18,157,8.85,52.58,10.00,5.3,0.42,4.25,0.67,6.3,0.00
Vaughn Pemberton,Ball State,BGSU,BGSU,-,-,150,8.17,166,8.60,45.79,8.00,5.7,0.43,5.28,0.43,12.3,0.09
Daniel Hishaw,Kansas,Colo,Colo,-,-,151,8.15,165,8.63,44.20,9.00,4.9,0.56,3.82,0.48,8.0,0.00
Zak Wallace,Arkansas State,UL-Mon,UL-Mon,-,-,152,8.08,167,8.50,48.35,11.00,4.4,0.51,1.71,0.43,4.0,0.00
Rayshon Luke,Arizona,TCU,Ari,-,-,153,8.05,148,9.44,38.08,9.00,4.2,0.46,14.77,1.38,10.7,0.00
Dylan Edwards,Kansas State,Cin,Cin,-,-,154,7.98,147,9.47,36.78,8.00,4.6,0.33,13.36,1.48,9.0,0.16
Dallan Hayden,Colorado,Kansas,Colo,-,-,155,7.98,135,10.14,46.19,10.00,4.6,0.41,2.68,2.16,1.2,0.10
Robert Briggs,Utah State,SDSU,SDSU,-,-,156,7.95,163,8.65,56.05,11.00,5.1,0.35,2.53,0.70,3.6,0.00
Gerald Green,Troy,UL-Laf,Troy,-,-,157,7.89,153,9.12,40.41,9.00,4.5,0.44,6.71,1.24,5.4,0.09
Desmond Reid,Pittsburgh,Lou,Pitt,-,-,158,7.83,145,9.57,44.17,10.00,4.4,0.26,13.30,1.74,7.6,0.09
Aaron Young,Old Dominion,Marsh,Marsh,-,-,159,7.81,170,8.47,44.01,9.00,4.9,0.41,4.38,0.66,6.6,0.08
Nate Noel,Missouri,MissSt,Missou,-,-,160,7.79,159,8.73,49.88,10.00,5.0,0.38,5.50,0.94,5.9,0.00
Cameron Seldon,Tennessee,UTEP,UTEP,-,-,161,7.79,155,8.89,45.00,9.00,5.0,0.42,7.39,1.10,6.7,0.00
Freddie Brock,Georgia State,TxSt,GaSt,-,-,162,7.70,171,8.43,47.82,10.00,4.8,0.40,5.00,0.73,6.8,0.00
Jeffery Pittman,Mississippi State,Missou,Missou,-,-,163,7.70,161,8.71,45.00,9.00,5.0,0.34,6.81,1.01,6.7,0.08
Sedrick Irvin,Stanford,Cal,Stan,-,-,164,7.69,124,10.51,36.57,8.00,4.6,0.35,19.25,2.81,6.9,0.00
Anwar Lewis,Jacksonville State,SamHou,SamHou,-,-,165,7.66,168,8.50,48.99,10.00,4.9,0.34,7.39,0.84,8.8,0.00
Rashad Amos,Mississippi,Fla,Miss,-,-,166,7.54,184,8.06,40.69,8.00,5.1,0.52,3.78,0.52,7.3,0.00
Mark Fletcher,Miami,Wake,Wake,-,-,167,7.48,169,8.50,39.91,8.00,5.0,0.43,9.36,1.02,9.2,0.00
Michael Allen,UNLV,SJSU,UNLV,-,-,168,7.45,178,8.15,43.15,9.00,4.8,0.44,4.85,0.71,6.8,0.00
Elijah Davis,Louisiana-Lafayette,Troy,Troy,-,-,169,7.45,193,7.71,47.63,9.00,5.3,0.42,1.44,0.25,5.8,0.00
Bennett Galloway,Louisiana-Monroe,ArkSt,UL-Mon,-,-,170,7.45,188,7.85,51.53,9.00,5.7,0.32,3.82,0.40,9.6,0.00
Ethan Payne,Marshall,ODU,Marsh,-,-,171,7.42,172,8.42,42.92,10.00,4.3,0.42,6.33,1.00,6.3,0.00
Al-Jay Henderson,Buffalo,EastMi,Buff,-,-,172,7.40,162,8.69,40.50,9.00,4.5,0.32,9.40,1.29,7.3,0.08
Benjamin Hall,Michigan,NW,NW,-,-,173,7.37,183,8.06,42.26,9.00,4.7,0.43,5.74,0.69,8.3,0.00
Sedrick Alexander,Vanderbilt,LSU,Vandy,-,-,174,7.35,158,8.74,38.00,10.00,3.8,0.35,9.39,1.39,6.8,0.09
Kay'Ron Lynch-Adams,Michigan State,Purdue,Purdue,-,-,175,7.34,174,8.34,42.86,10.00,4.3,0.34,5.29,1.01,5.2,0.08
AJ Newberry,Vanderbilt,LSU,Vandy,-,-,176,7.28,182,8.07,40.59,9.00,4.5,0.35,5.74,0.79,7.3,0.09
Maurice Turner,Louisville,Pitt,Pitt,-,-,177,7.22,151,9.16,37.66,8.00,4.7,0.24,15.19,1.94,7.8,0.08
Jalen John,Massachusetts,UGa,UMass,-,-,178,7.20,177,8.24,38.00,10.00,3.8,0.43,7.91,1.04,7.6,0.00
Keith Adams Jr.,Clemson,Cit,Cit,-,-,179,7.19,190,7.79,43.18,8.00,5.4,0.43,2.92,0.60,4.9,0.00
Zahir Abdus-Salaam,Western Michigan,CentMi,WestMI,-,-,180,7.18,173,8.39,35.84,9.00,4.0,0.40,7.07,1.21,5.8,0.08
Frank Peasant,Middle Tenn. St,NMSt,NMSt,-,-,181,7.15,192,7.72,37.97,10.00,3.8,0.49,4.23,0.57,7.4,0.00
Kenyon Clay,Southern Miss,USA,USA,-,-,182,7.13,180,8.10,45.21,11.00,4.1,0.24,6.71,0.97,6.9,0.08
Jaylon Glover,Utah,IaSt,IaSt,-,-,183,7.09,194,7.68,49.71,11.00,4.5,0.26,5.80,0.60,9.7,0.00
Treyaun Webb,Florida,Miss,Miss,-,-,184,7.09,179,8.13,39.91,8.00,5.0,0.35,4.87,1.04,4.7,0.09
Byron Cardwell,California,Stan,Stan,-,-,185,7.08,176,8.30,34.87,6.00,5.8,0.35,9.83,1.22,8.1,0.09
Gavin Williams,Northern Illinois,Mia-O,NIU,-,-,186,7.05,164,8.64,45.00,9.00,5.0,0.26,9.62,1.59,6.1,0.00
Tate Carney,Wake Forest,Mia-Fl,Wake,-,-,187,6.97,199,7.49,40.41,9.00,4.5,0.43,3.29,0.52,6.3,0.00
Ja'Vin Simpkins,Coastal Carolina,GaSo,GaSo,-,-,188,6.92,197,7.56,41.52,8.00,5.2,0.40,3.68,0.64,5.8,0.00
Aiden Calvert,Air Force,Nevada,AF,-,-,189,6.91,206,7.22,43.11,6.00,7.2,0.39,2.29,0.32,7.2,0.00
Lexington Joseph,Florida International,KennSt,FIU,-,-,190,6.90,160,8.72,38.35,8.00,4.8,0.25,10.89,1.81,6.0,0.08
Leo Pulalasi,Washington State,OreSt,WashSt,-,-,191,6.86,175,8.34,39.36,7.00,5.6,0.25,9.47,1.48,6.4,0.08
Jalen Hampton,Western Kentucky,Lib,WestKy,-,-,192,6.84,181,8.07,36.08,8.00,4.5,0.24,12.73,1.22,10.4,0.08
Kenny Tracy,Miami (OH),NIU,NIU,-,-,193,6.84,195,7.65,36.30,7.00,5.2,0.33,7.65,0.81,9.4,0.08
