,,Week 6 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
Dillon Gabriel,Oregon,MSU,MSU,-,-,1,29.02,1,29.02,329.35,2.90,0.66,13.1,17.42,4.23,4.1,0.41
Jordan McCloud,Texas State,Troy,TxSt,-,-,2,27.22,2,27.22,287.29,2.11,0.76,13.0,32.41,9.28,3.5,0.68
Haynes King,Georgia Tech,Duke,Duke,-,-,3,26.79,3,26.79,231.29,2.14,1.32,12.9,50.47,8.88,5.7,0.66
Garrett Greene,West Virginia,OkSt,WVU,-,-,4,26.74,4,26.74,215.10,1.43,0.34,15.4,73.99,11.74,6.3,0.84
Jaxson Dart,Mississippi,SCar,Miss,-,-,5,26.52,5,26.52,301.05,2.02,0.51,14.5,33.60,9.35,3.6,0.51
KJ Jefferson,Central Florida,Fla,UCF,-,-,6,26.15,6,26.15,239.92,1.90,0.74,12.7,50.11,12.53,4.0,0.66
Jalen Milroe,Alabama,Vandy,Ala,-,-,7,26.14,7,26.14,294.12,2.09,0.75,12.9,25.14,6.60,3.8,0.58
Nico Iamaleava,Tennessee,Ark,Tenn,-,-,8,25.57,8,25.57,260.70,2.06,0.41,12.9,39.24,9.15,4.3,0.49
Kyron Drones,Virginia Tech,Stan,VaTech,-,-,9,25.43,9,25.43,202.42,1.78,0.34,12.7,76.58,15.20,5.0,0.42
Thomas Castellanos,Boston College,UVa,BC,-,-,10,24.18,10,24.18,218.81,1.53,1.19,12.4,52.54,9.75,5.4,0.68
Brady Cook,Missouri,TexA&M,Missou,-,-,11,22.68,11,22.68,257.39,1.71,0.41,13.6,25.88,8.90,2.9,0.49
Cam Ward,Miami,Cal,Mia-Fl,-,-,12,22.50,12,22.50,278.63,1.74,0.66,12.4,9.04,9.04,1.0,0.58
Joey Aguilar,Appalachian State,Marsh,App,-,-,13,22.44,13,22.44,267.17,2.33,0.83,12.8,14.17,5.25,2.7,0.17
Noah Fifita,Arizona,TxTch,TxTch,-,-,14,21.97,14,21.97,280.65,2.48,0.86,12.3,3.16,3.16,1.0,0.09
Will Howard,Ohio State,Iowa,Iowa,-,-,15,21.91,15,21.91,254.84,1.97,0.58,13.4,18.57,4.44,4.2,0.33
Grayson McCall,North Carolina State,Wake,Wake,-,-,16,21.85,16,21.85,235.63,1.78,0.85,12.1,22.61,8.13,2.8,0.51
Preston Stone,SMU,Lou,SMU,-,-,17,21.47,17,21.47,261.65,2.02,0.84,13.6,14.14,5.22,2.7,0.25
Conner Weigman,Texas A&M,Missou,Missou,-,-,18,21.42,18,21.42,247.83,1.86,0.68,12.5,20.16,5.76,3.5,0.34
Taylen Green,Arkansas,Tenn,Tenn,-,-,19,21.32,19,21.32,212.94,1.43,1.18,12.1,40.67,9.66,4.2,0.50
Gio Lopez,South Alabama,ArkSt,USA,-,-,20,21.32,20,21.32,238.64,1.71,0.90,11.7,24.98,6.75,3.7,0.41
Jaylen Raynor,Arkansas State,USA,USA,-,-,21,21.21,21,21.21,238.08,1.51,0.75,14.6,31.35,10.81,2.9,0.42
Carson Beck,Georgia,Auburn,Auburn,-,-,22,21.20,22,21.20,291.08,1.83,0.58,12.7,7.48,4.41,1.7,0.25
Miller Moss,USC,Minn,USC,-,-,23,21.16,23,21.16,277.17,2.05,0.77,13.0,8.38,3.68,2.3,0.17
DJ Uiagalelei,Florida State,Clem,Clem,-,-,24,21.06,24,21.06,238.60,1.78,0.68,13.5,18.63,7.20,2.6,0.42
Donovan Smith,Houston,TCU,Hou,-,-,25,20.96,25,20.96,214.82,1.76,0.92,11.9,28.08,9.39,3.0,0.42
Jacob Zeno,UAB,Tulane,Tulane,-,-,26,20.81,26,20.81,273.20,1.82,0.83,10.7,10.86,8.38,1.3,0.25
Maddux Madsen,Boise State,UtahSt,UtahSt,-,-,27,20.49,27,20.49,232.23,1.83,0.83,13.4,18.94,5.23,3.6,0.33
LaNorris Sellers,South Carolina,Miss,Miss,-,-,28,20.43,28,20.43,238.41,1.32,0.74,12.5,31.25,8.93,3.5,0.41
Tyler Shough,Louisville,SMU,SMU,-,-,29,20.40,29,20.40,247.63,1.84,1.00,11.5,16.37,5.26,3.1,0.25
Brayden Schager,Hawaii,SDSU,Hawaii,-,-,30,20.31,30,20.31,276.90,2.02,1.09,10.6,6.48,8.17,0.8,0.08
Jalon Daniels,Kansas,AriSt,Kansas,-,-,31,19.98,31,19.98,204.04,1.60,0.34,12.8,28.97,9.01,3.2,0.42
Dequan Finn,Baylor,IaSt,Baylor,-,-,32,19.78,32,19.78,227.31,1.54,1.00,12.1,26.92,6.92,3.9,0.31
Tucker Gleason,Toledo,Mia-O,Mia-O,-,-,33,19.72,33,19.72,202.58,1.52,0.68,12.6,35.18,8.78,4.0,0.34
Josh Hoover,TCU,Hou,Hou,-,-,34,19.59,34,19.59,281.45,1.77,1.18,12.3,2.28,3.80,0.6,0.17
Rocco Becht,Iowa State,Baylor,Baylor,-,-,35,19.40,35,19.40,246.25,1.85,0.67,13.3,6.15,6.07,1.0,0.25
Kurtis Rourke,Indiana,NW,Ind,-,-,36,19.35,36,19.35,241.47,1.57,0.66,11.2,19.31,6.44,3.0,0.25
Danny O'Neil,San Diego State,Hawaii,Hawaii,-,-,37,19.34,38,19.34,237.84,1.65,1.07,11.0,12.60,7.00,1.8,0.33
Matthew Sluka,UNLV,Syr,Syr,-,-,38,19.34,37,19.34,242.53,1.24,0.82,13.8,27.18,7.00,3.9,0.33
Brayden Fowler-Nicolosi,Colorado State,OreSt,ColoSt,-,-,39,19.17,39,19.17,289.81,1.81,1.32,11.6,-1.73,2.89,-0.6,0.08
Logan Smothers,Jacksonville State,KennSt,JacSt,-,-,40,18.97,40,18.97,130.40,0.91,0.66,10.9,51.21,14.19,3.6,0.83
Ashton Daniels,Stanford,VaTech,VaTech,-,-,41,18.90,41,18.90,243.25,1.26,0.93,11.5,26.07,9.34,2.8,0.25
Cade Klubnik,Clemson,FlaSt,Clem,-,-,42,18.85,42,18.85,233.88,1.65,0.74,10.1,14.17,9.47,1.5,0.25
Ethan Vasko,Coastal Carolina,ODU,ODU,-,-,43,18.70,43,18.70,209.84,1.65,0.58,11.4,27.20,6.51,4.2,0.16
Aidan Chiles,Michigan State,Oregon,MSU,-,-,44,18.69,44,18.69,226.52,1.43,1.01,13.7,23.77,6.07,3.9,0.25
Jase Bauer,Sam Houston,UTEP,SamHou,-,-,45,18.62,45,18.62,223.18,1.34,1.00,10.2,23.47,8.35,2.8,0.33
Anthony Colandrea,Virginia,BC,BC,-,-,46,18.01,46,18.01,226.52,1.40,1.05,11.8,28.38,9.78,2.9,0.09
Drew Allar,Penn State,UCLA,UCLA,-,-,47,18.00,47,18.00,179.45,1.82,0.25,12.5,20.52,6.21,3.3,0.25
Graham Mertz,Florida,UCF,UCF,-,-,48,17.96,48,17.96,252.82,1.76,0.59,11.6,-6.95,5.78,-1.2,0.25
Alan Bowman,Oklahoma State,WVU,WVU,-,-,49,17.88,49,17.88,280.00,1.51,1.09,11.3,1.51,2.09,0.7,0.08
Behren Morton,Texas Tech,Ari,TxTch,-,-,50,17.87,50,17.87,233.83,1.73,0.99,10.4,0.91,3.63,0.3,0.25
Hudson Card,Purdue,Wisc,Purdue,-,-,51,17.84,51,17.84,207.96,1.25,0.66,11.4,20.36,7.81,2.6,0.42
Will Rogers,Washington,Mich,Mich,-,-,52,17.47,52,17.47,258.10,1.90,0.74,11.2,-4.63,3.31,-1.4,0.00
Brett Gabbert,Miami (OH),Toledo,Mia-O,-,-,53,17.35,53,17.35,190.76,1.61,0.85,14.0,17.76,6.43,2.8,0.25
Diego Pavia,Vanderbilt,Ala,Ala,-,-,54,17.25,54,17.25,177.42,1.23,0.82,13.0,32.68,8.19,4.0,0.33
Spencer Petras,Utah State,Boise,UtahSt,-,-,55,17.19,55,17.19,242.88,1.59,2.17,12.2,1.25,6.10,0.2,0.17
Payton Thorne,Auburn,UGa,Auburn,-,-,56,17.10,56,17.10,176.92,1.52,1.02,10.9,29.05,9.65,3.0,0.17
Tyler Van Dyke,Wisconsin,Purdue,Purdue,-,-,57,17.08,57,17.08,241.20,1.69,1.10,11.0,1.77,2.61,0.7,0.08
Max Brown,UNC Charlotte,ECU,ECU,-,-,58,16.95,58,16.95,185.67,1.25,1.08,9.9,30.25,10.42,2.9,0.25
Grant Wilson,Old Dominion,CoastC,ODU,-,-,59,16.51,59,16.51,182.10,1.41,0.75,12.1,20.85,10.47,2.0,0.25
Kyle McCord,Syracuse,UNLV,Syr,-,-,60,16.24,60,16.24,247.91,1.68,0.76,12.1,-3.95,2.60,-1.5,0.00
Maalik Murphy,Duke,GaTech,Duke,-,-,61,16.20,61,16.20,222.14,1.53,1.21,12.4,2.41,3.06,0.8,0.16
Goose Crowder,Troy,TxSt,TxSt,-,-,62,16.04,62,16.04,209.75,1.42,1.17,12.0,9.83,4.67,2.1,0.17
Ty Thompson,Tulane,UAB,Tulane,-,-,63,16.01,63,16.01,200.00,1.41,0.66,13.2,13.62,3.99,3.4,0.17
Gevani McCoy,Oregon State,ColoSt,ColoSt,-,-,64,15.73,64,15.73,208.72,1.60,0.84,11.5,4.88,3.28,1.5,0.08
Ethan Garbers,UCLA,PSU,UCLA,-,-,65,15.55,65,15.55,201.34,1.40,0.82,11.9,14.21,5.26,2.7,0.08
