,,Week 6 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Davis Bryson,Kennesaw State,JacSt,JacSt,-,-,66,15.42,66,15.42,122.43,0.75,0.58,12.6,40.48,9.87,4.1,0.58
Bryson Daily,Army,Tulsa,Army,-,-,67,15.31,67,15.31,79.44,0.59,0.59,15.2,67.60,17.80,3.8,0.50
Hayden Wolff,Western Michigan,BallSt,WestMI,-,-,68,15.13,68,15.13,214.57,1.18,0.67,10.2,3.20,6.40,0.5,0.25
John Busha,Air Force,Navy,Navy,-,-,69,15.04,69,15.04,76.31,0.70,0.35,18.1,54.86,14.42,3.8,0.62
Nate Yarnell,Pittsburgh,UNC,Pitt,-,-,70,14.86,70,14.86,201.20,1.36,0.76,10.4,3.57,5.27,0.7,0.17
Tate Rodemaker,Southern Miss,UL-Laf,UL-Laf,-,-,71,14.84,71,14.84,194.22,1.49,1.16,11.3,6.05,6.05,1.0,0.08
Athan Kaliakmanis,Rutgers,Neb,Rut,-,-,72,14.32,72,14.32,157.56,1.25,0.75,11.6,15.37,6.15,2.5,0.25
General Booty,Louisiana-Monroe,JMU,JMU,-,-,73,14.18,73,14.18,175.29,1.15,0.98,12.3,15.84,7.22,2.2,0.16
Malachi Nelson,Boise State,UtahSt,UtahSt,-,-,74,14.16,74,14.16,224.00,0.00,0.00,14.0,52.00,16.00,3.3,0.00
Kadin Semonza,Ball State,WestMI,WestMI,-,-,75,13.79,75,13.79,182.80,1.34,1.17,10.4,6.12,6.12,1.0,0.08
Ben Finley,Akron,BGSU,BGSU,-,-,76,13.59,76,13.59,190.33,1.27,0.93,11.4,3.89,4.91,0.8,0.08
Fernando Mendoza,California,Mia-Fl,Mia-Fl,-,-,77,13.58,77,13.58,155.50,1.19,0.85,11.5,10.71,6.04,1.8,0.26
Alex Orji,Michigan,Wash,Mich,-,-,78,13.50,78,13.50,154.29,1.01,0.59,12.3,17.82,4.12,4.3,0.25
Hank Bachmeier,Wake Forest,NCSU,Wake,-,-,79,13.10,79,13.10,187.17,1.08,0.58,12.2,2.83,5.75,0.5,0.17
Cade McNamara,Iowa,OhioSt,Iowa,-,-,80,13.03,80,13.03,175.71,1.15,0.82,12.0,4.19,5.17,0.8,0.16
Taisun Phommachanh,Massachusetts,NIU,UMass,-,-,81,12.94,81,12.94,178.27,0.91,0.66,10.8,6.94,6.28,1.1,0.25
Dylan Raiola,Nebraska,Rut,Rut,-,-,82,12.92,82,12.92,165.86,1.15,0.66,12.4,6.76,4.54,1.5,0.16
Conner Harrell,North Carolina,Pitt,Pitt,-,-,83,12.80,83,12.80,167.92,1.07,0.66,13.0,8.15,3.87,2.1,0.16
Max Brosmer,Minnesota,USC,USC,-,-,84,12.50,84,12.50,151.96,1.23,0.66,12.4,5.09,3.94,1.3,0.16
Blake Horvath,Navy,AF,Navy,-,-,85,12.50,85,12.50,100.68,0.82,0.33,13.3,37.42,9.13,4.1,0.24
Connor Bazelak,Bowling Green,Akron,BGSU,-,-,86,11.44,86,11.44,175.17,1.01,0.67,11.6,-11.20,5.13,-2.2,0.25
Dylan Morris,James Madison,UL-Mon,JMU,-,-,87,11.25,87,11.25,146.60,0.93,1.01,12.5,6.59,5.49,1.2,0.17
Cardell Williams,Tulsa,Army,Army,-,-,88,11.11,88,11.11,85.49,0.73,0.57,14.5,18.68,4.77,3.9,0.49
Ethan Hampton,Northern Illinois,UMass,UMass,-,-,89,11.01,89,11.01,136.07,0.85,0.77,11.8,6.07,4.19,1.4,0.26
Sam Leavitt,Arizona State,Kansas,Kansas,-,-,90,10.95,90,10.95,147.02,0.92,0.74,11.6,10.24,2.70,3.8,0.06
AJ Duffy,San Diego State,Hawaii,Hawaii,-,-,91,10.88,91,10.88,232.00,0.00,0.00,11.6,16.00,12.00,1.3,0.00
Mike Wright,Northwestern,Ind,Ind,-,-,92,10.48,92,10.48,97.09,0.59,0.59,9.8,27.06,6.60,4.1,0.25
Brendon Lewis,Nevada,SJSU,Nevada,-,-,93,10.37,93,10.37,110.02,0.66,0.58,10.4,23.23,5.81,4.0,0.17
Ben Wooldridge,Louisiana-Lafayette,SouMis,UL-Laf,-,-,94,10.29,94,10.29,103.10,0.81,0.24,11.6,14.73,3.64,4.0,0.24
Joseph Fagnano,UConn,Temple,Temple,-,-,95,10.10,95,10.10,142.67,0.75,0.75,10.7,8.92,3.92,2.3,0.08
Chandler Fields,Louisiana-Lafayette,SouMis,UL-Laf,-,-,96,9.76,96,9.76,103.75,0.81,0.32,11.8,9.14,3.64,2.5,0.24
Cade McConnell,UTEP,SamHou,SamHou,-,-,97,9.43,97,9.43,129.80,0.76,0.51,12.7,6.93,4.65,1.5,0.08
Kirk Francis,Tulsa,Army,Army,-,-,98,8.95,98,8.95,131.14,0.92,0.50,13.7,0.17,1.93,0.1,0.00
Katin Houser,East Carolina,Char,ECU,-,-,99,8.93,99,8.93,142.10,0.84,0.50,11.7,-1.18,4.03,-0.3,0.00
Evan Simon,Temple,UConn,Temple,-,-,100,8.90,100,8.90,144.25,0.76,0.93,9.9,0.85,4.31,0.2,0.00
Max Johnson,North Carolina,Pitt,Pitt,-,-,101,8.69,101,8.69,112.00,0.74,0.33,12.8,2.55,4.86,0.5,0.16
Emmett Brown,San Jose State,Nevada,Nevada,-,-,102,8.40,102,8.40,117.55,0.74,0.66,10.8,2.31,2.89,0.8,0.08
Chandler Rogers,California,Mia-Fl,Mia-Fl,-,-,103,8.32,103,8.32,103.43,0.76,0.17,12.0,6.19,2.46,2.5,0.08
Walker Eget,San Jose State,Nevada,Nevada,-,-,104,7.97,104,7.97,113.75,0.66,0.66,10.9,2.81,2.81,1.0,0.08
Skyler Locklear,UTEP,SamHou,SamHou,-,-,105,5.94,105,5.94,85.35,0.42,0.25,12.3,3.30,3.30,1.0,0.08
Cole Pennington,Marshall,App,App,-,-,106,5.70,106,5.70,69.13,0.51,0.42,10.9,3.98,1.44,2.8,0.08
Braylon Braxton,Marshall,App,App,-,-,107,5.67,107,5.67,70.23,0.42,0.42,11.1,6.60,1.61,4.1,0.08
Alonza Barnett,James Madison,UL-Mon,JMU,-,-,108,5.64,108,5.64,55.75,0.33,0.41,12.5,10.97,2.47,4.4,0.16
Beau Pribula,Penn State,UCLA,UCLA,-,-,109,5.60,109,5.60,23.32,0.29,0.10,12.7,17.61,3.29,5.4,0.29
Jake Garcia,East Carolina,Char,ECU,-,-,110,5.47,110,5.47,94.76,0.49,0.33,12.2,-2.78,3.92,-0.7,0.00
Stone Earle,Marshall,App,App,-,-,111,5.14,111,5.14,71.33,0.42,0.42,11.4,5.92,1.35,4.4,0.00
Chubba Purdy,Nevada,SJSU,Nevada,-,-,112,4.56,112,4.56,47.18,0.24,0.24,10.7,12.08,2.86,4.2,0.08
Tyler Huff,Jacksonville State,KennSt,JacSt,-,-,113,4.44,113,4.44,31.35,0.24,0.16,130.6,12.86,3.49,3.7,0.16
Jalen Macon,Northern Illinois,UMass,UMass,-,-,114,4.25,114,4.25,53.76,0.32,0.32,11.6,3.36,1.68,2.0,0.08
Forrest Brock,Temple,UConn,Temple,-,-,115,4.01,115,4.01,70.23,0.42,0.76,8.8,-4.80,4.80,-1.0,0.00
Camden Orth,Bowling Green,Akron,BGSU,-,-,116,3.96,116,3.96,21.00,0.09,0.09,12.1,11.18,3.73,3.0,0.27
Jack Lausch,Northwestern,Ind,Ind,-,-,117,3.77,117,3.77,37.88,0.27,0.18,10.6,6.45,1.70,3.8,0.09
Jeff Sims,Arizona State,Kansas,Kansas,-,-,118,3.35,118,3.35,60.00,0.00,0.50,12.0,9.50,2.00,4.8,0.00
Cameran Brown,Texas Tech,Ari,TxTch,-,-,119,3.33,119,3.33,23.00,0.17,0.08,10.6,7.42,1.67,4.4,0.17
Davis Warren,Michigan,Wash,Mich,-,-,120,2.70,120,2.70,38.75,0.25,0.17,12.2,1.50,1.00,1.5,0.00
Heinrich Haarberg,Nebraska,Rut,Rut,-,-,121,2.57,121,2.57,19.13,0.09,0.09,11.3,8.63,2.16,4.0,0.09
Ryan Hilinski,Northwestern,Ind,Ind,-,-,122,2.42,122,2.42,37.25,0.18,0.09,11.3,2.15,1.07,2.0,0.00
Nate Johnson,Vanderbilt,Ala,Ala,-,-,123,2.41,123,2.41,19.18,0.09,0.09,13.2,7.36,2.36,3.1,0.09
Nick Evers,UConn,Temple,Temple,-,-,124,2.30,124,2.30,33.04,0.16,0.16,10.6,3.36,1.12,3.0,0.00
Grayson Loftis,Duke,GaTech,Duke,-,-,125,2.25,125,2.25,12.50,0.00,0.00,12.5,2.50,3.00,0.8,0.25
Kai Horton,Tulane,UAB,Tulane,-,-,126,2.22,126,2.22,30.87,0.23,0.08,12.8,0.83,0.68,1.2,0.00
Michael Kern,Wake Forest,NCSU,Wake,-,-,127,2.07,127,2.07,28.62,0.18,0.09,11.9,2.13,1.07,2.0,0.00
Colin Parachek,Marshall,App,App,-,-,128,2.01,128,2.01,24.93,0.19,0.19,11.2,2.70,1.12,2.4,0.00
Sawyer Robertson,Baylor,IaSt,Baylor,-,-,129,1.69,129,1.69,31.00,0.00,0.00,12.4,4.50,1.50,3.0,0.00
Pierce Clarkson,Louisville,SMU,SMU,-,-,130,1.61,130,1.61,21.26,0.18,0.09,14.2,0.53,0.18,2.9,0.00
Elijah Brown,Stanford,VaTech,VaTech,-,-,131,1.56,131,1.56,19.67,0.08,0.08,11.2,4.42,2.00,2.2,0.00
Ben Gulbranson,Oregon State,ColoSt,ColoSt,-,-,132,1.50,132,1.50,20.78,0.15,0.07,11.4,0.88,0.66,1.3,0.00
Devin Brown,Ohio State,Iowa,Iowa,-,-,133,1.41,133,1.41,15.70,0.15,0.07,13.2,1.93,0.74,2.6,0.00
Justin Lamson,Stanford,VaTech,VaTech,-,-,134,1.38,134,1.38,5.67,0.00,0.00,11.3,6.58,2.33,2.8,0.08
Ty Simpson,Alabama,Vandy,Ala,-,-,135,1.37,135,1.37,7.89,0.00,0.00,14.1,3.89,0.89,4.4,0.11
Brock Glenn,Florida State,Clem,Clem,-,-,136,1.35,136,1.35,7.00,0.00,0.00,12.3,2.14,1.71,1.3,0.14
Collin Schlee,Virginia Tech,Stan,VaTech,-,-,137,1.30,137,1.30,7.17,0.00,0.00,10.7,10.17,1.67,6.1,0.00
Tony Muskett,Virginia,BC,BC,-,-,138,1.25,138,1.25,20.93,0.07,0.07,11.0,1.17,0.95,1.2,0.00
Jayden Maiava,USC,Minn,USC,-,-,139,1.24,139,1.24,17.10,0.10,0.10,13.2,1.60,0.50,3.2,0.00
Justyn Martin,UCLA,PSU,UCLA,-,-,140,1.14,141,1.14,13.78,0.11,0.11,12.4,1.44,0.67,2.1,0.00
Dante Moore,Oregon,MSU,MSU,-,-,141,1.14,140,1.14,15.44,0.11,0.11,11.6,0.78,0.33,2.4,0.00
Bryson Barnes,Utah State,Boise,UtahSt,-,-,142,1.12,142,1.12,14.90,0.10,0.10,12.4,1.20,0.60,2.0,0.00
Ethan Crawford,Southern Miss,UL-Laf,UL-Laf,-,-,143,1.09,143,1.09,13.56,0.11,0.11,11.1,1.00,0.44,2.3,0.00
Gabarri Johnson,Oregon State,ColoSt,ColoSt,-,-,144,1.00,144,1.00,13.80,0.10,0.10,11.5,0.50,0.40,1.3,0.00
Trexler Ivey,UNC Charlotte,ECU,ECU,-,-,145,0.99,145,0.99,17.60,0.10,0.20,11.0,-1.10,0.50,-2.2,0.00
Gunner Stockton,Georgia,Auburn,Auburn,-,-,146,0.99,146,0.99,7.50,0.08,0.00,11.2,3.58,0.83,4.3,0.00
Braedyn Locke,Wisconsin,Purdue,Purdue,-,-,147,0.88,147,0.88,12.91,0.09,0.09,10.9,0.00,0.18,0.0,0.00
Nicco Marchiol,West Virginia,OkSt,WVU,-,-,148,0.75,148,0.75,5.00,0.00,0.00,10.0,5.50,1.50,3.7,0.00
Hunter Herring,Louisiana-Monroe,JMU,JMU,-,-,149,0.74,149,0.74,6.53,0.06,0.06,12.3,2.41,0.53,4.5,0.00
Drew Pyne,Missouri,TexA&M,Missou,-,-,150,0.74,150,0.74,7.73,0.09,0.00,12.1,0.64,0.36,1.8,0.00
Ajani Sheppard,Rutgers,Neb,Rut,-,-,151,0.73,151,0.73,6.50,0.00,0.00,13.0,4.67,1.17,4.0,0.00
Cole Ballard,Kansas,AriSt,Kansas,-,-,152,0.70,152,0.70,7.50,0.00,0.00,15.0,4.00,1.17,3.4,0.00
Jaylen Henderson,Texas A&M,Missou,Missou,-,-,153,0.68,153,0.68,8.14,0.00,0.00,11.5,3.57,1.00,3.6,0.00
Zeon Chriss,Houston,TCU,Hou,-,-,154,0.65,154,0.65,7.43,0.00,0.00,13.0,3.57,0.71,5.0,0.00
Tahj Bullock,Akron,BGSU,BGSU,-,-,155,0.62,155,0.62,6.06,0.06,0.06,11.4,1.47,0.47,3.1,0.00
Ahmad Haston,Massachusetts,NIU,UMass,-,-,156,0.62,156,0.62,6.76,0.06,0.06,10.4,1.18,0.47,2.5,0.00
Robby Ashford,South Carolina,Miss,Miss,-,-,157,0.60,157,0.60,5.63,0.00,0.00,11.3,3.75,0.88,4.3,0.00
Kevin Jennings,SMU,Lou,SMU,-,-,158,0.57,158,0.57,6.13,0.00,0.00,9.7,3.25,1.13,2.9,0.00
Braden Bohannon,Kennesaw State,JacSt,JacSt,-,-,159,0.55,159,0.55,7.09,0.00,0.00,12.9,2.64,0.73,3.6,0.00
JJ Kohl,Iowa State,Baylor,Baylor,-,-,160,0.54,160,0.54,7.86,0.00,0.00,13.8,2.29,0.57,4.0,0.00
RJ Martinez,Texas State,Troy,TxSt,-,-,161,0.54,161,0.54,7.88,0.00,0.00,12.5,2.25,0.50,4.5,0.00
Emmett Morehead,Old Dominion,CoastC,ODU,-,-,162,0.53,162,0.53,6.65,0.06,0.00,12.5,0.29,0.12,2.4,0.00
Zach Pyron,Georgia Tech,Duke,Duke,-,-,163,0.51,163,0.51,7.43,0.00,0.00,13.0,2.14,0.57,3.8,0.00
Malachi Singleton,Arkansas,Tenn,Tenn,-,-,164,0.49,164,0.49,7.57,0.00,0.00,13.3,1.86,1.00,1.9,0.00
Hajj-Malik Williams,UNLV,Syr,Syr,-,-,165,0.48,165,0.48,8.00,0.00,0.00,14.0,1.57,0.57,2.8,0.00
Eli Holstein,Pittsburgh,UNC,Pitt,-,-,166,0.47,168,0.47,6.37,0.05,0.05,11.0,0.05,0.11,0.5,0.00
Timmy McClain,Arkansas State,USA,USA,-,-,167,0.47,167,0.47,8.43,0.00,0.00,14.8,1.29,0.43,3.0,0.00
John Alan Richter,Toledo,Mia-O,Mia-O,-,-,168,0.47,166,0.47,6.86,0.00,0.00,12.0,2.00,0.57,3.5,0.00
Jacurri Brown,Central Florida,Fla,UCF,-,-,169,0.46,169,0.46,6.57,0.00,0.00,9.3,2.00,0.57,3.5,0.00
CJ Bailey,North Carolina State,Wake,Wake,-,-,170,0.44,171,0.44,7.00,0.00,0.00,12.3,1.57,0.57,2.8,0.00
Walker Howard,Mississippi,SCar,Miss,-,-,171,0.44,170,0.44,8.75,0.00,0.00,13.9,0.88,0.38,2.3,0.00
Noah Kim,Coastal Carolina,ODU,ODU,-,-,172,0.43,172,0.43,7.14,0.00,0.00,12.5,1.43,0.57,2.5,0.00
DJ Lagway,Florida,UCF,UCF,-,-,173,0.40,173,0.40,7.13,0.00,0.00,11.3,1.13,0.38,3.0,0.00
Trent Pearman,Clemson,FlaSt,Clem,-,-,174,0.39,174,0.39,6.33,0.00,0.00,9.4,1.33,0.56,2.4,0.00
Grayson James,Boston College,UVa,BC,-,-,175,0.37,175,0.37,6.14,0.00,0.00,10.8,1.29,1.29,1.0,0.00
Tucker Kilcrease,Troy,TxSt,TxSt,-,-,176,0.37,176,0.37,7.14,0.00,0.00,12.5,0.86,0.43,2.0,0.00
Bishop Davenport,South Alabama,ArkSt,USA,-,-,177,0.36,177,0.36,7.25,0.00,0.00,11.5,0.75,0.25,3.0,0.00
Brendan Sullivan,Iowa,OhioSt,Iowa,-,-,178,0.36,178,0.36,5.71,0.00,0.00,10.0,1.29,0.71,1.8,0.00
Tayven Jackson,Indiana,NW,Ind,-,-,179,0.34,180,0.34,7.38,0.00,0.00,11.7,0.50,0.50,1.0,0.00
Billy Wiles,Appalachian State,Marsh,App,-,-,180,0.34,179,0.34,7.13,0.00,0.00,14.3,0.50,0.50,1.0,0.00
Marcos Davila,Purdue,Wisc,Purdue,-,-,181,0.33,181,0.33,6.13,0.00,0.00,12.3,0.88,0.50,1.8,0.00
Brayden Dorman,Arizona,TxTch,TxTch,-,-,182,0.32,183,0.32,7.11,0.00,0.00,12.7,0.33,0.67,0.5,0.00
Tommy Schuster,Michigan State,Oregon,MSU,-,-,183,0.32,185,0.32,6.86,0.00,0.00,12.0,0.43,0.57,0.8,0.00
Ken Seals,TCU,Hou,Hou,-,-,184,0.32,184,0.32,7.00,0.00,0.00,12.5,0.44,0.56,0.8,0.00
Demond Williams,Washington,Mich,Mich,-,-,185,0.32,182,0.32,7.63,0.00,0.00,10.2,0.13,0.25,0.5,0.00
Zane Flores,Oklahoma State,WVU,WVU,-,-,186,0.30,187,0.30,7.00,0.00,0.00,11.7,0.20,0.20,1.0,0.00
Drake Lindsay,Minnesota,USC,USC,-,-,187,0.30,188,0.30,6.17,0.00,0.00,12.3,0.50,0.67,0.7,0.00
Gaston Moore,Tennessee,Ark,Tenn,-,-,188,0.30,186,0.30,6.25,0.00,0.00,12.5,0.50,0.38,1.3,0.00
Jackson Brousseau,Colorado State,OreSt,ColoSt,-,-,189,0.29,189,0.29,6.90,0.00,0.00,11.5,0.10,0.30,0.3,0.00
Micah Alejado,Hawaii,SDSU,Hawaii,-,-,190,0.28,190,0.28,6.60,0.00,0.00,11.0,0.20,0.20,1.0,0.00
Grant Gunnell,Sam Houston,UTEP,SamHou,-,-,191,0.28,193,0.28,6.00,0.00,0.00,10.7,0.44,0.89,0.5,0.00
Aidan Leffler,Ball State,WestMI,WestMI,-,-,192,0.28,191,0.28,7.00,0.00,0.00,12.3,0.00,0.00,0.0,0.00
Broc Lowry,Western Michigan,BallSt,WestMI,-,-,193,0.28,192,0.28,6.25,0.00,0.00,12.5,0.25,0.50,0.5,0.00
Holden Geriner,Auburn,UGa,Auburn,-,-,194,0.26,194,0.26,7.33,0.00,0.00,10.9,-0.33,0.33,-1.0,0.00
