,,Week 8 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Tetairoa McMillan,Arizona,Colo,Colo,-,-,1,16.33,1,23.28,110.35,6.95,15.9,0.88,0.18,0.09,2.0,0.00
Evan Stewart,Oregon,Purdue,Oregon,-,-,2,14.73,4,20.59,94.89,5.85,16.2,0.87,0.00,0.00,0.0,0.00
Ricky White,UNLV,OreSt,UNLV,-,-,3,14.09,5,20.34,105.83,6.25,16.9,0.58,0.08,0.08,1.0,0.00
Tory Horton,Colorado State,AF,ColoSt,-,-,4,14.05,2,22.07,99.89,8.03,12.4,0.68,0.00,0.00,0.0,0.00
Tez Johnson,Oregon,Purdue,Oregon,-,-,5,13.96,3,20.73,93.34,6.77,13.8,0.77,0.00,0.00,0.0,0.00
Jalen Royals,Utah State,NM,NM,-,-,6,13.83,6,19.96,94.09,6.14,15.3,0.74,0.00,0.00,0.0,0.00
Luther Burden III,Missouri,Auburn,Auburn,-,-,7,13.79,7,19.92,94.84,6.13,15.5,0.68,2.27,0.53,4.3,0.00
Joey Hobert,Texas State,ODU,TxSt,-,-,8,12.34,8,19.24,81.35,6.90,11.8,0.70,0.09,0.09,1.0,0.00
Xavier Restrepo,Miami,Lou,Mia-Fl,-,-,9,12.33,9,19.20,92.00,6.87,13.4,0.52,0.00,0.00,0.0,0.00
Kevin Concepcion,North Carolina State,Cal,NCSU,-,-,10,12.21,13,18.26,72.08,6.05,11.9,0.65,10.72,1.55,6.9,0.00
Germie Bernard,Alabama,Tenn,Ala,-,-,11,12.13,17,17.87,80.29,5.74,14.0,0.53,3.97,1.15,3.5,0.09
Roc Taylor,Memphis,NorTx,NorTx,-,-,12,12.00,16,17.91,93.26,5.91,15.8,0.44,0.26,0.18,1.4,0.00
Kyren Lacy,LSU,Ark,LSU,-,-,13,11.79,24,16.98,76.85,5.19,14.8,0.68,0.17,0.09,1.9,0.00
Sean Atkins,South Florida,UAB,UAB,-,-,14,11.72,10,18.72,80.12,7.01,11.4,0.56,3.58,0.48,7.5,0.00
Jamaal Pritchett,South Alabama,Troy,Troy,-,-,15,11.66,15,17.97,80.22,6.32,12.7,0.61,0.00,0.00,0.0,0.00
Will Pauling,Wisconsin,NW,Wisc,-,-,16,11.63,11,18.70,79.01,7.07,11.2,0.61,0.61,0.09,6.8,0.00
Pofele Ashlock,Hawaii,WashSt,Hawaii,-,-,17,11.58,14,18.19,66.20,6.61,10.0,0.83,0.00,0.00,0.0,0.00
Eugene Wilson,Florida,Kty,Kty,-,-,18,11.39,21,17.14,65.25,5.75,11.3,0.75,3.67,0.50,7.3,0.00
Deion Burks,Oklahoma,SCar,SCar,-,-,19,11.36,20,17.42,77.02,6.06,12.7,0.61,0.26,0.09,2.9,0.00
Malachi Fields,Virginia,Clem,UVa,-,-,20,11.24,23,17.01,79.91,5.77,13.8,0.54,0.09,0.09,1.0,0.00
Noah Smith,Sam Houston,WestKy,WestKy,-,-,21,11.19,19,17.44,62.83,6.25,10.1,0.50,9.08,2.33,3.9,0.17
Brennan Presley,Oklahoma State,BYU,OkSt,-,-,22,11.17,12,18.67,76.91,7.51,10.2,0.44,3.32,0.87,3.8,0.09
Jayden Higgins,Iowa State,UCF,UCF,-,-,23,11.11,33,15.51,81.80,4.40,18.6,0.49,0.00,0.00,0.0,0.00
Kyle Williams,Washington State,Hawaii,Hawaii,-,-,24,11.06,25,16.40,74.24,5.33,13.9,0.60,0.26,0.26,1.0,0.00
Derwin Burgess,Georgia Southern,JMU,JMU,-,-,25,10.82,18,17.73,75.45,6.91,10.9,0.55,0.00,0.00,0.0,0.00
Elic Ayomanor,Stanford,SMU,SMU,-,-,26,10.81,30,15.91,79.41,5.10,15.6,0.48,0.00,0.00,0.0,0.00
Josh Kelly,Texas Tech,Baylor,Baylor,-,-,27,10.81,31,15.91,71.91,5.11,14.1,0.60,0.43,0.09,4.8,0.00
Kobe Hudson,Central Florida,IaSt,UCF,-,-,28,10.80,37,14.77,72.61,3.96,18.3,0.59,0.00,0.00,0.0,0.00
Eric Singleton,Georgia Tech,ND,ND,-,-,29,10.74,32,15.87,76.54,5.13,14.9,0.50,0.59,0.08,7.4,0.00
Lajohntay Wester,Colorado,Ari,Colo,-,-,30,10.73,22,17.06,66.86,6.34,10.5,0.64,1.84,0.28,6.6,0.00
Squirrel White,Tennessee,Ala,Ala,-,-,31,10.68,28,16.21,76.12,5.53,13.8,0.49,0.99,0.16,6.2,0.00
Rashod Owens,Oklahoma State,BYU,OkSt,-,-,32,10.59,27,16.21,81.17,5.61,14.5,0.41,0.00,0.00,0.0,0.00
Nic Anderson,Oklahoma,SCar,SCar,-,-,33,10.57,49,14.02,71.18,3.45,20.6,0.58,0.00,0.00,0.0,0.00
Travis Hunter,Colorado,Ari,Colo,-,-,34,10.33,29,16.12,73.88,5.80,12.7,0.49,0.00,0.00,0.0,0.00
Caullin Lacy,Louisville,Mia-Fl,Mia-Fl,-,-,35,10.31,26,16.21,69.33,5.91,11.7,0.56,0.00,0.00,0.0,0.00
Demeer Blankumsee,Memphis,NorTx,NorTx,-,-,36,10.12,40,14.64,73.54,4.52,16.3,0.44,1.06,0.18,5.9,0.00
Isaiah Bond,Texas,UGa,UGa,-,-,37,10.02,34,15.19,75.39,5.17,14.6,0.40,0.57,0.16,3.6,0.00
Kole Wilson,Texas State,ODU,TxSt,-,-,38,9.81,35,14.98,59.23,5.17,11.5,0.65,0.08,0.16,0.5,0.00
Kelly Akharaiyi,Mississippi State,TexA&M,TexA&M,-,-,39,9.80,51,13.97,68.53,4.18,16.4,0.44,2.76,0.53,5.2,0.00
Jalen Moss,Fresno State,Nevada,Fres,-,-,40,9.71,36,14.77,65.07,5.07,12.8,0.53,0.00,0.00,0.0,0.00
Kamdyn Benjamin,Tulsa,Temple,Tulsa,-,-,41,9.68,47,14.09,65.07,4.41,14.8,0.52,0.60,0.09,6.7,0.00
Jordan Moore,Duke,FlaSt,FlaSt,-,-,42,9.62,52,13.90,60.53,4.28,14.1,0.57,1.70,0.48,3.5,0.00
