,,Week 12 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,FGM,FGA,FG%,XPM,XPA,XP%
Chase Allen,UTSA,NorTx,NorTx,-,-,1,0.00,13,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Bert Auburn,Texas,Ark,Tex,-,-,2,0.00,25,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Cole Becker,Utah,Colo,Utah,-,-,3,0.00,22,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mateen Bhaghani,UCLA,Wash,UCLA,-,-,4,0.00,45,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Randy Bond,Texas A&M,NMSt,NMSt,-,-,5,0.00,16,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nick Brown,Liberty,UMass,Lib,-,-,6,0.00,20,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Carter Brown,Cincinnati,IaSt,Cin,-,-,7,0.00,34,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Noah Burnette,North Carolina,Wake,Wake,-,-,8,0.00,11,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Cannon,South Florida,Char,USF,-,-,9,0.00,19,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Lucas Carneiro,Western Kentucky,LaTech,LaTech,-,-,10,0.00,42,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Coe,California,Syr,Syr,-,-,11,0.00,8,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Liam Connor,Boston College,SMU,BC,-,-,12,0.00,41,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Costa,Memphis,UAB,UAB,-,-,13,0.00,17,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Craig,Missouri,SCar,Missou,-,-,14,0.00,43,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonah Dalmas,Boise State,SJSU,Boise,-,-,15,0.00,15,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brady Denaburg,Syracuse,Cal,Syr,-,-,16,0.00,38,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Will Ferrin,BYU,Kansas,Kansas,-,-,17,0.00,23,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jayden Fielding,Ohio State,NW,OhioSt,-,-,18,0.00,29,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Ford,North Texas,Tx-SA,NorTx,-,-,19,0.00,33,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Grady Gross,Washington,UCLA,UCLA,-,-,20,0.00,37,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Robert Gunn,Clemson,Pitt,Clem,-,-,21,0.00,28,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Isaiah Hankins,Baylor,WVU,Baylor,-,-,22,0.00,24,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Everett Hayes,Oregon State,AF,OreSt,-,-,23,0.00,7,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Hayes,West Virginia,Baylor,Baylor,-,-,24,0.00,2,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dean Janikowski,Washington State,NM,WashSt,-,-,25,0.00,6,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mitch Jeter,Notre Dame,UVa,UVa,-,-,26,0.00,12,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonathan Kim,Michigan State,Ill,MSU,-,-,27,0.00,5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Konrardy,Iowa State,Cin,Cin,-,-,28,0.00,44,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Lantz,USC,Neb,Neb,-,-,29,0.00,1,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Loop,Arizona,Hou,Hou,-,-,30,0.00,14,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jack Martin,Houston,Ari,Hou,-,-,31,0.00,3,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alejandro Mata,Colorado,Utah,Utah,-,-,32,0.00,35,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Graham Nicholson,Alabama,Merc,Merc,-,-,33,0.00,21,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jai Patel,Rutgers,MD,Rut,-,-,34,0.00,40,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Owen Piepergerdes,Kansas,BYU,Kansas,-,-,35,0.00,27,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Damian Ramos,LSU,Fla,LSU,-,-,36,0.00,30,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alex Raynor,Kentucky,Murray,Murray,-,-,37,0.00,4,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Collin Rogers,SMU,BC,BC,-,-,38,0.00,39,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Atticus Sappington,Oregon,Wisc,Oregon,-,-,39,0.00,26,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Matthew Shipley,Arkansas,Tex,Tex,-,-,40,0.00,10,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Trey Smack,Florida,LSU,LSU,-,-,41,0.00,31,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Chris Tennant,Kansas State,AriSt,AriSt,-,-,42,0.00,18,0.00,0.00,0.00,0.0,0.00,0.00,0.0
