,,Week 4 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Caden Costa,Memphis,Navy,Mem,-,-,15,0.00,21,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Craig,Missouri,Vandy,Vandy,-,-,16,0.00,50,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonah Dalmas,Boise State,PorSt,PorSt,-,-,17,0.00,18,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Davis,Mississippi,GaSo,GaSo,-,-,18,0.00,1,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brady Denaburg,Syracuse,Stan,Stan,-,-,19,0.00,45,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Ferrie,Mississippi State,Fla,Fla,-,-,20,0.00,53,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Will Ferrin,BYU,KanSt,KanSt,-,-,21,0.00,26,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jayden Fielding,Ohio State,Marsh,Marsh,-,-,22,0.00,35,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Fitzgerald,Florida State,Cal,Cal,-,-,23,0.00,8,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Ford,North Texas,Wyo,Wyo,-,-,24,0.00,39,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Gino Garcia,Texas Tech,AriSt,AriSt,-,-,25,0.00,3,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Grady Gross,Washington,NW,NW,-,-,26,0.00,44,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Robert Gunn,Clemson,NCSU,NCSU,-,-,27,0.00,31,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Isaiah Hankins,Baylor,Colo,Baylor,-,-,28,0.00,27,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Hayes,West Virginia,Kansas,Kansas,-,-,29,0.00,4,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Everett Hayes,Oregon State,Purdue,Purdue,-,-,30,0.00,11,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dean Janikowski,Washington State,SJSU,SJSU,-,-,31,0.00,9,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mitch Jeter,Notre Dame,Mia-O,Mia-O,-,-,32,0.00,16,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Keltner,Oklahoma,Tenn,Tenn,-,-,33,0.00,10,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonathan Kim,Michigan State,BC,MSU,-,-,34,0.00,7,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Konrardy,Iowa State,ArkSt,ArkSt,-,-,35,0.00,51,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Lantz,USC,Mich,USC,-,-,36,0.00,2,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Love,Virginia Tech,Rut,Rut,-,-,37,0.00,33,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jack Martin,Houston,Cin,Hou,-,-,38,0.00,5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alejandro Mata,Colorado,Baylor,Baylor,-,-,39,0.00,41,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nate McCashland,TCU,SMU,TCU,-,-,40,0.00,52,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jai Patel,Rutgers,VaTech,Rut,-,-,41,0.00,47,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Todd Pelino,Duke,MiddTn,Duke,-,-,42,0.00,43,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Owen Piepergerdes,Kansas,WVU,Kansas,-,-,43,0.00,30,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Damian Ramos,LSU,UCLA,UCLA,-,-,44,0.00,36,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alex Raynor,Kentucky,Ohio,Ohio,-,-,45,0.00,6,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Collin Rogers,SMU,TCU,TCU,-,-,46,0.00,46,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Matthew Shipley,Arkansas,Auburn,Ark,-,-,47,0.00,14,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Trey Smack,Florida,MissSt,Fla,-,-,48,0.00,37,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Chris Tennant,Kansas State,BYU,KanSt,-,-,49,0.00,22,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brock Travelstead,Louisville,GaTech,GaTech,-,-,50,0.00,13,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Josh Turbyville,Tennessee,Okla,Tenn,-,-,51,0.00,42,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kanoah Vinesett,North Carolina State,Clem,NCSU,-,-,52,0.00,38,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Logan Ward,Oklahoma State,Utah,Utah,-,-,53,0.00,28,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dominic Zvada,Michigan,USC,USC,-,-,54,0.00,34,0.00,0.00,0.00,0.0,0.00,0.00,0.0
