,,Week 4 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,FGM,FGA,FG%,XPM,XPA,XP%
Chase Allen,UTSA,HouChr,HouChr,-,-,1,0.00,17,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Bert Auburn,Texas,UL-Mon,UL-Mon,-,-,2,0.00,29,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Cole Becker,Utah,OkSt,Utah,-,-,3,0.00,25,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mateen Bhaghani,UCLA,LSU,UCLA,-,-,4,0.00,54,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Aidan Birr,Georgia Tech,Lou,GaTech,-,-,5,0.00,32,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Randy Bond,Texas A&M,BGSU,BGSU,-,-,6,0.00,19,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Andres Borregales,Miami,USF,Mia-Fl,-,-,7,0.00,20,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nick Brown,Liberty,ECU,ECU,-,-,8,0.00,24,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Carter Brown,Cincinnati,Hou,Hou,-,-,9,0.00,40,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Noah Burnette,North Carolina,JMU,JMU,-,-,10,0.00,15,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Cannon,South Florida,Mia-Fl,Mia-Fl,-,-,11,0.00,23,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Lucas Carneiro,Western Kentucky,Toledo,Toledo,-,-,12,0.00,49,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Coe,California,FlaSt,Cal,-,-,13,0.00,12,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Liam Connor,Boston College,MSU,MSU,-,-,14,0.00,48,0.00,0.00,0.00,0.0,0.00,0.00,0.0
