,,Week 7 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Ayo Adeyi,James Madison,CoastC,CoastC,-,-,68,10.84,76,11.68,65.74,14.00,4.7,0.61,6.16,0.84,7.3,0.00
Rahsul Faison,Utah State,UNLV,UNLV,-,-,69,10.81,75,11.72,74.05,13.00,5.7,0.49,4.44,0.91,4.9,0.00
Braedon Sloan,Ball State,KentSt,BallSt,-,-,70,10.78,69,11.98,65.82,14.00,4.7,0.51,11.27,1.20,9.4,0.00
Donald Chaney,Louisville,UVa,Lou,-,-,71,10.74,61,12.73,62.35,13.00,4.8,0.50,15.24,1.99,7.7,0.00
Ta'ron Keith,South Florida,Mem,Mem,-,-,72,10.68,46,13.93,40.62,8.00,5.1,0.44,29.27,3.25,9.0,0.18
Dylan Carson,Air Force,NM,AF,-,-,73,10.66,97,10.66,76.58,16.00,4.8,0.50,0.00,0.00,0.0,0.00
Jambres Dubar,Boise State,Hawaii,Boise,-,-,74,10.58,72,11.83,58.17,10.00,5.8,0.58,12.67,1.25,10.1,0.00
Micah Bernard,Utah,AriSt,Utah,-,-,75,10.57,67,12.13,52.29,11.00,4.8,0.57,14.04,1.56,9.0,0.08
Josh Williams,LSU,Miss,Miss,-,-,76,10.52,77,11.64,57.15,11.00,5.2,0.69,6.79,1.12,6.1,0.00
Demond Claiborne,Wake Forest,Clem,Clem,-,-,77,10.41,88,11.09,67.13,16.00,4.2,0.51,6.52,0.68,9.6,0.00
Eli Sanders,New Mexico,AF,AF,-,-,78,10.35,73,11.82,57.50,12.00,4.8,0.52,9.76,1.47,6.6,0.09
Monte Watkins,New Mexico State,JacSt,NMSt,-,-,79,10.34,83,11.50,65.88,12.00,5.5,0.41,7.78,1.16,6.7,0.08
Lee Beebe,UAB,Army,UAB,-,-,80,10.26,74,11.73,53.23,7.00,7.6,0.57,10.34,1.47,7.0,0.08
Marquis Crosby,Louisiana Tech,MiddTn,MiddTn,-,-,81,10.16,85,11.38,60.38,11.00,5.5,0.57,7.01,1.22,5.7,0.00
Ulysses Bentley IV,Mississippi,LSU,Miss,-,-,82,10.03,90,10.99,56.05,10.00,5.6,0.53,7.37,0.96,7.7,0.09
Keegan Jones,UCLA,Minn,Minn,-,-,83,10.03,64,12.31,52.92,11.00,4.8,0.40,17.64,2.28,7.7,0.10
Hunter Smith,Louisiana-Monroe,SouMis,SouMis,-,-,84,10.03,99,10.52,60.66,11.00,5.5,0.49,5.17,0.49,10.6,0.08
Zach Evans,North Texas,FlaAtl,NorTx,-,-,85,10.02,82,11.50,58.76,13.00,4.5,0.53,9.72,1.48,6.6,0.00
Elijah Young,Western Kentucky,UTEP,UTEP,-,-,86,9.97,78,11.64,45.92,10.00,4.6,0.33,18.83,1.67,11.3,0.25
Nay'Quan Wright,South Florida,Mem,Mem,-,-,87,9.87,96,10.71,61.75,14.00,4.4,0.58,2.00,0.83,2.4,0.00
Armoni Goodwin,UAB,Army,UAB,-,-,88,9.81,95,10.74,48.40,9.00,5.4,0.76,3.82,0.93,4.1,0.00
Reggie Love,Purdue,Ill,Purdue,-,-,89,9.81,87,11.13,57.52,12.00,4.8,0.41,10.76,1.32,8.2,0.08
Alton McCaskill,Arizona State,Utah,Utah,-,-,90,9.77,94,10.81,56.43,12.00,4.7,0.52,9.91,1.04,9.5,0.00
Jacqez Barksdale,Buffalo,Toledo,Toledo,-,-,91,9.76,86,11.38,51.67,11.00,4.7,0.43,15.18,1.62,9.4,0.09
Ikaika Ragsdale,North Texas,FlaAtl,NorTx,-,-,92,9.76,92,10.97,52.66,11.00,4.8,0.43,8.57,1.21,7.1,0.17
Kevorian Barnes,UTSA,Rice,Tx-SA,-,-,93,9.74,91,10.98,56.15,11.00,5.1,0.57,6.81,1.23,5.5,0.00
Rodney Hammond,Pittsburgh,Cal,Cal,-,-,94,9.65,81,11.52,52.80,11.00,4.8,0.41,14.34,1.87,7.7,0.08
Floyd Chalk,San Jose State,ColoSt,SJSU,-,-,95,9.63,89,11.02,57.58,12.00,4.8,0.43,12.86,1.38,9.3,0.00
Cam Porter,Northwestern,MD,NW,-,-,96,9.61,93,10.91,57.67,15.00,3.8,0.43,7.41,1.29,5.7,0.09
Ky Thomas,Kent,BallSt,BallSt,-,-,97,9.60,98,10.62,58.46,13.00,4.5,0.42,6.97,1.02,6.8,0.08
CJ Donaldson,West Virginia,IaSt,IaSt,-,-,98,9.53,111,10.11,51.77,11.00,4.7,0.66,3.80,0.58,6.6,0.00
Braydon Bennett,Coastal Carolina,JMU,CoastC,-,-,99,9.44,84,11.41,47.01,10.00,4.7,0.51,16.67,1.97,8.5,0.00
Dylan Downing,Miami (OH),EastMi,Mia-O,-,-,100,9.43,105,10.30,49.91,10.00,5.0,0.52,7.83,0.87,9.0,0.09
Leshon Williams,Iowa,Wash,Wash,-,-,101,9.42,102,10.40,67.22,14.00,4.8,0.25,7.29,0.98,7.4,0.08
Peny Boone,Central Florida,Cin,Cin,-,-,102,9.40,108,10.19,52.12,8.00,6.5,0.55,8.63,0.79,10.9,0.00
Delbert Mimms,Eastern Michigan,Mia-O,Mia-O,-,-,103,9.28,101,10.50,39.49,9.00,4.4,0.65,9.57,1.22,7.8,0.08
Henry Parrish,Mississippi,LSU,Miss,-,-,104,9.13,114,9.93,56.57,9.00,6.3,0.40,5.79,0.80,7.2,0.08
Tawee Walker,Wisconsin,Rut,Wisc,-,-,105,9.12,104,10.31,50.57,11.00,4.6,0.55,7.44,1.19,6.3,0.00
Robert Henry,UTSA,Rice,Tx-SA,-,-,106,9.09,106,10.27,47.98,10.00,4.8,0.59,7.65,1.18,6.5,0.00
Billy Lucas,Liberty,FIU,FIU,-,-,107,9.04,124,9.37,53.14,10.00,5.3,0.50,2.56,0.33,7.8,0.08
Dre'lyn Washington,Louisiana-Lafayette,App,App,-,-,108,9.04,116,9.79,56.78,10.00,5.7,0.41,3.88,0.74,5.2,0.08
Davon Booth,Mississippi State,UGa,MissSt,-,-,109,9.03,112,9.99,54.96,10.00,5.5,0.48,6.56,0.96,6.8,0.00
CJ Beasley,Georgia State,ODU,ODU,-,-,110,9.02,107,10.23,54.14,12.00,4.5,0.47,8.19,1.21,6.8,0.00
Zuberi Mobley,Florida Atlantic,NorTx,NorTx,-,-,111,8.97,115,9.92,55.96,13.00,4.3,0.34,7.92,0.95,8.3,0.09
Isaiah Jacobs,UAB,Army,UAB,-,-,112,8.91,80,11.56,45.04,10.00,4.5,0.51,13.25,2.65,5.0,0.00
Seth McGowan,New Mexico State,JacSt,NMSt,-,-,113,8.84,120,9.52,51.86,10.00,5.2,0.42,6.02,0.68,8.9,0.08
Kobe Pace,Virginia,Lou,Lou,-,-,114,8.76,103,10.32,49.38,13.00,3.8,0.25,13.74,1.55,8.9,0.16
Jamious Griffin,Oregon State,Nevada,OreSt,-,-,115,8.74,109,10.15,47.93,10.00,4.8,0.41,9.75,1.40,7.0,0.08
Sean Dollars,Nevada,OreSt,OreSt,-,-,116,8.67,117,9.70,45.51,12.00,3.8,0.51,5.23,1.03,5.1,0.09
DJ Jones,Wyoming,SDSU,SDSU,-,-,117,8.63,123,9.39,56.97,10.00,5.7,0.42,4.12,0.76,5.4,0.00
Dontae McMillan,Eastern Michigan,Mia-O,Mia-O,-,-,118,8.30,118,9.57,38.55,9.00,4.3,0.51,8.75,1.27,6.9,0.08
Jordon Simmons,Akron,WestMI,Akron,-,-,119,8.28,113,9.93,42.93,10.00,4.3,0.38,12.78,1.65,7.7,0.08
Roderick Robinson,Georgia,MissSt,MissSt,-,-,120,8.27,128,8.88,41.05,7.00,5.9,0.60,5.36,0.60,8.9,0.00
Anthony Tyus,Ohio,CentMi,Ohio,-,-,121,8.24,126,8.94,52.82,11.00,4.8,0.44,3.40,0.70,4.9,0.00
Anderson Castle,Appalachian State,UL-Laf,App,-,-,122,8.18,129,8.85,52.58,10.00,5.3,0.42,4.25,0.67,6.3,0.00
Vaughn Pemberton,Ball State,KentSt,BallSt,-,-,123,8.17,137,8.60,45.79,8.00,5.7,0.43,5.28,0.43,12.3,0.09
Zak Wallace,Arkansas State,TxSt,ArkSt,-,-,124,8.08,139,8.50,48.35,11.00,4.4,0.51,1.71,0.43,4.0,0.00
Rayshon Luke,Arizona,BYU,Ari,-,-,125,8.05,122,9.44,38.08,9.00,4.2,0.46,14.77,1.38,10.7,0.00
Dylan Edwards,Kansas State,Colo,KanSt,-,-,126,7.98,121,9.47,36.78,8.00,4.6,0.33,13.36,1.48,9.0,0.16
Dallan Hayden,Colorado,KanSt,KanSt,-,-,127,7.98,110,10.14,46.19,10.00,4.6,0.41,2.68,2.16,1.2,0.10
Robert Briggs,Utah State,UNLV,UNLV,-,-,128,7.95,135,8.65,56.05,11.00,5.1,0.35,2.53,0.70,3.6,0.00
Desmond Reid,Pittsburgh,Cal,Cal,-,-,129,7.83,119,9.57,44.17,10.00,4.4,0.26,13.30,1.74,7.6,0.09
Aaron Young,Old Dominion,GaSt,ODU,-,-,130,7.81,140,8.47,44.01,9.00,4.9,0.41,4.38,0.66,6.6,0.08
Nate Noel,Missouri,UMass,Missou,-,-,131,7.79,131,8.73,49.88,10.00,5.0,0.38,5.50,0.94,5.9,0.00
Cameron Seldon,Tennessee,Fla,Fla,-,-,132,7.79,127,8.89,45.00,9.00,5.0,0.42,7.39,1.10,6.7,0.00
Freddie Brock,Georgia State,ODU,ODU,-,-,133,7.70,141,8.43,47.82,10.00,4.8,0.40,5.00,0.73,6.8,0.00
Jeffery Pittman,Mississippi State,UGa,MissSt,-,-,134,7.70,133,8.71,45.00,9.00,5.0,0.34,6.81,1.01,6.7,0.08
Sedrick Irvin,Stanford,ND,Stan,-,-,135,7.69,100,10.51,36.57,8.00,4.6,0.35,19.25,2.81,6.9,0.00
Anwar Lewis,Jacksonville State,NMSt,NMSt,-,-,136,7.66,138,8.50,48.99,10.00,4.9,0.34,7.39,0.84,8.8,0.00
Rashad Amos,Mississippi,LSU,Miss,-,-,137,7.54,153,8.06,40.69,8.00,5.1,0.52,3.78,0.52,7.3,0.00
Michael Allen,UNLV,UtahSt,UNLV,-,-,138,7.45,148,8.15,43.15,9.00,4.8,0.44,4.85,0.71,6.8,0.00
Elijah Davis,Louisiana-Lafayette,App,App,-,-,139,7.45,161,7.71,47.63,9.00,5.3,0.42,1.44,0.25,5.8,0.00
Bennett Galloway,Louisiana-Monroe,SouMis,SouMis,-,-,140,7.45,156,7.85,51.53,9.00,5.7,0.32,3.82,0.40,9.6,0.00
Ethan Payne,Marshall,GaSo,Marsh,-,-,141,7.42,142,8.42,42.92,10.00,4.3,0.42,6.33,1.00,6.3,0.00
Al-Jay Henderson,Buffalo,Toledo,Toledo,-,-,142,7.40,134,8.69,40.50,9.00,4.5,0.32,9.40,1.29,7.3,0.08
Sedrick Alexander,Vanderbilt,Kty,Vandy,-,-,143,7.35,130,8.74,38.00,10.00,3.8,0.35,9.39,1.39,6.8,0.09
AJ Newberry,Vanderbilt,Kty,Vandy,-,-,144,7.28,152,8.07,40.59,9.00,4.5,0.35,5.74,0.79,7.3,0.09
Maurice Turner,Louisville,UVa,Lou,-,-,145,7.22,125,9.16,37.66,8.00,4.7,0.24,15.19,1.94,7.8,0.08
Jalen John,Massachusetts,Missou,Missou,-,-,146,7.20,146,8.24,38.00,10.00,3.8,0.43,7.91,1.04,7.6,0.00
Keith Adams Jr.,Clemson,Wake,Clem,-,-,147,7.19,159,7.79,43.18,8.00,5.4,0.43,2.92,0.60,4.9,0.00
Zahir Abdus-Salaam,Western Michigan,Akron,Akron,-,-,148,7.18,143,8.39,35.84,9.00,4.0,0.40,7.07,1.21,5.8,0.08
Frank Peasant,Middle Tenn. St,LaTech,MiddTn,-,-,149,7.15,160,7.72,37.97,10.00,3.8,0.49,4.23,0.57,7.4,0.00
Kenyon Clay,Southern Miss,UL-Mon,SouMis,-,-,150,7.13,150,8.10,45.21,11.00,4.1,0.24,6.71,0.97,6.9,0.08
Jaylon Glover,Utah,AriSt,Utah,-,-,151,7.09,162,7.68,49.71,11.00,4.5,0.26,5.80,0.60,9.7,0.00
Treyaun Webb,Florida,Tenn,Fla,-,-,152,7.09,149,8.13,39.91,8.00,5.0,0.35,4.87,1.04,4.7,0.09
Byron Cardwell,California,Pitt,Cal,-,-,153,7.08,145,8.30,34.87,6.00,5.8,0.35,9.83,1.22,8.1,0.09
Gavin Williams,Northern Illinois,BGSU,NIU,-,-,154,7.05,136,8.64,45.00,9.00,5.0,0.26,9.62,1.59,6.1,0.00
Tate Carney,Wake Forest,Clem,Clem,-,-,155,6.97,168,7.49,40.41,9.00,4.5,0.43,3.29,0.52,6.3,0.00
Ja'Vin Simpkins,Coastal Carolina,JMU,CoastC,-,-,156,6.92,166,7.56,41.52,8.00,5.2,0.40,3.68,0.64,5.8,0.00
Aiden Calvert,Air Force,NM,AF,-,-,157,6.91,172,7.22,43.11,6.00,7.2,0.39,2.29,0.32,7.2,0.00
Lexington Joseph,Florida International,Lib,FIU,-,-,158,6.90,132,8.72,38.35,8.00,4.8,0.25,10.89,1.81,6.0,0.08
Leo Pulalasi,Washington State,Fres,WashSt,-,-,159,6.86,144,8.34,39.36,7.00,5.6,0.25,9.47,1.48,6.4,0.08
Brandon Thomas,Memphis,USF,Mem,-,-,160,6.85,165,7.57,26.47,7.00,3.8,0.63,4.31,0.72,6.0,0.00
Jalen Hampton,Western Kentucky,UTEP,UTEP,-,-,161,6.84,151,8.07,36.08,8.00,4.5,0.24,12.73,1.22,10.4,0.08
Kenny Tracy,Miami (OH),EastMi,Mia-O,-,-,162,6.84,163,7.65,36.30,7.00,5.2,0.33,7.65,0.81,9.4,0.08
Cameron Davis,Washington,Iowa,Wash,-,-,163,6.83,147,8.20,34.49,7.00,4.9,0.26,13.32,1.37,9.7,0.09
Andrew Henry,New Mexico,AF,AF,-,-,164,6.74,155,7.86,40.00,8.00,5.0,0.34,6.80,1.12,6.1,0.00
Kanye Udoh,Army,UAB,UAB,-,-,165,6.65,184,6.65,50.95,10.00,5.1,0.26,0.00,0.00,0.0,0.00
Myles Bailey,Central Michigan,Ohio,Ohio,-,-,166,6.57,164,7.63,42.30,9.00,4.7,0.25,8.67,1.06,8.2,0.00
Demie Sumo-Karngbaye,Kentucky,Vandy,Vandy,-,-,167,6.56,154,7.96,36.89,7.00,5.3,0.25,8.89,1.40,6.4,0.08
CJ Campbell,Florida Atlantic,NorTx,NorTx,-,-,168,6.50,183,6.83,39.08,6.00,6.5,0.41,1.62,0.32,5.1,0.00
CJ Hester,Massachusetts,Missou,Missou,-,-,169,6.38,158,7.83,26.55,7.00,3.8,0.34,11.61,1.45,8.0,0.09
Shomari Lawrence,Florida International,Lib,FIU,-,-,170,6.38,174,7.03,39.92,10.00,4.0,0.33,4.18,0.66,6.3,0.00
Pat Garwo,Nevada,OreSt,OreSt,-,-,171,6.34,176,6.98,40.00,10.00,4.0,0.32,4.03,0.65,6.2,0.00
Quinten Joyner,USC,PSU,PSU,-,-,172,6.34,181,6.85,43.96,7.00,6.3,0.26,4.10,0.51,8.0,0.00
OJ Arnold,Georgia Southern,Marsh,Marsh,-,-,173,6.33,171,7.26,36.37,7.00,5.2,0.34,6.40,0.94,6.8,0.00
Bryce Duke,Old Dominion,GaSt,ODU,-,-,174,6.24,180,6.89,32.91,7.00,4.7,0.32,5.39,0.64,8.4,0.08
Charlie Offerdahl,Colorado,KanSt,KanSt,-,-,175,6.20,167,7.51,32.99,7.00,4.7,0.26,7.96,1.31,6.1,0.09
George Pettaway,James Madison,CoastC,CoastC,-,-,176,6.18,178,6.96,35.96,8.00,4.5,0.34,5.25,0.77,6.8,0.00
Evan Pryor,Cincinnati,UCF,Cin,-,-,177,6.17,173,7.04,36.87,9.00,4.1,0.26,3.84,0.87,4.4,0.09
Marquese Williams,Akron,WestMI,Akron,-,-,178,6.11,169,7.37,32.01,7.00,4.6,0.31,10.22,1.26,8.1,0.00
Ron Wiggins,Jacksonville State,NMSt,NMSt,-,-,179,6.10,182,6.84,35.81,7.00,5.1,0.33,5.70,0.73,7.8,0.00
Donerio Davenport,Louisiana Tech,MiddTn,MiddTn,-,-,180,6.05,179,6.94,35.64,7.00,5.1,0.24,5.55,0.89,6.2,0.08
Kendrick Raphael,North Carolina State,Syr,Syr,-,-,181,6.02,177,6.97,41.37,9.00,4.6,0.17,8.48,0.95,8.9,0.00
Trey Cooley,Georgia Tech,UNC,GaTech,-,-,182,5.98,175,7.02,30.74,7.00,4.4,0.24,9.74,1.05,9.3,0.08
Gavin Garcia,Kent,BallSt,BallSt,-,-,183,5.92,189,6.08,42.93,11.00,3.9,0.25,1.48,0.16,9.3,0.00
Coleman Bennett,Rice,Tx-SA,Tx-SA,-,-,184,5.82,157,7.85,25.97,7.00,3.7,0.24,17.58,2.03,8.7,0.00
Elijah Gilliam,Fresno State,WashSt,WashSt,-,-,185,5.79,187,6.44,25.97,6.00,4.3,0.33,7.23,0.66,11.0,0.08
Jadan Baugh,Florida,Tenn,Fla,-,-,186,5.72,188,6.26,36.17,7.00,5.2,0.27,4.85,0.54,9.0,0.00
Zylan Perry,Louisiana-Lafayette,App,App,-,-,187,5.56,193,5.88,29.43,7.00,4.2,0.32,2.31,0.32,7.2,0.08
Branson Robinson,Georgia,MissSt,MissSt,-,-,188,5.52,192,5.93,26.80,5.00,5.4,0.41,3.77,0.41,9.2,0.00
Sy'veon Wilkerson,Georgia State,ODU,ODU,-,-,189,5.49,200,5.73,33.70,8.00,4.2,0.32,1.78,0.24,7.4,0.00
Kaleb Johnson,Iowa,Wash,Wash,-,-,190,5.48,194,5.82,36.42,9.00,4.0,0.25,3.06,0.34,9.0,0.00
Jaison Patterson,Bowling Green,NIU,NIU,-,-,191,5.45,170,7.28,19.08,5.00,3.8,0.17,15.42,1.83,8.4,0.17
Daelen Alexander,Rice,Tx-SA,Tx-SA,-,-,192,5.41,205,5.41,6.10,3.00,2.0,0.80,0.00,0.00,0.0,0.00
