,,Week 7 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Ashton Jeanty,Boise State,Hawaii,Boise,-,-,1,23.73,1,26.98,107.29,17.00,6.3,1.14,37.25,3.25,11.5,0.41
Omarion Hampton,North Carolina,GaTech,GaTech,-,-,2,19.83,2,21.93,111.47,21.00,5.3,1.09,16.30,2.10,7.8,0.08
DJ Giddens,Kansas State,Colo,KanSt,-,-,3,18.00,4,19.93,99.79,19.00,5.3,0.84,19.67,1.93,10.2,0.17
Darius Taylor,Minnesota,UCLA,Minn,-,-,4,17.66,8,18.97,111.46,21.00,5.3,0.90,11.19,1.31,8.5,0.00
Quinton Cooley,Liberty,FIU,FIU,-,-,5,17.50,14,17.92,102.22,16.00,6.4,1.16,3.15,0.41,7.7,0.00
Phil Mafah,Clemson,Wake,Clem,-,-,6,17.24,6,19.27,92.81,17.00,5.5,1.14,11.22,2.03,5.5,0.00
Jordan James,Oregon,OhioSt,OhioSt,-,-,7,17.08,5,19.53,88.21,13.00,6.8,0.93,21.78,2.45,8.9,0.08
Jaydn Ott,California,Pitt,Cal,-,-,8,16.88,9,18.87,95.56,18.00,5.3,0.83,13.52,1.99,6.8,0.17
Ismail Mahdi,Texas State,ArkSt,ArkSt,-,-,9,16.83,10,18.39,107.67,18.00,6.0,0.82,11.34,1.56,7.3,0.00
TreVeyon Henderson,Ohio State,Oregon,OhioSt,-,-,10,16.68,12,18.04,84.76,14.00,6.1,1.02,15.87,1.36,11.7,0.08
Malik Sherrod,Fresno State,WashSt,WashSt,-,-,11,16.59,3,20.19,87.49,17.00,5.1,0.86,21.72,3.61,6.0,0.09
Gavin Sawchuk,Oklahoma,Tex,Tex,-,-,12,16.58,15,17.90,92.87,16.00,5.8,0.99,8.58,1.32,6.5,0.08
RJ Harvey,Central Florida,Cin,Cin,-,-,13,16.57,13,17.98,86.99,14.00,6.2,0.97,15.32,1.41,10.9,0.09
Kyle Monangai,Rutgers,Wisc,Wisc,-,-,14,16.52,17,17.29,101.42,19.00,5.3,0.94,7.27,0.77,9.4,0.00
Mario Anderson,Memphis,USF,Mem,-,-,15,16.44,7,19.11,81.08,14.00,5.8,0.92,23.33,2.67,8.7,0.08
Jahiem White,West Virginia,IaSt,IaSt,-,-,16,16.37,18,17.13,106.35,17.00,6.3,0.67,12.14,0.75,16.2,0.08
Quinshon Judkins,Ohio State,Oregon,OhioSt,-,-,17,16.28,16,17.60,85.33,14.00,6.1,0.99,12.84,1.33,9.7,0.08
Antario Brown,Northern Illinois,BGSU,NIU,-,-,18,15.81,24,16.71,104.87,17.00,6.2,0.82,3.94,0.90,4.4,0.00
Abu Sama III,Iowa State,WVU,IaSt,-,-,19,15.72,25,16.63,90.92,14.00,6.5,0.99,7.00,0.91,7.7,0.00
Jalen Buckley,Western Michigan,Akron,Akron,-,-,20,15.37,22,16.91,86.34,16.00,5.4,0.81,13.73,1.54,8.9,0.08
Chip Trayanum,Kentucky,Vandy,Vandy,-,-,21,15.36,21,16.98,79.73,17.00,4.7,0.75,15.82,1.61,9.8,0.22
Woody Marks,USC,PSU,PSU,-,-,22,15.29,20,17.08,90.84,14.00,6.5,0.57,18.07,1.79,10.1,0.16
LeQuint Allen,Syracuse,NCSU,Syr,-,-,23,15.24,11,18.17,86.42,18.00,4.8,0.73,17.10,2.93,5.8,0.08
Marcus Carroll,Missouri,UMass,Missou,-,-,24,14.88,26,16.37,83.48,16.00,5.2,0.80,11.63,1.49,7.8,0.10
TJ Harden,UCLA,Minn,Minn,-,-,25,14.83,27,16.36,79.83,16.00,5.0,0.85,12.26,1.53,8.0,0.09
Cameron Skattebo,Arizona State,Utah,Utah,-,-,26,14.74,23,16.78,77.53,16.00,4.8,0.68,23.91,2.04,11.7,0.09
Jamal Haynes,Georgia Tech,UNC,GaTech,-,-,27,14.55,28,16.30,87.83,15.00,5.9,0.67,12.67,1.75,7.2,0.08
Jalen White,Georgia Southern,Marsh,Marsh,-,-,28,14.43,30,15.75,82.25,15.00,5.5,0.82,7.66,1.32,5.8,0.08
Trevor Etienne,Georgia,MissSt,MissSt,-,-,29,14.20,29,15.83,68.49,12.00,5.7,0.90,14.69,1.63,9.0,0.08
Dylan Sampson,Tennessee,Fla,Fla,-,-,30,13.89,31,15.61,84.18,15.00,5.6,0.57,15.41,1.72,9.0,0.08
Dean Connors,Rice,Tx-SA,Tx-SA,-,-,31,13.88,19,17.11,68.10,11.00,6.2,0.57,27.01,3.24,8.3,0.16
Nicholas Singleton,Penn State,USC,PSU,-,-,32,13.74,32,15.54,69.84,14.00,5.0,0.65,18.42,1.80,10.2,0.16
Justice Haynes,Alabama,SCar,SCar,-,-,33,13.61,34,15.17,66.99,12.00,5.6,0.86,12.17,1.55,7.9,0.09
Kanye Roberts,Appalachian State,UL-Laf,App,-,-,34,13.48,36,15.04,77.09,14.00,5.5,0.78,11.06,1.56,7.1,0.00
Jadarian Price,Notre Dame,Stan,Stan,-,-,35,13.45,43,14.38,74.29,13.00,5.7,0.76,9.54,0.93,10.3,0.08
Harrison Waylee,Wyoming,SDSU,SDSU,-,-,36,13.43,40,14.59,93.38,16.00,5.8,0.58,5.96,1.16,5.1,0.00
Jacquez Stuart,Toledo,Buff,Toledo,-,-,37,13.34,42,14.41,71.56,14.00,5.1,0.74,12.44,1.07,11.6,0.08
Rickey Hunt,Ohio,CentMi,Ohio,-,-,38,13.29,41,14.54,72.17,15.00,4.8,0.75,10.75,1.25,8.6,0.08
Terion Stewart,Bowling Green,NIU,NIU,-,-,39,13.22,51,13.64,76.92,14.00,5.5,0.84,4.64,0.42,11.0,0.00
Jonah Coleman,Washington,Iowa,Wash,-,-,40,13.15,33,15.26,69.49,12.00,5.8,0.49,23.11,2.11,11.0,0.16
Chez Mellusi,Wisconsin,Rut,Wisc,-,-,41,12.89,38,14.61,74.12,14.00,5.3,0.77,8.42,1.72,4.9,0.00
Jordan Waters,North Carolina State,Syr,Syr,-,-,42,12.89,47,13.88,70.18,13.00,5.4,0.82,9.38,0.99,9.5,0.00
Marion Lukes,Central Michigan,Ohio,Ohio,-,-,43,12.84,37,14.86,78.08,15.00,5.2,0.49,21.08,2.03,10.4,0.00
Jaydon Blue,Texas,Okla,Tex,-,-,44,12.77,39,14.60,75.29,13.00,5.8,0.54,15.84,1.83,8.7,0.07
Kaden Feagin,Illinois,Purdue,Purdue,-,-,45,12.74,48,13.88,72.04,16.00,4.5,0.57,11.53,1.14,10.1,0.16
Corey Kiner,Cincinnati,UCF,Cin,-,-,46,12.56,50,13.78,86.25,16.00,5.4,0.57,5.28,1.22,4.3,0.00
Montrell Johnson,Florida,Tenn,Fla,-,-,47,12.47,35,15.09,70.00,14.00,5.0,0.51,19.31,2.61,7.4,0.08
Quali Conley,Arizona,BYU,Ari,-,-,48,12.25,45,14.10,55.38,12.00,4.6,0.74,17.26,1.85,9.3,0.09
Jai'Den Thomas,UNLV,UtahSt,UNLV,-,-,49,12.14,57,13.17,65.62,14.00,4.7,0.69,9.36,1.03,9.1,0.09
Roman Hemby,Maryland,NW,NW,-,-,50,11.79,44,14.27,58.33,13.00,4.5,0.43,23.61,2.48,9.5,0.17
Raheim Sanders,South Carolina,Ala,SCar,-,-,51,11.77,49,13.87,69.83,14.00,5.0,0.50,12.66,2.10,6.0,0.08
Devin Mockobee,Purdue,Ill,Purdue,-,-,52,11.73,55,13.31,65.77,14.00,4.7,0.53,14.53,1.58,9.2,0.09
Ja'Quez Cross,Arkansas State,TxSt,ArkSt,-,-,53,11.65,53,13.46,67.08,12.00,5.6,0.60,13.12,1.81,7.2,0.00
Kaleb Jackson,LSU,Miss,Miss,-,-,54,11.64,62,12.63,60.42,11.00,5.5,0.82,6.73,0.99,6.8,0.00
Noah Whittington,Oregon,OhioSt,OhioSt,-,-,55,11.48,54,13.32,63.00,9.00,7.0,0.52,15.12,1.83,8.3,0.09
Rodrigues Clark,Southern Miss,UL-Mon,SouMis,-,-,56,11.46,58,13.04,70.50,15.00,4.7,0.50,9.08,1.58,5.7,0.08
Anthony Hankerson,Oregon State,Nevada,OreSt,-,-,57,11.30,56,13.30,59.67,13.00,4.6,0.50,13.33,2.00,6.7,0.17
Jacory Croskey-Merritt,Arizona,BYU,Ari,-,-,58,11.28,59,12.94,51.53,11.00,4.7,0.66,16.62,1.65,10.1,0.08
Kaytron Allen,Penn State,USC,PSU,-,-,59,11.23,71,11.90,72.83,14.00,5.2,0.50,4.50,0.67,6.7,0.08
Jordan Houston,Marshall,GaSo,Marsh,-,-,60,11.06,60,12.85,56.43,12.00,4.7,0.68,13.36,1.79,7.5,0.00
Jeremiyah Love,Notre Dame,Stan,Stan,-,-,61,11.00,68,12.08,60.38,11.00,5.5,0.58,9.92,1.08,9.2,0.08
Marquez Cooper,San Diego State,Wyo,SDSU,-,-,62,10.97,52,13.55,51.73,11.00,4.7,0.43,21.91,2.58,8.5,0.17
LJ Martin,BYU,Ari,Ari,-,-,63,10.93,63,12.33,62.20,13.00,4.8,0.49,7.57,1.40,5.4,0.16
Jevon Jackson,UTEP,WestKy,UTEP,-,-,64,10.91,79,11.59,78.46,16.00,4.9,0.43,4.96,0.68,7.3,0.00
Justin Marshall,Colorado State,SJSU,SJSU,-,-,65,10.91,70,11.98,71.42,13.00,5.5,0.49,8.06,1.07,7.5,0.00
Andrew Paul,Jacksonville State,NMSt,NMSt,-,-,66,10.88,66,12.18,61.30,12.00,5.1,0.61,10.96,1.30,8.4,0.00
Jam Miller,Alabama,SCar,SCar,-,-,67,10.86,65,12.23,53.18,10.00,5.3,0.64,11.82,1.36,8.7,0.09
