,,Week 7 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Harold Fannin,Bowling Green,NIU,NIU,-,-,1,9.18,1,13.37,60.00,4.19,14.3,0.49,2.22,0.90,2.5,0.00
Oronde Gadsden,Syracuse,NCSU,Syr,-,-,2,8.47,2,13.09,55.09,4.61,12.0,0.49,0.00,0.00,0.0,0.00
Luke Lachey,Iowa,Wash,Wash,-,-,3,8.18,3,12.30,49.45,4.13,12.0,0.54,0.00,0.00,0.0,0.00
Caden Prieskorn,Mississippi,LSU,Miss,-,-,4,7.81,7,11.01,49.28,3.20,15.4,0.48,0.00,0.00,0.0,0.00
Justin Joly,North Carolina State,Syr,Syr,-,-,5,7.54,5,11.54,48.09,4.00,12.0,0.45,0.00,0.00,0.0,0.00
Brant Kuithe,Utah,AriSt,Utah,-,-,6,7.54,4,11.54,46.64,4.00,11.7,0.48,0.00,0.00,0.0,0.00
Jake Briningstool,Clemson,Wake,Clem,-,-,7,7.27,6,11.24,42.25,3.97,10.6,0.51,0.00,0.00,0.0,0.00
Grayson Barnes,Northern Illinois,BGSU,NIU,-,-,8,7.00,16,9.32,42.05,2.33,18.0,0.47,0.00,0.00,0.0,0.00
Oscar Delp,Georgia,MissSt,MissSt,-,-,9,6.87,8,10.60,45.20,3.73,12.1,0.39,0.00,0.00,0.0,0.00
Tyler Warren,Penn State,USC,PSU,-,-,10,6.71,14,9.46,37.08,2.75,13.5,0.50,0.00,0.00,0.0,0.00
Holden Willis,Middle Tenn. St,LaTech,MiddTn,-,-,11,6.71,9,10.12,43.25,3.41,12.7,0.40,0.00,0.00,0.0,0.00
River Helms,Western Kentucky,UTEP,UTEP,-,-,12,6.61,11,9.79,38.82,3.18,12.2,0.45,0.00,0.00,0.0,0.00
Bryson Nesbit,North Carolina,GaTech,GaTech,-,-,13,6.34,13,9.53,42.67,3.19,13.4,0.34,0.00,0.00,0.0,0.00
Terrance Ferguson,Oregon,OhioSt,OhioSt,-,-,14,6.32,15,9.39,32.60,3.06,10.7,0.51,0.00,0.00,0.0,0.00
Mason Taylor,LSU,Miss,Miss,-,-,15,6.17,10,9.92,40.27,3.75,10.7,0.36,0.00,0.00,0.0,0.00
John Michael Gyllenborg,Wyoming,SDSU,SDSU,-,-,16,5.84,17,9.03,37.67,3.19,11.8,0.34,0.00,0.00,0.0,0.00
Benjamin Yurosek,Georgia,MissSt,MissSt,-,-,17,5.73,23,8.50,34.48,2.76,12.5,0.38,0.00,0.00,0.0,0.00
Michael Harrison,San Diego State,Wyo,SDSU,-,-,18,5.70,19,8.94,34.81,3.24,10.7,0.37,0.00,0.00,0.0,0.00
Garrett Oakley,Kansas State,Colo,KanSt,-,-,19,5.70,21,8.65,37.30,2.95,12.6,0.33,0.00,0.00,0.0,0.00
Sam Roush,Stanford,ND,Stan,-,-,20,5.70,12,9.64,41.40,3.94,10.5,0.26,0.17,0.09,1.9,0.00
Benjamin Brahmer,Iowa State,WVU,IaSt,-,-,21,5.59,20,8.86,39.55,3.27,12.1,0.27,0.00,0.00,0.0,0.00
Max Klare,Purdue,Ill,Purdue,-,-,22,5.54,18,8.96,33.15,3.43,9.7,0.37,0.00,0.00,0.0,0.00
Amari Niblack,Texas,Okla,Tex,-,-,23,5.38,27,8.04,38.75,2.67,14.5,0.25,0.00,0.00,0.0,0.00
Mitchell Evans,Notre Dame,Stan,Stan,-,-,24,5.36,25,8.10,34.75,2.75,12.6,0.31,0.00,0.00,0.0,0.00
Seydou Traore,Mississippi State,UGa,MissSt,-,-,25,5.36,28,8.03,30.76,2.67,11.5,0.38,0.00,0.00,0.0,0.00
