,,Week 8 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,FGM,FGA,FG%,XPM,XPA,XP%
Chase Allen,UTSA,FlaAtl,FlaAtl,-,-,1,0.00,15,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Bert Auburn,Texas,UGa,UGa,-,-,2,0.00,27,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Cole Becker,Utah,TCU,TCU,-,-,3,0.00,23,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mateen Bhaghani,UCLA,Rut,UCLA,-,-,4,0.00,52,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Aidan Birr,Georgia Tech,ND,ND,-,-,5,0.00,31,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Randy Bond,Texas A&M,MissSt,TexA&M,-,-,6,0.00,17,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Colton Boomer,Central Florida,IaSt,UCF,-,-,7,0.00,32,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Andres Borregales,Miami,Lou,Mia-Fl,-,-,8,0.00,18,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Carter Brown,Cincinnati,AriSt,AriSt,-,-,9,0.00,40,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Cannon,South Florida,UAB,UAB,-,-,10,0.00,21,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Lucas Carneiro,Western Kentucky,SamHou,WestKy,-,-,11,0.00,47,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Coe,California,NCSU,NCSU,-,-,12,0.00,11,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Liam Connor,Boston College,VaTech,BC,-,-,13,0.00,46,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Costa,Memphis,NorTx,NorTx,-,-,14,0.00,19,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Craig,Missouri,Auburn,Auburn,-,-,15,0.00,48,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Ferrie,Mississippi State,TexA&M,TexA&M,-,-,16,0.00,51,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Will Ferrin,BYU,OkSt,OkSt,-,-,17,0.00,24,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Fitzgerald,Florida State,Duke,FlaSt,-,-,18,0.00,7,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Ford,North Texas,Mem,NorTx,-,-,19,0.00,39,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Gino Garcia,Texas Tech,Baylor,Baylor,-,-,20,0.00,2,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Robert Gunn,Clemson,UVa,UVa,-,-,21,0.00,30,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Isaiah Hankins,Baylor,TxTch,Baylor,-,-,22,0.00,25,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Hayes,West Virginia,KanSt,KanSt,-,-,23,0.00,3,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Everett Hayes,Oregon State,UNLV,UNLV,-,-,24,0.00,10,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dean Janikowski,Washington State,Hawaii,Hawaii,-,-,25,0.00,8,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mitch Jeter,Notre Dame,GaTech,ND,-,-,26,0.00,14,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Keltner,Oklahoma,SCar,SCar,-,-,27,0.00,9,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonathan Kim,Michigan State,Iowa,Iowa,-,-,28,0.00,6,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Konrardy,Iowa State,UCF,UCF,-,-,29,0.00,49,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Lantz,USC,MD,USC,-,-,30,0.00,1,0.00,0.00,0.00,0.0,0.00,0.00,0.0
