,,Week 12 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
Kaidon Salter,Liberty,UMass,Lib,-,-,1,31.69,1,31.69,215.22,2.30,0.43,16.2,82.46,12.36,6.7,0.94
Byrum Brown,South Florida,Char,USF,-,-,2,29.09,2,29.09,253.69,1.98,0.91,11.9,60.72,15.59,3.9,0.83
Dillon Gabriel,Oregon,Wisc,Oregon,-,-,3,29.02,3,29.02,329.35,2.90,0.66,13.1,17.42,4.23,4.1,0.41
Jordan McCloud,Texas State,SouMis,SouMis,-,-,4,27.22,4,27.22,287.29,2.11,0.76,13.0,32.41,9.28,3.5,0.68
Avery Johnson,Kansas State,AriSt,AriSt,-,-,5,27.10,5,27.10,216.17,1.83,0.83,12.2,51.17,10.25,5.0,1.00
Garrett Greene,West Virginia,Baylor,Baylor,-,-,6,26.74,6,26.74,215.10,1.43,0.34,15.4,73.99,11.74,6.3,0.84
Jalen Milroe,Alabama,Merc,Merc,-,-,7,26.14,7,26.14,294.12,2.09,0.75,12.9,25.14,6.60,3.8,0.58
Nico Iamaleava,Tennessee,UGa,Tenn,-,-,8,25.57,8,25.57,260.70,2.06,0.41,12.9,39.24,9.15,4.3,0.49
Seth Henigan,Memphis,UAB,UAB,-,-,9,25.56,9,25.56,295.28,2.40,0.66,12.3,21.60,7.70,2.8,0.33
Chandler Morris,North Texas,Tx-SA,NorTx,-,-,10,25.23,10,25.23,288.65,2.26,0.67,12.1,26.56,9.44,2.8,0.33
Thomas Castellanos,Boston College,SMU,BC,-,-,11,24.18,11,24.18,218.81,1.53,1.19,12.4,52.54,9.75,5.4,0.68
Shedeur Sanders,Colorado,Utah,Utah,-,-,12,23.79,12,23.79,300.27,2.41,0.45,11.1,-5.45,10.89,-0.5,0.45
Brady Cook,Missouri,SCar,Missou,-,-,13,22.68,13,22.68,257.39,1.71,0.41,13.6,25.88,8.90,2.9,0.49
Garrett Nussmeier,LSU,Fla,LSU,-,-,14,22.13,14,22.13,266.88,2.31,0.91,13.3,7.34,5.61,1.3,0.25
Noah Fifita,Arizona,Hou,Hou,-,-,15,21.97,15,21.97,280.65,2.48,0.86,12.3,3.16,3.16,1.0,0.09
