,,Week 9 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Kaden Feagin,Illinois,Oregon,Ill,-,-,44,12.74,47,13.88,72.04,16.00,4.5,0.57,11.53,1.14,10.1,0.16
Jarquez Hunter,Auburn,Kty,Auburn,-,-,45,12.63,44,14.14,80.88,14.00,5.8,0.59,9.95,1.52,6.5,0.00
Corey Kiner,Cincinnati,Colo,Cin,-,-,46,12.56,48,13.78,86.25,16.00,5.4,0.57,5.28,1.22,4.3,0.00
Ja'Quinden Jackson,Arkansas,MissSt,Ark,-,-,47,12.55,46,14.08,67.37,15.00,4.5,0.68,12.37,1.53,8.1,0.08
Quali Conley,Arizona,WVU,WVU,-,-,48,12.25,45,14.10,55.38,12.00,4.6,0.74,17.26,1.85,9.3,0.09
Jai'Den Thomas,UNLV,Boise,Boise,-,-,49,12.14,55,13.17,65.62,14.00,4.7,0.69,9.36,1.03,9.1,0.09
Cam Cook,TCU,TxTch,TxTch,-,-,50,12.12,58,12.83,78.10,15.00,5.2,0.63,5.00,0.71,7.0,0.00
Roman Hemby,Maryland,Minn,MD,-,-,51,11.79,43,14.27,58.33,13.00,4.5,0.43,23.61,2.48,9.5,0.17
Jaquez Moore,Duke,SMU,SMU,-,-,52,11.66,60,12.69,70.08,13.00,5.4,0.60,10.33,1.03,10.0,0.00
Ja'Quez Cross,Arkansas State,Troy,Troy,-,-,53,11.65,51,13.46,67.08,12.00,5.6,0.60,13.12,1.81,7.2,0.00
Kaleb Jackson,LSU,TexA&M,LSU,-,-,54,11.64,61,12.63,60.42,11.00,5.5,0.82,6.73,0.99,6.8,0.00
Parker Jenkins,Houston,Utah,Utah,-,-,55,11.60,62,12.60,79.61,15.00,5.3,0.50,6.20,1.01,6.1,0.00
Noah Whittington,Oregon,Ill,Ill,-,-,56,11.48,53,13.32,63.00,9.00,7.0,0.52,15.12,1.83,8.3,0.09
Rodrigues Clark,Southern Miss,JMU,SouMis,-,-,57,11.46,56,13.04,70.50,15.00,4.7,0.50,9.08,1.58,5.7,0.08
Braylon McReynolds,South Alabama,UL-Mon,UL-Mon,-,-,58,11.44,52,13.34,64.92,13.00,5.0,0.49,14.97,1.89,7.9,0.08
Anthony Hankerson,Oregon State,Cal,OreSt,-,-,59,11.30,54,13.30,59.67,13.00,4.6,0.50,13.33,2.00,6.7,0.17
Jacory Croskey-Merritt,Arizona,WVU,WVU,-,-,60,11.28,57,12.94,51.53,11.00,4.7,0.66,16.62,1.65,10.1,0.08
Kaytron Allen,Penn State,Wisc,PSU,-,-,61,11.23,75,11.90,72.83,14.00,5.2,0.50,4.50,0.67,6.7,0.08
Anthony Watkins,Tulsa,Tx-SA,Tx-SA,-,-,62,11.11,73,11.96,85.03,19.00,4.5,0.34,5.62,0.85,6.6,0.00
Jaylan Knighton,SMU,Duke,SMU,-,-,63,11.04,67,12.16,66.29,13.00,5.1,0.52,7.92,1.12,7.1,0.09
Jeremiyah Love,Notre Dame,Navy,ND,-,-,64,11.00,69,12.08,60.38,11.00,5.5,0.58,9.92,1.08,9.2,0.08
Marquez Cooper,San Diego State,WashSt,WashSt,-,-,65,10.97,50,13.55,51.73,11.00,4.7,0.43,21.91,2.58,8.5,0.17
LJ Martin,BYU,UCF,BYU,-,-,66,10.93,63,12.33,62.20,13.00,4.8,0.49,7.57,1.40,5.4,0.16
Jevon Jackson,UTEP,LaTech,UTEP,-,-,67,10.91,84,11.59,78.46,16.00,4.9,0.43,4.96,0.68,7.3,0.00
Justin Marshall,Colorado State,NM,NM,-,-,68,10.91,70,11.98,71.42,13.00,5.5,0.49,8.06,1.07,7.5,0.00
Andrew Paul,Jacksonville State,MiddTn,MiddTn,-,-,69,10.88,66,12.18,61.30,12.00,5.1,0.61,10.96,1.30,8.4,0.00
Jam Miller,Alabama,Missou,Missou,-,-,70,10.86,65,12.23,53.18,10.00,5.3,0.64,11.82,1.36,8.7,0.09
