,,Week 5 Game,,,,Standard,,PPR,,Rushing,,,,Receiving,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Att,Avg,TD,Yds,Rec,Avg,TD
Ollie Gordon,Oklahoma State,KanSt,OkSt,-,-,1,26.24,1,29.27,136.38,22.00,6.2,1.60,24.87,3.03,8.2,0.08
Ashton Jeanty,Boise State,WashSt,WashSt,-,-,2,23.73,2,26.98,107.29,17.00,6.3,1.14,37.25,3.25,11.5,0.41
Omarion Hampton,North Carolina,Duke,UNC,-,-,3,19.83,3,21.93,111.47,21.00,5.3,1.09,16.30,2.10,7.8,0.08
Devin Neal,Kansas,TCU,TCU,-,-,4,18.38,5,19.99,103.86,17.00,6.1,1.01,13.96,1.61,8.7,0.08
DJ Giddens,Kansas State,OkSt,OkSt,-,-,5,18.00,6,19.93,99.79,19.00,5.3,0.84,19.67,1.93,10.2,0.17
Darius Taylor,Minnesota,Mich,Minn,-,-,6,17.66,11,18.97,111.46,21.00,5.3,0.90,11.19,1.31,8.5,0.00
Quinton Cooley,Liberty,App,Lib,-,-,7,17.50,18,17.92,102.22,16.00,6.4,1.16,3.15,0.41,7.7,0.00
Phil Mafah,Clemson,Stan,Stan,-,-,8,17.24,8,19.27,92.81,17.00,5.5,1.14,11.22,2.03,5.5,0.00
Jordan James,Oregon,UCLA,Oregon,-,-,9,17.08,7,19.53,88.21,13.00,6.8,0.93,21.78,2.45,8.9,0.08
Makhi Hughes,Tulane,USF,USF,-,-,10,17.03,14,18.21,111.36,21.00,5.3,0.75,8.78,1.17,7.5,0.08
Tahj Brooks,Texas Tech,Cin,Cin,-,-,11,16.91,9,19.26,112.82,23.00,4.9,0.76,10.91,2.35,4.6,0.00
Donovan Edwards,Michigan,Minn,Minn,-,-,12,16.83,13,18.28,87.30,19.00,4.6,0.94,19.34,1.45,13.3,0.09
Ismail Mahdi,Texas State,SamHou,TxSt,-,-,13,16.83,12,18.39,107.67,18.00,6.0,0.82,11.34,1.56,7.3,0.00
