,,Week 9 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
Kaidon Salter,Liberty,KennSt,Lib,-,-,1,31.69,1,31.69,215.22,2.30,0.43,16.2,82.46,12.36,6.7,0.94
Dillon Gabriel,Oregon,Ill,Ill,-,-,2,29.02,2,29.02,329.35,2.90,0.66,13.1,17.42,4.23,4.1,0.41
Avery Johnson,Kansas State,Kansas,Kansas,-,-,3,27.10,3,27.10,216.17,1.83,0.83,12.2,51.17,10.25,5.0,1.00
Haynes King,Georgia Tech,VaTech,GaTech,-,-,4,26.79,4,26.79,231.29,2.14,1.32,12.9,50.47,8.88,5.7,0.66
Garrett Greene,West Virginia,Ari,WVU,-,-,5,26.74,5,26.74,215.10,1.43,0.34,15.4,73.99,11.74,6.3,0.84
Jaxson Dart,Mississippi,Okla,Okla,-,-,6,26.52,6,26.52,301.05,2.02,0.51,14.5,33.60,9.35,3.6,0.51
KJ Jefferson,Central Florida,BYU,BYU,-,-,7,26.15,7,26.15,239.92,1.90,0.74,12.7,50.11,12.53,4.0,0.66
Jalen Milroe,Alabama,Missou,Missou,-,-,8,26.14,8,26.14,294.12,2.09,0.75,12.9,25.14,6.60,3.8,0.58
Seth Henigan,Memphis,Char,Char,-,-,9,25.56,9,25.56,295.28,2.40,0.66,12.3,21.60,7.70,2.8,0.33
Kyron Drones,Virginia Tech,GaTech,GaTech,-,-,10,25.43,10,25.43,202.42,1.78,0.34,12.7,76.58,15.20,5.0,0.42
Chandler Morris,North Texas,Tulane,Tulane,-,-,11,25.23,11,25.23,288.65,2.26,0.67,12.1,26.56,9.44,2.8,0.33
Jackson Arnold,Oklahoma,Miss,Okla,-,-,12,24.91,12,24.91,299.48,2.00,1.00,13.8,29.07,7.27,4.0,0.33
Thomas Castellanos,Boston College,Lou,Lou,-,-,13,24.18,13,24.18,218.81,1.53,1.19,12.4,52.54,9.75,5.4,0.68
Shedeur Sanders,Colorado,Cin,Cin,-,-,14,23.79,14,23.79,300.27,2.41,0.45,11.1,-5.45,10.89,-0.5,0.45
Brady Cook,Missouri,Ala,Missou,-,-,15,22.68,15,22.68,257.39,1.71,0.41,13.6,25.88,8.90,2.9,0.49
Cam Ward,Miami,FlaSt,FlaSt,-,-,16,22.50,16,22.50,278.63,1.74,0.66,12.4,9.04,9.04,1.0,0.58
Joey Aguilar,Appalachian State,GaSt,GaSt,-,-,17,22.44,17,22.44,267.17,2.33,0.83,12.8,14.17,5.25,2.7,0.17
Garrett Nussmeier,LSU,TexA&M,LSU,-,-,18,22.13,18,22.13,266.88,2.31,0.91,13.3,7.34,5.61,1.3,0.25
Noah Fifita,Arizona,WVU,WVU,-,-,19,21.97,19,21.97,280.65,2.48,0.86,12.3,3.16,3.16,1.0,0.09
Will Howard,Ohio State,Neb,Neb,-,-,20,21.91,20,21.91,254.84,1.97,0.58,13.4,18.57,4.44,4.2,0.33
Preston Stone,SMU,Duke,SMU,-,-,21,21.47,21,21.47,261.65,2.02,0.84,13.6,14.14,5.22,2.7,0.25
Conner Weigman,Texas A&M,LSU,LSU,-,-,22,21.42,22,21.42,247.83,1.86,0.68,12.5,20.16,5.76,3.5,0.34
Riley Leonard,Notre Dame,Navy,ND,-,-,23,21.34,23,21.34,215.75,2.06,0.41,13.8,24.82,5.03,4.9,0.33
Taylen Green,Arkansas,MissSt,Ark,-,-,24,21.32,24,21.32,212.94,1.43,1.18,12.1,40.67,9.66,4.2,0.50
Gio Lopez,South Alabama,UL-Mon,UL-Mon,-,-,25,21.32,25,21.32,238.64,1.71,0.90,11.7,24.98,6.75,3.7,0.41
Quinn Ewers,Texas,Vandy,Tex,-,-,26,21.22,26,21.22,286.78,1.91,0.58,12.9,6.07,4.99,1.2,0.25
Jaylen Raynor,Arkansas State,Troy,Troy,-,-,27,21.21,27,21.21,238.08,1.51,0.75,14.6,31.35,10.81,2.9,0.42
Miller Moss,USC,Rut,Rut,-,-,28,21.16,28,21.16,277.17,2.05,0.77,13.0,8.38,3.68,2.3,0.17
DJ Uiagalelei,Florida State,Mia-Fl,FlaSt,-,-,29,21.06,29,21.06,238.60,1.78,0.68,13.5,18.63,7.20,2.6,0.42
Donovan Smith,Houston,Utah,Utah,-,-,30,20.96,30,20.96,214.82,1.76,0.92,11.9,28.08,9.39,3.0,0.42
Maddux Madsen,Boise State,UNLV,Boise,-,-,31,20.49,31,20.49,232.23,1.83,0.83,13.4,18.94,5.23,3.6,0.33
Tyler Shough,Louisville,BC,Lou,-,-,32,20.40,32,20.40,247.63,1.84,1.00,11.5,16.37,5.26,3.1,0.25
Brayden Schager,Hawaii,Nevada,Nevada,-,-,33,20.31,33,20.31,276.90,2.02,1.09,10.6,6.48,8.17,0.8,0.08
Jalon Daniels,Kansas,KanSt,Kansas,-,-,34,19.98,34,19.98,204.04,1.60,0.34,12.8,28.97,9.01,3.2,0.42
JC French,Georgia Southern,ODU,GaSo,-,-,35,19.95,35,19.95,267.83,1.83,1.08,10.7,9.00,6.00,1.5,0.17
Cameron Rising,Utah,Hou,Utah,-,-,36,19.80,36,19.80,210.63,1.65,0.58,12.1,27.91,5.61,5.0,0.33
Dequan Finn,Baylor,OkSt,OkSt,-,-,37,19.78,37,19.78,227.31,1.54,1.00,12.1,26.92,6.92,3.9,0.31
Nicholas Vattiato,Middle Tenn. St,JacSt,MiddTn,-,-,38,19.73,38,19.73,232.58,1.66,0.99,12.2,23.04,7.96,2.9,0.25
Tucker Gleason,Toledo,BGSU,BGSU,-,-,39,19.72,39,19.72,202.58,1.52,0.68,12.6,35.18,8.78,4.0,0.34
Josh Hoover,TCU,TxTch,TxTch,-,-,40,19.59,40,19.59,281.45,1.77,1.18,12.3,2.28,3.80,0.6,0.17
John Mateer,Washington State,SDSU,WashSt,-,-,41,19.58,41,19.58,232.36,1.52,0.76,11.5,21.56,8.27,2.6,0.34
