,,Week 14 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,FGM,FGA,FG%,XPM,XPA,XP%
Chase Allen,UTSA,Army,Tx-SA,-,-,1,0.00,17,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Bert Auburn,Texas,TexA&M,Tex,-,-,2,0.00,31,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Cole Becker,Utah,UCF,Utah,-,-,3,0.00,27,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mateen Bhaghani,UCLA,Fres,Fres,-,-,4,0.00,59,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Aidan Birr,Georgia Tech,UGa,GaTech,-,-,5,0.00,35,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Randy Bond,Texas A&M,Tex,Tex,-,-,6,0.00,20,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Colton Boomer,Central Florida,Utah,Utah,-,-,7,0.00,36,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Andres Borregales,Miami,Syr,Mia-Fl,-,-,8,0.00,21,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nick Brown,Liberty,SamHou,Lib,-,-,9,0.00,25,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Carter Brown,Cincinnati,TCU,TCU,-,-,10,0.00,45,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Noah Burnette,North Carolina,NCSU,NCSU,-,-,11,0.00,15,0.00,0.00,0.00,0.0,0.00,0.00,0.0
John Cannon,South Florida,Rice,USF,-,-,12,0.00,24,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Lucas Carneiro,Western Kentucky,JacSt,JacSt,-,-,13,0.00,54,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Coe,California,SMU,Cal,-,-,14,0.00,12,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Liam Connor,Boston College,Pitt,Pitt,-,-,15,0.00,53,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Costa,Memphis,Tulane,Mem,-,-,16,0.00,22,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Craig,Missouri,Ark,Ark,-,-,17,0.00,55,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonah Dalmas,Boise State,OreSt,OreSt,-,-,18,0.00,19,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Caden Davis,Mississippi,MissSt,MissSt,-,-,19,0.00,1,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brady Denaburg,Syracuse,Mia-Fl,Mia-Fl,-,-,20,0.00,50,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Ferrie,Mississippi State,Miss,MissSt,-,-,21,0.00,58,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Will Ferrin,BYU,Hou,Hou,-,-,22,0.00,28,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jayden Fielding,Ohio State,Mich,Mich,-,-,23,0.00,39,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Ryan Fitzgerald,Florida State,Fla,Fla,-,-,24,0.00,8,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Blake Ford,North Texas,Temple,NorTx,-,-,25,0.00,44,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Gino Garcia,Texas Tech,WVU,WVU,-,-,26,0.00,3,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Grady Gross,Washington,Oregon,Wash,-,-,27,0.00,49,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Robert Gunn,Clemson,SCar,SCar,-,-,28,0.00,34,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Isaiah Hankins,Baylor,Kansas,Kansas,-,-,29,0.00,29,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Hayes,West Virginia,TxTch,WVU,-,-,30,0.00,4,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Everett Hayes,Oregon State,Boise,OreSt,-,-,31,0.00,11,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dean Janikowski,Washington State,Wyo,Wyo,-,-,32,0.00,9,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Mitch Jeter,Notre Dame,USC,ND,-,-,33,0.00,16,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Keltner,Oklahoma,LSU,Okla,-,-,34,0.00,10,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jonathan Kim,Michigan State,Rut,Rut,-,-,35,0.00,7,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kyle Konrardy,Iowa State,KanSt,KanSt,-,-,36,0.00,56,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Michael Lantz,USC,ND,ND,-,-,37,0.00,2,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Tyler Loop,Arizona,AriSt,AriSt,-,-,38,0.00,18,0.00,0.00,0.00,0.0,0.00,0.00,0.0
