,,Week 14 Game,,,,Standard,,PPR,,Field Goals,,,Extra Points,,
John Love,Virginia Tech,UVa,UVa,-,-,39,0.00,37,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jack Martin,Houston,BYU,Hou,-,-,40,0.00,5,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alejandro Mata,Colorado,OkSt,OkSt,-,-,41,0.00,46,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nate McCashland,TCU,Cin,TCU,-,-,42,0.00,57,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Graham Nicholson,Alabama,Auburn,Auburn,-,-,43,0.00,26,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Jai Patel,Rutgers,MSU,Rut,-,-,44,0.00,52,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Todd Pelino,Duke,Wake,Duke,-,-,45,0.00,48,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Owen Piepergerdes,Kansas,Baylor,Kansas,-,-,46,0.00,33,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Damian Ramos,LSU,Okla,Okla,-,-,47,0.00,40,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Alex Raynor,Kentucky,Lou,Lou,-,-,48,0.00,6,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Collin Rogers,SMU,Cal,Cal,-,-,49,0.00,51,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Atticus Sappington,Oregon,Wash,Wash,-,-,50,0.00,32,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Matthew Shipley,Arkansas,Missou,Ark,-,-,51,0.00,14,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Trey Smack,Florida,FlaSt,Fla,-,-,52,0.00,41,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Chris Tennant,Kansas State,IaSt,KanSt,-,-,53,0.00,23,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Brock Travelstead,Louisville,Kty,Lou,-,-,54,0.00,13,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Josh Turbyville,Tennessee,Vandy,Tenn,-,-,55,0.00,47,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Nathanial Vakos,Wisconsin,Minn,Minn,-,-,56,0.00,42,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Kanoah Vinesett,North Carolina State,UNC,NCSU,-,-,57,0.00,43,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Logan Ward,Oklahoma State,Colo,OkSt,-,-,58,0.00,30,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Peyton Woodring,Georgia,GaTech,GaTech,-,-,59,0.00,60,0.00,0.00,0.00,0.0,0.00,0.00,0.0
Dominic Zvada,Michigan,OhioSt,Mich,-,-,60,0.00,38,0.00,0.00,0.00,0.0,0.00,0.00,0.0
