,,Week 12 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Tetairoa McMillan,Arizona,Hou,Hou,-,-,1,16.33,1,23.28,110.35,6.95,15.9,0.88,0.18,0.09,2.0,0.00
Evan Stewart,Oregon,Wisc,Oregon,-,-,2,14.73,4,20.59,94.89,5.85,16.2,0.87,0.00,0.00,0.0,0.00
Ricky White,UNLV,SDSU,SDSU,-,-,3,14.09,5,20.34,105.83,6.25,16.9,0.58,0.08,0.08,1.0,0.00
Tory Horton,Colorado State,Wyo,Wyo,-,-,4,14.05,2,22.07,99.89,8.03,12.4,0.68,0.00,0.00,0.0,0.00
Tez Johnson,Oregon,Wisc,Oregon,-,-,5,13.96,3,20.73,93.34,6.77,13.8,0.77,0.00,0.00,0.0,0.00
Jalen Royals,Utah State,Hawaii,Hawaii,-,-,6,13.83,6,19.96,94.09,6.14,15.3,0.74,0.00,0.00,0.0,0.00
Luther Burden III,Missouri,SCar,Missou,-,-,7,13.79,7,19.92,94.84,6.13,15.5,0.68,2.27,0.53,4.3,0.00
Joey Hobert,Texas State,SouMis,SouMis,-,-,8,12.34,8,19.24,81.35,6.90,11.8,0.70,0.09,0.09,1.0,0.00
Germie Bernard,Alabama,Merc,Merc,-,-,9,12.13,14,17.87,80.29,5.74,14.0,0.53,3.97,1.15,3.5,0.09
Roc Taylor,Memphis,UAB,UAB,-,-,10,12.00,13,17.91,93.26,5.91,15.8,0.44,0.26,0.18,1.4,0.00
Kyren Lacy,LSU,Fla,LSU,-,-,11,11.79,21,16.98,76.85,5.19,14.8,0.68,0.17,0.09,1.9,0.00
Sean Atkins,South Florida,Char,USF,-,-,12,11.72,9,18.72,80.12,7.01,11.4,0.56,3.58,0.48,7.5,0.00
Jamaal Pritchett,South Alabama,UL-Laf,USA,-,-,13,11.66,12,17.97,80.22,6.32,12.7,0.61,0.00,0.00,0.0,0.00
Will Pauling,Wisconsin,Oregon,Oregon,-,-,14,11.63,10,18.70,79.01,7.07,11.2,0.61,0.61,0.09,6.8,0.00
Pofele Ashlock,Hawaii,UtahSt,Hawaii,-,-,15,11.58,11,18.19,66.20,6.61,10.0,0.83,0.00,0.00,0.0,0.00
Emeka Egbuka,Ohio State,NW,OhioSt,-,-,16,11.46,17,17.38,73.62,5.92,12.4,0.65,2.11,0.41,5.1,0.00
Eugene Wilson,Florida,LSU,LSU,-,-,17,11.39,18,17.14,65.25,5.75,11.3,0.75,3.67,0.50,7.3,0.00
Malachi Fields,Virginia,ND,UVa,-,-,18,11.24,20,17.01,79.91,5.77,13.8,0.54,0.09,0.09,1.0,0.00
Noah Smith,Sam Houston,KennSt,SamHou,-,-,19,11.19,16,17.44,62.83,6.25,10.1,0.50,9.08,2.33,3.9,0.17
Jayden Higgins,Iowa State,Cin,Cin,-,-,20,11.11,28,15.51,81.80,4.40,18.6,0.49,0.00,0.00,0.0,0.00
Kyle Williams,Washington State,NM,WashSt,-,-,21,11.06,22,16.40,74.24,5.33,13.9,0.60,0.26,0.26,1.0,0.00
Jeremiah Hunter,Washington,UCLA,UCLA,-,-,22,10.92,23,16.32,73.00,5.40,13.5,0.60,0.20,0.10,2.0,0.00
Derwin Burgess,Georgia Southern,Troy,Troy,-,-,23,10.82,15,17.73,75.45,6.91,10.9,0.55,0.00,0.00,0.0,0.00
Elic Ayomanor,Stanford,Lou,Lou,-,-,24,10.81,27,15.91,79.41,5.10,15.6,0.48,0.00,0.00,0.0,0.00
Lajohntay Wester,Colorado,Utah,Utah,-,-,25,10.73,19,17.06,66.86,6.34,10.5,0.64,1.84,0.28,6.6,0.00
Squirrel White,Tennessee,UGa,Tenn,-,-,26,10.68,25,16.21,76.12,5.53,13.8,0.49,0.99,0.16,6.2,0.00
Travis Hunter,Colorado,Utah,Utah,-,-,27,10.33,26,16.12,73.88,5.80,12.7,0.49,0.00,0.00,0.0,0.00
Caullin Lacy,Louisville,Stan,Lou,-,-,28,10.31,24,16.21,69.33,5.91,11.7,0.56,0.00,0.00,0.0,0.00
Demeer Blankumsee,Memphis,UAB,UAB,-,-,29,10.12,33,14.64,73.54,4.52,16.3,0.44,1.06,0.18,5.9,0.00
Isaiah Bond,Texas,Ark,Tex,-,-,30,10.02,29,15.19,75.39,5.17,14.6,0.40,0.57,0.16,3.6,0.00
Kole Wilson,Texas State,SouMis,SouMis,-,-,31,9.81,30,14.98,59.23,5.17,11.5,0.65,0.08,0.16,0.5,0.00
Kamdyn Benjamin,Tulsa,ECU,ECU,-,-,32,9.68,41,14.09,65.07,4.41,14.8,0.52,0.60,0.09,6.7,0.00
Denzel Boston,Washington,UCLA,UCLA,-,-,33,9.62,34,14.57,66.56,4.95,13.4,0.49,0.00,0.00,0.0,0.00
Chrishon McCray,Kent,Mia-O,KentSt,-,-,34,9.59,37,14.21,69.86,4.62,15.1,0.41,1.32,0.33,4.0,0.00
Damon Ward,North Texas,Tx-SA,NorTx,-,-,35,9.54,38,14.15,58.22,4.61,12.6,0.62,0.00,0.00,0.0,0.00
Will Sheppard,Colorado,Utah,Utah,-,-,36,9.49,42,14.08,62.56,4.58,13.7,0.54,0.00,0.00,0.0,0.00
Devin McCuin,UTSA,NorTx,NorTx,-,-,37,9.44,32,14.68,68.04,5.25,13.0,0.43,0.52,0.09,5.8,0.00
Chris Bell,Louisville,Stan,Lou,-,-,38,9.40,36,14.37,68.72,4.97,13.8,0.42,0.00,0.00,0.0,0.00
Chris Tyree,Virginia,ND,UVa,-,-,39,9.29,39,14.14,60.48,4.85,12.5,0.47,4.39,1.49,2.9,0.00
Dalvin Smith,Western Kentucky,LaTech,LaTech,-,-,40,9.25,31,14.70,57.57,5.44,10.6,0.58,0.33,0.08,4.1,0.00
Elijhah Badger,Florida,LSU,LSU,-,-,41,9.08,45,13.72,73.88,4.64,15.9,0.25,1.77,0.34,5.2,0.00
Jaylin Noel,Iowa State,Cin,Cin,-,-,42,9.05,43,13.99,60.78,4.94,12.3,0.49,0.08,0.08,1.0,0.00
Johntay Cook II,Texas,Ark,Tex,-,-,43,9.03,51,12.85,53.22,3.83,13.9,0.61,0.52,0.17,3.1,0.00
Dorian Singer,Utah,Colo,Utah,-,-,44,8.98,56,12.47,54.45,3.49,15.6,0.54,3.13,0.54,5.8,0.00
Zachariah Branch,USC,Neb,Neb,-,-,45,8.87,50,12.99,61.61,4.12,15.0,0.36,5.55,0.81,6.9,0.00
Trayvon Rudolph,Northern Illinois,Akron,Akron,-,-,46,8.77,46,13.66,52.00,4.89,10.6,0.27,14.40,1.87,7.7,0.09
Xzavier Henderson,Cincinnati,IaSt,Cin,-,-,47,8.55,47,13.54,65.86,4.99,13.2,0.33,0.00,0.00,0.0,0.00
Jeremiah Smith,Ohio State,NW,OhioSt,-,-,48,8.55,58,12.36,56.35,3.81,14.8,0.49,0.00,0.00,0.0,0.00
Treon Sibley,Liberty,UMass,Lib,-,-,49,8.53,68,11.80,58.00,3.27,17.7,0.45,0.00,0.00,0.0,0.00
Josh Meredith,Washington State,NM,WashSt,-,-,50,8.41,35,14.43,63.00,6.03,10.4,0.34,0.68,0.17,4.0,0.00
Lawrence Arnold,Kansas,BYU,Kansas,-,-,51,8.40,71,11.76,56.00,3.36,16.7,0.45,0.73,0.09,8.1,0.00
Ty Robinson,Ball State,Buff,BallSt,-,-,52,8.36,66,11.82,57.06,3.46,16.5,0.44,0.00,0.00,0.0,0.00
Jameson Tucker,Coastal Carolina,Marsh,CoastC,-,-,53,8.35,67,11.80,56.18,3.45,16.3,0.45,0.00,0.00,0.0,0.00
Marquis Shoulders,Houston,Ari,Hou,-,-,54,8.33,57,12.44,57.05,4.11,13.9,0.44,0.00,0.00,0.0,0.00
Joseph Manjack,Houston,Ari,Hou,-,-,55,8.32,59,12.20,50.91,3.88,13.1,0.53,0.53,0.26,2.0,0.00
Ketron Jackson,Baylor,WVU,Baylor,-,-,56,8.30,64,11.93,56.78,3.63,15.6,0.43,0.35,0.09,3.9,0.00
Noah Thomas,Texas A&M,NMSt,NMSt,-,-,57,8.23,54,12.66,55.38,4.43,12.5,0.44,0.35,0.35,1.0,0.00
Tailique Williams,Georgia State,ArkSt,ArkSt,-,-,58,8.14,48,13.12,60.09,4.98,12.1,0.36,0.00,0.00,0.0,0.00
Nick Nash,San Jose State,Boise,Boise,-,-,59,8.13,53,12.76,54.36,4.64,11.7,0.45,0.00,0.00,0.0,0.00
Dalen Cobb,Georgia Southern,Troy,Troy,-,-,60,8.10,44,13.81,61.79,5.71,10.8,0.26,3.63,0.61,6.0,0.00
Kris Hutson,Washington State,NM,WashSt,-,-,61,8.10,52,12.83,59.50,4.73,12.6,0.35,0.53,0.18,2.9,0.00
Anthony Simpson,Massachusetts,Lib,Lib,-,-,62,8.05,55,12.65,62.98,4.60,13.7,0.26,2.21,0.51,4.3,0.00
Shazz Preston,Tulane,Navy,Tulane,-,-,63,8.03,97,10.95,52.62,2.92,18.0,0.46,0.00,0.00,0.0,0.00
Courtney Jackson,Arkansas State,GaSt,ArkSt,-,-,64,8.02,94,11.10,54.83,3.08,17.8,0.42,0.33,0.08,4.1,0.00
Dante Wright,Temple,FlaAtl,FlaAtl,-,-,65,7.95,65,11.90,53.10,3.96,13.4,0.44,0.00,0.00,0.0,0.00
Carnell Tate,Ohio State,NW,OhioSt,-,-,66,7.94,72,11.72,54.74,3.78,14.5,0.41,0.00,0.00,0.0,0.00
Amare Thomas,UAB,Mem,UAB,-,-,67,7.90,40,14.13,55.92,6.23,9.0,0.34,2.86,0.34,8.4,0.00
Nyck Harbor,South Carolina,Missou,Missou,-,-,68,7.89,83,11.38,58.95,3.49,16.9,0.32,0.49,0.16,3.1,0.00
Yulkeith Brown,Tulane,Navy,Tulane,-,-,69,7.85,87,11.30,45.73,3.45,13.3,0.27,10.91,1.09,10.0,0.09
Kris Mitchell,Notre Dame,UVa,UVa,-,-,70,7.84,133,10.20,43.67,2.37,18.4,0.57,0.41,0.08,5.1,0.00
Tru Edwards,Louisiana Tech,WestKy,LaTech,-,-,71,7.79,62,12.05,51.13,4.27,12.0,0.43,1.11,0.34,3.3,0.00
Theo Wease Jr.,Missouri,SCar,Missou,-,-,72,7.75,80,11.50,52.50,3.75,14.0,0.42,0.00,0.00,0.0,0.00
