,,Week 9 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Harold Fannin,Bowling Green,Toledo,BGSU,-,-,1,9.18,1,13.37,60.00,4.19,14.3,0.49,2.22,0.90,2.5,0.00
Colston Loveland,Michigan,MSU,MSU,-,-,2,8.48,3,12.33,57.94,3.85,15.0,0.45,0.00,0.00,0.0,0.00
Oronde Gadsden,Syracuse,Pitt,Syr,-,-,3,8.47,2,13.09,55.09,4.61,12.0,0.49,0.00,0.00,0.0,0.00
Luke Lachey,Iowa,NW,NW,-,-,4,8.18,4,12.30,49.45,4.13,12.0,0.54,0.00,0.00,0.0,0.00
Caden Prieskorn,Mississippi,Okla,Okla,-,-,5,7.81,7,11.01,49.28,3.20,15.4,0.48,0.00,0.00,0.0,0.00
Luke Hasz,Arkansas,MissSt,Ark,-,-,6,7.70,6,11.06,44.27,3.36,13.2,0.55,0.00,0.00,0.0,0.00
Brant Kuithe,Utah,Hou,Utah,-,-,7,7.54,5,11.54,46.64,4.00,11.7,0.48,0.00,0.00,0.0,0.00
RJ Maryland,SMU,Duke,SMU,-,-,8,7.24,8,10.20,41.86,2.97,14.1,0.51,0.00,0.00,0.0,0.00
Grayson Barnes,Northern Illinois,BallSt,NIU,-,-,9,7.00,17,9.32,42.05,2.33,18.0,0.47,0.00,0.00,0.0,0.00
Jack Velling,Michigan State,Mich,MSU,-,-,10,6.79,13,9.56,40.09,2.78,14.4,0.46,0.00,0.00,0.0,0.00
Tyler Warren,Penn State,Wisc,PSU,-,-,11,6.71,15,9.46,37.08,2.75,13.5,0.50,0.00,0.00,0.0,0.00
Holden Willis,Middle Tenn. St,JacSt,MiddTn,-,-,12,6.71,9,10.12,43.25,3.41,12.7,0.40,0.00,0.00,0.0,0.00
Bryson Nesbit,North Carolina,UVa,UNC,-,-,13,6.34,14,9.53,42.67,3.19,13.4,0.34,0.00,0.00,0.0,0.00
Drake Dabney,TCU,TxTch,TxTch,-,-,14,6.33,12,9.58,43.33,3.25,13.3,0.33,0.00,0.00,0.0,0.00
Terrance Ferguson,Oregon,Ill,Ill,-,-,15,6.32,16,9.39,32.60,3.06,10.7,0.51,0.00,0.00,0.0,0.00
Mason Taylor,LSU,TexA&M,LSU,-,-,16,6.17,10,9.92,40.27,3.75,10.7,0.36,0.00,0.00,0.0,0.00
Rivaldo Fairweather,Auburn,Kty,Auburn,-,-,17,5.99,20,8.93,30.53,2.94,10.4,0.49,0.00,0.00,0.0,0.00
John Michael Gyllenborg,Wyoming,UtahSt,UtahSt,-,-,18,5.84,18,9.03,37.67,3.19,11.8,0.34,0.00,0.00,0.0,0.00
Michael Harrison,San Diego State,WashSt,WashSt,-,-,19,5.70,19,8.94,34.81,3.24,10.7,0.37,0.00,0.00,0.0,0.00
Garrett Oakley,Kansas State,Kansas,Kansas,-,-,20,5.70,21,8.65,37.30,2.95,12.6,0.33,0.00,0.00,0.0,0.00
Sam Roush,Stanford,Wake,Wake,-,-,21,5.70,11,9.64,41.40,3.94,10.5,0.26,0.17,0.09,1.9,0.00
Amari Niblack,Texas,Vandy,Tex,-,-,22,5.38,26,8.04,38.75,2.67,14.5,0.25,0.00,0.00,0.0,0.00
Mitchell Evans,Notre Dame,Navy,ND,-,-,23,5.36,24,8.10,34.75,2.75,12.6,0.31,0.00,0.00,0.0,0.00
Seydou Traore,Mississippi State,Ark,Ark,-,-,24,5.36,27,8.03,30.76,2.67,11.5,0.38,0.00,0.00,0.0,0.00
DJ Thomas-Jones,South Alabama,UL-Mon,UL-Mon,-,-,25,5.22,28,7.98,23.62,2.76,8.6,0.48,0.00,0.00,0.0,0.00
Tanner Koziol,Ball State,NIU,NIU,-,-,26,5.18,22,8.61,31.20,3.43,9.1,0.34,0.00,0.00,0.0,0.00
Brett Norfleet,Missouri,Ala,Missou,-,-,27,5.15,30,7.53,26.69,2.38,11.2,0.41,0.00,0.00,0.0,0.00
Anthony Torres,Toledo,BGSU,BGSU,-,-,28,5.13,37,7.18,37.11,2.05,18.1,0.24,0.00,0.00,0.0,0.00
Kole Taylor,West Virginia,Ari,WVU,-,-,29,4.98,29,7.54,35.36,2.56,13.8,0.24,0.00,0.00,0.0,0.00
Corey Dyches,California,OreSt,OreSt,-,-,30,4.97,23,8.46,39.02,3.48,11.2,0.18,0.00,0.00,0.0,0.00
Keanu Hill,BYU,UCF,BYU,-,-,31,4.91,25,8.06,37.96,3.15,12.1,0.19,0.00,0.00,0.0,0.00
Ethan Conner,Troy,ArkSt,Troy,-,-,32,4.85,32,7.47,30.08,2.62,11.5,0.31,0.00,0.00,0.0,0.00
Eli Wilson,Appalachian State,GaSt,GaSt,-,-,33,4.83,34,7.36,27.48,2.52,10.9,0.35,0.00,0.00,0.0,0.00
Dan Villari,Syracuse,Pitt,Syr,-,-,34,4.82,44,6.79,21.51,1.97,10.9,0.26,6.09,1.29,4.7,0.09
Thomas Fidone,Nebraska,OhioSt,Neb,-,-,35,4.70,35,7.28,27.00,2.58,10.5,0.33,0.00,0.00,0.0,0.00
Elijah Arroyo,Miami,FlaSt,FlaSt,-,-,36,4.64,33,7.43,24.09,2.79,8.6,0.37,0.00,0.00,0.0,0.00
Jalin Conyers,Texas Tech,TCU,TxTch,-,-,37,4.54,43,6.86,26.16,2.32,11.3,0.32,0.00,0.00,0.0,0.00
