,,Week 10 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Jaxxon Warren,Colorado State,Nevada,ColoSt,-,-,50,4.07,44,6.73,29.24,2.67,11.0,0.19,0.00,0.00,0.0,0.00
Bryce Damous,UAB,Tulsa,Tulsa,-,-,51,4.03,54,6.06,22.84,2.03,11.3,0.29,0.00,0.00,0.0,0.00
Dominick Mazotti,Massachusetts,MissSt,UMass,-,-,52,4.02,45,6.69,28.76,2.67,10.8,0.19,0.00,0.00,0.0,0.00
Brady Hunt,South Carolina,TexA&M,TexA&M,-,-,53,4.01,40,6.90,29.87,2.89,10.3,0.17,0.00,0.00,0.0,0.00
Donovan Green,Texas A&M,SCar,TexA&M,-,-,54,3.98,55,5.95,24.34,1.97,12.4,0.26,0.00,0.00,0.0,0.00
Colin Weber,UNC Charlotte,Tulane,Tulane,-,-,55,3.98,39,6.90,34.83,2.92,11.9,0.08,0.00,0.00,0.0,0.00
Gavin Bartholomew,Pittsburgh,SMU,Pitt,-,-,56,3.94,56,5.94,21.40,2.00,10.7,0.30,0.00,0.00,0.0,0.00
Anthony Landphere,Memphis,Tx-SA,Mem,-,-,57,3.84,52,6.18,20.85,2.34,8.9,0.29,0.00,0.00,0.0,0.00
Eli Stowers,Vanderbilt,Auburn,Vandy,-,-,58,3.79,59,5.75,21.00,1.95,10.8,0.15,3.45,0.98,3.5,0.08
Luke McGary,Tulsa,UAB,Tulsa,-,-,59,3.69,68,5.06,18.00,1.37,13.1,0.32,0.00,0.00,0.0,0.00
Jake Boust,Fresno State,Hawaii,Hawaii,-,-,60,3.62,62,5.52,17.29,1.89,9.1,0.32,0.00,0.00,0.0,0.00
Roberto Miranda,Arizona,UCF,Ari,-,-,61,3.54,61,5.59,21.16,2.05,10.3,0.24,0.00,0.00,0.0,0.00
Sam Olson,Arizona,UCF,Ari,-,-,62,3.53,63,5.43,22.10,1.90,11.6,0.22,0.00,0.00,0.0,0.00
Keleki Latu,Washington,USC,USC,-,-,63,3.51,60,5.73,19.63,2.23,8.8,0.26,0.00,0.00,0.0,0.00
Mason Tharp,Texas Tech,IaSt,TxTch,-,-,64,3.41,66,5.17,18.18,1.76,10.3,0.26,0.00,0.00,0.0,0.00
Kyle Morlock,Florida State,UNC,UNC,-,-,65,3.37,64,5.27,20.49,1.90,10.8,0.22,0.00,0.00,0.0,0.00
Nick Gallo,Virginia Tech,Syr,VaTech,-,-,66,3.36,58,5.82,22.73,2.45,9.3,0.18,0.00,0.00,0.0,0.00
Thomas Jewett,Sam Houston,LaTech,LaTech,-,-,67,3.31,51,6.35,22.41,3.04,7.4,0.18,0.00,0.00,0.0,0.00
Jake Orlando,Buffalo,Akron,Buff,-,-,68,3.16,67,5.13,20.34,1.97,10.3,0.19,0.00,0.00,0.0,0.00
Trace Bruckler,New Mexico,Wyo,Wyo,-,-,69,3.11,74,4.85,16.89,1.74,9.7,0.24,0.00,0.00,0.0,0.00
Maliq Carr,Houston,KanSt,KanSt,-,-,70,3.10,69,5.00,17.85,1.90,9.4,0.22,0.00,0.00,0.0,0.00
Ahmon Green,Georgia State,UConn,GaSt,-,-,71,3.04,78,4.52,12.59,1.48,8.5,0.30,0.00,0.00,0.0,0.00
Hayden Hansen,Florida,UGa,Fla,-,-,72,3.01,79,4.48,17.47,1.47,11.9,0.21,0.00,0.00,0.0,0.00
Ethan Davis,Tennessee,Kty,Kty,-,-,73,2.97,82,4.28,15.85,1.31,12.1,0.23,0.00,0.00,0.0,0.00
Addison Ostrenga,Iowa,Wisc,Wisc,-,-,74,2.87,76,4.65,18.97,1.78,10.7,0.16,0.00,0.00,0.0,0.00
Oscar Cardenas,UTSA,Mem,Mem,-,-,75,2.81,70,4.93,18.95,2.12,8.9,0.15,0.37,0.15,2.5,0.00
Vince Brown,Colorado State,Nevada,ColoSt,-,-,76,2.80,72,4.90,18.98,2.10,9.0,0.15,0.00,0.00,0.0,0.00
Cole Spence,Vanderbilt,Auburn,Vandy,-,-,77,2.77,77,4.61,21.87,1.84,11.9,0.10,0.00,0.00,0.0,0.00
Jake Roberts,Oklahoma,Maine,Maine,-,-,78,2.76,75,4.66,21.60,1.90,11.4,0.10,0.00,0.00,0.0,0.00
Jordan Dingle,Kentucky,Tenn,Kty,-,-,79,2.75,84,3.95,21.50,1.20,17.9,0.10,0.00,0.00,0.0,0.00
Will Swanson,Kansas State,Hou,KanSt,-,-,80,2.71,86,3.76,14.42,1.05,13.7,0.21,0.00,0.00,0.0,0.00
Cade Conley,Marshall,UL-Mon,UL-Mon,-,-,81,2.69,73,4.89,20.90,2.20,9.5,0.10,0.00,0.00,0.0,0.00
Andrew Savaiinaea,Nevada,ColoSt,ColoSt,-,-,82,2.64,80,4.37,16.89,1.74,9.7,0.16,0.00,0.00,0.0,0.00
Lake McRee,USC,Wash,USC,-,-,83,2.63,83,4.25,17.08,1.62,10.5,0.15,0.00,0.00,0.0,0.00
Trevor Stephens,New Mexico State,FIU,NMSt,-,-,84,2.51,81,4.37,20.19,1.86,10.9,0.08,0.00,0.00,0.0,0.00
Gee Scott,Ohio State,PSU,OhioSt,-,-,85,2.50,85,3.83,15.00,1.33,11.3,0.17,0.00,0.00,0.0,0.00
Nate Jones,Louisiana Tech,SamHou,LaTech,-,-,86,2.36,71,4.93,22.76,2.58,8.8,0.00,0.80,0.27,3.0,0.00
Tucker Ashcraft,Wisconsin,Iowa,Wisc,-,-,87,2.35,87,3.71,13.92,1.36,10.2,0.16,0.00,0.00,0.0,0.00
Riley Nowakowski,Wisconsin,Iowa,Wisc,-,-,88,2.31,88,3.55,11.71,1.24,9.4,0.19,0.00,0.00,0.0,0.00
Carson Kent,Kennesaw State,WestKy,KennSt,-,-,89,2.18,89,3.43,16.83,1.25,13.5,0.08,0.00,0.00,0.0,0.00
Zach Horton,Indiana,MSU,Ind,-,-,90,2.14,90,3.39,13.17,1.24,10.6,0.14,0.00,0.00,0.0,0.00
Matt Lauter,Boise State,SDSU,SDSU,-,-,91,2.11,100,2.91,9.07,0.80,11.3,0.20,0.00,0.00,0.0,0.00
Andrew Rappleyea,Penn State,OhioSt,OhioSt,-,-,92,2.06,92,3.33,14.32,1.26,11.4,0.11,0.00,0.00,0.0,0.00
Marshall Lang,Northwestern,Purdue,NW,-,-,93,2.00,91,3.36,14.55,1.36,10.7,0.09,0.00,0.00,0.0,0.00
Patrick Herbert,Oregon,Mich,Oregon,-,-,94,1.88,106,2.59,10.21,0.71,14.4,0.14,0.00,0.00,0.0,0.00
Konner Fox,Texas State,UL-Laf,UL-Laf,-,-,95,1.83,99,2.92,12.82,1.09,11.8,0.09,0.00,0.00,0.0,0.00
Rocky Beers,Florida International,NMSt,NMSt,-,-,96,1.81,93,3.29,13.63,1.48,9.2,0.07,0.00,0.00,0.0,0.00
George Burhenn,Purdue,NW,NW,-,-,97,1.73,97,2.97,13.17,1.24,10.6,0.07,0.00,0.00,0.0,0.00
Evan King,Buffalo,Akron,Buff,-,-,98,1.72,98,2.96,13.03,1.24,10.5,0.07,0.00,0.00,0.0,0.00
Quentin Moore,Washington,USC,USC,-,-,99,1.72,95,3.15,11.52,1.43,8.1,0.10,0.00,0.00,0.0,0.00
Tyler Foster,Oklahoma State,AriSt,AriSt,-,-,100,1.68,96,3.06,12.15,1.38,8.8,0.08,0.00,0.00,0.0,0.00
Blake Daniels,Eastern Michigan,Toledo,Toledo,-,-,101,1.65,102,2.69,11.68,1.04,11.2,0.08,0.00,0.00,0.0,0.00
Holden Staes,Tennessee,Kty,Kty,-,-,102,1.65,108,2.27,7.31,0.62,11.8,0.15,0.00,0.00,0.0,0.00
Weston Wolff,South Florida,FlaAtl,USF,-,-,103,1.61,94,3.27,16.08,1.67,9.6,0.00,0.00,0.00,0.0,0.00
Lawson Luckie,Georgia,Fla,Fla,-,-,104,1.52,109,2.15,7.75,0.63,12.3,0.13,0.00,0.00,0.0,0.00
Jace Henry,Nevada,ColoSt,ColoSt,-,-,105,1.51,103,2.66,10.86,1.14,9.5,0.07,0.00,0.00,0.0,0.00
Jaleel Skinner,Louisville,Clem,Lou,-,-,106,1.51,110,2.14,7.63,0.63,12.1,0.13,0.00,0.00,0.0,0.00
Marlin Klein,Michigan,Oregon,Oregon,-,-,107,1.47,105,2.61,8.95,1.14,7.9,0.10,0.00,0.00,0.0,0.00
Jalen Butler,Old Dominion,App,ODU,-,-,108,1.45,101,2.83,9.85,1.38,7.1,0.08,0.00,0.00,0.0,0.00
Jameson Geers,Minnesota,Ill,Minn,-,-,109,1.44,107,2.54,10.28,1.10,9.3,0.07,0.00,0.00,0.0,0.00
Jere Getzinger,Eastern Michigan,Toledo,Toledo,-,-,110,1.29,104,2.62,7.92,1.33,6.0,0.08,0.00,0.00,0.0,0.00
Brennan Parachek,Michigan State,Ind,Ind,-,-,111,1.27,113,1.85,7.67,0.58,13.2,0.08,0.00,0.00,0.0,0.00
Carson Tabaracci,USC,Wash,USC,-,-,112,1.21,111,2.01,6.10,0.80,7.6,0.10,0.00,0.00,0.0,0.00
Ty Washington,Arkansas,Miss,Miss,-,-,113,1.19,112,1.86,7.93,0.67,11.8,0.07,0.00,0.00,0.0,0.00
Stevo Klotz,Iowa State,TxTch,TxTch,-,-,114,1.15,114,1.79,6.09,0.64,9.5,0.09,0.00,0.00,0.0,0.00
Josh Kattus,Kentucky,Tenn,Kty,-,-,115,1.10,117,1.57,7.47,0.47,15.9,0.06,0.00,0.00,0.0,0.00
Khamari Anderson,Kentucky,Tenn,Kty,-,-,116,1.07,118,1.57,5.67,0.50,11.3,0.08,0.00,0.00,0.0,0.00
Bauer Sharp,Oklahoma,Maine,Maine,-,-,117,1.04,116,1.68,6.82,0.65,10.5,0.06,0.00,0.00,0.0,0.00
Thomas Gordon,Northwestern,Purdue,NW,-,-,118,1.00,115,1.69,6.25,0.69,9.1,0.06,0.00,0.00,0.0,0.00
Jack Pedersen,UCLA,Neb,UCLA,-,-,119,0.65,119,1.25,6.50,0.60,10.8,0.00,0.00,0.00,0.0,0.00
Juice Vereen,North Carolina State,Stan,Stan,-,-,120,0.56,120,1.14,5.58,0.58,9.6,0.00,0.00,0.00,0.0,0.00
Tanner Arkin,Illinois,Minn,Minn,-,-,121,0.44,121,1.02,4.35,0.59,7.4,0.00,0.00,0.00,0.0,0.00
Cole Rusk,Illinois,Minn,Minn,-,-,122,0.00,122,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.0,0.00
