,,Week 10 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Colston Loveland,Michigan,Oregon,Oregon,-,-,1,8.48,2,12.33,57.94,3.85,15.0,0.45,0.00,0.00,0.0,0.00
Oronde Gadsden,Syracuse,VaTech,VaTech,-,-,2,8.47,1,13.09,55.09,4.61,12.0,0.49,0.00,0.00,0.0,0.00
Luke Lachey,Iowa,Wisc,Wisc,-,-,3,8.18,3,12.30,49.45,4.13,12.0,0.54,0.00,0.00,0.0,0.00
Caden Prieskorn,Mississippi,Ark,Miss,-,-,4,7.81,7,11.01,49.28,3.20,15.4,0.48,0.00,0.00,0.0,0.00
Luke Hasz,Arkansas,Miss,Miss,-,-,5,7.70,6,11.06,44.27,3.36,13.2,0.55,0.00,0.00,0.0,0.00
Justin Joly,North Carolina State,Stan,Stan,-,-,6,7.54,4,11.54,48.09,4.00,12.0,0.45,0.00,0.00,0.0,0.00
Jake Briningstool,Clemson,Lou,Lou,-,-,7,7.27,5,11.24,42.25,3.97,10.6,0.51,0.00,0.00,0.0,0.00
RJ Maryland,SMU,Pitt,Pitt,-,-,8,7.24,9,10.20,41.86,2.97,14.1,0.51,0.00,0.00,0.0,0.00
Oscar Delp,Georgia,Fla,Fla,-,-,9,6.87,8,10.60,45.20,3.73,12.1,0.39,0.00,0.00,0.0,0.00
Jack Velling,Michigan State,Ind,Ind,-,-,10,6.79,14,9.56,40.09,2.78,14.4,0.46,0.00,0.00,0.0,0.00
Tyler Warren,Penn State,OhioSt,OhioSt,-,-,11,6.71,16,9.46,37.08,2.75,13.5,0.50,0.00,0.00,0.0,0.00
Holden Willis,Middle Tenn. St,UTEP,MiddTn,-,-,12,6.71,10,10.12,43.25,3.41,12.7,0.40,0.00,0.00,0.0,0.00
River Helms,Western Kentucky,KennSt,KennSt,-,-,13,6.61,11,9.79,38.82,3.18,12.2,0.45,0.00,0.00,0.0,0.00
Bryson Nesbit,North Carolina,FlaSt,UNC,-,-,14,6.34,15,9.53,42.67,3.19,13.4,0.34,0.00,0.00,0.0,0.00
Drake Dabney,TCU,Baylor,TCU,-,-,15,6.33,13,9.58,43.33,3.25,13.3,0.33,0.00,0.00,0.0,0.00
Terrance Ferguson,Oregon,Mich,Oregon,-,-,16,6.32,17,9.39,32.60,3.06,10.7,0.51,0.00,0.00,0.0,0.00
Rivaldo Fairweather,Auburn,Vandy,Vandy,-,-,17,5.99,21,8.93,30.53,2.94,10.4,0.49,0.00,0.00,0.0,0.00
John Michael Gyllenborg,Wyoming,NM,Wyo,-,-,18,5.84,18,9.03,37.67,3.19,11.8,0.34,0.00,0.00,0.0,0.00
Benjamin Yurosek,Georgia,Fla,Fla,-,-,19,5.73,24,8.50,34.48,2.76,12.5,0.38,0.00,0.00,0.0,0.00
Michael Harrison,San Diego State,Boise,SDSU,-,-,20,5.70,20,8.94,34.81,3.24,10.7,0.37,0.00,0.00,0.0,0.00
Garrett Oakley,Kansas State,Hou,KanSt,-,-,21,5.70,23,8.65,37.30,2.95,12.6,0.33,0.00,0.00,0.0,0.00
Sam Roush,Stanford,NCSU,Stan,-,-,22,5.70,12,9.64,41.40,3.94,10.5,0.26,0.17,0.09,1.9,0.00
Benjamin Brahmer,Iowa State,TxTch,TxTch,-,-,23,5.59,22,8.86,39.55,3.27,12.1,0.27,0.00,0.00,0.0,0.00
Max Klare,Purdue,NW,NW,-,-,24,5.54,19,8.96,33.15,3.43,9.7,0.37,0.00,0.00,0.0,0.00
Seydou Traore,Mississippi State,UMass,UMass,-,-,25,5.36,25,8.03,30.76,2.67,11.5,0.38,0.00,0.00,0.0,0.00
Arlis Boardingham,Florida,UGa,Fla,-,-,26,5.28,26,8.01,31.00,2.73,11.4,0.36,0.00,0.00,0.0,0.00
DJ Thomas-Jones,South Alabama,GaSo,GaSo,-,-,27,5.22,27,7.98,23.62,2.76,8.6,0.48,0.00,0.00,0.0,0.00
Anthony Torres,Toledo,EastMi,Toledo,-,-,28,5.13,36,7.18,37.11,2.05,18.1,0.24,0.00,0.00,0.0,0.00
Kendall Karr,Coastal Carolina,Troy,CoastC,-,-,29,4.94,34,7.19,21.28,2.25,9.5,0.47,0.00,0.00,0.0,0.00
Ethan Conner,Troy,CoastC,CoastC,-,-,30,4.85,30,7.47,30.08,2.62,11.5,0.31,0.00,0.00,0.0,0.00
Eli Wilson,Appalachian State,ODU,ODU,-,-,31,4.83,32,7.36,27.48,2.52,10.9,0.35,0.00,0.00,0.0,0.00
Dan Villari,Syracuse,VaTech,VaTech,-,-,32,4.82,43,6.79,21.51,1.97,10.9,0.26,6.09,1.29,4.7,0.09
Thomas Fidone,Nebraska,UCLA,UCLA,-,-,33,4.70,33,7.28,27.00,2.58,10.5,0.33,0.00,0.00,0.0,0.00
Terrance Carter,Louisiana-Lafayette,TxSt,UL-Laf,-,-,34,4.66,28,7.64,27.76,2.98,9.3,0.31,0.00,0.00,0.0,0.00
Elijah Arroyo,Miami,Duke,Duke,-,-,35,4.64,31,7.43,24.09,2.79,8.6,0.37,0.00,0.00,0.0,0.00
Jalin Conyers,Texas Tech,IaSt,TxTch,-,-,36,4.54,42,6.86,26.16,2.32,11.3,0.32,0.00,0.00,0.0,0.00
Boden Groen,Rice,Navy,Navy,-,-,37,4.54,29,7.50,31.04,2.96,10.5,0.24,0.00,0.00,0.0,0.00
Mark Redman,Louisville,Clem,Lou,-,-,38,4.48,35,7.19,29.35,2.71,10.8,0.26,0.00,0.00,0.0,0.00
Michael Trigg,Baylor,TCU,TCU,-,-,39,4.46,38,6.96,29.58,2.50,11.8,0.25,0.00,0.00,0.0,0.00
Bentley Hanshaw,Liberty,JacSt,JacSt,-,-,40,4.45,57,5.93,18.43,1.48,12.5,0.43,0.00,0.00,0.0,0.00
Alex Bauman,Tulane,Char,Tulane,-,-,41,4.31,49,6.41,20.63,2.10,9.8,0.38,0.00,0.00,0.0,0.00
John Copenhaver,North Carolina,FlaSt,UNC,-,-,42,4.25,53,6.16,26.18,1.91,13.7,0.27,0.00,0.00,0.0,0.00
Moliki Matavao,UCLA,Neb,UCLA,-,-,43,4.23,47,6.58,26.70,2.35,11.4,0.26,0.00,0.00,0.0,0.00
Jake Newell,Akron,Buff,Buff,-,-,44,4.18,37,7.02,25.78,2.84,9.1,0.27,0.00,0.00,0.0,0.00
Randy Pittman,Central Florida,Ari,Ari,-,-,45,4.17,41,6.87,31.30,2.70,11.6,0.17,0.00,0.00,0.0,0.00
Tyler Fromm,Georgia Southern,USA,GaSo,-,-,46,4.15,50,6.38,24.74,2.23,11.1,0.28,0.00,0.00,0.0,0.00
Sean Brown,Jacksonville State,Lib,JacSt,-,-,47,4.10,65,5.21,20.40,1.11,18.4,0.34,0.00,0.00,0.0,0.00
Nicky Dalmolin,Duke,Mia-Fl,Duke,-,-,48,4.07,46,6.67,29.49,2.60,11.3,0.19,0.00,0.00,0.0,0.00
Markeston Douglas,Arizona State,OkSt,AriSt,-,-,49,4.07,48,6.45,29.24,2.38,12.3,0.19,0.00,0.00,0.0,0.00
