,,Week 13 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Tetairoa McMillan,Arizona,TCU,Ari,-,-,1,16.33,1,23.28,110.35,6.95,15.9,0.88,0.18,0.09,2.0,0.00
Ricky White,UNLV,SJSU,UNLV,-,-,2,14.09,3,20.34,105.83,6.25,16.9,0.58,0.08,0.08,1.0,0.00
Tory Horton,Colorado State,Fres,ColoSt,-,-,3,14.05,2,22.07,99.89,8.03,12.4,0.68,0.00,0.00,0.0,0.00
Jalen Royals,Utah State,SDSU,SDSU,-,-,4,13.83,4,19.96,94.09,6.14,15.3,0.74,0.00,0.00,0.0,0.00
Luther Burden III,Missouri,MissSt,Missou,-,-,5,13.79,5,19.92,94.84,6.13,15.5,0.68,2.27,0.53,4.3,0.00
Joey Hobert,Texas State,GaSt,GaSt,-,-,6,12.34,6,19.24,81.35,6.90,11.8,0.70,0.09,0.09,1.0,0.00
Xavier Restrepo,Miami,Wake,Wake,-,-,7,12.33,7,19.20,92.00,6.87,13.4,0.52,0.00,0.00,0.0,0.00
Kevin Concepcion,North Carolina State,GaTech,NCSU,-,-,8,12.21,11,18.26,72.08,6.05,11.9,0.65,10.72,1.55,6.9,0.00
Germie Bernard,Alabama,Okla,Ala,-,-,9,12.13,13,17.87,80.29,5.74,14.0,0.53,3.97,1.15,3.5,0.09
Kyren Lacy,LSU,Vandy,Vandy,-,-,10,11.79,22,16.98,76.85,5.19,14.8,0.68,0.17,0.09,1.9,0.00
Sean Atkins,South Florida,Tulsa,Tulsa,-,-,11,11.72,8,18.72,80.12,7.01,11.4,0.56,3.58,0.48,7.5,0.00
Kaedin Robinson,Appalachian State,JMU,JMU,-,-,12,11.67,19,17.12,74.29,5.45,13.6,0.70,0.18,0.09,2.0,0.00
Jamaal Pritchett,South Alabama,SouMis,USA,-,-,13,11.66,12,17.97,80.22,6.32,12.7,0.61,0.00,0.00,0.0,0.00
Will Pauling,Wisconsin,Neb,Wisc,-,-,14,11.63,9,18.70,79.01,7.07,11.2,0.61,0.61,0.09,6.8,0.00
Tre Harris,Mississippi,Fla,Miss,-,-,15,11.60,24,16.36,82.77,4.75,17.4,0.55,0.00,0.00,0.0,0.00
Emeka Egbuka,Ohio State,Ind,Ind,-,-,16,11.46,17,17.38,73.62,5.92,12.4,0.65,2.11,0.41,5.1,0.00
Eugene Wilson,Florida,Miss,Miss,-,-,17,11.39,18,17.14,65.25,5.75,11.3,0.75,3.67,0.50,7.3,0.00
Deion Burks,Oklahoma,Ala,Ala,-,-,18,11.36,16,17.42,77.02,6.06,12.7,0.61,0.26,0.09,2.9,0.00
