,,Week 11 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
Kaidon Salter,Liberty,MiddTn,Lib,-,-,1,31.69,1,31.69,215.22,2.30,0.43,16.2,82.46,12.36,6.7,0.94
Byrum Brown,South Florida,Navy,Navy,-,-,2,29.09,2,29.09,253.69,1.98,0.91,11.9,60.72,15.59,3.9,0.83
Dillon Gabriel,Oregon,MD,MD,-,-,3,29.02,3,29.02,329.35,2.90,0.66,13.1,17.42,4.23,4.1,0.41
Jordan McCloud,Texas State,UL-Mon,TxSt,-,-,4,27.22,4,27.22,287.29,2.11,0.76,13.0,32.41,9.28,3.5,0.68
Haynes King,Georgia Tech,Mia-Fl,Mia-Fl,-,-,5,26.79,5,26.79,231.29,2.14,1.32,12.9,50.47,8.88,5.7,0.66
Garrett Greene,West Virginia,Cin,WVU,-,-,6,26.74,6,26.74,215.10,1.43,0.34,15.4,73.99,11.74,6.3,0.84
Jaxson Dart,Mississippi,UGa,UGa,-,-,7,26.52,7,26.52,301.05,2.02,0.51,14.5,33.60,9.35,3.6,0.51
KJ Jefferson,Central Florida,AriSt,UCF,-,-,8,26.15,8,26.15,239.92,1.90,0.74,12.7,50.11,12.53,4.0,0.66
Jalen Milroe,Alabama,LSU,Ala,-,-,9,26.14,9,26.14,294.12,2.09,0.75,12.9,25.14,6.60,3.8,0.58
Nico Iamaleava,Tennessee,MissSt,MissSt,-,-,10,25.57,10,25.57,260.70,2.06,0.41,12.9,39.24,9.15,4.3,0.49
Seth Henigan,Memphis,Rice,Rice,-,-,11,25.56,11,25.56,295.28,2.40,0.66,12.3,21.60,7.70,2.8,0.33
Kyron Drones,Virginia Tech,Clem,Clem,-,-,12,25.43,12,25.43,202.42,1.78,0.34,12.7,76.58,15.20,5.0,0.42
Chandler Morris,North Texas,Army,Army,-,-,13,25.23,13,25.23,288.65,2.26,0.67,12.1,26.56,9.44,2.8,0.33
Jackson Arnold,Oklahoma,Missou,Okla,-,-,14,24.91,14,24.91,299.48,2.00,1.00,13.8,29.07,7.27,4.0,0.33
Thomas Castellanos,Boston College,Syr,Syr,-,-,15,24.18,15,24.18,218.81,1.53,1.19,12.4,52.54,9.75,5.4,0.68
