,,Week 8 Game,,,,Standard,,PPR,,Passing,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,TD,INT,YPC,Yds,Att,Avg,TD
Byrum Brown,South Florida,UAB,UAB,-,-,1,29.09,1,29.09,253.69,1.98,0.91,11.9,60.72,15.59,3.9,0.83
Dillon Gabriel,Oregon,Purdue,Oregon,-,-,2,29.02,2,29.02,329.35,2.90,0.66,13.1,17.42,4.23,4.1,0.41
Jordan McCloud,Texas State,ODU,TxSt,-,-,3,27.22,3,27.22,287.29,2.11,0.76,13.0,32.41,9.28,3.5,0.68
Avery Johnson,Kansas State,WVU,KanSt,-,-,4,27.10,4,27.10,216.17,1.83,0.83,12.2,51.17,10.25,5.0,1.00
Haynes King,Georgia Tech,ND,ND,-,-,5,26.79,5,26.79,231.29,2.14,1.32,12.9,50.47,8.88,5.7,0.66
Garrett Greene,West Virginia,KanSt,KanSt,-,-,6,26.74,6,26.74,215.10,1.43,0.34,15.4,73.99,11.74,6.3,0.84
KJ Jefferson,Central Florida,IaSt,UCF,-,-,7,26.15,7,26.15,239.92,1.90,0.74,12.7,50.11,12.53,4.0,0.66
Jalen Milroe,Alabama,Tenn,Ala,-,-,8,26.14,8,26.14,294.12,2.09,0.75,12.9,25.14,6.60,3.8,0.58
Nico Iamaleava,Tennessee,Ala,Ala,-,-,9,25.57,9,25.57,260.70,2.06,0.41,12.9,39.24,9.15,4.3,0.49
Seth Henigan,Memphis,NorTx,NorTx,-,-,10,25.56,10,25.56,295.28,2.40,0.66,12.3,21.60,7.70,2.8,0.33
Kyron Drones,Virginia Tech,BC,BC,-,-,11,25.43,11,25.43,202.42,1.78,0.34,12.7,76.58,15.20,5.0,0.42
Chandler Morris,North Texas,Mem,NorTx,-,-,12,25.23,12,25.23,288.65,2.26,0.67,12.1,26.56,9.44,2.8,0.33
Jackson Arnold,Oklahoma,SCar,SCar,-,-,13,24.91,13,24.91,299.48,2.00,1.00,13.8,29.07,7.27,4.0,0.33
Thomas Castellanos,Boston College,VaTech,BC,-,-,14,24.18,14,24.18,218.81,1.53,1.19,12.4,52.54,9.75,5.4,0.68
Shedeur Sanders,Colorado,Ari,Colo,-,-,15,23.79,15,23.79,300.27,2.41,0.45,11.1,-5.45,10.89,-0.5,0.45
Brady Cook,Missouri,Auburn,Auburn,-,-,16,22.68,16,22.68,257.39,1.71,0.41,13.6,25.88,8.90,2.9,0.49
Cam Ward,Miami,Lou,Mia-Fl,-,-,17,22.50,17,22.50,278.63,1.74,0.66,12.4,9.04,9.04,1.0,0.58
Garrett Nussmeier,LSU,Ark,LSU,-,-,18,22.13,18,22.13,266.88,2.31,0.91,13.3,7.34,5.61,1.3,0.25
Noah Fifita,Arizona,Colo,Colo,-,-,19,21.97,19,21.97,280.65,2.48,0.86,12.3,3.16,3.16,1.0,0.09
Grayson McCall,North Carolina State,Cal,NCSU,-,-,20,21.85,20,21.85,235.63,1.78,0.85,12.1,22.61,8.13,2.8,0.51
Preston Stone,SMU,Stan,SMU,-,-,21,21.47,21,21.47,261.65,2.02,0.84,13.6,14.14,5.22,2.7,0.25
Conner Weigman,Texas A&M,MissSt,TexA&M,-,-,22,21.42,22,21.42,247.83,1.86,0.68,12.5,20.16,5.76,3.5,0.34
Riley Leonard,Notre Dame,GaTech,ND,-,-,23,21.34,23,21.34,215.75,2.06,0.41,13.8,24.82,5.03,4.9,0.33
Taylen Green,Arkansas,LSU,LSU,-,-,24,21.32,24,21.32,212.94,1.43,1.18,12.1,40.67,9.66,4.2,0.50
Gio Lopez,South Alabama,Troy,Troy,-,-,25,21.32,25,21.32,238.64,1.71,0.90,11.7,24.98,6.75,3.7,0.41
Quinn Ewers,Texas,UGa,UGa,-,-,26,21.22,26,21.22,286.78,1.91,0.58,12.9,6.07,4.99,1.2,0.25
Jaylen Raynor,Arkansas State,SouMis,ArkSt,-,-,27,21.21,27,21.21,238.08,1.51,0.75,14.6,31.35,10.81,2.9,0.42
Carson Beck,Georgia,Tex,UGa,-,-,28,21.20,28,21.20,291.08,1.83,0.58,12.7,7.48,4.41,1.7,0.25
Miller Moss,USC,MD,USC,-,-,29,21.16,29,21.16,277.17,2.05,0.77,13.0,8.38,3.68,2.3,0.17
DJ Uiagalelei,Florida State,Duke,FlaSt,-,-,30,21.06,30,21.06,238.60,1.78,0.68,13.5,18.63,7.20,2.6,0.42
Donovan Smith,Houston,Kansas,Hou,-,-,31,20.96,31,20.96,214.82,1.76,0.92,11.9,28.08,9.39,3.0,0.42
Jacob Zeno,UAB,USF,UAB,-,-,32,20.81,32,20.81,273.20,1.82,0.83,10.7,10.86,8.38,1.3,0.25
LaNorris Sellers,South Carolina,Okla,SCar,-,-,33,20.43,33,20.43,238.41,1.32,0.74,12.5,31.25,8.93,3.5,0.41
Tyler Shough,Louisville,Mia-Fl,Mia-Fl,-,-,34,20.40,34,20.40,247.63,1.84,1.00,11.5,16.37,5.26,3.1,0.25
Brayden Schager,Hawaii,WashSt,Hawaii,-,-,35,20.31,35,20.31,276.90,2.02,1.09,10.6,6.48,8.17,0.8,0.08
Jalon Daniels,Kansas,Hou,Hou,-,-,36,19.98,36,19.98,204.04,1.60,0.34,12.8,28.97,9.01,3.2,0.42
JC French,Georgia Southern,JMU,JMU,-,-,37,19.95,37,19.95,267.83,1.83,1.08,10.7,9.00,6.00,1.5,0.17
Cameron Rising,Utah,TCU,TCU,-,-,38,19.80,38,19.80,210.63,1.65,0.58,12.1,27.91,5.61,5.0,0.33
Dequan Finn,Baylor,TxTch,Baylor,-,-,39,19.78,39,19.78,227.31,1.54,1.00,12.1,26.92,6.92,3.9,0.31
Nicholas Vattiato,Middle Tenn. St,KennSt,KennSt,-,-,40,19.73,40,19.73,232.58,1.66,0.99,12.2,23.04,7.96,2.9,0.25
Tucker Gleason,Toledo,NIU,Toledo,-,-,41,19.72,41,19.72,202.58,1.52,0.68,12.6,35.18,8.78,4.0,0.34
Josh Hoover,TCU,Utah,TCU,-,-,42,19.59,42,19.59,281.45,1.77,1.18,12.3,2.28,3.80,0.6,0.17
John Mateer,Washington State,Hawaii,Hawaii,-,-,43,19.58,43,19.58,232.36,1.52,0.76,11.5,21.56,8.27,2.6,0.34
TJ Finley,Western Kentucky,SamHou,WestKy,-,-,44,19.57,44,19.57,251.77,2.00,0.91,11.0,5.16,3.99,1.3,0.17
E.J. Warner,Rice,Tulane,Rice,-,-,45,19.51,45,19.51,244.28,2.28,0.93,12.0,0.93,3.22,0.3,0.08
Rocco Becht,Iowa State,UCF,UCF,-,-,46,19.40,46,19.40,246.25,1.85,0.67,13.3,6.15,6.07,1.0,0.25
Kurtis Rourke,Indiana,Neb,Neb,-,-,47,19.35,47,19.35,241.47,1.57,0.66,11.2,19.31,6.44,3.0,0.25
Matthew Sluka,UNLV,OreSt,UNLV,-,-,48,19.34,48,19.34,242.53,1.24,0.82,13.8,27.18,7.00,3.9,0.33
Brayden Fowler-Nicolosi,Colorado State,AF,ColoSt,-,-,49,19.17,49,19.17,289.81,1.81,1.32,11.6,-1.73,2.89,-0.6,0.08
Ashton Daniels,Stanford,SMU,SMU,-,-,50,18.90,50,18.90,243.25,1.26,0.93,11.5,26.07,9.34,2.8,0.25
Cade Klubnik,Clemson,UVa,UVa,-,-,51,18.85,51,18.85,233.88,1.65,0.74,10.1,14.17,9.47,1.5,0.25
Ethan Vasko,Coastal Carolina,UL-Laf,UL-Laf,-,-,52,18.70,52,18.70,209.84,1.65,0.58,11.4,27.20,6.51,4.2,0.16
Aidan Chiles,Michigan State,Iowa,Iowa,-,-,53,18.69,53,18.69,226.52,1.43,1.01,13.7,23.77,6.07,3.9,0.25
Jase Bauer,Sam Houston,WestKy,WestKy,-,-,54,18.62,54,18.62,223.18,1.34,1.00,10.2,23.47,8.35,2.8,0.33
Jack Turner,Louisiana Tech,NMSt,LaTech,-,-,55,18.56,55,18.56,234.20,1.27,1.10,11.4,16.02,7.25,2.2,0.42
Luke Altmyer,Illinois,Mich,Mich,-,-,56,18.53,56,18.53,224.40,1.50,1.25,11.4,20.38,9.27,2.2,0.25
Devon Dampier,New Mexico,UtahSt,NM,-,-,57,18.50,57,18.50,217.63,1.41,0.99,12.2,16.87,6.20,2.7,0.41
Blake Shapen,Mississippi State,TexA&M,TexA&M,-,-,58,18.44,58,18.44,228.07,1.51,0.76,12.6,12.52,6.55,1.9,0.34
Mikey Keene,Fresno State,Nevada,Fres,-,-,59,18.13,59,18.13,274.68,2.10,1.01,10.5,-17.65,4.45,-4.0,0.08
Anthony Colandrea,Virginia,Clem,UVa,-,-,60,18.01,60,18.01,226.52,1.40,1.05,11.8,28.38,9.78,2.9,0.09
Graham Mertz,Florida,Kty,Kty,-,-,61,17.96,61,17.96,252.82,1.76,0.59,11.6,-6.95,5.78,-1.2,0.25
Brendan Sorsby,Cincinnati,AriSt,AriSt,-,-,62,17.93,62,17.93,192.98,1.43,0.59,11.7,24.98,8.63,2.9,0.34
