,,Week 6 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Harold Fannin,Bowling Green,Akron,BGSU,-,-,1,9.18,1,13.37,60.00,4.19,14.3,0.49,2.22,0.90,2.5,0.00
Colston Loveland,Michigan,Wash,Mich,-,-,2,8.48,3,12.33,57.94,3.85,15.0,0.45,0.00,0.00,0.0,0.00
Oronde Gadsden,Syracuse,UNLV,Syr,-,-,3,8.47,2,13.09,55.09,4.61,12.0,0.49,0.00,0.00,0.0,0.00
Luke Lachey,Iowa,OhioSt,Iowa,-,-,4,8.18,4,12.30,49.45,4.13,12.0,0.54,0.00,0.00,0.0,0.00
Caden Prieskorn,Mississippi,SCar,Miss,-,-,5,7.81,8,11.01,49.28,3.20,15.4,0.48,0.00,0.00,0.0,0.00
Luke Hasz,Arkansas,Tenn,Tenn,-,-,6,7.70,7,11.06,44.27,3.36,13.2,0.55,0.00,0.00,0.0,0.00
Justin Joly,North Carolina State,Wake,Wake,-,-,7,7.54,5,11.54,48.09,4.00,12.0,0.45,0.00,0.00,0.0,0.00
Jake Briningstool,Clemson,FlaSt,Clem,-,-,8,7.27,6,11.24,42.25,3.97,10.6,0.51,0.00,0.00,0.0,0.00
RJ Maryland,SMU,Lou,SMU,-,-,9,7.24,10,10.20,41.86,2.97,14.1,0.51,0.00,0.00,0.0,0.00
Grayson Barnes,Northern Illinois,UMass,UMass,-,-,10,7.00,17,9.32,42.05,2.33,18.0,0.47,0.00,0.00,0.0,0.00
Oscar Delp,Georgia,Auburn,Auburn,-,-,11,6.87,9,10.60,45.20,3.73,12.1,0.39,0.00,0.00,0.0,0.00
Jack Velling,Michigan State,Oregon,MSU,-,-,12,6.79,13,9.56,40.09,2.78,14.4,0.46,0.00,0.00,0.0,0.00
Tyler Warren,Penn State,UCLA,UCLA,-,-,13,6.71,15,9.46,37.08,2.75,13.5,0.50,0.00,0.00,0.0,0.00
Bryson Nesbit,North Carolina,Pitt,Pitt,-,-,14,6.34,14,9.53,42.67,3.19,13.4,0.34,0.00,0.00,0.0,0.00
Drake Dabney,TCU,Hou,Hou,-,-,15,6.33,12,9.58,43.33,3.25,13.3,0.33,0.00,0.00,0.0,0.00
Terrance Ferguson,Oregon,MSU,MSU,-,-,16,6.32,16,9.39,32.60,3.06,10.7,0.51,0.00,0.00,0.0,0.00
Rivaldo Fairweather,Auburn,UGa,Auburn,-,-,17,5.99,20,8.93,30.53,2.94,10.4,0.49,0.00,0.00,0.0,0.00
Benjamin Yurosek,Georgia,Auburn,Auburn,-,-,18,5.73,23,8.50,34.48,2.76,12.5,0.38,0.00,0.00,0.0,0.00
Michael Harrison,San Diego State,Hawaii,Hawaii,-,-,19,5.70,19,8.94,34.81,3.24,10.7,0.37,0.00,0.00,0.0,0.00
Sam Roush,Stanford,VaTech,VaTech,-,-,20,5.70,11,9.64,41.40,3.94,10.5,0.26,0.17,0.09,1.9,0.00
Benjamin Brahmer,Iowa State,Baylor,Baylor,-,-,21,5.59,21,8.86,39.55,3.27,12.1,0.27,0.00,0.00,0.0,0.00
Max Klare,Purdue,Wisc,Purdue,-,-,22,5.54,18,8.96,33.15,3.43,9.7,0.37,0.00,0.00,0.0,0.00
Arlis Boardingham,Florida,UCF,UCF,-,-,23,5.28,25,8.01,31.00,2.73,11.4,0.36,0.00,0.00,0.0,0.00
DJ Thomas-Jones,South Alabama,ArkSt,USA,-,-,24,5.22,26,7.98,23.62,2.76,8.6,0.48,0.00,0.00,0.0,0.00
Tanner Koziol,Ball State,WestMI,WestMI,-,-,25,5.18,22,8.61,31.20,3.43,9.1,0.34,0.00,0.00,0.0,0.00
Brett Norfleet,Missouri,TexA&M,Missou,-,-,26,5.15,29,7.53,26.69,2.38,11.2,0.41,0.00,0.00,0.0,0.00
Anthony Torres,Toledo,Mia-O,Mia-O,-,-,27,5.13,36,7.18,37.11,2.05,18.1,0.24,0.00,0.00,0.0,0.00
Kole Taylor,West Virginia,OkSt,WVU,-,-,28,4.98,28,7.54,35.36,2.56,13.8,0.24,0.00,0.00,0.0,0.00
Corey Dyches,California,Mia-Fl,Mia-Fl,-,-,29,4.97,24,8.46,39.02,3.48,11.2,0.18,0.00,0.00,0.0,0.00
Kendall Karr,Coastal Carolina,ODU,ODU,-,-,30,4.94,34,7.19,21.28,2.25,9.5,0.47,0.00,0.00,0.0,0.00
Ethan Conner,Troy,TxSt,TxSt,-,-,31,4.85,30,7.47,30.08,2.62,11.5,0.31,0.00,0.00,0.0,0.00
Eli Wilson,Appalachian State,Marsh,App,-,-,32,4.83,32,7.36,27.48,2.52,10.9,0.35,0.00,0.00,0.0,0.00
Dan Villari,Syracuse,UNLV,Syr,-,-,33,4.82,44,6.79,21.51,1.97,10.9,0.26,6.09,1.29,4.7,0.09
Thomas Fidone,Nebraska,Rut,Rut,-,-,34,4.70,33,7.28,27.00,2.58,10.5,0.33,0.00,0.00,0.0,0.00
Terrance Carter,Louisiana-Lafayette,SouMis,UL-Laf,-,-,35,4.66,27,7.64,27.76,2.98,9.3,0.31,0.00,0.00,0.0,0.00
Elijah Arroyo,Miami,Cal,Mia-Fl,-,-,36,4.64,31,7.43,24.09,2.79,8.6,0.37,0.00,0.00,0.0,0.00
Jalin Conyers,Texas Tech,Ari,TxTch,-,-,37,4.54,43,6.86,26.16,2.32,11.3,0.32,0.00,0.00,0.0,0.00
Mark Redman,Louisville,SMU,SMU,-,-,38,4.48,35,7.19,29.35,2.71,10.8,0.26,0.00,0.00,0.0,0.00
Kamari Morales,Boston College,UVa,BC,-,-,39,4.47,37,7.08,34.26,2.61,13.1,0.17,0.00,0.00,0.0,0.00
Michael Trigg,Baylor,IaSt,Baylor,-,-,40,4.46,39,6.96,29.58,2.50,11.8,0.25,0.00,0.00,0.0,0.00
Alex Bauman,Tulane,UAB,Tulane,-,-,41,4.31,52,6.41,20.63,2.10,9.8,0.38,0.00,0.00,0.0,0.00
John Copenhaver,North Carolina,Pitt,Pitt,-,-,42,4.25,54,6.16,26.18,1.91,13.7,0.27,0.00,0.00,0.0,0.00
Moliki Matavao,UCLA,PSU,UCLA,-,-,43,4.23,48,6.58,26.70,2.35,11.4,0.26,0.00,0.00,0.0,0.00
Jake Newell,Akron,BGSU,BGSU,-,-,44,4.18,38,7.02,25.78,2.84,9.1,0.27,0.00,0.00,0.0,0.00
Randy Pittman,Central Florida,Fla,UCF,-,-,45,4.17,42,6.87,31.30,2.70,11.6,0.17,0.00,0.00,0.0,0.00
Sean Brown,Jacksonville State,KennSt,JacSt,-,-,46,4.10,68,5.21,20.40,1.11,18.4,0.34,0.00,0.00,0.0,0.00
Nicky Dalmolin,Duke,GaTech,Duke,-,-,47,4.07,47,6.67,29.49,2.60,11.3,0.19,0.00,0.00,0.0,0.00
Markeston Douglas,Arizona State,Kansas,Kansas,-,-,48,4.07,51,6.45,29.24,2.38,12.3,0.19,0.00,0.00,0.0,0.00
Jaxxon Warren,Colorado State,OreSt,ColoSt,-,-,49,4.07,45,6.73,29.24,2.67,11.0,0.19,0.00,0.00,0.0,0.00
Bryce Damous,UAB,Tulane,Tulane,-,-,50,4.03,55,6.06,22.84,2.03,11.3,0.29,0.00,0.00,0.0,0.00
Dominick Mazotti,Massachusetts,NIU,UMass,-,-,51,4.02,46,6.69,28.76,2.67,10.8,0.19,0.00,0.00,0.0,0.00
