,,Week 14 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Tetairoa McMillan,Arizona,AriSt,AriSt,-,-,1,16.33,1,23.28,110.35,6.95,15.9,0.88,0.18,0.09,2.0,0.00
Evan Stewart,Oregon,Wash,Wash,-,-,2,14.73,4,20.59,94.89,5.85,16.2,0.87,0.00,0.00,0.0,0.00
Ricky White,UNLV,Nevada,Nevada,-,-,3,14.09,5,20.34,105.83,6.25,16.9,0.58,0.08,0.08,1.0,0.00
Tory Horton,Colorado State,UtahSt,UtahSt,-,-,4,14.05,2,22.07,99.89,8.03,12.4,0.68,0.00,0.00,0.0,0.00
Tez Johnson,Oregon,Wash,Wash,-,-,5,13.96,3,20.73,93.34,6.77,13.8,0.77,0.00,0.00,0.0,0.00
Jalen Royals,Utah State,ColoSt,UtahSt,-,-,6,13.83,6,19.96,94.09,6.14,15.3,0.74,0.00,0.00,0.0,0.00
Luther Burden III,Missouri,Ark,Ark,-,-,7,13.79,7,19.92,94.84,6.13,15.5,0.68,2.27,0.53,4.3,0.00
Joey Hobert,Texas State,USA,TxSt,-,-,8,12.34,8,19.24,81.35,6.90,11.8,0.70,0.09,0.09,1.0,0.00
Xavier Restrepo,Miami,Syr,Mia-Fl,-,-,9,12.33,9,19.20,92.00,6.87,13.4,0.52,0.00,0.00,0.0,0.00
Kevin Concepcion,North Carolina State,UNC,NCSU,-,-,10,12.21,13,18.26,72.08,6.05,11.9,0.65,10.72,1.55,6.9,0.00
Germie Bernard,Alabama,Auburn,Auburn,-,-,11,12.13,17,17.87,80.29,5.74,14.0,0.53,3.97,1.15,3.5,0.09
Roc Taylor,Memphis,Tulane,Mem,-,-,12,12.00,16,17.91,93.26,5.91,15.8,0.44,0.26,0.18,1.4,0.00
Kyren Lacy,LSU,Okla,Okla,-,-,13,11.79,26,16.98,76.85,5.19,14.8,0.68,0.17,0.09,1.9,0.00
Sean Atkins,South Florida,Rice,USF,-,-,14,11.72,10,18.72,80.12,7.01,11.4,0.56,3.58,0.48,7.5,0.00
Kaedin Robinson,Appalachian State,GaSo,App,-,-,15,11.67,23,17.12,74.29,5.45,13.6,0.70,0.18,0.09,2.0,0.00
Jamaal Pritchett,South Alabama,TxSt,TxSt,-,-,16,11.66,15,17.97,80.22,6.32,12.7,0.61,0.00,0.00,0.0,0.00
Will Pauling,Wisconsin,Minn,Minn,-,-,17,11.63,11,18.70,79.01,7.07,11.2,0.61,0.61,0.09,6.8,0.00
Tre Harris,Mississippi,MissSt,MissSt,-,-,18,11.60,28,16.36,82.77,4.75,17.4,0.55,0.00,0.00,0.0,0.00
Pofele Ashlock,Hawaii,NM,NM,-,-,19,11.58,14,18.19,66.20,6.61,10.0,0.83,0.00,0.00,0.0,0.00
Emeka Egbuka,Ohio State,Mich,Mich,-,-,20,11.46,21,17.38,73.62,5.92,12.4,0.65,2.11,0.41,5.1,0.00
Eugene Wilson,Florida,FlaSt,Fla,-,-,21,11.39,22,17.14,65.25,5.75,11.3,0.75,3.67,0.50,7.3,0.00
Deion Burks,Oklahoma,LSU,Okla,-,-,22,11.36,20,17.42,77.02,6.06,12.7,0.61,0.26,0.09,2.9,0.00
Malachi Fields,Virginia,VaTech,UVa,-,-,23,11.24,25,17.01,79.91,5.77,13.8,0.54,0.09,0.09,1.0,0.00
Noah Smith,Sam Houston,Lib,Lib,-,-,24,11.19,19,17.44,62.83,6.25,10.1,0.50,9.08,2.33,3.9,0.17
Brennan Presley,Oklahoma State,Colo,OkSt,-,-,25,11.17,12,18.67,76.91,7.51,10.2,0.44,3.32,0.87,3.8,0.09
Jayden Higgins,Iowa State,KanSt,KanSt,-,-,26,11.11,37,15.51,81.80,4.40,18.6,0.49,0.00,0.00,0.0,0.00
Kyle Williams,Washington State,Wyo,Wyo,-,-,27,11.06,27,16.40,74.24,5.33,13.9,0.60,0.26,0.26,1.0,0.00
Jeremiah Hunter,Washington,Oregon,Wash,-,-,28,10.92,29,16.32,73.00,5.40,13.5,0.60,0.20,0.10,2.0,0.00
Derwin Burgess,Georgia Southern,App,App,-,-,29,10.82,18,17.73,75.45,6.91,10.9,0.55,0.00,0.00,0.0,0.00
Elic Ayomanor,Stanford,SJSU,Stan,-,-,30,10.81,34,15.91,79.41,5.10,15.6,0.48,0.00,0.00,0.0,0.00
