,,Week 12 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Harold Fannin,Bowling Green,WestMI,WestMI,-,-,1,9.18,1,13.37,60.00,4.19,14.3,0.49,2.22,0.90,2.5,0.00
Oronde Gadsden,Syracuse,Cal,Syr,-,-,2,8.47,2,13.09,55.09,4.61,12.0,0.49,0.00,0.00,0.0,0.00
Luke Hasz,Arkansas,Tex,Tex,-,-,3,7.70,5,11.06,44.27,3.36,13.2,0.55,0.00,0.00,0.0,0.00
Brant Kuithe,Utah,Colo,Utah,-,-,4,7.54,3,11.54,46.64,4.00,11.7,0.48,0.00,0.00,0.0,0.00
Jake Briningstool,Clemson,Pitt,Clem,-,-,5,7.27,4,11.24,42.25,3.97,10.6,0.51,0.00,0.00,0.0,0.00
RJ Maryland,SMU,BC,BC,-,-,6,7.24,7,10.20,41.86,2.97,14.1,0.51,0.00,0.00,0.0,0.00
Grayson Barnes,Northern Illinois,Akron,Akron,-,-,7,7.00,15,9.32,42.05,2.33,18.0,0.47,0.00,0.00,0.0,0.00
Oscar Delp,Georgia,Tenn,Tenn,-,-,8,6.87,6,10.60,45.20,3.73,12.1,0.39,0.00,0.00,0.0,0.00
Jack Velling,Michigan State,Ill,MSU,-,-,9,6.79,11,9.56,40.09,2.78,14.4,0.46,0.00,0.00,0.0,0.00
Tyler Warren,Penn State,Purdue,PSU,-,-,10,6.71,13,9.46,37.08,2.75,13.5,0.50,0.00,0.00,0.0,0.00
River Helms,Western Kentucky,LaTech,LaTech,-,-,11,6.61,9,9.79,38.82,3.18,12.2,0.45,0.00,0.00,0.0,0.00
Bryson Nesbit,North Carolina,Wake,Wake,-,-,12,6.34,12,9.53,42.67,3.19,13.4,0.34,0.00,0.00,0.0,0.00
Terrance Ferguson,Oregon,Wisc,Oregon,-,-,13,6.32,14,9.39,32.60,3.06,10.7,0.51,0.00,0.00,0.0,0.00
Mason Taylor,LSU,Fla,LSU,-,-,14,6.17,8,9.92,40.27,3.75,10.7,0.36,0.00,0.00,0.0,0.00
Rivaldo Fairweather,Auburn,UL-Mon,UL-Mon,-,-,15,5.99,19,8.93,30.53,2.94,10.4,0.49,0.00,0.00,0.0,0.00
John Michael Gyllenborg,Wyoming,ColoSt,Wyo,-,-,16,5.84,16,9.03,37.67,3.19,11.8,0.34,0.00,0.00,0.0,0.00
Benjamin Yurosek,Georgia,Tenn,Tenn,-,-,17,5.73,23,8.50,34.48,2.76,12.5,0.38,0.00,0.00,0.0,0.00
Michael Harrison,San Diego State,UNLV,SDSU,-,-,18,5.70,18,8.94,34.81,3.24,10.7,0.37,0.00,0.00,0.0,0.00
Garrett Oakley,Kansas State,AriSt,AriSt,-,-,19,5.70,21,8.65,37.30,2.95,12.6,0.33,0.00,0.00,0.0,0.00
Sam Roush,Stanford,Lou,Lou,-,-,20,5.70,10,9.64,41.40,3.94,10.5,0.26,0.17,0.09,1.9,0.00
Benjamin Brahmer,Iowa State,Cin,Cin,-,-,21,5.59,20,8.86,39.55,3.27,12.1,0.27,0.00,0.00,0.0,0.00
Max Klare,Purdue,PSU,PSU,-,-,22,5.54,17,8.96,33.15,3.43,9.7,0.37,0.00,0.00,0.0,0.00
Amari Niblack,Texas,Ark,Tex,-,-,23,5.38,27,8.04,38.75,2.67,14.5,0.25,0.00,0.00,0.0,0.00
Mitchell Evans,Notre Dame,UVa,UVa,-,-,24,5.36,25,8.10,34.75,2.75,12.6,0.31,0.00,0.00,0.0,0.00
Arlis Boardingham,Florida,LSU,LSU,-,-,25,5.28,28,8.01,31.00,2.73,11.4,0.36,0.00,0.00,0.0,0.00
DJ Thomas-Jones,South Alabama,UL-Laf,USA,-,-,26,5.22,29,7.98,23.62,2.76,8.6,0.48,0.00,0.00,0.0,0.00
Tanner Koziol,Ball State,Buff,BallSt,-,-,27,5.18,22,8.61,31.20,3.43,9.1,0.34,0.00,0.00,0.0,0.00
Brett Norfleet,Missouri,SCar,Missou,-,-,28,5.15,32,7.53,26.69,2.38,11.2,0.41,0.00,0.00,0.0,0.00
Anthony Torres,Toledo,CentMi,CentMi,-,-,29,5.13,37,7.18,37.11,2.05,18.1,0.24,0.00,0.00,0.0,0.00
Kole Taylor,West Virginia,Baylor,Baylor,-,-,30,4.98,31,7.54,35.36,2.56,13.8,0.24,0.00,0.00,0.0,0.00
Corey Dyches,California,Syr,Syr,-,-,31,4.97,24,8.46,39.02,3.48,11.2,0.18,0.00,0.00,0.0,0.00
Kendall Karr,Coastal Carolina,Marsh,CoastC,-,-,32,4.94,35,7.19,21.28,2.25,9.5,0.47,0.00,0.00,0.0,0.00
Keanu Hill,BYU,Kansas,Kansas,-,-,33,4.91,26,8.06,37.96,3.15,12.1,0.19,0.00,0.00,0.0,0.00
Ethan Conner,Troy,GaSo,Troy,-,-,34,4.85,33,7.47,30.08,2.62,11.5,0.31,0.00,0.00,0.0,0.00
Dan Villari,Syracuse,Cal,Syr,-,-,35,4.82,43,6.79,21.51,1.97,10.9,0.26,6.09,1.29,4.7,0.09
Thomas Fidone,Nebraska,USC,Neb,-,-,36,4.70,34,7.28,27.00,2.58,10.5,0.33,0.00,0.00,0.0,0.00
Terrance Carter,Louisiana-Lafayette,USA,USA,-,-,37,4.66,30,7.64,27.76,2.98,9.3,0.31,0.00,0.00,0.0,0.00
Mark Redman,Louisville,Stan,Lou,-,-,38,4.48,36,7.19,29.35,2.71,10.8,0.26,0.00,0.00,0.0,0.00
Kamari Morales,Boston College,SMU,BC,-,-,39,4.47,38,7.08,34.26,2.61,13.1,0.17,0.00,0.00,0.0,0.00
Michael Trigg,Baylor,WVU,Baylor,-,-,40,4.46,40,6.96,29.58,2.50,11.8,0.25,0.00,0.00,0.0,0.00
Bentley Hanshaw,Liberty,UMass,Lib,-,-,41,4.45,63,5.93,18.43,1.48,12.5,0.43,0.00,0.00,0.0,0.00
Alex Bauman,Tulane,Navy,Tulane,-,-,42,4.31,51,6.41,20.63,2.10,9.8,0.38,0.00,0.00,0.0,0.00
John Copenhaver,North Carolina,Wake,Wake,-,-,43,4.25,56,6.16,26.18,1.91,13.7,0.27,0.00,0.00,0.0,0.00
