,,Week 5 Game,,,,Standard,,PPR,,Receiving,,,,Rushing,,,
Player Name,Team,Opp,Fav,Spread,O/U,Rank,Points,Rank,Points,Yds,Rec,Avg,TD,Yds,Att,Avg,TD
Harold Fannin,Bowling Green,ODU,ODU,-,-,1,9.18,1,13.37,60.00,4.19,14.3,0.49,2.22,0.90,2.5,0.00
Colston Loveland,Michigan,Minn,Minn,-,-,2,8.48,3,12.33,57.94,3.85,15.0,0.45,0.00,0.00,0.0,0.00
Oronde Gadsden,Syracuse,HolyCr,HolyCr,-,-,3,8.47,2,13.09,55.09,4.61,12.0,0.49,0.00,0.00,0.0,0.00
Caden Prieskorn,Mississippi,Kty,Kty,-,-,4,7.81,8,11.01,49.28,3.20,15.4,0.48,0.00,0.00,0.0,0.00
Luke Hasz,Arkansas,TexA&M,Ark,-,-,5,7.70,7,11.06,44.27,3.36,13.2,0.55,0.00,0.00,0.0,0.00
Justin Joly,North Carolina State,NIU,NIU,-,-,6,7.54,4,11.54,48.09,4.00,12.0,0.45,0.00,0.00,0.0,0.00
Brant Kuithe,Utah,Ari,Ari,-,-,7,7.54,5,11.54,46.64,4.00,11.7,0.48,0.00,0.00,0.0,0.00
Jake Briningstool,Clemson,Stan,Stan,-,-,8,7.27,6,11.24,42.25,3.97,10.6,0.51,0.00,0.00,0.0,0.00
RJ Maryland,SMU,FlaSt,FlaSt,-,-,9,7.24,10,10.20,41.86,2.97,14.1,0.51,0.00,0.00,0.0,0.00
Grayson Barnes,Northern Illinois,NCSU,NIU,-,-,10,7.00,20,9.32,42.05,2.33,18.0,0.47,0.00,0.00,0.0,0.00
Oscar Delp,Georgia,Ala,UGa,-,-,11,6.87,9,10.60,45.20,3.73,12.1,0.39,0.00,0.00,0.0,0.00
Jack Velling,Michigan State,OhioSt,OhioSt,-,-,12,6.79,16,9.56,40.09,2.78,14.4,0.46,0.00,0.00,0.0,0.00
Tyler Warren,Penn State,Ill,Ill,-,-,13,6.71,18,9.46,37.08,2.75,13.5,0.50,0.00,0.00,0.0,0.00
Holden Willis,Middle Tenn. St,Mem,MiddTn,-,-,14,6.71,11,10.12,43.25,3.41,12.7,0.40,0.00,0.00,0.0,0.00
River Helms,Western Kentucky,BC,WestKy,-,-,15,6.61,13,9.79,38.82,3.18,12.2,0.45,0.00,0.00,0.0,0.00
Bryson Nesbit,North Carolina,Duke,UNC,-,-,16,6.34,17,9.53,42.67,3.19,13.4,0.34,0.00,0.00,0.0,0.00
Drake Dabney,TCU,Kansas,TCU,-,-,17,6.33,15,9.58,43.33,3.25,13.3,0.33,0.00,0.00,0.0,0.00
Terrance Ferguson,Oregon,UCLA,Oregon,-,-,18,6.32,19,9.39,32.60,3.06,10.7,0.51,0.00,0.00,0.0,0.00
Mason Taylor,LSU,USA,USA,-,-,19,6.17,12,9.92,40.27,3.75,10.7,0.36,0.00,0.00,0.0,0.00
Rivaldo Fairweather,Auburn,Okla,Okla,-,-,20,5.99,24,8.93,30.53,2.94,10.4,0.49,0.00,0.00,0.0,0.00
John Michael Gyllenborg,Wyoming,AF,AF,-,-,21,5.84,21,9.03,37.67,3.19,11.8,0.34,0.00,0.00,0.0,0.00
