,,,Week 12 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,GB,-,-,,16.23,15.10,75.04,0.67,4.14,32.70,0.24
2,Jonathan Taylor,IND,DET,-,-,,12.41,15.60,71.47,0.58,1.86,14.22,0.06
3,Derrick Henry,BAL,LAC,-,-,,12.09,14.40,69.60,0.65,1.19,8.66,0.06
4,Saquon Barkley,PHI,LAR,-,-,,12.04,15.40,68.87,0.42,2.59,19.17,0.12
5,Jahmyr Gibbs,DET,IND,-,-,,11.67,11.70,57.63,0.45,3.26,24.26,0.13
6,Isiah Pacheco,KC,CAR,-,-,,11.67,12.90,61.98,0.48,2.53,18.69,0.12
7,Kyren Williams,LAR,PHI,-,-,,11.44,13.70,61.93,0.52,2.30,17.05,0.07
8,Josh Jacobs,GB,SF,-,-,,11.01,14.10,62.32,0.48,2.11,15.39,0.06
9,Rachaad White,TB,NYG,-,-,,10.48,13.20,53.97,0.37,2.89,21.39,0.12
10,De'Von Achane,MIA,NE,-,-,,10.36,9.90,54.07,0.41,2.44,18.91,0.10
11,Kenneth Walker,SEA,ARI,-,-,,10.05,13.60,58.87,0.42,1.76,12.81,0.06
12,David Montgomery,DET,IND,-,-,,9.97,11.90,54.83,0.54,1.23,8.91,0.06
13,Joe Mixon,HOU,TEN,-,-,,9.76,12.70,55.89,0.36,2.27,16.54,0.06
14,Aaron Jones,MIN,CHI,-,-,,9.33,11.90,50.28,0.34,2.08,15.42,0.12
15,James Conner,ARI,SEA,-,-,,9.24,12.00,50.74,0.40,1.89,14.08,0.06
16,Nick Chubb,CLE,PIT,-,-,,9.18,11.80,53.70,0.46,0.89,6.94,0.06
17,Devin Singletary,NYG,TB,-,-,,9.11,13.50,54.69,0.30,2.08,14.82,0.06
18,Zamir White,LV,DEN,-,-,,9.08,12.80,52.94,0.37,1.66,12.02,0.06
19,Najee Harris,PIT,CLE,-,-,,9.01,13.30,52.71,0.38,1.51,10.98,0.06
20,D'Andre Swift,CHI,MIN,-,-,,8.95,11.20,48.18,0.36,2.21,16.16,0.06
21,Rhamondre Stevenson,NE,MIA,-,-,,8.62,12.60,49.65,0.33,1.78,13.12,0.06
22,Raheem Mostert,MIA,NE,-,-,,8.55,9.80,46.79,0.40,1.56,11.13,0.06
23,Gus Edwards,LAC,BAL,-,-,,8.48,11.60,49.26,0.41,1.00,7.32,0.06
24,Ezekiel Elliott,DAL,WAS,-,-,,8.36,10.60,44.47,0.38,1.75,12.70,0.06
25,Javonte Williams,DEN,LV,-,-,,8.20,12.30,49.36,0.28,1.78,12.82,0.05
26,Tony Pollard,TEN,HOU,-,-,,8.07,11.80,48.65,0.27,1.76,12.86,0.05
27,Jonathon Brooks,CAR,KC,-,-,,7.84,10.60,43.07,0.29,1.92,14.35,0.06
28,Jaylen Warren,PIT,CLE,-,-,,7.45,9.10,38.18,0.21,2.32,17.08,0.11
29,Tyjae Spears,TEN,HOU,-,-,,7.23,8.30,34.22,0.20,2.58,18.89,0.12
30,Austin Ekeler,WAS,DAL,-,-,,7.21,7.70,31.77,0.24,2.46,18.72,0.12
31,Brian Robinson,WAS,DAL,-,-,,7.11,10.40,40.84,0.30,1.26,9.27,0.05
32,Zach Charbonnet,SEA,ARI,-,-,,6.87,8.10,35.07,0.26,1.95,14.39,0.06
33,Jerome Ford,CLE,PIT,-,-,,6.16,6.80,28.86,0.24,2.04,14.75,0.06
34,Chuba Hubbard,CAR,KC,-,-,,5.84,8.50,32.73,0.22,1.24,8.84,0.06
35,Trey Benson,ARI,SEA,-,-,,5.71,7.60,31.16,0.23,1.18,8.58,0.06
36,Blake Corum,LAR,PHI,-,-,,5.59,6.50,29.23,0.24,1.17,8.69,0.06
37,Jaleel McLaughlin,DEN,LV,-,-,,4.96,6.50,26.97,0.17,1.22,8.79,0.06
38,Ty Chandler,MIN,CHI,-,-,,4.88,6.70,26.62,0.16,1.26,9.56,0.05
39,Khalil Herbert,CHI,MIN,-,-,,4.73,6.30,27.49,0.19,0.63,4.78,0.06
40,Rico Dowdle,DAL,WAS,-,-,,4.61,5.90,24.96,0.16,1.17,8.53,0.05
41,Dameon Pierce,HOU,TEN,-,-,,4.29,6.20,27.07,0.19,0.59,4.38,0.00
42,Kimani Vidal,LAC,BAL,-,-,,4.25,5.50,22.94,0.20,1.02,7.53,0.00
43,Antonio Gibson,NE,MIA,-,-,,4.24,4.90,18.58,0.11,1.92,14.25,0.05
44,Elijah Mitchell,SF,GB,-,-,,4.02,5.20,24.53,0.18,0.64,4.84,0.00
45,MarShawn Lloyd,GB,SF,-,-,,3.94,4.80,20.43,0.13,0.91,6.93,0.07
46,Alexander Mattison,LV,DEN,-,-,,3.84,5.20,20.90,0.13,0.90,6.12,0.06
47,Clyde Edwards-Helaire,KC,CAR,-,-,,3.77,3.90,17.35,0.13,1.21,8.92,0.06
48,Roschon Johnson,CHI,MIN,-,-,,3.73,3.60,15.23,0.15,1.17,8.83,0.07
49,AJ Dillon,GB,SF,-,-,,3.40,4.60,18.76,0.18,0.61,4.43,0.00
50,Will Shipley,PHI,LAR,-,-,,3.39,4.10,17.78,0.12,0.73,5.33,0.06
51,Bucky Irving,TB,NYG,-,-,,3.38,4.20,17.10,0.11,0.98,7.11,0.05
52,Deuce Vaughn,DAL,WAS,-,-,,3.20,3.20,13.91,0.09,0.97,7.24,0.09
53,Jaylen Wright,MIA,NE,-,-,,3.19,3.50,16.44,0.12,0.68,4.68,0.06
54,J.K. Dobbins,LAC,BAL,-,-,,2.88,3.40,13.96,0.12,0.69,5.19,0.04
55,Chris Rodriguez,WAS,DAL,-,-,,2.87,4.20,16.94,0.14,0.46,3.33,0.00
56,Tyrone Tracy,NYG,TB,-,-,,2.79,3.10,12.59,0.08,0.93,6.92,0.06
57,Isaac Guerendo,SF,GB,-,-,,2.71,3.40,15.11,0.12,0.64,4.78,0.00
58,D'Onta Foreman,CLE,PIT,-,-,,2.54,3.70,15.66,0.10,0.50,3.73,0.00
59,Emari Demercado,ARI,SEA,-,-,,2.54,2.40,9.91,0.07,1.06,7.72,0.06
60,Kenneth Gainwell,PHI,LAR,-,-,,2.42,2.60,10.96,0.06,0.82,6.07,0.06
61,Justice Hill,BAL,LAC,-,-,,2.38,1.80,7.99,0.06,1.18,8.63,0.06
62,Eric Gray,NYG,TB,-,-,,2.37,3.30,13.42,0.09,0.67,4.92,0.00
63,Kevin Harris,NE,MIA,-,-,,2.35,3.50,13.62,0.11,0.45,3.25,0.00
64,Evan Hull,IND,DET,-,-,,2.34,2.50,10.55,0.06,0.76,5.62,0.06
65,Rasheen Ali,BAL,LAC,-,-,,2.29,3.00,13.53,0.07,0.70,5.12,0.00
66,Audric Estime,DEN,LV,-,-,,2.15,3.10,12.42,0.10,0.47,3.11,0.00
67,Keaton Mitchell,BAL,LAC,-,-,,2.11,2.70,12.73,0.06,0.64,4.78,0.00
68,Dylan Laube,LV,DEN,-,-,,2.03,2.50,10.28,0.08,0.71,5.19,0.00
69,Trey Sermon,IND,DET,-,-,,1.79,2.60,10.98,0.07,0.36,2.67,0.00
70,Chase Edmonds,TB,NYG,-,-,,1.79,1.80,7.23,0.06,0.96,7.11,0.00
71,Samaje Perine,DEN,LV,-,-,,1.75,1.50,5.81,0.04,0.97,6.87,0.04
72,Miles Sanders,CAR,KC,-,-,,1.70,2.80,10.85,0.06,0.35,2.58,0.00
73,Cam Akers,HOU,TEN,-,-,,1.65,2.60,10.89,0.07,0.21,1.42,0.00
74,Cordarrelle Patterson,PIT,CLE,-,-,,1.50,1.90,7.65,0.06,0.50,3.79,0.00
75,DeWayne McBride,MIN,CHI,-,-,,1.50,2.10,8.48,0.07,0.31,2.33,0.00
76,Craig Reynolds,DET,IND,-,-,,1.48,1.90,8.26,0.06,0.39,2.92,0.00
77,Michael Carter,ARI,SEA,-,-,,1.42,1.60,6.43,0.06,0.60,4.15,0.00
78,Emani Bailey,KC,CAR,-,-,,1.38,2.20,9.98,0.00,0.42,3.82,0.00
79,Jawhar Jordan,HOU,TEN,-,-,,1.37,1.90,8.19,0.06,0.25,1.91,0.00
80,Ronnie Rivers,LAR,PHI,-,-,,1.26,1.60,6.84,0.07,0.24,1.59,0.00
81,Pierre Strong,CLE,PIT,-,-,,1.23,1.50,6.46,0.06,0.29,2.19,0.00
82,Jeff Wilson,MIA,NE,-,-,,1.22,1.50,6.72,0.06,0.25,1.84,0.00
83,Kyle Juszczyk,SF,GB,-,-,,1.22,0.30,0.99,0.00,0.82,7.65,0.06
84,Isaiah Spiller,LAC,BAL,-,-,,1.19,1.60,6.72,0.06,0.24,1.61,0.00
85,Boston Scott,LAR,PHI,-,-,,1.09,1.40,6.13,0.06,0.15,1.12,0.00
86,Blake Watson,DEN,LV,-,-,,1.05,1.50,5.87,0.05,0.23,1.64,0.00
87,Matt Breida,SF,GB,-,-,,0.96,1.10,4.79,0.06,0.16,1.19,0.00
88,Dare Ogunbowale,HOU,TEN,-,-,,0.83,0.60,2.66,0.00,0.76,5.60,0.00
89,Zach Evans,LAR,PHI,-,-,,0.75,1.50,6.11,0.00,0.15,1.37,0.00
90,Raheem Blackshear,CAR,KC,-,-,,0.69,0.80,3.18,0.00,0.49,3.72,0.00
91,Ameer Abdullah,LV,DEN,-,-,,0.65,0.60,2.50,0.00,0.52,3.95,0.00
92,Elijah Dotson,LAC,BAL,-,-,,0.59,1.10,4.36,0.00,0.20,1.49,0.00
93,Travis Homer,CHI,MIN,-,-,,0.52,0.80,3.46,0.00,0.25,1.72,0.00
94,Nyheim Hines,CLE,PIT,-,-,,0.51,0.40,1.67,0.00,0.48,3.45,0.00
95,Emanuel Wilson,GB,SF,-,-,,0.47,0.60,2.45,0.02,0.15,1.09,0.00
96,Cody Schrader,SF,GB,-,-,,0.47,0.90,4.29,0.00,0.21,0.41,0.00
97,Malik Davis,DAL,WAS,-,-,,0.47,0.80,3.49,0.00,0.15,1.19,0.00
98,Jordan Mason,SF,GB,-,-,,0.46,0.50,2.20,0.02,0.17,1.22,0.00
99,DeeJay Dallas,ARI,SEA,-,-,,0.45,0.60,2.45,0.00,0.28,2.01,0.00
100,Kenny McIntosh,SEA,ARI,-,-,,0.40,0.70,3.01,0.00,0.14,1.03,0.00
101,Kene Nwangwu,MIN,CHI,-,-,,0.35,0.70,2.77,0.00,0.13,0.71,0.00
102,Sean Tucker,TB,NYG,-,-,,0.32,0.50,2.05,0.00,0.13,1.19,0.00
103,Hassan Haskins,TEN,HOU,-,-,,0.31,0.60,2.40,0.00,0.13,0.70,0.00
104,JaMycal Hasty,NE,MIA,-,-,,0.25,0.40,1.56,0.00,0.12,0.93,0.00
105,Keaontay Ingram,KC,CAR,-,-,,0.24,0.40,1.82,0.00,0.11,0.53,0.00
106,Patrick Taylor,SF,GB,-,-,,0.19,0.20,0.88,0.00,0.14,1.04,0.00
107,Tyrion Davis-Price,PHI,LAR,-,-,,0.12,0.20,0.86,0.00,0.10,0.30,0.00
108,Jeremy McNichols,WAS,DAL,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109,Tyreik McAllister,LV,DEN,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
110,Nate McCrary,GB,SF,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
111,Zonovan Knight,DET,IND,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
112,Lorenzo Lingard,NYG,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113,Tony Jones,ARI,SEA,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114,Joshua Kelley,NYG,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
115,DJ Williams,TB,NYG,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
116,Dante Miller,NYG,TB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117,Ke'Shawn Vaughn,SF,GB,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
118,Carson Steele,KC,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
119,Jacob Saylors,CLE,PIT,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,Louis Rees-Zammit,KC,CAR,-,-,,0.00,0.00,0.00,0.00,0.00,0.00,0.00
