,,Week 2 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,DAL,NO,DAL,-6.5,44.5,7.22,19.00,312.86,2.90,0.93,0.62,0.06,0.12,0.06,0.00,0.00
2,SF,MIN,SF,-7.0,45.5,7.18,19.25,284.70,2.93,0.87,0.62,0.06,0.12,0.06,0.00,0.00
3,BAL,LV,BAL,-8.0,43.5,7.12,17.75,371.08,2.91,0.87,0.62,0.06,0.12,0.06,0.00,0.00
4,NYJ,TEN,NYJ,-4.0,43.5,7.06,19.75,311.68,2.87,0.90,0.60,0.06,0.12,0.06,0.00,0.00
5,KC,CIN,KC,-3.5,47.5,6.97,22.00,341.89,2.78,0.86,0.62,0.06,0.12,0.06,0.00,0.00
6,DET,TB,DET,-6.5,48.5,6.56,21.00,306.71,2.74,0.89,0.57,0.06,0.06,0.06,0.00,0.00
7,MIA,BUF,MIA,-2.0,50.5,6.43,24.25,381.16,2.69,0.81,0.62,0.06,0.06,0.06,0.00,0.00
8,CLE,JAX,JAX,2,44.5,6.30,23.25,334.59,2.52,0.74,0.57,0.06,0.11,0.06,0.00,0.00
9,HOU,CHI,HOU,-3.5,46.5,6.30,21.50,334.05,2.63,0.79,0.61,0.06,0.06,0.06,0.00,0.00
10,PIT,DEN,PIT,-2.5,40.5,6.27,19.00,268.72,2.59,0.75,0.52,0.06,0.12,0.06,0.00,0.00
11,PHI,ATL,PHI,-4.0,47.5,6.25,21.75,335.55,2.66,0.81,0.56,0.06,0.06,0.06,0.00,0.00
12,BUF,MIA,MIA,2,50.5,6.16,26.25,391.17,2.54,0.85,0.54,0.06,0.06,0.06,0.00,0.00
13,GB,IND,GB,-5.0,47.0,6.16,21.00,329.92,2.55,0.81,0.56,0.06,0.06,0.06,0.00,0.00
14,LAR,ARI,LAR,-2.0,48.0,5.93,23.00,357.94,2.51,0.73,0.55,0.06,0.06,0.06,0.00,0.00
15,SEA,NE,SEA,-3.0,41.0,5.86,19.00,290.99,2.50,0.75,0.52,0.06,0.06,0.06,0.00,0.00
16,JAX,CLE,JAX,-2.0,44.5,5.82,21.25,300.59,2.49,0.71,0.53,0.06,0.06,0.06,0.00,0.00
17,CHI,HOU,HOU,3.5,46.5,5.75,25.00,385.72,2.42,0.75,0.52,0.06,0.06,0.06,0.00,0.00
18,LAC,CAR,LAC,-3.5,42.0,5.71,19.25,272.70,2.41,0.71,0.53,0.06,0.06,0.06,0.00,0.00
19,CIN,KC,KC,3.5,47.5,5.69,25.50,400.80,2.32,0.75,0.52,0.06,0.06,0.06,0.00,0.00
20,ATL,PHI,PHI,4,47.5,5.66,25.75,369.26,2.31,0.75,0.52,0.06,0.06,0.06,0.00,0.00
21,TB,DET,DET,6.5,48.5,5.59,27.50,403.95,2.28,0.74,0.51,0.06,0.06,0.06,0.00,0.00
22,WAS,NYG,WAS,-2.5,41.5,5.51,19.50,268.15,2.26,0.70,0.52,0.06,0.06,0.06,0.00,0.00
23,ARI,LAR,LAR,2,48.0,5.49,25.00,371.90,2.19,0.71,0.53,0.06,0.06,0.06,0.00,0.00
24,MIN,SF,SF,7,45.5,5.47,26.25,404.22,2.37,0.66,0.50,0.06,0.06,0.06,0.00,0.00
25,IND,GB,GB,5,47.0,5.42,26.00,376.23,2.22,0.68,0.51,0.06,0.06,0.06,0.00,0.00
26,NO,DAL,DAL,6.5,44.5,5.38,25.50,365.44,2.20,0.71,0.49,0.05,0.05,0.05,0.00,0.00
27,NE,SEA,SEA,3,41.0,5.33,22.00,325.44,2.25,0.66,0.49,0.05,0.05,0.05,0.00,0.00
28,LV,BAL,BAL,8,43.5,5.31,25.75,381.23,2.31,0.64,0.48,0.05,0.05,0.05,0.00,0.00
29,TEN,NYJ,NYJ,4,43.5,5.29,23.75,351.08,2.17,0.67,0.50,0.06,0.06,0.06,0.00,0.00
30,NYG,WAS,WAS,2.5,41.5,5.27,22.00,318.14,2.27,0.61,0.50,0.06,0.06,0.06,0.00,0.00
31,CAR,LAC,LAC,3.5,42.0,5.24,22.75,347.29,2.15,0.66,0.50,0.06,0.06,0.06,0.00,0.00
32,DEN,PIT,PIT,2.5,40.5,5.16,21.50,310.83,2.09,0.66,0.49,0.05,0.05,0.05,0.00,0.00
