,,,Week 16 Game,,,,Fantasy,Receiving,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,REC,YDS,TD,ATT,YDS,TD
1,Travis Kelce,KC,HOU,-,-,,8.74,5.51,58.36,0.48,0.07,0.28,0.00
2,Sam LaPorta,DET,CHI,-,-,,8.27,5.32,55.12,0.46,0.00,0.00,0.00
3,Mark Andrews,BAL,PIT,-,-,,7.76,4.10,51.81,0.43,0.00,0.00,0.00
4,George Kittle,SF,MIA,-,-,,7.69,3.98,54.36,0.37,0.06,0.31,0.00
5,Dalton Kincaid,BUF,NE,-,-,,7.00,4.89,50.78,0.32,0.00,0.00,0.00
6,Trey McBride,ARI,CAR,-,-,,6.72,4.80,49.20,0.30,0.00,0.00,0.00
7,Kyle Pitts,ATL,NYG,-,-,,6.72,4.01,49.83,0.29,0.00,0.00,0.00
8,Jake Ferguson,DAL,TB,-,-,,5.89,3.97,41.50,0.29,0.00,0.00,0.00
9,Taysom Hill,NO,GB,-,-,,5.85,1.33,13.69,0.12,4.84,20.83,0.24
10,David Njoku,CLE,CIN,-,-,,5.50,3.60,38.76,0.27,0.00,0.00,0.00
11,Evan Engram,JAX,LV,-,-,,5.40,4.17,40.23,0.23,0.00,0.00,0.00
12,Dallas Goedert,PHI,WAS,-,-,,5.34,3.73,40.16,0.22,0.00,0.00,0.00
13,Dalton Schultz,HOU,KC,-,-,,5.20,3.35,35.21,0.28,0.00,0.00,0.00
14,Brock Bowers,LV,JAX,-,-,,5.11,3.24,36.12,0.25,0.00,0.00,0.00
15,T.J. Hockenson,MIN,SEA,-,-,,5.05,3.52,36.09,0.24,0.00,0.00,0.00
16,Cole Kmet,CHI,DET,-,-,,4.85,3.26,33.45,0.25,0.00,0.00,0.00
17,Pat Freiermuth,PIT,BAL,-,-,,4.54,3.07,32.18,0.22,0.00,0.00,0.00
18,Luke Musgrave,GB,NO,-,-,,4.02,2.44,28.16,0.20,0.00,0.00,0.00
19,Cade Otton,TB,DAL,-,-,,3.87,2.59,26.09,0.21,0.00,0.00,0.00
20,Ben Sinnott,WAS,PHI,-,-,,3.62,2.37,24.83,0.19,0.00,0.00,0.00
21,Chigoziem Okonkwo,TEN,IND,-,-,,3.60,2.46,24.97,0.18,0.06,0.24,0.00
22,Tucker Kraft,GB,NO,-,-,,3.37,2.14,22.30,0.19,0.00,0.00,0.00
23,Ja'Tavion Sanders,CAR,ARI,-,-,,3.16,1.88,20.83,0.18,0.00,0.00,0.00
24,Isaiah Likely,BAL,PIT,-,-,,3.16,1.93,21.39,0.17,0.00,0.00,0.00
25,Dawson Knox,BUF,NE,-,-,,3.14,1.83,19.97,0.19,0.00,0.00,0.00
26,Tyler Conklin,NYJ,LAR,-,-,,3.10,2.27,22.61,0.14,0.00,0.00,0.00
27,Juwan Johnson,NO,GB,-,-,,3.06,1.81,20.35,0.17,0.00,0.00,0.00
28,Noah Fant,SEA,MIN,-,-,,2.93,2.13,21.52,0.13,0.00,0.00,0.00
29,Hunter Henry,NE,BUF,-,-,,2.79,1.93,19.50,0.14,0.00,0.00,0.00
30,Colby Parkinson,LAR,NYJ,-,-,,2.79,1.75,18.86,0.15,0.00,0.00,0.00
31,Michael Mayer,LV,JAX,-,-,,2.70,1.81,19.20,0.13,0.00,0.00,0.00
32,Gerald Everett,CHI,DET,-,-,,2.61,1.74,17.72,0.14,0.00,0.00,0.00
33,Theo Johnson,NYG,ATL,-,-,,2.58,1.65,17.37,0.14,0.00,0.00,0.00
34,Noah Gray,KC,HOU,-,-,,2.40,1.52,16.17,0.13,0.00,0.00,0.00
35,Will Mallory,IND,TEN,-,-,,2.35,1.66,17.49,0.10,0.00,0.00,0.00
36,Jelani Woods,IND,TEN,-,-,,2.29,1.45,16.28,0.11,0.00,0.00,0.00
37,Tanner Hudson,CIN,CLE,-,-,,2.25,1.46,14.70,0.13,0.00,0.00,0.00
38,Mike Gesicki,CIN,CLE,-,-,,2.20,1.41,15.42,0.11,0.00,0.00,0.00
39,Durham Smythe,MIA,SF,-,-,,2.20,1.34,13.58,0.14,0.00,0.00,0.00
40,Tyler Higbee,LAR,NYJ,-,-,,2.04,1.31,13.75,0.11,0.00,0.00,0.00
41,Jaheim Bell,NE,BUF,-,-,,2.01,1.23,13.53,0.11,0.00,0.00,0.00
42,Josh Whyle,TEN,IND,-,-,,2.01,1.32,13.52,0.11,0.00,0.00,0.00
43,Hayden Hurst,LAC,DEN,-,-,,1.99,1.35,13.86,0.10,0.00,0.00,0.00
44,Cade Stover,HOU,KC,-,-,,1.95,1.33,14.13,0.09,0.00,0.00,0.00
45,Greg Dulcich,DEN,LAC,-,-,,1.88,1.35,13.98,0.08,0.00,0.00,0.00
46,Zach Ertz,WAS,PHI,-,-,,1.86,1.46,13.84,0.08,0.00,0.00,0.00
47,Brevin Jordan,HOU,KC,-,-,,1.79,1.20,12.54,0.09,0.00,0.00,0.00
48,Donald Parham,LAC,DEN,-,-,,1.68,0.90,9.58,0.12,0.00,0.00,0.00
49,Jonnu Smith,MIA,SF,-,-,,1.66,1.10,11.16,0.09,0.00,0.00,0.00
50,Jeremy Ruckert,NYJ,LAR,-,-,,1.50,1.08,11.38,0.06,0.00,0.00,0.00
51,Tommy Tremble,CAR,ARI,-,-,,1.46,1.03,10.99,0.06,0.00,0.00,0.00
52,Kylen Granson,IND,TEN,-,-,,1.41,1.03,10.45,0.06,0.00,0.00,0.00
53,Johnny Mundt,MIN,SEA,-,-,,1.36,0.97,10.03,0.06,0.00,0.00,0.00
54,Lucas Krull,DEN,LAC,-,-,,1.25,0.84,8.91,0.06,0.00,0.00,0.00
55,Elijah Higgins,ARI,CAR,-,-,,1.24,0.86,8.82,0.06,0.00,0.00,0.00
56,AJ Barner,SEA,MIN,-,-,,1.23,0.81,8.72,0.06,0.00,0.00,0.00
57,Robert Tonyan,MIN,SEA,-,-,,1.22,0.84,8.59,0.06,0.00,0.00,0.00
58,Peyton Hendershot,DAL,TB,-,-,,1.20,0.83,8.39,0.06,0.00,0.00,0.00
59,Jared Wiley,KC,HOU,-,-,,1.18,0.77,8.23,0.06,0.00,0.00,0.00
60,Brenton Strange,JAX,LV,-,-,,1.17,0.80,8.08,0.06,0.00,0.00,0.00
61,Davis Allen,LAR,NYJ,-,-,,1.16,0.79,8.00,0.06,0.00,0.00,0.00
62,Drew Sample,CIN,CLE,-,-,,1.15,0.76,7.94,0.06,0.00,0.00,0.00
63,Payne Durham,TB,DAL,-,-,,1.14,0.77,7.76,0.06,0.00,0.00,0.00
64,Tanner McLachlan,CIN,CLE,-,-,,1.14,0.76,7.75,0.06,0.00,0.00,0.00
