,,,Week 5 Game,,,,Fantasy,Passing,,,,,,Rushing,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,COMP,ATT,PCT,YDS,TD,INT,ATT,YDS,TD
1,Patrick Mahomes,KC,NO,-,-,,24.99,25.40,35.40,71.8,283.68,2.13,0.77,4.10,22.74,0.13
2,Josh Allen,BUF,HOU,-,-,,23.96,21.45,32.90,65.2,239.14,1.60,0.83,6.50,32.49,0.53
3,C.J. Stroud,HOU,BUF,-,-,,22.53,22.80,34.10,66.9,266.24,2.01,0.73,2.70,11.85,0.12
4,Lamar Jackson,BAL,CIN,-,-,,22.34,17.87,27.30,65.5,205.96,1.46,0.59,8.90,49.29,0.31
5,Joe Burrow,CIN,BAL,-,-,,21.67,24.56,35.60,69.0,258.90,1.90,0.73,3.20,11.35,0.12
6,Anthony Richardson,IND,JAX,-,-,,21.42,17.19,28.10,61.2,195.15,1.11,0.70,10.00,46.86,0.54
7,Brock Purdy,SF,ARI,-,-,,21.36,21.14,28.60,73.9,253.13,1.89,0.69,2.30,10.54,0.13
8,Dak Prescott,DAL,PIT,-,-,,20.55,22.15,33.10,66.9,239.85,1.79,0.65,3.20,13.29,0.12
9,Trevor Lawrence,JAX,IND,-,-,,20.21,22.38,32.90,68.0,237.91,1.52,0.79,4.10,19.44,0.18
10,Jordan Love,GB,LAR,-,-,,20.00,20.89,31.90,65.5,233.74,1.67,0.71,2.60,12.64,0.18
11,Tua Tagovailoa,MIA,NE,-,-,,19.59,21.54,30.80,69.9,249.71,1.76,0.73,1.90,4.35,0.06
12,Caleb Williams,CHI,CAR,-,-,,19.56,20.80,32.10,64.8,231.47,1.50,0.84,4.00,17.48,0.18
13,Matthew Stafford,LAR,GB,-,-,,19.46,22.25,33.10,67.2,249.67,1.77,0.86,0.90,3.98,0.06
14,Aaron Rodgers,NYJ,MIN,-,-,,18.70,21.28,32.10,66.3,235.58,1.63,0.54,1.90,5.85,0.06
15,Kyler Murray,ARI,SF,-,-,,18.63,18.54,30.90,60.0,203.12,1.18,0.64,5.50,28.96,0.25
16,Deshaun Watson,CLE,WAS,-,-,,18.12,18.22,28.90,63.0,200.55,1.29,0.76,4.50,23.11,0.23
17,Jayden Daniels,WAS,CLE,-,-,,18.11,16.95,29.10,58.2,189.39,1.12,0.78,5.80,29.56,0.33
18,Kirk Cousins,ATL,TB,-,-,,17.92,21.89,31.90,68.6,234.21,1.53,0.70,1.70,4.32,0.06
19,Geno Smith,SEA,NYG,-,-,,17.84,20.48,31.30,65.4,223.93,1.42,0.65,2.10,8.90,0.12
20,Baker Mayfield,TB,ATL,-,-,,17.07,19.54,31.40,62.2,212.30,1.35,0.68,3.20,10.70,0.11
21,Drake Maye,NE,MIA,-,-,,15.97,17.60,29.70,59.3,190.87,1.14,0.74,3.60,15.85,0.17
22,Russell Wilson,PIT,DAL,-,-,,15.68,16.89,27.30,61.9,182.55,1.13,0.63,4.30,18.86,0.13
23,Gardner Minshew,LV,DEN,-,-,,15.39,19.97,32.50,61.4,208.17,1.13,0.75,1.80,6.76,0.09
24,Derek Carr,NO,KC,-,-,,14.70,19.15,31.20,61.4,197.49,1.19,0.60,1.80,3.64,0.05
25,Bryce Young,CAR,CHI,-,-,,14.64,17.18,30.90,55.6,187.59,1.03,0.76,2.90,12.37,0.11
26,Daniel Jones,NYG,SEA,-,-,,14.52,15.28,24.90,61.4,162.99,0.89,0.50,4.90,22.88,0.17
27,Bo Nix,DEN,LV,-,-,,13.39,14.85,23.80,62.4,153.95,0.89,0.59,4.20,18.27,0.15
28,Aidan O'Connell,LV,DEN,-,-,,5.77,7.97,13.40,59.5,84.95,0.47,0.38,0.10,0.20,0.00
29,Jimmy Garoppolo,LAR,GB,-,-,,1.30,1.41,2.10,67.1,15.28,0.14,0.07,0.20,0.49,0.00
30,Mac Jones,JAX,IND,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
31,Austin Reed,CHI,CAR,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
32,Jameis Winston,CLE,WAS,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
33,Taylor Heinicke,ATL,TB,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
34,Jordan Travis,NYJ,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
35,Carson Wentz,KC,NO,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
36,Davis Mills,HOU,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
37,Tyrod Taylor,NYJ,MIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
38,Marcus Mariota,WAS,CLE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
39,J.J. McCarthy,MIN,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
40,Rocky Lombardi,CIN,BAL,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
41,Devin Leary,BAL,CIN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
42,Case Keenum,HOU,BUF,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00
