,,,Week 11 Game,,,,Fantasy,Rushing,,,Receiving,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,ATT,YDS,TD,REC,YDS,TD
1,Christian McCaffrey,SF,SEA,-,-,,17.14,15.10,78.86,0.71,4.35,34.37,0.26
2,Breece Hall,NYJ,IND,-,-,,13.90,15.70,73.99,0.54,3.43,25.45,0.12
3,Saquon Barkley,PHI,WAS,-,-,,12.65,15.40,72.17,0.44,2.71,20.09,0.13
4,Bijan Robinson,ATL,DEN,-,-,,12.48,14.90,68.08,0.49,2.85,21.27,0.10
5,Jonathan Taylor,IND,NYJ,-,-,,12.12,15.60,69.57,0.57,1.82,13.84,0.06
6,Jahmyr Gibbs,DET,JAX,-,-,,12.01,11.70,59.58,0.46,3.37,25.08,0.13
7,Derrick Henry,BAL,PIT,-,-,,11.73,14.40,67.53,0.63,1.16,8.40,0.06
8,Kyren Williams,LAR,NE,-,-,,11.51,13.70,62.46,0.52,2.32,17.20,0.07
9,Isiah Pacheco,KC,BUF,-,-,,11.15,12.90,59.41,0.46,2.42,17.91,0.11
10,Josh Jacobs,GB,CHI,-,-,,10.94,14.10,61.77,0.48,2.09,15.25,0.06
11,Travis Etienne,JAX,DET,-,-,,10.60,14.20,59.11,0.40,2.57,19.32,0.06
12,De'Von Achane,MIA,LV,-,-,,10.42,9.90,54.52,0.41,2.46,19.07,0.10
13,David Montgomery,DET,JAX,-,-,,10.31,11.90,56.68,0.56,1.27,9.21,0.06
14,James Cook,BUF,KC,-,-,,9.94,11.90,55.10,0.30,2.47,19.07,0.12
15,Aaron Jones,MIN,TEN,-,-,,9.54,11.90,51.42,0.35,2.13,15.77,0.12
16,Joe Mixon,HOU,DAL,-,-,,9.25,12.70,52.88,0.34,2.15,15.65,0.06
17,Kenneth Walker,SEA,SF,-,-,,9.05,13.60,53.09,0.38,1.59,11.56,0.05
18,Nick Chubb,CLE,NO,-,-,,8.99,11.80,52.53,0.45,0.87,6.79,0.06
19,Najee Harris,PIT,BAL,-,-,,8.98,13.30,52.47,0.38,1.50,10.93,0.06
20,Rhamondre Stevenson,NE,LAR,-,-,,8.83,12.60,50.82,0.34,1.82,13.43,0.06
21,D'Andre Swift,CHI,GB,-,-,,8.76,11.20,47.15,0.35,2.16,15.81,0.06
22,Zamir White,LV,MIA,-,-,,8.73,12.80,51.07,0.35,1.60,11.59,0.06
23,Ezekiel Elliott,DAL,HOU,-,-,,8.62,10.60,45.61,0.39,1.79,13.02,0.07
24,Raheem Mostert,MIA,LV,-,-,,8.60,9.80,47.18,0.40,1.57,11.22,0.06
25,Javonte Williams,DEN,ATL,-,-,,8.46,12.30,50.51,0.29,1.82,13.12,0.06
26,Gus Edwards,LAC,CIN,-,-,,8.34,11.60,48.61,0.40,0.98,7.22,0.06
27,Tony Pollard,TEN,MIN,-,-,,8.25,11.80,49.55,0.28,1.79,13.10,0.05
28,Alvin Kamara,NO,CLE,-,-,,8.21,10.10,39.53,0.22,3.09,22.81,0.11
29,Zack Moss,CIN,LAC,-,-,,7.99,10.20,42.75,0.34,1.82,13.19,0.06
30,Jaylen Warren,PIT,BAL,-,-,,7.42,9.10,38.01,0.21,2.31,17.00,0.11
31,Tyjae Spears,TEN,MIN,-,-,,7.39,8.30,34.85,0.21,2.62,19.24,0.12
32,Chase Brown,CIN,LAC,-,-,,7.14,8.90,37.59,0.23,2.15,16.41,0.06
33,Austin Ekeler,WAS,PHI,-,-,,6.91,7.70,30.63,0.23,2.38,18.05,0.11
