,,,Week 8 Game,,,,Fantasy,Field Goals,,,Extra Points,,
Rank,Name,Team,OPP,Fav,Spread,O/U,Points,FGM,FGA,FG%,XPM,XPA,XP%
1,Harrison Butker,KC,LV,-,-,,8.78,1.87,2.11,88.6,3.17,3.30,96.1
2,Justin Tucker,BAL,CLE,-,-,,8.34,1.84,2.08,88.5,2.85,2.91,97.9
3,Evan McPherson,CIN,PHI,-,-,,8.29,1.78,2.03,87.7,2.95,3.07,96.1
4,Jake Moody,SF,DAL,-,-,,8.08,1.69,2.01,84.1,3.01,3.20,94.1
5,Ka'imi Fairbairn,HOU,IND,-,-,,7.99,1.68,1.99,84.4,2.92,3.05,95.7
6,Brandon Aubrey,DAL,SF,-,-,,7.87,1.71,1.94,88.1,2.74,2.85,96.1
7,Jason Sanders,MIA,ARI,-,-,,7.77,1.63,1.94,84.0,2.88,3.01,95.7
8,Tyler Bass,BUF,SEA,-,-,,7.63,1.64,1.95,84.1,2.68,2.80,95.7
9,Cameron Dicker,LAC,NO,-,-,,7.60,1.73,1.97,87.8,2.38,2.50,95.2
10,Greg Zuerlein,NYJ,NE,-,-,,7.49,1.71,2.01,85.1,2.36,2.48,95.2
11,Younghoe Koo,ATL,TB,-,-,,7.44,1.73,1.96,88.3,2.25,2.31,97.4
12,Dustin Hopkins,CLE,BAL,-,-,,7.28,1.63,1.92,84.9,2.39,2.51,95.2
13,Jake Elliott,PHI,CIN,-,-,,7.13,1.57,1.81,86.7,2.39,2.51,95.2
14,Chris Boswell,PIT,NYG,-,-,,7.09,1.66,1.90,87.4,2.08,2.20,94.5
15,Jason Myers,SEA,BUF,-,-,,7.03,1.56,1.85,84.3,2.20,2.31,95.2
16,Daniel Carlson,LV,KC,-,-,,7.03,1.71,1.94,88.1,2.05,2.11,97.2
17,Cairo Santos,CHI,WAS,-,-,,7.00,1.60,1.84,87.0,2.20,2.31,95.2
18,Jake Bates,DET,TEN,-,-,,6.99,1.41,1.73,81.5,2.76,2.89,95.5
19,Joshua Karty,LAR,MIN,-,-,,6.99,1.51,1.86,81.2,2.49,2.61,95.4
20,Chase McLaughlin,TB,ATL,-,-,,6.98,1.65,1.94,85.1,2.06,2.18,94.5
21,Matt Gay,IND,HOU,-,-,,6.92,1.63,1.92,84.9,2.03,2.15,94.4
22,Blake Grupe,NO,LAC,-,-,,6.92,1.53,1.81,84.5,2.15,2.26,95.1
23,Matt Prater,ARI,MIA,-,-,,6.75,1.58,1.86,84.9,1.98,2.09,94.7
24,Anders Carlson,GB,JAX,-,-,,6.68,1.42,1.77,80.2,2.39,2.51,95.2
25,Wil Lutz,DEN,CAR,-,-,,6.66,1.52,1.81,84.0,2.10,2.22,94.6
26,Nick Folk,TEN,DET,-,-,,6.52,1.56,1.84,84.8,1.84,1.95,94.4
27,Graham Gano,NYG,PIT,-,-,,6.50,1.55,1.82,85.2,1.82,1.93,94.3
28,Cam Little,JAX,GB,-,-,,6.29,1.34,1.68,79.8,2.24,2.35,95.3
29,Will Reichard,MIN,LAR,-,-,,6.26,1.36,1.64,82.9,2.18,2.29,95.2
30,Eddy Pineiro,CAR,DEN,-,-,,5.88,1.39,1.62,85.8,1.89,2.01,94.0
31,Joey Slye,NE,NYJ,-,-,,1.42,0.37,0.46,80.4,0.46,0.51,90.2
32,Austin Seibert,NYJ,NE,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
33,Chad Ryland,NE,NYJ,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
34,Brayden Narveson,TEN,DET,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
35,Jude McAtamney,NYG,PIT,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
36,Greg Joseph,GB,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
37,Matthew Wright,PIT,NYG,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
38,Spencer Shrader,IND,HOU,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
39,Charlie Smyth,NO,LAC,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
40,Michael Badgley,DET,TEN,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
41,Cade York,WAS,CHI,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
42,Alex Hale,GB,JAX,-,-,,0.00,0.00,0.00,0.0,0.00,0.00,0.0
